energy_ev,total_up,Ru_p_up,Ru_d_up,Sb_p_up,Sb_d_up,Te_p_up,Te_d_up
-6.00000000,0.96244474,0.50745640,0.59781662,0.24160904,0.00337146,0.35781027,0.00000000
-5.99399700,0.96428856,0.51647270,0.59481445,0.25552080,0.00343617,0.34290268,0.00000000
-5.98799400,0.97999327,0.53400959,0.60018683,0.27270523,0.00356800,0.33298645,0.00000000
-5.98199100,1.01010541,0.56036858,0.61423707,0.29344492,0.00376837,0.32808319,0.00000000
-5.97598799,1.05505514,0.59577830,0.63719388,0.31801188,0.00403809,0.32814952,0.00000000
-5.96998499,1.11513606,0.64038381,0.66920075,0.34665367,0.00437731,0.33308020,0.00000000
-5.96398199,1.19048211,0.69423419,0.71030379,0.37957831,0.00478547,0.34271092,0.00000000
-5.95797899,1.28104254,0.75726900,0.76043840,0.41693840,0.00526119,0.35682095,0.00000000
-5.95197599,1.38655575,0.82930405,0.81941541,0.45881526,0.00580221,0.37513531,0.00000000
-5.94597299,1.50652375,0.91001721,0.88690748,0.50520353,0.00640533,0.39732681,0.00000000
-5.93996998,1.64018873,0.99893518,0.96243677,0.55599726,0.00706630,0.42301805,0.00000000
-5.93396698,1.78651346,1.09542234,1.04536475,0.61097797,0.00777976,0.45178354,0.00000000
-5.92796398,1.94416757,1.19867236,1.13488538,0.66980567,0.00853924,0.48315228,0.00000000
-5.92196098,2.11152136,1.30770408,1.23002264,0.73201353,0.00933709,0.51661099,0.00000000
-5.91595798,2.28664885,1.42136221,1.32963329,0.79700661,0.01016452,0.55160835,0.00000000
-5.90995498,2.46734129,1.53832392,1.43241561,0.86406555,0.01101168,0.58756035,0.00000000
-5.90395198,2.65113226,1.65711194,1.53692479,0.93235507,0.01186772,0.62385696,0.00000000
-5.89794897,2.83533464,1.77611439,1.64159496,1.00093787,0.01272096,0.65987024,0.00000000
-5.89194597,3.01708936,1.89361163,1.74476798,1.06879345,0.01355910,0.69496381,0.00000000
-5.88594297,3.19342522,2.00780962,1.84472844,1.13484173,0.01436940,0.72850363,0.00000000
-5.87993997,3.36132844,2.11687932,1.93974403,1.19797069,0.01513905,0.75986986,0.00000000
-5.87393697,3.51781975,2.21900104,2.02811013,1.25706738,0.01585541,0.78846954,0.00000000
-5.86793397,3.66003672,2.31241240,2.10819720,1.31105093,0.01650637,0.81374967,0.00000000
-5.86193097,3.78531817,2.39545823,2.17849910,1.35890670,0.01708072,0.83521028,0.00000000
-5.85592796,3.89128741,2.46664059,2.23768059,1.39971981,0.01756847,0.85241701,0.00000000
-5.84992496,3.97593078,2.52466684,2.28462188,1.43270695,0.01796121,0.86501261,0.00000000
-5.84392196,4.03766808,2.56849374,2.31845832,1.45724491,0.01825240,0.87272696,0.00000000
-5.83791896,4.07541157,2.59736549,2.33861336,1.47289451,0.01843763,0.87538505,0.00000000
