energy_ev,total_up,As_p_up,As_d_up,Re_p_up,Re_d_up,S_s_up,S_p_up
-6.00000000,3.57760321,1.30213373,0.00000000,1.50411402,1.72527874,0.02602414,0.61263131
-5.99399700,3.59548385,1.30595346,0.00000000,1.49729120,1.74042800,0.02636308,0.61275099
-5.98799400,3.60266545,1.30641094,0.00000000,1.48717166,1.75047209,0.02657441,0.61068663
-5.98199100,3.59929196,1.30356610,0.00000000,1.47396002,1.75540938,0.02665587,0.60651562
-5.97598799,3.58562857,1.29751193,0.00000000,1.45787465,1.75529864,0.02660705,0.60033934
-5.96998499,3.56205603,1.28837453,0.00000000,1.43914527,1.75025721,0.02642942,0.59227977
-5.96398199,3.52906229,1.27631216,0.00000000,1.41801039,1.74045781,0.02612627,0.58247594
-5.95797899,3.48723180,1.26151345,0.00000000,1.39471468,1.72612414,0.02570265,0.57108015
-5.95197599,3.43723293,1.24419484,0.00000000,1.36950630,1.70752557,0.02516526,0.55825429
-5.94597299,3.37980404,1.22459727,0.00000000,1.34263419,1.68497108,0.02452234,0.54416622
-5.93996998,3.31573897,1.20298244,0.00000000,1.31434552,1.65880297,0.02378345,0.52898646
-5.93396698,3.24587252,1.17962877,0.00000000,1.28488329,1.62939047,0.02295939,0.51288527
-5.92796398,3.17106684,1.15482735,0.00000000,1.25448451,1.59712371,0.02206190,0.49603012
-5.92196098,3.09219904,1.12887815,0.00000000,1.22337884,1.56240834,0.02110354,0.47858376
-5.91595798,3.01015085,1.10208652,0.00000000,1.19178804,1.52566085,0.02009742,0.46070275
-5.90995498,2.92580037,1.07476042,0.00000000,1.15992614,1.48730496,0.01905700,0.44253656
-5.90395198,2.84001634,1.04720816,0.00000000,1.12800058,1.44776894,0.01799586,0.42422722
-5.89794897,2.75365462,1.01973686,0.00000000,1.09621399,1.40748387,0.01692747,0.40590932
-5.89194597,2.66755676,0.99265149,0.00000000,1.06476673,1.36688267,0.01586500,0.38771052
