energy_ev,total_up,Re_p_up,Re_d_up,Sb_p_up,Sb_d_up,Te_p_up,Te_d_up
-6.00000000,10.85554113,2.68814841,7.35819426,4.99444291,0.11473873,2.23748988,0.00000000
-5.99399700,10.69135491,2.63772010,7.25822667,4.92355713,0.11133638,2.20319594,0.00000000
-5.98799400,10.49755441,2.58118777,7.13523989,4.83526777,0.10776687,2.16486005,0.00000000
-5.98199100,10.27641137,2.51925778,6.99079109,4.73086162,0.10408078,2.12272540,0.00000000
-5.97598799,10.03050782,2.45268361,6.82667564,4.61176338,0.10032864,2.07711190,0.00000000
-5.96998499,9.76268353,2.38224685,6.64489011,4.47950165,0.09655965,2.02841597,0.00000000
-5.96398199,9.47598427,2.30873947,6.44759542,4.33567761,0.09282062,1.97710886,0.00000000
-5.95797899,9.17361223,2.23294813,6.23708099,4.18193715,0.08915491,1.92373389,0.00000000
-5.95197599,8.85887956,2.15564088,6.01573042,4.01994671,0.08560158,1.86890237,0.00000000
-5.94597299,8.53516575,2.07755672,5.78598931,3.85137317,0.08219474,1.81328832,0.00000000
-5.93996998,8.20587894,1.99939801,5.55033506,3.67786719,0.07896305,1.75762200,0.00000000
-5.93396698,7.87442108,1.92182568,5.31124887,3.50104993,0.07592953,1.70268227,0.00000000
-5.92796398,7.54415636,1.84545710,5.07118955,3.32250224,0.07311146,1.64928781,0.00000000
-5.92196098,7.21838251,1.77086611,4.83256890,3.14375583,0.07052060,1.59828721,0.00000000
-5.91595798,6.90030395,1.69858484,4.59772840,2.96628568,0.06816348,1.55054799,0.00000000
-5.90995498,6.59300607,1.62910675,4.36891668,2.79150286,0.06604190,1.50694456,0.00000000
-5.90395198,6.29942989,1.56289023,4.14826770,2.62074746,0.06415351,1.46834515,0.00000000
-5.89794897,6.02234638,1.50036226,3.93777925,2.45528091,0.06249245,1.43559784,0.00000000
-5.89194597,5.76432990,1.44192160,3.73929182,2.29627762,0.06105003,1.40951574,0.00000000
-5.88594297,5.52773062,1.38794085,3.55446776,2.14481564,0.05981536,1.39086148,0.00000000
-5.87993997,5.31464575,1.33876732,3.38477099,2.00186655,0.05877600,1.38033119,0.00000000
-5.87393697,5.12688996,1.29472215,3.23144745,1.86828469,0.05791848,1.37853834,0.00000000
-5.86793397,4.96596559,1.25609779,3.09550692,1.74479609,0.05722873,1.38599754,0.00000000
-5.86193097,4.83303344,1.22315379,2.97770655,1.63198758,0.05669245,1.40310907,0.00000000
-5.85592796,4.72888527,1.19611113,2.87853690,1.53029657,0.05629538,1.43014419,0.00000000
-5.84992496,4.65391951,1.17514539,2.79821115,1.44000211,0.05602338,1.46723216,0.00000000
-5.84392196,4.60812142,1.16037924,2.73665814,1.36121789,0.05586258,1.51434940,0.00000000
-5.83791896,4.59104947,1.15187484,2.69352013,1.29388756,0.05579936,1.57131125,0.00000000
-5.83191596,4.60182939,1.14962663,2.66815579,1.23778313,0.05582036,1.63776729,0.00000000
-5.82591296,4.63915722,1.15355532,2.65964899,1.19250675,0.05591242,1.71320035,0.00000000
-5.81990995,4.70131265,1.16350354,2.66682383,1.15749616,0.05606264,1.79692996,0.00000000
-5.81390695,4.78618338,1.17923380,2.68826605,1.13203425,0.05625834,1.88812041,0.00000000
-5.80790395,4.89130081,1.20042918,2.72235079,1.11526245,0.05648722,1.98579353,0.00000000
-5.80190095,5.01388705,1.22669694,2.76727626,1.10619814,0.05673744,2.08884632,0.00000000
-5.79589795,5.15091258,1.25757547,2.82110296,1.10375568,0.05699790,2.19607288,0.00000000
-5.78989495,5.29916326,1.29254422,2.88179725,1.10677056,0.05725843,2.30619041,0.00000000
-5.78389195,5.45531497,1.33103658,2.94727847,1.11402625,0.05751017,2.41786855,0.00000000
-5.77788894,5.61601387,1.37245527,3.01546805,1.12428284,0.05774586,2.52976100,0.00000000
-5.77188594,5.77795953,1.41618959,3.08433926,1.13630675,0.05796019,2.64053879,0.00000000
-5.76588294,5.93798836,1.46163396,3.15196597,1.14890050,0.05815009,2.74892385,0.00000000
-5.75987994,6.09315437,1.50820679,3.21656894,1.16093161,0.05831501,2.85372188,0.00000000
-5.75387694,6.24080471,1.55536910,3.27655814,1.17135961,0.05845707,2.95385349,0.00000000
-5.74787394,6.37864716,1.60264175,3.33056964,1.17926031,0.05858119,3.04838263,0.00000000
-5.74187094,6.50480766,1.64962089,3.37749622,1.18384635,0.05869505,3.13654141,0.00000000
-5.73586793,6.61787588,1.69599061,3.41651053,1.18448353,0.05880897,3.21775062,0.00000000
-5.72986493,6.71693763,1.74153255,3.44708048,1.18070214,0.05893572,3.29163552,0.00000000
-5.72386193,6.80159336,1.78613194,3.46897639,1.17220310,0.05909017,3.35803640,0.00000000
-5.71785893,6.87196246,1.82977990,3.48227006,1.15885878,0.05928889,3.41701381,0.00000000
-5.71185593,6.92867350,1.87257203,3.48732597,1.14070847,0.05954971,3.46884845,0.00000000
-5.70585293,6.97284110,1.91470324,3.48478502,1.11794886,0.05989124,3.51403556,0.00000000
-5.69984992,7.00603009,1.95645930,3.47554158,1.09092003,0.06033228,3.55327416,0.00000000
-5.69384692,7.03020825,1.99820510,3.46071444,1.06008758,0.06089143,3.58745105,0.00000000
-5.68784392,7.04768848,2.04037037,3.44161266,1.02602164,0.06158648,3.61761980,0.00000000
-5.68184092,7.06106183,2.08343288,3.41969690,0.98937363,0.06243408,3.64497493,0.00000000
-5.67583792,7.07312246,2.12789991,3.39653722,0.95085176,0.06344924,3.67082130,0.00000000
-5.66983492,7.08678573,2.17428799,3.37376804,0.91119598,0.06464505,3.69653896,0.00000000
-5.66383192,7.10500064,2.22310162,3.35304108,0.87115346,0.06603227,3.72354370,0.00000000
-5.65782891,7.13065787,2.27481106,3.33597693,0.83145522,0.06761916,3.75324374,0.00000000
-5.65182591,7.16649500,2.32982968,3.32411620,0.79279462,0.06941113,3.78699296,0.00000000
-5.64582291,7.21500044,2.38849122,3.31887109,0.75580828,0.07141052,3.82604175,0.00000000
-5.63981991,7.27831831,2.45102737,3.32147824,0.72105995,0.07361642,3.87148629,0.00000000
-5.63381691,7.35815645,2.51754630,3.33295415,0.68902734,0.07602437,3.92421786,0.00000000
-5.62781391,7.45570062,2.58801257,3.35405424,0.66009244,0.07862619,3.98487382,0.00000000
-5.62181091,7.57153785,2.66222941,3.38523704,0.63453504,0.08140974,4.05379232,0.00000000
-5.61580790,7.70559249,2.73982409,3.42663490,0.61252965,0.08435877,4.13097283,0.00000000
