energy_ev,total_up,Sb_p_up,Sb_d_up,Te_p_up,Te_d_up,Zr_p_up,Zr_d_up
-6.00000000,0.41959941,0.06245853,0.00296872,0.21331064,0.00000000,0.21514422,0.12235809
-5.99399700,0.47705572,0.07334913,0.00341340,0.24029583,0.00000000,0.24395643,0.13960480
-5.98799400,0.53995695,0.08569895,0.00390388,0.26947831,0.00000000,0.27539375,0.15856882
-5.98199100,0.60833985,0.09959435,0.00444081,0.30080380,0.00000000,0.30948740,0.17927462
-5.97598799,0.68218276,0.11511028,0.00502426,0.33419116,0.00000000,0.34624619,0.20172854
-5.96998499,0.76139878,0.13230669,0.00565373,0.36953116,0.00000000,0.38565427,0.22591617
-5.96398199,0.84582986,0.15122483,0.00632805,0.40668571,0.00000000,0.42766892,0.25180014
-5.95797899,0.93524193,0.17188375,0.00704537,0.44548776,0.00000000,0.47221866,0.27931815
-5.95197599,1.02932128,0.19427696,0.00780309,0.48574179,0.00000000,0.51920142,0.30838136
-5.94597299,1.12767226,0.21836957,0.00859793,0.52722485,0.00000000,0.56848295,0.33887332
-5.93996998,1.22981648,0.24409594,0.00942584,0.56968819,0.00000000,0.61989540,0.37064933
-5.93396698,1.33519365,0.27135806,0.01028206,0.61285938,0.00000000,0.67323625,0.40353645
-5.92796398,1.44316416,0.30002468,0.01116112,0.65644492,0.00000000,0.72826751,0.43733399
-5.92196098,1.55301346,0.32993152,0.01205688,0.70013333,0.00000000,0.78471552,0.47181481
-5.91595798,1.66395844,0.36088240,0.01296258,0.74359863,0.00000000,0.84227139,0.50672718
-5.90995498,1.77515576,0.39265146,0.01387089,0.78650429,0.00000000,0.90059221,0.54179738
-5.90395198,1.88571231,0.42498655,0.01477395,0.82850758,0.00000000,0.95930345,0.57673302
-5.89794897,1.99469767,0.45761357,0.01566352,0.86926437,0.00000000,1.01800244,0.61122701
-5.89194597,2.10115858,0.49024182,0.01653099,0.90843428,0.00000000,1.07626343,0.64496221
-5.88594297,2.20413526,0.52257017,0.01736756,0.94568630,0.00000000,1.13364401,0.67761661
-5.87993997,2.30267938,0.55429390,0.01816432,0.98070470,0.00000000,1.18969323,0.70886908
-5.87393697,2.39587326,0.58511184,0.01891243,1.01319528,0.00000000,1.24396119,0.73840541
-5.86793397,2.48284998,0.61473381,0.01960325,1.04289179,0.00000000,1.29601004,0.76592473
-5.86193097,2.56281373,0.64288783,0.02022855,1.06956229,0.00000000,1.34542601,0.79114581
-5.85592796,2.63505979,0.66932695,0.02078064,1.09301550,0.00000000,1.39183222,0.81381338
-5.84992496,2.69899343,0.69383535,0.02125263,1.11310656,0.00000000,1.43490152,0.83370405
-5.84392196,2.75414685,0.71623352,0.02163858,1.12974223,0.00000000,1.47436900,0.85063168
-5.83791896,2.80019341,0.73638220,0.02193369,1.14288506,0.00000000,1.51004320,0.86445202
-5.83191596,2.83695838,0.75418493,0.02213449,1.15255622,0.00000000,1.54181552,0.87506632
-5.82591296,2.86442534,0.76958913,0.02223898,1.15883680,0.00000000,1.56966699,0.88242384
-5.81990995,2.88273794,0.78258562,0.02224675,1.16186728,0.00000000,1.59367182,0.88652311
-5.81390695,2.89219630,0.79320658,0.02215903,1.16184492,0.00000000,1.61399711,0.88741170
-5.80790395,2.89324803,0.80152209,0.02197874,1.15901903,0.00000000,1.63089848,0.88518472
-5.80190095,2.88647397,0.80763536,0.02171047,1.15368409,0.00000000,1.64471139,0.87998182
-5.79589795,2.87256888,0.81167696,0.02136035,1.14617089,0.00000000,1.65583829,0.87198296
-5.78989495,2.85231771,0.81379825,0.02093596,1.13683574,0.00000000,1.66473187,0.86140302
-5.78389195,2.82656838,0.81416430,0.02044610,1.12604833,0.00000000,1.67187510,0.84848542
-5.77788894,2.79620214,0.81294684,0.01990055,1.11417856,0.00000000,1.67775883,0.83349509
-5.77188594,2.76210266,0.81031728,0.01930981,1.10158286,0.00000000,1.68285797,0.81671106
-5.76588294,2.72512543,0.80644034,0.01868478,1.08859074,0.00000000,1.68760756,0.79841885
-5.75987994,2.68606870,0.80146859,0.01803643,1.07549215,0.00000000,1.69237980,0.77890319
-5.75387694,2.64564741,0.79553795,0.01737552,1.06252619,0.00000000,1.69746342,0.75844112
-5.74787394,2.60447135,0.78876458,0.01671224,1.04987198,0.00000000,1.70304664,0.73729595
-5.74187094,2.56302855,0.78124303,0.01605599,1.03764197,0.00000000,1.70920456,0.71571212
-5.73586793,2.52167474,0.77304591,0.01541511,1.02587828,0.00000000,1.71589210,0.69391123
-5.72986493,2.48062924,0.76422482,0.01479674,1.01455216,0.00000000,1.72294272,0.67208931
-5.72386193,2.43997754,0.75481258,0.01420664,1.00356681,0.00000000,1.73007337,0.65041531
-5.71785893,2.39968016,0.74482644,0.01364915,0.99276336,0.00000000,1.73689549,0.62903081
-5.71185593,2.35958730,0.73427213,0.01312721,0.98192977,0.00000000,1.74293148,0.60805084
-5.70585293,2.31945840,0.72314834,0.01264237,0.97081231,0.00000000,1.74763600,0.58756563
-5.69984992,2.27898529,0.71145144,0.01219492,0.95912895,0.00000000,1.75042092,0.56764309
-5.69384692,2.23781781,0.69917999,0.01178401,0.94658409,0.00000000,1.75068269,0.54833174
