energy_ev,total_up,C_s_up,C_p_up,Na_s_up,Te_p_up,Te_d_up,Zr_p_up,Zr_d_up
-6.00000000,1.48812122,0.00705320,0.16192160,0.37046471,0.86422026,0.00000000,0.31713763,0.37073667
-5.99399700,1.49312420,0.00645032,0.15846638,0.37902212,0.87407698,0.00000000,0.31755969,0.36537531
-5.98799400,1.49518266,0.00588151,0.15447724,0.38724333,0.88252234,0.00000000,0.31810567,0.35882372
-5.98199100,1.49431290,0.00534957,0.15004821,0.39485440,0.88942044,0.00000000,0.31869230,0.35123443
-5.97598799,1.49055703,0.00485685,0.14527672,0.40158747,0.89464868,0.00000000,0.31923800,0.34277096
-5.96998499,1.48398274,0.00440525,0.14026099,0.40719011,0.89810195,0.00000000,0.31966698,0.33360303
-5.96398199,1.47468296,0.00399635,0.13509755,0.41143407,0.89969645,0.00000000,0.31991312,0.32390174
-5.95797899,1.46277574,0.00363142,0.12987908,0.41412316,0.89937339,0.00000000,0.31992354,0.31383517
-5.95197599,1.44840415,0.00331156,0.12469249,0.41510000,0.89710214,0.00000000,0.31966161,0.30356443
-5.94597299,1.43173645,0.00303780,0.11961751,0.41425136,0.89288313,0.00000000,0.31910952,0.29324028
-5.93996998,1.41296632,0.00281116,0.11472549,0.41151191,0.88674996,0.00000000,0.31827015,0.28300048
-5.93396698,1.39231312,0.00263282,0.11007873,0.40686626,0.87877098,0.00000000,0.31716823,0.27296794
-5.92796398,1.37002192,0.00250423,0.10573009,0.40034936,0.86905011,0.00000000,0.31585087,0.26324952
-5.92196098,1.34636332,0.00242719,0.10172294,0.39204509,0.85772668,0.00000000,0.31438716,0.25393562
-5.91595798,1.32163254,0.00240397,0.09809132,0.38208334,0.84497440,0.00000000,0.31286709,0.24510036
-5.90995498,1.29614779,0.00243744,0.09486040,0.37063562,0.83099927,0.00000000,0.31139959,0.23680227
-5.90395198,1.27024764,0.00253106,0.09204693,0.35790949,0.81603646,0.00000000,0.31010986,0.22908541
-5.89794897,1.24428711,0.00268901,0.08965986,0.34414197,0.80034599,0.00000000,0.30913582,0.22198064
-5.89194597,1.21863252,0.00291610,0.08770091,0.32959230,0.78420751,0.00000000,0.30862406,0.21550711
-5.88594297,1.19365495,0.00321780,0.08616514,0.31453426,0.76791392,0.00000000,0.30872500,0.20967360
-5.87993997,1.16972233,0.00360011,0.08504141,0.29924835,0.75176421,0.00000000,0.30958765,0.20447984
-5.87393697,1.14719045,0.00406943,0.08431280,0.28401414,0.73605556,0.00000000,0.31135401,0.19991758
-5.86793397,1.12639288,0.00463233,0.08395689,0.26910290,0.72107490,0.00000000,0.31415325,0.19597136
-5.86193097,1.10763039,0.00529534,0.08394605,0.25477083,0.70709026,0.00000000,0.31809586,0.19261910
