energy_ev,total_up,Ru_p_up,Ru_d_up,Sb_p_up,Sb_d_up,Se_s_up,Se_p_up
-6.00000000,1.94634912,1.51580056,0.60744704,0.67359610,0.00690243,0.01441924,0.47316770
-5.99399700,1.83448539,1.39349112,0.58408212,0.63485102,0.00661383,0.01345842,0.44085637
-5.98799400,1.74001955,1.28081011,0.56776517,0.59988149,0.00637820,0.01260974,0.41462783
-5.98199100,1.66452557,1.17889077,0.55907805,0.56930813,0.00619996,0.01188069,0.39483230
-5.97598799,1.60933952,1.08863961,0.55855116,0.54365126,0.00608254,0.01127628,0.38178273
-5.96998499,1.57555196,1.01073669,0.56665875,0.52332473,0.00602825,0.01079916,0.37575658
-5.96398199,1.56400482,0.94564177,0.58381421,0.50863319,0.00603833,0.01044971,0.37699667
-5.95797899,1.57529174,0.89360531,0.61036509,0.49977259,0.00611290,0.01022623,0.38571088
-5.95197599,1.60976072,0.85468323,0.64658771,0.49683331,0.00625108,0.01012518,0.40207031
-5.94597299,1.66751819,0.82875407,0.69268113,0.49980568,0.00645098,0.01014145,0.42620584
-5.93996998,1.74843339,0.81553767,0.74876035,0.50858710,0.00670985,0.01026866,0.45820295
-5.93396698,1.85214261,0.81461408,0.81484891,0.52299049,0.00702412,0.01049945,0.49809488
-5.92796398,1.97805260,0.82544221,0.89087078,0.54275346,0.00738957,0.01082582,0.54585431
-5.92196098,2.12534317,0.84737721,0.97664213,0.56754787,0.00780146,0.01123940,0.60138405
-5.91595798,2.29296918,0.87968653,1.07186311,0.59698937,0.00825459,0.01173173,0.66450698
-5.90995498,2.47966227,0.92156418,1.17611038,0.63064680,0.00874349,0.01229450,0.73495618
-5.90395198,2.68393326,0.97214333,1.28883087,0.66805108,0.00926253,0.01291975,0.81236557
-5.89794897,2.90407618,1.03050750,1.40933772,0.70870374,0.00980601,0.01360005,0.89626228
-5.89194597,3.13817513,1.09570049,1.53680887,0.75208488,0.01036827,0.01432860,0.98606110
-5.88594297,3.38411516,1.16673563,1.67028938,0.79766070,0.01094379,0.01509931,1.08106216
-5.87993997,3.63959840,1.24260475,1.80869774,0.84489071,0.01152727,0.01590681,1.18045233
-5.87393697,3.90216645,1.32228732,1.95083709,0.89323461,0.01211367,0.01674646,1.28331088
-5.86793397,4.16922969,1.40476017,2.09541135,0.94215908,0.01269831,0.01761430,1.38861993
-5.86193097,4.43810388,1.48900803,2.24104649,0.99114445,0.01327685,0.01850693,1.49527971
-5.85592796,4.70605395,1.57403510,2.38631660,1.03969129,0.01384537,0.01942151,1.60212849
-5.84992496,4.97034404,1.65887746,2.52977423,1.08732701,0.01440037,0.02035554,1.70796686
-5.84392196,5.22829284,1.74261633,2.66998416,1.13361218,0.01493880,0.02130688,1.81158558
-5.83791896,5.47733202,1.82439152,2.80555916,1.17814662,0.01545803,0.02227354,1.91179603
-5.83191596,5.71506568,1.90341471,2.93519649,1.22057490,0.01595591,0.02325368,2.00746198
-5.82591296,5.93932796,1.97898177,3.05771331,1.26059105,0.01643069,0.02424550,2.09753137
-5.81990995,6.14823584,2.05048349,3.17207918,1.29794213,0.01688107,0.02524724,2.18106646
-5.81390695,6.34023416,2.11741374,3.27744388,1.33243042,0.01730612,0.02625709,2.25727082
-5.80790395,6.51412995,2.17937464,3.37315876,1.36391394,0.01770529,0.02727324,2.32551163
-5.80190095,6.66911355,2.23607789,3.45879030,1.39230505,0.01807833,0.02829387,2.38533605
-5.79589795,6.80476467,2.28734204,3.53412455,1.41756702,0.01842527,0.02931716,2.43648045
-5.78989495,6.92104220,2.33308542,3.59916198,1.43970860,0.01874631,0.03034129,2.47887187
-5.78389195,7.01825743,2.37331489,3.65410256,1.45877662,0.01904177,0.03136447,2.51262140
-5.77788894,7.09703160,2.40811076,3.69932138,1.47484699,0.01931200,0.03238494,2.53800950
-5.77188594,7.15823941,2.43760863,3.73533618,1.48801436,0.01955730,0.03340090,2.55546403
-5.76588294,7.20294124,2.46197900,3.76276800,1.49838108,0.01977779,0.03441053,2.56553192
-5.75987994,7.23230774,2.48140592,3.78229738,1.50604601,0.01997336,0.03541187,2.56884602
-5.75387694,7.24754084,2.49606582,3.79461832,1.51109389,0.02014360,0.03640278,2.56608881
-5.74787394,7.24979590,2.50610809,3.80039278,1.51358594,0.02028771,0.03738081,2.55795511
-5.74187094,7.24010968,2.51163852,3.80020845,1.51355240,0.02040447,0.03834313,2.54511580
-5.73586793,7.21933859,2.51270691,3.79454235,1.51098752,0.02049225,0.03928639,2.52818460
-5.72986493,7.18811121,2.50929988,3.78373261,1.50584756,0.02054901,0.04020668,2.50768993
-5.72386193,7.14679821,2.50133937,3.76796023,1.49805193,0.02057235,0.04109939,2.48405335
-5.71785893,7.09550181,2.48868731,3.74724216,1.48748775,0.02055961,0.04195926,2.45757587
-5.71185593,7.03406573,2.47115639,3.72143612,1.47401755,0.02050801,0.04278031,2.42843276
-5.70585293,6.96210518,2.44852626,3.69025724,1.45748980,0.02041472,0.04355594,2.39667732
-5.69984992,6.87905542,2.42056463,3.65330529,1.43775180,0.02027712,0.04427899,2.36225292
-5.69384692,6.78423578,2.38705174,3.61010131,1.41466421,0.02009292,0.04494194,2.32501279
-5.68784392,6.67692572,2.34780709,3.56013116,1.38811628,0.01986037,0.04553706,2.28474604
-5.68184092,6.55644794,2.30271658,3.50289360,1.35804103,0.01957842,0.04605670,2.24120835
-5.67583792,6.42225391,2.25175854,3.43795000,1.32442946,0.01924691,0.04649356,2.19415533
-5.66983492,6.27400643,2.19502701,3.36497271,1.28734281,0.01886673,0.04684105,2.14337644
-5.66383192,6.11165435,2.13275070,3.28378935,1.24692226,0.01843986,0.04709359,2.08872757
-5.65782891,5.93549513,2.06530656,3.19442036,1.20339529,0.01796952,0.04724700,2.03016013
-5.65182591,5.74622150,1.99322687,3.09710787,1.15707853,0.01746015,0.04729886,1.96774512
-5.64582291,5.54494956,1.91719932,2.99233411,1.10837656,0.01691741,0.04724883,1.90169077
-5.63981991,5.33322683,1.83805997,2.88082862,1.05777688,0.01634810,0.04709899,1.83235290
-5.63381691,5.11301974,1.75677911,2.76356397,1.00584123,0.01576009,0.04685411,1.76023734
-5.62781391,4.88668136,1.67444076,2.64174018,0.95319346,0.01516210,0.04652184,1.68599468
-5.62181091,4.65690106,1.59221654,2.51675903,0.90050475,0.01456359,0.04611290,1.61040746
-5.61580790,4.42663868,1.51133499,2.39018954,0.84847657,0.01397448,0.04564111,1.53437083
-5.60980490,4.19904654,1.43304789,2.26372650,0.79782228,0.01340494,0.04512341,1.45886772
-5.60380190,3.97738288,1.35859463,2.13914413,0.74924806,0.01286516,0.04457969,1.38493981
-5.59779890,3.76492075,1.28916649,2.01824706,0.70343390,0.01236505,0.04403259,1.31365590
-5.59179590,3.56485630,1.22587189,1.90282075,0.66101532,0.01191401,0.04350718,1.24607926
-5.58579290,3.38021995,1.16970424,1.79458345,0.62256645,0.01152069,0.04303046,1.18323526
-5.57978989,3.21379414,1.12151347,1.69514156,0.58858511,0.01119276,0.04263085,1.12608107
-5.57378689,3.06804035,1.08198229,1.60594983,0.55948002,0.01093672,0.04233757,1.07547826
-5.56778389,2.94503768,1.05160802,1.52827767,0.53556082,0.01075773,0.04217985,1.03216977
-5.56178089,2.84643509,1.03069069,1.46318252,0.51703077,0.01065947,0.04218622,0.99676173
-5.55577789,2.77341806,1.01932779,1.41149066,0.50398252,0.01064407,0.04238364,0.96971092
-5.54977489,2.72669071,1.01741576,1.37378588,0.49639677,0.01071209,0.04279672,0.95131805
-5.54377189,2.70647324,1.02465842,1.35040583,0.49414395,0.01086245,0.04344692,0.94172703
-5.53776888,2.71251440,1.04058191,1.34144577,0.49698870,0.01109256,0.04435177,0.94093008
-5.53176588,2.74411841,1.06455577,1.34676942,0.50459710,0.01139842,0.04552427,0.94877826
-5.52576288,2.80018490,1.09581950,1.36602609,0.51654637,0.01177472,0.04697235,0.96499700
-5.51975988,2.87926067,1.13351388,1.39867349,0.53233683,0.01221508,0.04869843,0.98920590
-5.51375688,2.97960153,1.17671583,1.44400533,0.55140590,0.01271228,0.05069931,1.02094208
-5.50775388,3.09924210,1.22447593,1.50118296,0.57314372,0.01325851,0.05296604,1.05968606
-5.50175088,3.23607157,1.27585709,1.56926990,0.59691002,0.01384570,0.05548414,1.10488933
-5.49574787,3.38791303,1.32997317,1.64726851,0.62205192,0.01446577,0.05823394,1.15600263
-5.48974487,3.55260379,1.38602604,1.73415767,0.64792210,0.01511101,0.06119108,1.21250373
-5.48374187,3.72807437,1.44333978,1.82893046,0.67389683,0.01577434,0.06432725,1.27392392
-5.47773887,3.91242334,1.50139043,1.93063077,0.69939347,0.01644959,0.06761100,1.33987206
-5.47173587,4.10398577,1.55983041,2.03838795,0.72388672,0.01713179,0.07100867,1.41005546
-5.46573287,4.30139268,1.61850609,2.15144821,0.74692322,0.01781734,0.07448539,1.48429659
-5.45972986,4.50361961,1.67746805,2.26920206,0.76813398,0.01850420,0.07800610,1.56254511
-5.45372686,4.71002226,1.73697315,2.39120673,0.78724418,0.01919199,0.08153656,1.64488464
-5.44772386,4.92035791,1.79747831,2.51720277,0.80407995,0.01988200,0.08504430,1.73153394
-5.44172086,5.13479163,1.85962587,2.64712427,0.81857188,0.02057723,0.08849944,1.82284222
-5.43571786,5.35388667,1.92422106,2.78110198,0.83075519,0.02128223,0.09187547,1.91927884
-5.42971486,5.57857925,1.99220216,2.91945922,0.84076633,0.02200300,0.09514973,2.02141742
-5.42371186,5.81013816,2.06460433,3.06270024,0.84883630,0.02274677,0.09830388,2.12991481
-5.41770885,6.05011054,2.14251846,3.21149127,0.85528082,0.02352175,0.10132405,2.24548561
-5.41170585,6.30025513,2.22704633,3.36663449,0.86048777,0.02433680,0.10420091,2.36887277
-5.40570285,6.56246531,2.31925381,3.52903544,0.86490227,0.02520115,0.10692949,2.50081533
-5.39969985,6.83868424,2.42012369,3.69966474,0.86901005,0.02612403,0.10950887,2.64201408
-5.39369685,7.13081478,2.53050983,3.87951498,0.87331968,0.02711429,0.11194176,2.79309621
-5.38769385,7.44062720,2.65109437,4.06955412,0.87834433,0.02818009,0.11423391,2.95458014
-5.38169085,7.76966767,2.78234942,4.27067651,0.88458368,0.02932850,0.11639351,3.12684136
-5.37568784,8.11917057,2.92450462,4.48365339,0.89250677,0.03056520,0.11843052,3.31008055
-5.36968484,8.48997780,3.07752195,4.70908416,0.90253618,0.03189421,0.12035596,3.50429504
-5.36368184,8.88246773,3.24107849,4.94735036,0.91503426,0.03331760,0.12218130,3.70925447
-5.35767884,9.29649669,3.41455805,5.19857396,0.93029179,0.03483530,0.12391788,3.92448167
-5.35167584,9.73135529,3.59705206,5.46258173,0.94851937,0.03644500,0.12557637,4.14923963
-5.34567284,10.18574151,3.78736988,5.73887727,0.96984191,0.03814203,0.12716638,4.38252528
-5.33966983,10.65775226,3.98405848,6.02662214,0.99429610,0.03991939,0.12869623,4.62307063
-5.33366683,11.14489426,4.18543108,6.32462736,1.02183117,0.04176782,0.13017276,4.86935179
-5.32766383,11.64411487,4.38960401,6.63135610,1.05231244,0.04367600,0.13160134,5.11960605
-5.32166083,12.15185249,4.59454105,6.94493829,1.08552778,0.04563075,0.13298596,5.37185710
-5.31565783,12.66410570,4.79810380,7.26319704,1.12119638,0.04761738,0.13432942,5.62394810
-5.30965483,13.17651939,4.99810681,7.58368675,1.15897947,0.04962008,0.13563366,5.87358212
-5.30365183,13.68448559,5.19237565,7.90374186,1.19849257,0.05162238,0.13690005,6.11836916
-5.29764882,14.18325577,5.37880616,8.22053498,1.23931862,0.05360761,0.13812982,6.35587853
-5.29164582,14.66806092,5.55542276,8.53114261,1.28102143,0.05555949,0.13932433,6.58369531
-5.28564282,15.13423505,5.72043379,8.83261597,1.32315890,0.05746258,0.14048547,6.79947908
-5.27963982,15.57733754,5.87228168,9.12205457,1.36529536,0.05930279,0.14161579,7.00102301
-5.27363682,15.99326940,6.00968597,9.39667943,1.40701263,0.06106784,0.14271871,7.18631132
-5.26763382,16.37837858,6.13167730,9.65390322,1.44791924,0.06274764,0.14379846,7.35357270
-5.26163082,16.72954997,6.23762069,9.89139417,1.48765745,0.06433450,0.14485994,7.50132782
-5.25562781,17.04427590,6.32722696,10.10713132,1.52590796,0.06582332,0.14590843,7.62842862
-5.24962481,17.32070410,6.40055136,10.29944858,1.56239200,0.06721161,0.14694916,7.73408772
-5.24362181,17.55766081,6.45797933,10.46706594,1.59687096,0.06849933,0.14798673,7.81789649
-5.23761881,17.75464814,6.50019942,10.60910660,1.62914373,0.06968867,0.14902453,7.87983067
-5.23161581,17.91181586,6.52816462,10.72509956,1.65904192,0.07078365,0.15006400,7.92024316
-5.22561281,18.02990929,6.54304328,10.81496798,1.68642353,0.07178965,0.15110396,7.93984409
-5.21960980,18.11019601,6.54616185,10.87900436,1.71116553,0.07271281,0.15214000,7.93966877
-5.21360680,18.15437557,6.53894189,10.91783412,1.73315591,0.07355945,0.15316392,7.92103490
-5.20760380,18.16447690,6.52283416,10.93237010,1.75228584,0.07433543,0.15416339,7.88549082
-5.20160080,18.14274903,6.49925297,10.92376036,1.76844265,0.07504557,0.15512176,7.83475716
-5.19559780,18.09155096,6.46951368,10.89333251,1.78150404,0.07569311,0.15601813,7.77066430
-5.18959480,18.01324632,6.43477658,10.84253732,1.79133413,0.07627931,0.15682765,7.69508866
-5.18359180,17.91010825,6.39599964,10.77289465,1.79778172,0.07680313,0.15752208,7.60989038
-5.17758879,17.78423902,6.35390244,10.68594407,1.80068088,0.07726109,0.15807062,7.51685530
-5.17158579,17.63750801,6.30894300,10.58320233,1.79985414,0.07764730,0.15844085,7.41764350
-5.16558279,17.47151023,6.26130842,10.46612904,1.79511791,0.07795364,0.15859992,7.31374639
-5.15957979,17.28754656,6.21091970,10.33610143,1.78629015,0.07817005,0.15851583,7.20645391
-5.15357679,17.08662516,6.15745019,10.19439840,1.77319963,0.07828504,0.15815867,7.09683268
-5.14757379,16.86948255,6.10035660,10.04219316,1.75569647,0.07828623,0.15750192,6.98571545
-5.14157079,16.63662141,6.03892071,9.88055375,1.73366310,0.07816100,0.15652354,6.87370149
-5.13556778,16.38836174,5.97229955,9.71044973,1.70702526,0.07789712,0.15520701,6.76116712
-5.12956478,16.12490095,5.89958131,9.53276364,1.67576204,0.07748347,0.15354200,6.64828519
-5.12356178,15.84637855,5.81984412,9.34830516,1.63991473,0.07691059,0.15152497,6.53505168
-5.11755878,15.55294103,5.73221476,9.15782650,1.59959348,0.07617129,0.14915932,6.42131769
-5.11155578,15.24480296,5.63592440,8.96203736,1.55498174,0.07526104,0.14645536,6.30682487
-5.10555278,14.92230087,5.53035889,8.76161827,1.50633796,0.07417828,0.14343003,6.19124226
-5.09954977,14.58593723,5.41510128,8.55723147,1.45399437,0.07292464,0.14010633,6.07420277
-5.09354677,14.23641290,5.28996493,8.34952895,1.39835308,0.07150491,0.13651265,5.95533771
-5.08754377,13.87464727,5.15501601,8.13915751,1.33987937,0.06992703,0.13268192,5.83430812
-5.08154077,13.50178598,5.01058470,7.92676126,1.27909272,0.06820180,0.12865070,5.71083179
-5.07553777,13.11919730,4.85726521,7.71298209,1.21655583,0.06634264,0.12445827,5.58470546
-5.06953477,12.72845835,4.69590494,7.49845883,1.15286216,0.06436515,0.12014575,5.45582173
-5.06353177,12.33133331,4.52758386,7.28382592,1.08862266,0.06228669,0.11575529,5.32418075
-5.05752876,11.92974529,4.35358531,7.06971229,1.02445200,0.06012595,0.11132940,5.18989678
-5.05152576,11.52574432,4.17536005,6.85674102,0.96095512,0.05790240,0.10691030,5.05320004
-5.04552276,11.12147298,3.99448511,6.64553023,0.89871442,0.05563594,0.10253950,4.91443425
-5.03951976,10.71913164,3.81261963,6.43669512,0.83827807,0.05334641,0.09825742,4.77405055
-5.03351676,10.32094416,3.63145921,6.23085112,0.78014985,0.05105323,0.09410307,4.63259816
-5.02751376,9.92912523,3.45269092,6.02861763,0.72478061,0.04877510,0.09011381,4.49071250
-5.02151076,9.54584942,3.27795025,5.83062169,0.67256170,0.04652973,0.08632513,4.34910122
-5.01550775,9.17322223,3.10878154,5.63750088,0.62382020,0.04433360,0.08277034,4.20852853
-5.00950475,8.81325274,2.94660291,5.44990454,0.57881604,0.04220180,0.07948027,4.06979832
-5.00350175,8.46782764,2.79267658,5.26849255,0.53774089,0.04014792,0.07648289,3.93373635
-4.99749875,8.13868610,2.64808500,5.09393098,0.50071847,0.03818394,0.07380279,3.80117192
-4.99149575,7.82739506,2.51371323,4.92688428,0.46780634,0.03632018,0.07146065,3.67291914
-4.98549275,7.53532489,2.39023732,4.76800364,0.43899867,0.03456523,0.06947260,3.54975839
-4.97948974,7.26362534,2.27811880,4.61791176,0.41422989,0.03292595,0.06784953,3.43241793
-4.97348674,7.01320196,2.17760467,4.47718445,0.39337901,0.03140743,0.06659647,3.32155635
-4.96748374,6.78469373,2.08873254,4.34632965,0.37627432,0.03001300,0.06571194,3.21774592
-4.96148074,6.57845264,2.01134025,4.22576495,0.36269850,0.02874425,0.06518743,3.12145739
-4.95547774,6.39452611,1.94507934,4.11579470,0.35239382,0.02760100,0.06500705,3.03304665
-4.94947474,6.23264371,1.88943185,4.01658803,0.34506757,0.02658141,0.06514733,2.95274354
-4.94347174,6.09220906,1.84372953,3.92815897,0.34039756,0.02568200,0.06557734,2.88064326
-4.93746873,5.97229831,1.80717519,3.85035015,0.33803772,0.02489771,0.06625899,2.81670081
-4.93146573,5.87166617,1.77886534,3.78282107,0.33762393,0.02422205,0.06714767,2.76072865
-4.92546273,5.78876026,1.75781380,3.72504199,0.33877988,0.02364721,0.06819319,2.71239795
-4.91945973,5.72174442,1.74297569,3.67629422,0.34112323,0.02316422,0.06934096,2.67124355
-4.91345673,5.66853095,1.73327161,3.63567714,0.34427186,0.02276312,0.07053348,2.63667277
-4.90745373,5.62682182,1.72761142,3.60212224,0.34785029,0.02243319,0.07171194,2.60797799
-4.90145073,5.59415796,1.72491753,3.57441393,0.35149618,0.02216316,0.07281806,2.58435291
-4.89544772,5.56797588,1.72414734,3.55121664,0.35486674,0.02194146,0.07379599,2.56491233
-4.88944472,5.54566998,1.72431455,3.53110746,0.35764501,0.02175648,0.07459419,2.54871495
-4.88344172,5.52465913,1.72450925,3.51261335,0.35954577,0.02159679,0.07516731,2.53478880
-4.87743872,5.50245535,1.72391643,3.49425159,0.36032088,0.02145144,0.07547786,2.52215877
-4.87143572,5.47673269,1.72183264,3.47457218,0.35976396,0.02131017,0.07549775,2.50987541
-4.86543272,5.44539391,1.71768080,3.45220069,0.35771403,0.02116365,0.07520952,2.49704441
-4.85942971,5.40663302,1.71102265,3.42588007,0.35405818,0.02100371,0.07460733,2.48285575
-4.85342671,5.35899133,1.70156867,3.39450990,0.34873289,0.02082351,0.07369750,2.46661176
-4.84742371,5.30140528,1.68918544,3.35718170,0.34172414,0.02061770,0.07249882,2.44775311
-4.84142071,5.23324428,1.67389981,3.31320914,0.33306607,0.02038256,0.07104240,2.42588188
-4.83541771,5.15433720,1.65590003,3.26215198,0.32283843,0.02011608,0.06937122,2.40078076
-4.82941471,5.06498654,1.63553351,3.20383284,0.31116268,0.01981802,0.06753934,2.37242775
-4.82341171,4.96596963,1.61330103,3.13834649,0.29819710,0.01948992,0.06561078,2.34100553
