energy_ev,total_up,Ga_p_up,Ga_d_up,Re_p_up,Re_d_up,S_s_up,S_p_up
-6.00000000,0.01023052,0.00029078,0.00000000,0.00646438,0.00311850,0.00006339,0.00182225
-5.99399700,0.00786323,0.00022340,0.00000000,0.00496791,0.00239681,0.00004870,0.00140000
-5.98799400,0.00600033,0.00017040,0.00000000,0.00379046,0.00182891,0.00003715,0.00106786
-5.98199100,0.00454590,0.00012904,0.00000000,0.00287131,0.00138554,0.00002813,0.00080868
-5.97598799,0.00341928,0.00009702,0.00000000,0.00215943,0.00104212,0.00002115,0.00060800
-5.96998499,0.00255341,0.00007242,0.00000000,0.00161238,0.00077820,0.00001579,0.00045384
-5.96398199,0.00189311,0.00005367,0.00000000,0.00119527,0.00057694,0.00001170,0.00033634
-5.95797899,0.00139349,0.00003949,0.00000000,0.00087970,0.00042466,0.00000861,0.00024746
-5.95197599,0.00101836,0.00002885,0.00000000,0.00064280,0.00031033,0.00000629,0.00018077
-5.94597299,0.00073887,0.00002092,0.00000000,0.00046632,0.00022515,0.00000456,0.00013110
-5.93996998,0.00053224,0.00001506,0.00000000,0.00033587,0.00016218,0.00000328,0.00009440
-5.93396698,0.00038064,0.00001077,0.00000000,0.00024017,0.00011598,0.00000235,0.00006748
-5.92796398,0.00027027,0.00000764,0.00000000,0.00017051,0.00008235,0.00000167,0.00004789
-5.92196098,0.00019052,0.00000538,0.00000000,0.00012018,0.00005805,0.00000117,0.00003375
-5.91595798,0.00013334,0.00000377,0.00000000,0.00008410,0.00004062,0.00000082,0.00002361
-5.90995498,0.00009265,0.00000262,0.00000000,0.00005843,0.00002823,0.00000057,0.00001640
-5.90395198,0.00006392,0.00000180,0.00000000,0.00004030,0.00001947,0.00000039,0.00001131
-5.89794897,0.00004378,0.00000124,0.00000000,0.00002760,0.00001334,0.00000027,0.00000774
-5.89194597,0.00002977,0.00000084,0.00000000,0.00001877,0.00000907,0.00000018,0.00000526
-5.88594297,0.00002010,0.00000057,0.00000000,0.00001267,0.00000612,0.00000012,0.00000355
-5.87993997,0.00001347,0.00000038,0.00000000,0.00000849,0.00000410,0.00000008,0.00000238
