energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-2.70435218,1.89448349,1.17836005,0.28391327,0.02499548,0.16884793,0.89744133,0.63973986,0.46253430,0.00000000
-2.69834917,1.88469782,1.18238641,0.27899047,0.02531502,0.16710443,0.92416256,0.63571401,0.44160750,0.00000000
-2.69234617,1.87184839,1.18353283,0.27369454,0.02559390,0.16507844,0.94761524,0.63096450,0.42103455,0.00000000
-2.68634317,1.85552154,1.18154132,0.26802103,0.02581004,0.16279171,0.96724391,0.62524805,0.40091153,0.00000000
-2.68034017,1.83531874,1.17616858,0.26196436,0.02594344,0.16026430,0.98253907,0.61832995,0.38130663,0.00000000
-2.67433717,1.81088485,1.16720208,0.25552059,0.02597679,0.15751553,0.99305666,0.60999680,0.36226368,0.00000000
-2.66833417,1.78193588,1.15447632,0.24869039,0.02589604,0.15456530,0.99843614,0.60006837,0.34380673,0.00000000
-2.66233117,1.74828463,1.13788833,0.24148189,0.02569075,0.15143550,0.99841595,0.58840804,0.32594525,0.00000000
-2.65632816,1.70986274,1.11741142,0.23391327,0.02535431,0.14815153,0.99284594,0.57493124,0.30867975,0.00000000
-2.65032516,1.66673775,1.09310625,0.22601489,0.02488408,0.14474368,0.98169574,0.55961147,0.29200720,0.00000000
-2.64432216,1.61912425,1.06512846,0.21783078,0.02428133,0.14124823,0.96505892,0.54248364,0.27592618,0.00000000
-2.63831916,1.56738830,1.03373246,0.20941951,0.02355104,0.13770833,0.94315251,0.52364468,0.26044135,0.00000000
-2.63231616,1.51204498,0.99927074,0.20085417,0.02270160,0.13417435,0.91631197,0.50325129,0.24556703,0.00000000
-2.62631316,1.45374914,0.96218908,0.19222159,0.02174440,0.13070381,0.88498186,0.48151522,0.23132985,0.00000000
-2.62031016,1.39327968,0.92301738,0.18362089,0.02069332,0.12736079,0.84970256,0.45869621,0.21777027,0.00000000
-2.61430715,1.33151845,0.88235681,0.17516119,0.01956414,0.12421485,0.81109383,0.43509312,0.20494308,0.00000000
-2.60830415,1.26942453,0.84086376,0.16695885,0.01837400,0.12133955,0.76983580,0.41103368,0.19291687,0.00000000
-2.60230115,1.20800546,0.79923125,0.15913429,0.01714073,0.11881052,0.72664845,0.38686338,0.18177264,0.00000000
-2.59629815,1.14828651,0.75816881,0.15180840,0.01588231,0.11670335,0.68227038,0.36293410,0.17160164,0.00000000
-2.59029515,1.09127964,0.71838153,0.14509902,0.01461628,0.11509122,0.63743774,0.33959289,0.16250272,0.00000000
-2.58429215,1.03795341,0.68054923,0.13911731,0.01335927,0.11404264,0.59286431,0.31717154,0.15457917,0.00000000
-2.57828914,0.98920493,0.64530669,0.13396441,0.01212658,0.11361908,0.54922333,0.29597712,0.14793555,0.00000000
-2.57228614,0.94583517,0.61322547,0.12972841,0.01093185,0.11387294,0.50713175,0.27628394,0.14267431,0.00000000
-2.56628314,0.90852810,0.58479808,0.12648171,0.00978678,0.11484572,0.46713731,0.25832718,0.13889263,0.00000000
-2.56028014,0.87783459,0.56042509,0.12427899,0.00870106,0.11656655,0.42970881,0.24229822,0.13667951,0.00000000
-2.55427714,0.85416100,0.54040518,0.12315560,0.00768221,0.11905117,0.39522957,0.22834167,0.13611312,0.00000000
-2.54827414,0.83776287,0.52492878,0.12312668,0.00673567,0.12230129,0.36399416,0.21655426,0.13725852,0.00000000
-2.54227114,0.82874331,0.51407498,0.12418678,0.00586485,0.12630434,0.33620810,0.20698522,0.14016584,0.00000000
-2.53626813,0.82705585,0.50781178,0.12631001,0.00507128,0.13103377,0.31199032,0.19963814,0.14486882,0.00000000
-2.53026513,0.83251131,0.50599964,0.12945076,0.00435482,0.13644949,0.29137798,0.19447403,0.15138370,0.00000000
-2.52426213,0.84478802,0.50839776,0.13354488,0.00371388,0.14249883,0.27433320,0.19141535,0.15970851,0.00000000
-2.51825913,0.86344479,0.51467303,0.13851116,0.00314562,0.14911756,0.26075129,0.19035089,0.16982259,0.00000000
-2.51225613,0.88793599,0.52441114,0.14425330,0.00264625,0.15623121,0.25046987,0.19114099,0.18168646,0.00000000
-2.50625313,0.91762810,0.53712946,0.15066200,0.00221126,0.16375644,0.24327871,0.19362324,0.19524183,0.00000000
-2.50025013,0.95181717,0.55229120,0.15761736,0.00183563,0.17160243,0.23892964,0.19761817,0.21041186,0.00000000
-2.49424712,0.98974657,0.56932053,0.16499144,0.00151404,0.17967243,0.23714629,0.20293492,0.22710162,0.00000000
-2.48824412,1.03062475,0.58761814,0.17265086,0.00124110,0.18786509,0.23763343,0.20937667,0.24519868,0.00000000
-2.48224112,1.07364258,0.60657682,0.18045959,0.00101143,0.19607598,0.24008558,0.21674582,0.26457395,0.00000000
-2.47623812,1.11798987,0.62559673,0.18828165,0.00081986,0.20419895,0.24419483,0.22484867,0.28508276,0.00000000
-2.47023512,1.16287111,0.64409988,0.19598388,0.00066147,0.21212756,0.24965775,0.23349966,0.30656610,0.00000000
-2.46423212,1.20752003,0.66154363,0.20343864,0.00053172,0.21975649,0.25618123,0.24252509,0.32885225,0.00000000
-2.45822911,1.25121302,0.67743269,0.21052644,0.00042643,0.22698301,0.26348746,0.25176624,0.35175869,0.00000000
-2.45222611,1.29328114,0.69132967,0.21713837,0.00034187,0.23370857,0.27131786,0.26108186,0.37509425,0.00000000
-2.44622311,1.33312082,0.70286357,0.22317840,0.00027473,0.23984034,0.27943610,0.27035004,0.39866169,0.00000000
-2.44022011,1.37020297,0.71173639,0.22856541,0.00022212,0.24529295,0.28763032,0.27946948,0.42226054,0.00000000
-2.43421711,1.40408050,0.71772759,0.23323487,0.00018157,0.24999019,0.29571451,0.28835994,0.44569013,0.00000000
-2.42821411,1.43439400,0.72069630,0.23714021,0.00015099,0.25386682,0.30352918,0.29696221,0.46875288,0.00000000
-2.42221111,1.46087551,0.72058139,0.24025368,0.00012863,0.25687022,0.31094137,0.30523721,0.49125754,0.00000000
-2.41620810,1.48335029,0.71739942,0.24256679,0.00011308,0.25896205,0.31784413,0.31316457,0.51302251,0.00000000
-2.41020510,1.50173626,0.71124054,0.24409008,0.00010321,0.26011957,0.32415540,0.32074053,0.53387877,0.00000000
-2.40420210,1.51604121,0.70226259,0.24485252,0.00009814,0.26033683,0.32981649,0.32797522,0.55367267,0.00000000
-2.39819910,1.52635765,0.69068352,0.24490009,0.00009724,0.25962526,0.33479005,0.33488954,0.57226800,0.00000000
-2.39219610,1.53285525,0.67677245,0.24429401,0.00010005,0.25801400,0.33905778,0.34151158,0.58954764,0.00000000
-2.38619310,1.53577114,0.66083972,0.24310833,0.00010630,0.25554952,0.34261779,0.34787273,0.60541430,0.00000000
-2.38019010,1.53539814,0.64322605,0.24142704,0.00011587,0.25229473,0.34548172,0.35400377,0.61979061,0.00000000
-2.37418709,1.53207143,0.62429137,0.23934094,0.00012878,0.24832747,0.34767174,0.35993092,0.63261832,0.00000000
-2.36818409,1.52615383,0.60440352,0.23694415,0.00014515,0.24373839,0.34921742,0.36567216,0.64385676,0.00000000
-2.36218109,1.51802061,0.58392725,0.23433058,0.00016523,0.23862836,0.35015271,0.37123400,0.65348071,0.00000000
-2.35617809,1.50804412,0.56321373,0.23159045,0.00018938,0.23310537,0.35051296,0.37660874,0.66147761,0.00000000
-2.35017509,1.49657912,0.54259110,0.22880702,0.00021803,0.22728117,0.35033227,0.38177267,0.66784458,0.00000000
-2.34417209,1.48394946,0.52235605,0.22605367,0.00025174,0.22126768,0.34964111,0.38668504,0.67258532,0.00000000
-2.33816908,1.47043673,0.50276698,0.22339156,0.00029113,0.21517351,0.34846445,0.39128815,0.67570715,0.00000000
-2.33216608,1.45627164,0.48403869,0.22086784,0.00033694,0.20910053,0.34682043,0.39550846,0.67721846,0.00000000
-2.32616308,1.44162836,0.46633894,0.21851466,0.00039001,0.20314086,0.34471961,0.39925880,0.67712681,0.00000000
-2.32016008,1.42662246,0.44978680,0.21634898,0.00045126,0.19737436,0.34216493,0.40244163,0.67543787,0.00000000
-2.31415708,1.41131233,0.43445289,0.21437311,0.00052176,0.19186668,0.33915231,0.40495312,0.67215523,0.00000000
-2.30815408,1.39570425,0.42036150,0.21257610,0.00060265,0.18666814,0.33567189,0.40668810,0.66728134,0.00000000
-2.30215108,1.37976077,0.40749436,0.21093584,0.00069523,0.18181330,0.33170996,0.40754540,0.66081939,0.00000000
-2.29614807,1.36341189,0.39579592,0.20942173,0.00080093,0.17732136,0.32725127,0.40743352,0.65277611,0.00000000
-2.29014507,1.34656862,0.38517993,0.20799783,0.00092130,0.17319729,0.32228185,0.40627626,0.64316536,0.00000000
