energy_ev,total_up,C_s_up,C_p_up,Mo_p_up,Mo_d_up,Na_s_up,Se_s_up,Se_p_up
-6.00000000,3.57783912,0.00271005,0.95400295,3.66860421,1.96270886,0.06447520,0.05788239,0.82413235
-5.99399700,3.58068153,0.00295311,0.94660591,3.69797232,1.94063377,0.06749901,0.05937641,0.83864333
-5.98799400,3.58263187,0.00322313,0.93858512,3.73009856,1.91385165,0.07084912,0.06099769,0.85427543
-5.98199100,3.58355160,0.00351959,0.92993872,3.76488909,1.88243634,0.07449351,0.06273892,0.87093658
-5.97598799,3.58328263,0.00384143,0.92066643,3.80214273,1.84652182,0.07839088,0.06458988,0.88850752
-5.96998499,3.58166503,0.00418706,0.91077434,3.84156729,1.80630952,0.08249111,0.06653791,0.90684616
-5.96398199,3.57855539,0.00455440,0.90027927,3.88280031,1.76207332,0.08673599,0.06856843,0.92579328
-5.95797899,3.57384522,0.00494093,0.88921271,3.92543384,1.71416175,0.09106020,0.07066570,0.94517942
-5.95197599,3.56747889,0.00534376,0.87762414,3.96904249,1.66299719,0.09539267,0.07281352,0.96483274
-5.94597299,3.55947051,0.00575972,0.86558358,4.01321380,1.60907218,0.09965816,0.07499616,0.98458779
-5.93996998,3.54991918,0.00618556,0.85318336,4.05757967,1.55294278,0.10377910,0.07719928,1.00429476
-5.93396698,3.53902226,0.00661798,0.84053911,4.10184771,1.49521949,0.10767762,0.07941082,1.02382880
-5.92796398,3.52708564,0.00705386,0.82778975,4.14583053,1.43655611,0.11127773,0.08162194,1.04309912
-5.92196098,3.51453071,0.00749035,0.81509671,4.18947148,1.37763694,0.11450759,0.08382780,1.06205708
-5.91595798,3.50189701,0.00792502,0.80264217,4.23286470,1.31916292,0.11730165,0.08602826,1.08070295
-5.90995498,3.48983996,0.00835593,0.79062632,4.27626779,1.26183731,0.11960281,0.08822834,1.09909059
-5.90395198,3.47912287,0.00878175,0.77926368,4.32010524,1.20635116,0.12136421,0.09043842,1.11732962
-5.89794897,3.47060262,0.00920179,0.76877838,4.36496119,1.15336924,0.12255084,0.09267423,1.13558447
-5.89194597,3.46520859,0.00961596,0.75939847,4.41156050,1.10351658,0.12314066,0.09495641,1.15407015
-5.88594297,3.46391480,0.01002476,0.75134921,4.46073773,1.05736593,0.12312533,0.09730977,1.17304429
-5.87993997,3.46770533,0.01042918,0.74484553,4.51339435,1.01542635,0.12251038,0.09976225,1.19279576
-5.87393697,3.47753382,0.01083056,0.74008371,4.57044517,0.97813300,0.12131492,0.10234347,1.21362982
-5.86793397,3.49427816,0.01123042,0.73723260,4.63275596,0.94583826,0.11957074,0.10508309,1.23585044
-5.86193097,3.51869195,0.01163026,0.73642457,4.70107496,0.91880421,0.11732108,0.10800887,1.25974046
-5.85592796,3.55135495,0.01203136,0.73774668,4.77596171,0.89719662,0.11461881,0.11114468,1.28554052
-5.84992496,3.59262480,0.01243455,0.74123240,4.85771717,0.88108043,0.11152442,0.11450841,1.31342774
-5.84392196,3.64259279,0.01284001,0.74685440,4.94631933,0.87041701,0.10810370,0.11811003,1.34349556
-5.83791896,3.70104659,0.01324709,0.75451893,5.04136892,0.86506321,0.10442533,0.12194985,1.37573579
-5.83191596,3.76744248,0.01365416,0.76406220,5.14204906,0.86477250,0.10055849,0.12601698,1.41002423
-5.82591296,3.84088970,0.01405855,0.77524919,5.24710289,0.86919830,0.09657059,0.13028840,1.44611092
-5.81990995,3.92014889,0.01445647,0.78777526,5.35483174,0.87789971,0.09252519,0.13472840,1.48361593
-5.81390695,4.00364596,0.01484309,0.80127072,5.46311588,0.89034977,0.08848030,0.13928866,1.52203140
-5.80790395,4.08950213,0.01521264,0.81530844,5.56945836,0.90594623,0.08448703,0.14390893,1.56073008
-5.80190095,4.17557977,0.01555858,0.82941444,5.67105139,0.92402487,0.08058876,0.14851836,1.59898055
-5.79589795,4.25954300,0.01587382,0.84308106,5.76486310,0.94387513,0.07682063,0.15303735,1.63596843
-5.78989495,4.33893101,0.01615107,0.85578248,5.84774145,0.96475776,0.07320964,0.15738008,1.67082318
-5.78389195,4.41124120,0.01638310,0.86699172,5.91653078,0.98592400,0.06977505,0.16145727,1.70264913
-5.77788894,4.47401880,0.01656316,0.87619877,5.96819577,1.00663588,0.06652924,0.16517945,1.73055953
-5.77188594,4.52494869,0.01668530,0.88292864,5.99994677,1.02618677,0.06347881,0.16846028,1.75371197
-5.76588294,4.56194552,0.01674477,0.88675888,6.00936055,1.04392149,0.06062586,0.17121991,1.77134358
