energy_ev,total_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Ta_p_up,Ta_d_up
-6.00000000,1.09404450,0.00492435,0.00075563,0.00599189,0.57280061,0.41506285,0.33360401
-5.99399700,1.12952847,0.00513458,0.00080159,0.00605695,0.58974409,0.42686017,0.34754417
-5.98799400,1.15921513,0.00532063,0.00084865,0.00608289,0.60353840,0.43638103,0.35993008
-5.98199100,1.18271433,0.00548031,0.00089787,0.00606936,0.61399476,0.44352173,0.37060588
-5.97598799,1.19976878,0.00561211,0.00095078,0.00601686,0.62099399,0.44823593,0.37945391
-5.96998499,1.21026437,0.00571530,0.00100960,0.00592669,0.62449107,0.45053788,0.38639912
-5.96398199,1.21423568,0.00578996,0.00107729,0.00580094,0.62451731,0.45050369,0.39141216
-5.95797899,1.21186661,0.00583701,0.00115781,0.00564242,0.62117995,0.44827052,0.39451071
-5.95197599,1.20348583,0.00585814,0.00125627,0.00545463,0.61465920,0.44403378,0.39575917
-5.94597299,1.18955729,0.00585581,0.00137923,0.00524162,0.60520283,0.43804237,0.39526656
-5.93996998,1.17066624,0.00583309,0.00153495,0.00500795,0.59311861,0.43059234,0.39318272
-5.93396698,1.14750138,0.00579358,0.00173377,0.00475854,0.57876477,0.42201907,0.38969306
-5.92796398,1.12083384,0.00574124,0.00198848,0.00449859,0.56253907,0.41268861,0.38501186
-5.92196098,1.09149413,0.00568022,0.00231476,0.00423350,0.54486693,0.40298844,0.37937478
-5.91595798,1.06034798,0.00561469,0.00273172,0.00396874,0.52618900,0.39331819,0.37303055
-5.90995498,1.02827227,0.00554866,0.00326240,0.00370982,0.50694903,0.38408079,0.36623252
-5.90395198,0.99613208,0.00548579,0.00393439,0.00346217,0.48758216,0.37567447,0.35923030
-5.89794897,0.96475992,0.00542924,0.00478039,0.00323119,0.46850449,0.36848607,0.35226198
-5.89194597,0.93493790,0.00538154,0.00583885,0.00302213,0.45010409,0.36288580,0.34554722
-5.88594297,0.90738368,0.00534449,0.00715452,0.00284015,0.43273387,0.35922386,0.33928157
-5.87993997,0.88274049,0.00531906,0.00877895,0.00269033,0.41670655,0.35782876,0.33363227
-5.87393697,0.86157159,0.00530539,0.01077085,0.00257766,0.40229173,0.35900746,0.32873559
-5.86793397,0.84435892,0.00530278,0.01319637,0.00250708,0.38971513,0.36304706,0.32469595
-5.86193097,0.83150585,0.00530974,0.01612904,0.00248356,0.37915981,0.37021771,0.32158661
-5.85592796,0.82334321,0.00532406,0.01964948,0.00251206,0.37076909,0.38077629,0.31945190
-5.84992496,0.82013809,0.00534296,0.02384484,0.00259764,0.36465086,0.39497046,0.31831080
-5.84392196,0.82210428,0.00536319,0.02880771,0.00274536,0.36088288,0.41304226,0.31816153
-5.83791896,0.82941336,0.00538122,0.03463467,0.00296037,0.35951847,0.43523087,0.31898677
-5.83191596,0.84220543,0.00539341,0.04142437,0.00324779,0.36059228,0.46177387,0.32075929
-5.82591296,0.86059836,0.00539615,0.04927504,0.00361270,0.36412556,0.49290644,0.32344738
-5.81990995,0.88469460,0.00538606,0.05828159,0.00405996,0.37013040,0.52885810,0.32701988
-5.81390695,0.91458487,0.00536015,0.06853218,0.00459414,0.37861286,0.56984671,0.33145036
-5.80790395,0.95034799,0.00531591,0.08010440,0.00521929,0.38957437,0.61606970,0.33672019
-5.80190095,0.99204682,0.00525146,0.09306118,0.00593879,0.40301149,0.66769254,0.34282034
-5.79589795,1.03972005,0.00516560,0.10744647,0.00675505,0.41891390,0.72483480,0.34975167
-5.78989495,1.09337037,0.00505783,0.12328088,0.00766935,0.43726072,0.78755433,0.35752384
-5.78389195,1.15294961,0.00492842,0.14055751,0.00868153,0.45801538,0.85583039,0.36615278
-5.77788894,1.21834164,0.00477832,0.15923810,0.00978978,0.48111947,0.92954641,0.37565697
-5.77188594,1.28934433,0.00460911,0.17924975,0.01099042,0.50648581,1.00847368,0.38605280
-5.76588294,1.36565172,0.00442297,0.20048242,0.01227768,0.53399153,1.09225682,0.39734925
-5.75987994,1.44683795,0.00422252,0.22278744,0.01364360,0.56347146,1.18040235,0.40954237
-5.75387694,1.53234405,0.00401070,0.24597712,0.01507795,0.59471251,1.27227119,0.42260989
-5.74787394,1.62146913,0.00379071,0.26982578,0.01656816,0.62744959,1.36707623,0.43650628
-5.74187094,1.71336694,0.00356580,0.29407204,0.01809946,0.66136343,1.46388550,0.45115884
-5.73586793,1.80704857,0.00333921,0.31842273,0.01965501,0.69608084,1.56163146,0.46646484
-5.72986493,1.90139199,0.00311402,0.34255808,0.02121611,0.73117737,1.65912663,0.48229019
-5.72386193,1.99515838,0.00289306,0.36613833,0.02276256,0.76618283,1.75508527,0.49846966
-5.71785893,2.08701507,0.00267884,0.38881147,0.02427306,0.80058932,1.84815074,0.51480872
-5.71185593,2.17556458,0.00247349,0.41022191,0.02572565,0.83386171,1.93692762,0.53108707
-5.70585293,2.25937854,0.00227870,0.43001981,0.02709825,0.86545019,2.02001755,0.54706357
-5.69984992,2.33703548,0.00209574,0.44787069,0.02836925,0.89480448,2.09605736,0.56248251
-5.69384692,2.40716073,0.00192541,0.46346497,0.02951802,0.92138895,2.16375807,0.57708085
-5.68784392,2.46846688,0.00176813,0.47652713,0.03052551,0.94469827,2.22194315,0.59059614
-5.68184092,2.51979299,0.00162391,0.48682398,0.03137481,0.96427265,2.26958429,0.60277482
-5.67583792,2.56014092,0.00149244,0.49417175,0.03205159,0.97971218,2.30583336,0.61338036
-5.66983492,2.58870709,0.00137313,0.49844181,0.03254455,0.99068957,2.33004905,0.62220114
-5.66383192,2.60490838,0.00126516,0.49956459,0.03284574,0.99696070,2.34181712,0.62905745
-5.65782891,2.60840100,0.00116759,0.49753161,0.03295078,0.99837257,2.34096340,0.63380760
-5.65182591,2.59909162,0.00107933,0.49239563,0.03285898,0.99486831,2.32755903,0.63635267
-5.64582291,2.57714031,0.00099931,0.48426875,0.03257338,0.98648901,2.30191776,0.63663986
-5.63981991,2.54295516,0.00092643,0.47331869,0.03210055,0.97337237,2.26458557,0.63466423
-5.63381691,2.49717909,0.00085965,0.45976337,0.03145047,0.95574817,2.21632301,0.63046892
-5.62781391,2.44066923,0.00079804,0.44386400,0.03063615,0.93393091,2.15808117,0.62414360
-5.62181091,2.37446993,0.00074074,0.42591708,0.02967321,0.90830982,2.09097223,0.61582158
-5.61580790,2.29978061,0.00068704,0.40624545,0.02857947,0.87933675,2.01623588,0.60567529
-5.60980490,2.21791950,0.00063635,0.38518906,0.02737438,0.84751242,1.93520300,0.59391069
-5.60380190,2.13028501,0.00058821,0.36309550,0.02607848,0.81337154,1.84925788,0.58076048
-5.59779890,2.03831590,0.00054229,0.34031088,0.02471286,0.77746749,1.75980037,0.56647662
-5.59179590,1.94345179,0.00049836,0.31717124,0.02329858,0.74035690,1.66820943,0.55132219
-5.58579290,1.84709537,0.00045628,0.29399481,0.02185621,0.70258496,1.57580905,0.53556306
-5.57978989,1.75057743,0.00041599,0.27107544,0.02040532,0.66467160,1.48383769,0.51945956
-5.57378689,1.65512583,0.00037751,0.24867713,0.01896408,0.62709933,1.39342202,0.50325843
-5.56778389,1.56183922,0.00034088,0.22702998,0.01754895,0.59030274,1.30555567,0.48718543
-5.56178089,1.47166620,0.00030616,0.20632755,0.01617439,0.55466016,1.22108320,0.47143876
-5.55577789,1.38539028,0.00027344,0.18672544,0.01485272,0.52048759,1.14068977,0.45618361
-5.54977489,1.30362092,0.00024278,0.16834129,0.01359396,0.48803487,1.06489626,0.44154807
-5.54377189,1.22679055,0.00021425,0.15125582,0.01240588,0.45748433,0.99405972,0.42762043
-5.53776888,1.15515750,0.00018790,0.13551493,0.01129398,0.42895155,0.92837891,0.41444816
-5.53176588,1.08881422,0.00016374,0.12113259,0.01026164,0.40248828,0.86790415,0.40203840
-5.52576288,1.02770042,0.00014176,0.10809441,0.00931026,0.37808722,0.81255114,0.39036016
-5.51975988,0.97162029,0.00012192,0.09636156,0.00843945,0.35568835,0.76211788,0.37934792
-5.51375688,0.92026302,0.00010416,0.08587506,0.00764729,0.33518659,0.71630389,0.36890659
-5.50775388,0.87322570,0.00008840,0.07656006,0.00693059,0.31644026,0.67473100,0.35891763
-5.50175088,0.83003758,0.00007453,0.06833007,0.00628509,0.29928021,0.63696486,0.34924588
-5.49574787,0.79018481,0.00006242,0.06109095,0.00570579,0.28351901,0.60253637,0.33974700
-5.48974487,0.75313466,0.00005196,0.05474466,0.00518717,0.26896005,0.57096224,0.33027497
-5.48374187,0.71835839,0.00004301,0.04919250,0.00472342,0.25540606,0.54176415,0.32068952
