energy_ev,total_up,C_s_up,C_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
-1.79189595,3.44340398,0.02054599,0.66006918,0.44269203,0.34051269,0.04024646,1.82021012,1.74999412,0.82179151
-1.78589295,3.44395268,0.02132555,0.67925318,0.44002910,0.33707909,0.03917970,1.79711367,1.78878237,0.82744239
-1.77988994,3.45387130,0.02217805,0.69908217,0.43902194,0.33448350,0.03823666,1.77960461,1.83010636,0.83565932
-1.77388694,3.47254561,0.02308946,0.71934048,0.43956015,0.33267019,0.03740779,1.76745957,1.87346333,0.84633770
-1.76788394,3.49923426,0.02404486,0.73982902,0.44150428,0.33157075,0.03668086,1.76035436,1.91835384,0.85934236
-1.76188094,3.53308770,0.02502866,0.76036744,0.44468967,0.33110696,0.03604154,1.75787633,1.96428823,0.87450938
-1.75587794,3.57316793,0.02602485,0.78079531,0.44893082,0.33119358,0.03547409,1.75953818,2.01079193,0.89164800
-1.74987494,3.61846892,0.02701720,0.80097264,0.45402617,0.33174106,0.03496202,1.76479287,2.05740966,0.91054281
-1.74387194,3.66793722,0.02798954,0.82077970,0.45976332,0.33265811,0.03448879,1.77304911,2.10370891,0.93095632
-1.73786893,3.72049292,0.02892596,0.84011656,0.46592436,0.33385400,0.03403844,1.78368713,2.14928309,0.95263199
-1.73186593,3.77505081,0.02981111,0.85890242,0.47229128,0.33524074,0.03359621,1.79607438,2.19375474,0.97529784
-1.72586293,3.83054179,0.03063041,0.87707503,0.47865136,0.33673490,0.03314902,1.80958094,2.23677924,0.99867078
-1.71985993,3.88593448,0.03137035,0.89459047,0.48480236,0.33825937,0.03268595,1.82359429,2.27804932,1.02246164
-1.71385693,3.94025693,0.03201870,0.91142324,0.49055742,0.33974481,0.03219846,1.83753336,2.31730071,1.04638089
-1.70785393,3.99261818,0.03256480,0.92756700,0.49574960,0.34113097,0.03168066,1.85086154,2.35431880,1.07014488
-1.70185093,4.04222918,0.03299977,0.94303573,0.50023579,0.34236779,0.03112939,1.86309843,2.38894631,1.09348257
-1.69584792,4.08842245,0.03331672,0.95786534,0.50390014,0.34341636,0.03054416,1.87383004,2.42109154,1.11614230
-1.68984492,4.13066978,0.03351097,0.97211545,0.50665667,0.34424959,0.02992706,1.88271722,2.45073673,1.13789843
-1.68384192,4.16859688,0.03358015,0.98587127,0.50845103,0.34485264,0.02928254,1.88950195,2.47794566,1.15855736
-1.67783892,4.20199421,0.03352434,0.99924501,0.50926147,0.34522309,0.02861713,1.89401135,2.50286994,1.17796273
-1.67183592,4.23082285,0.03334608,1.01237668,0.50909873,0.34537064,0.02793910,1.89615904,2.52575275,1.19599924
-1.66583292,4.25521460,0.03305034,1.02543382,0.50800504,0.34531650,0.02725805,1.89594369,2.54692950,1.21259493
-1.65982991,4.27546565,0.03264445,1.03860989,0.50605210,0.34509226,0.02658450,1.89344480,2.56682438,1.22772159
-1.65382691,4.29202337,0.03213794,1.05212095,0.50333811,0.34473834,0.02592943,1.88881559,2.58594242,1.24139318
-1.64782391,4.30546620,0.03154224,1.06620061,0.49998400,0.34430194,0.02530389,1.88227316,2.60485651,1.25366221
-1.64182091,4.31647692,0.03087049,1.08109302,0.49612880,0.34383460,0.02471850,1.87408636,2.62418946,1.26461419
-1.63581791,4.32581009,0.03013709,1.09704400,0.49192458,0.34338939,0.02418306,1.86456167,2.64459131,1.27436039
-1.62981491,4.33425486,0.02935735,1.11429058,0.48753089,0.34301789,0.02370619,1.85402771,2.66671257,1.28302911
-1.62381191,4.34259463,0.02854703,1.13304916,0.48310901,0.34276704,0.02329497,1.84281909,2.69117425,1.29075614
-1.61780890,4.35156545,0.02772195,1.15350292,0.47881637,0.34267608,0.02295468,1.83126037,2.71853609,1.29767470
-1.61180590,4.36181523,0.02689748,1.17578886,0.47480107,0.34277369,0.02268852,1.81965084,2.74926437,1.30390556
-1.60580290,4.37386589,0.02608818,1.19998534,0.47119706,0.34307559,0.02249754,1.80825105,2.78370109,1.30954790
-1.59979990,4.38808066,0.02530740,1.22610072,0.46811995,0.34358268,0.02238045,1.79727171,2.82203612,1.31467149
-1.59379690,4.40463830,0.02456695,1.25406380,0.46566372,0.34427991,0.02233370,1.78686553,2.86428427,1.31931059
-1.58779390,4.42351602,0.02387686,1.28371688,0.46389843,0.34513601,0.02235149,1.77712261,2.91026853,1.32346016
-1.58179090,4.44448222,0.02324522,1.31481181,0.46286897,0.34610412,0.02242594,1.76806935,2.95961103,1.32707446
-1.57578789,4.46709971,0.02267807,1.34700975,0.46259494,0.34712327,0.02254733,1.75967121,3.01173252,1.33006835
-1.56978489,4.49073950,0.02217942,1.37988465,0.46307156,0.34812077,0.02270432,1.75183881,3.06586088,1.33232108
-1.56378189,4.51460459,0.02175133,1.41293080,0.46427141,0.34901540,0.02288439,1.74443717,3.12104878,1.33368261
-1.55777889,4.53776255,0.02139406,1.44557409,0.46614713,0.34972107,0.02307415,1.73729729,3.17619978,1.33398187
-1.55177589,4.55918535,0.02110631,1.47718682,0.46863447,0.35015105,0.02325985,1.73022933,3.23010217,1.33303663
-1.54577289,4.57779403,0.02088551,1.50710536,0.47165587,0.35022221,0.02342775,1.72303651,3.28146877,1.33066441
-1.53976988,4.59250602,0.02072809,1.53465006,0.47512406,0.34985930,0.02356462,1.71552870,3.32898112,1.32669361
-1.53376688,4.60228218,0.02062985,1.55914644,0.47894552,0.34899886,0.02365816,1.70753480,3.37133585,1.32097441
-1.52776388,4.60617119,0.02058620,1.57994671,0.48302370,0.34759251,0.02369738,1.69891309,3.40729093,1.31338848
-1.52176088,4.60334868,0.02059254,1.59645071,0.48726157,0.34560950,0.02367296,1.68955872,3.43570961,1.30385716
-1.51575788,4.59314898,0.02064440,1.60812520,0.49156374,0.34303839,0.02357750,1.67940801,3.45559995,1.29234746
-1.50975488,4.57508800,0.02073771,1.61452070,0.49583769,0.33988753,0.02340576,1.66843914,3.46614787,1.27887543
-1.50375188,4.54887600,0.02086886,1.61528515,0.49999436,0.33618464,0.02315475,1.65666921,3.46674251,1.26350691
-1.49774887,4.51441995,0.02103479,1.61017377,0.50394815,0.33197515,0.02282376,1.64414806,3.45699259,1.24635542
-1.49174587,4.47181580,0.02123291,1.59905492,0.50761623,0.32731974,0.02241429,1.63094920,3.43673342,1.22757734
-1.48574287,4.42133140,0.02146108,1.58191169,0.51091759,0.32229095,0.02192996,1.61715853,3.40602458,1.20736492
-1.47973987,4.36338175,0.02171742,1.55883955,0.51377181,0.31696926,0.02137625,1.60286185,3.36513874,1.18593722
-1.47373687,4.29849826,0.02200011,1.53004020,0.51609791,0.31143870,0.02076024,1.58813197,3.31454272,1.16352985
-1.46773387,4.22729451,0.02230721,1.49581227,0.51781334,0.30578245,0.02009030,1.57301648,3.25487213,1.14038404
-1.46173087,4.15043069,0.02263643,1.45653945,0.51883345,0.30007853,0.01937574,1.55752707,3.18690145,1.11673567
-1.45572786,4.06857910,0.02298489,1.41267685,0.51907143,0.29439586,0.01862648,1.54163137,3.11151109,1.09280499
-1.44972486,3.98239305,0.02334898,1.36473625,0.51843905,0.28879102,0.01785266,1.52524778,3.02965368,1.06878771
-1.44372186,3.89248080,0.02372419,1.31327112,0.51684795,0.28330570,0.01706430,1.50824399,2.94232108,1.04484774
-1.43771886,3.79938607,0.02410505,1.25886203,0.51421181,0.27796516,0.01627107,1.49043922,2.85051391,1.02111223
-1.43171586,3.70357607,0.02448511,1.20210294,0.51044901,0.27277766,0.01548195,1.47161033,2.75521478,0.99766895
