energy_ev,total_up,total_down,N_s_up,N_s_down,N_p_up,N_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,2.05003677,-2.03098821,0.04811185,-0.04777332,0.58685302,-0.58134443,0.35980120,-0.35667121,0.54440820,-0.53950827,0.01361853,-0.01344882,0.31304144,-0.30989095
-5.99399700,2.12510452,-2.10598638,0.04954165,-0.04921650,0.60763135,-0.60204208,0.37363735,-0.37044576,0.56313214,-0.55826554,0.01436099,-0.01418461,0.32611576,-0.32301473
-5.98799400,2.20010763,-2.18138931,0.05090558,-0.05060267,0.62861436,-0.62307437,0.38777978,-0.38460728,0.58156322,-0.57684325,0.01512663,-0.01494811,0.33894163,-0.33596782
-5.98199100,2.27303738,-2.25519060,0.05216747,-0.05189581,0.64922450,-0.64386463,0.40186750,-0.39879440,0.59921193,-0.59475309,0.01589373,-0.01571763,0.35121177,-0.34844316
-5.97598799,2.34191364,-2.32540018,0.05329085,-0.05305931,0.66889316,-0.66384190,0.41554757,-0.41265190,0.61559253,-0.61150741,0.01664075,-0.01647160,0.36262284,-0.36013539
-5.96998499,2.40483536,-2.39009433,0.05424011,-0.05405715,0.68707441,-0.68245453,0.42848294,-0.42583850,0.63023640,-0.62663241,0.01734685,-0.01718903,0.37288395,-0.37074938
-5.96398199,2.46003171,-2.44746690,0.05498173,-0.05485509,0.70325900,-0.69918417,0.44036035,-0.43803479,0.64270560,-0.63968169,0.01799233,-0.01784994,0.38172529,-0.38000883
-5.95797899,2.50591178,-2.49587961,0.05548545,-0.05542186,0.71698798,-0.71355951,0.45089801,-0.44895101,0.65260624,-0.65024982,0.01855909,-0.01843587,0.38890634,-0.38766461
-5.95197599,2.54111028,-2.53390900,0.05572538,-0.05573034,0.72786530,-0.72516920,0.45985249,-0.45833415,0.65960085,-0.65798494,0.01903110,-0.01893034,0.39422339,-0.39350261
-5.94597299,2.56452707,-2.56038770,0.05568103,-0.05575857,0.73556871,-0.73367319,0.46702467,-0.46597415,0.66341924,-0.66260004,0.01939477,-0.01931919,0.39751598,-0.39735040
-5.93996998,2.57535857,-2.57443799,0.05533808,-0.05549061,0.73985849,-0.73881205,0.47226428,-0.47170885,0.66386719,-0.66388231,0.01963932,-0.01959100,0.39867187,-0.39908269
-5.93396698,2.57311911,-2.57549575,0.05468904,-0.05491721,0.74058345,-0.74041359,0.47547287,-0.47542727,0.66083263,-0.66169983,0.01975697,-0.01973734,0.39763033,-0.39862506
-5.92796398,2.55765128,-2.56332357,0.05373349,-0.05403623,0.73768389,-0.73839659,0.47660493,-0.47707126,0.65428885,-0.65600561,0.01974319,-0.01975295,0.39438367,-0.39595594
-5.92196098,2.52912454,-2.53801223,0.05247825,-0.05285273,0.73119129,-0.73277126,0.47566722,-0.47663522,0.64429464,-0.64683838,0.01959671,-0.01963586,0.38897665,-0.39110660
-5.91595798,2.48802212,-2.49997039,0.05093712,-0.05137886,0.72122482,-0.72363648,0.47271620,-0.47416397,0.63099128,-0.63432035,0.01931950,-0.01938732,0.38150417,-0.38415926
-5.90995498,2.43511680,-2.44990301,0.04913043,-0.04963345,0.70798472,-0.71117389,0.46785378,-0.46974892,0.61459651,-0.61865185,0.01891661,-0.01901175,0.37210704,-0.37524334
-5.90395198,2.37143681,-2.38877947,0.04708433,-0.04764136,0.69174289,-0.69563917,0.46122155,-0.46352261,0.59539589,-0.60010331,0.01839597,-0.01851644,0.36096622,-0.36453008
-5.89794897,2.29822354,-2.31779312,0.04482988,-0.04543262,0.67283129,-0.67735082,0.45299386,-0.45565207,0.57373182,-0.57900470,0.01776799,-0.01791132,0.34829578,-0.35222578
-5.89194597,2.21688314,-2.23831417,0.04240201,-0.04304138,0.65162847,-0.65667717,0.44337002,-0.44633120,0.54999089,-0.55573331,0.01704523,-0.01720850,0.33433492,-0.33856403
