energy_ev,total_up,Nb_p_up,Nb_d_up,Sb_p_up,Sb_d_up,Te_p_up,Te_d_up
-6.00000000,4.05284888,2.93688297,2.14854160,0.84107069,0.02068972,2.27853431,0.00000000
-5.99399700,3.93573338,2.82406219,2.10468344,0.79673830,0.01997494,2.24267762,0.00000000
-5.98799400,3.81835273,2.70897346,2.06146294,0.75257511,0.01923770,2.20657542,0.00000000
-5.98199100,3.70206609,2.59296953,2.01939231,0.70891380,0.01848986,2.17085521,0.00000000
-5.97598799,3.58809469,2.47733942,1.97888956,0.66607262,0.01774288,2.13604705,0.00000000
-5.96998499,3.47750207,2.36328327,1.94027373,0.62435236,0.01700752,2.10257287,0.00000000
-5.96398199,3.37118178,2.25189209,1.90376480,0.58403355,0.01629361,2.07074146,0.00000000
-5.95797899,3.26985322,2.14413339,1.86948804,0.54537412,0.01560991,2.04074939,0.00000000
-5.95197599,3.17406586,2.04084305,1.83748292,0.50860783,0.01496399,2.01268772,0.00000000
-5.94597299,3.08421135,1.94272353,1.80771598,0.47394350,0.01436217,1.98655408,0.00000000
-5.93996998,3.00054299,1.85034810,1.78009714,0.44156515,0.01380954,1.96226930,0.00000000
-5.93396698,2.92320108,1.76417041,1.75449852,0.41163314,0.01331003,1.93969771,0.00000000
-5.92796398,2.85224274,1.68453855,1.73077480,0.38428614,0.01286654,1.91866970,0.00000000
-5.92196098,2.78767423,1.61171218,1.70878395,0.35964384,0.01248108,1.89900525,0.00000000
-5.91595798,2.72948360,1.54588164,1.68840717,0.33781022,0.01215496,1.88053712,0.00000000
-5.90995498,2.67767181,1.48718741,1.66956690,0.31887707,0.01188896,1.86313201,0.00000000
-5.90395198,2.63228012,1.43573864,1.65224177,0.30292753,0.01168353,1.84670872,0.00000000
-5.89794897,2.59341203,1.39162953,1.63647770,0.29003935,0.01153897,1.83125205,0.00000000
-5.89194597,2.56124836,1.35495235,1.62239434,0.28028752,0.01145557,1.81682161,0.00000000
-5.88594297,2.53605431,1.32580640,1.61018646,0.27374613,0.01143369,1.80355509,0.00000000
-5.87993997,2.51817811,1.30430235,1.60012012,0.27048917,0.01147388,1.79166565,0.00000000
-5.87393697,2.50804100,1.29056170,1.59252374,0.27059020,0.01157687,1.78143366,0.00000000
-5.86793397,2.50611912,1.28471142,1.58777448,0.27412078,0.01174358,1.77319319,0.00000000
-5.86193097,2.51291832,1.28687433,1.58628056,0.28114776,0.01197502,1.76731401,0.00000000
-5.85592796,2.52894295,1.29715565,1.58846047,0.29172949,0.01227221,1.76418004,0.00000000
