energy_ev,total_up,C_s_up,C_p_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,6.90079204,0.35800462,0.07632765,0.17413067,0.40491112,0.76659561,4.80954206
-5.99399700,6.84763903,0.35597434,0.07553287,0.17288053,0.40261039,0.76193253,4.77047289
-5.98799400,6.74858546,0.35153167,0.07422604,0.17046741,0.39760323,0.75211990,4.69952082
-5.98199100,6.60552440,0.34476629,0.07243372,0.16693747,0.38998879,0.73735515,4.59802084
-5.97598799,6.42124267,0.33581400,0.07019202,0.16235956,0.37991811,0.71793385,4.46793308
-5.96998499,6.19932039,0.32485212,0.06754542,0.15682286,0.36758890,0.69423967,4.31177078
-5.96398199,5.94400730,0.31209364,0.06454522,0.15043369,0.35323905,0.66673172,4.13251239
-5.95797899,5.66008143,0.29778027,0.06124795,0.14331205,0.33713890,0.63592959,3.93350171
-5.95197599,5.35269615,0.28217488,0.05771354,0.13558770,0.31958278,0.60239712,3.71834015
-5.94597299,5.02722216,0.26555341,0.05400355,0.12739620,0.30088016,0.56672522,3.49077591
-5.93996998,4.68909083,0.24819692,0.05017940,0.11887493,0.28134669,0.52951477,3.25459423
-5.93396698,4.34364499,0.23038379,0.04630074,0.11015928,0.26129563,0.49136013,3.01351337
-5.92796398,3.99600270,0.21238256,0.04242397,0.10137913,0.24102989,0.45283390,2.77108957
-5.92196098,3.65093826,0.19444556,0.03860100,0.09265587,0.22083501,0.41447345,2.53063457
-5.91595798,3.31278411,0.17680358,0.03487822,0.08409980,0.20097323,0.37676967,2.29514760
-5.90995498,2.98535577,0.15966166,0.03129581,0.07580818,0.18167891,0.34015816,2.06726363
-5.90395198,2.67190061,0.14319619,0.02788726,0.06786392,0.16315527,0.30501305,1.84921831
-5.89794897,2.37507058,0.12755308,0.02467921,0.06033479,0.14557249,0.27164344,1.64282955
-5.89194597,2.09691734,0.11284729,0.02169151,0.05327328,0.12906722,0.24029229,1.44949475
-5.88594297,1.83890786,0.09916334,0.01893751,0.04671690,0.11374317,0.21113771,1.27020216
