energy_ev,total_up,Ag_p_up,Ag_d_up,Al_p_up,Al_d_up,Te_p_up,Te_d_up
-6.00000000,1.46286210,0.87844730,0.99625765,0.14967736,0.00000000,0.16769147,0.00000000
-5.99399700,1.52203748,0.93286911,1.02874400,0.15520778,0.00000000,0.17870201,0.00000000
-5.98799400,1.58358349,0.98771128,1.06277585,0.16083492,0.00000000,0.19015005,0.00000000
-5.98199100,1.64694622,1.04247660,1.09795275,0.16644185,0.00000000,0.20204221,0.00000000
-5.97598799,1.71159608,1.09671502,1.13388178,0.17191339,0.00000000,0.21439315,0.00000000
-5.96998499,1.77705528,1.15004454,1.17019765,0.17714091,0.00000000,0.22722596,0.00000000
-5.96398199,1.84292189,1.20216946,1.20658078,0.18202680,0.00000000,0.24057201,0.00000000
-5.95797899,1.90888870,1.25289450,1.24277227,0.18648842,0.00000000,0.25446999,0.00000000
-5.95197599,1.97475573,1.30213396,1.27858480,0.19046124,0.00000000,0.26896405,0.00000000
-5.94597299,2.04043511,1.34991486,1.31390866,0.19390114,0.00000000,0.28410120,0.00000000
-5.93996998,2.10594802,1.39637375,1.34871255,0.19678563,0.00000000,0.29992784,0.00000000
-5.93396698,2.17141353,1.44174686,1.38303893,0.19911403,0.00000000,0.31648567,0.00000000
-5.92796398,2.23702975,1.48635394,1.41699415,0.20090657,0.00000000,0.33380698,0.00000000
-5.92196098,2.30304852,1.53057638,1.45073408,0.20220245,0.00000000,0.35190981,0.00000000
-5.91595798,2.36974490,1.57483079,1.48444584,0.20305704,0.00000000,0.37079301,0.00000000
-5.90995498,2.43738361,1.61953918,1.51832712,0.20353833,0.00000000,0.39043165,0.00000000
-5.90395198,2.50618440,1.66509780,1.55256421,0.20372288,0.00000000,0.41077312,0.00000000
-5.89794897,2.57628891,1.71184606,1.58731033,0.20369147,0.00000000,0.43173422,0.00000000
-5.89194597,2.64773111,1.76003778,1.62266566,0.20352477,0.00000000,0.45319943,0.00000000
-5.88594297,2.72041384,1.80981637,1.65866066,0.20329914,0.00000000,0.47502085,0.00000000
-5.87993997,2.79409285,1.86119581,1.69524362,0.20308300,0.00000000,0.49701965,0.00000000
-5.87393697,2.86837022,1.91404855,1.73227358,0.20293370,0.00000000,0.51898944,0.00000000
-5.86793397,2.94269745,1.96810152,1.76951920,0.20289533,0.00000000,0.54070124,0.00000000
-5.86193097,3.01638890,2.02294056,1.80666364,0.20299726,0.00000000,0.56191008,0.00000000
-5.85592796,3.08864458,2.07802328,1.84331545,0.20325379,0.00000000,0.58236299,0.00000000
-5.84992496,3.15858154,2.13269985,1.87902464,0.20366453,0.00000000,0.60180794,0.00000000
-5.84392196,3.22527182,2.18624053,1.91330318,0.20421572,0.00000000,0.62000333,0.00000000
-5.83791896,3.28778492,2.23786846,1.94564842,0.20488220,0.00000000,0.63672766,0.00000000
-5.83191596,3.34523200,2.28679588,1.97556819,0.20562990,0.00000000,0.65178868,0.00000000
-5.82591296,3.39680932,2.33226161,2.00260568,0.20641869,0.00000000,0.66503169,0.00000000
-5.81990995,3.44183800,2.37356752,2.02636275,0.20720534,0.00000000,0.67634630,0.00000000
-5.81390695,3.47979752,2.41011193,2.04652000,0.20794635,0.00000000,0.68567143,0.00000000
-5.80790395,3.51035100,2.44141778,2.06285228,0.20860057,0.00000000,0.69299806,0.00000000
-5.80190095,3.53336024,2.46715394,2.07523873,0.20913135,0.00000000,0.69836956,0.00000000
-5.79589795,3.54888974,2.48714835,2.08366650,0.20950811,0.00000000,0.70187949,0.00000000
-5.78989495,3.55719921,2.50139216,2.08822811,0.20970734,0.00000000,0.70366699,0.00000000
-5.78389195,3.55872485,2.51003467,2.08911240,0.20971287,0.00000000,0.70390975,0.00000000
-5.77788894,3.55405057,2.51336931,2.08658977,0.20951556,0.00000000,0.70281514,0.00000000
-5.77188594,3.54387069,2.51181164,2.08099254,0.20911239,0.00000000,0.70060965,0.00000000
-5.76588294,3.52894651,2.50587060,2.07269174,0.20850519,0.00000000,0.69752746,0.00000000
-5.75987994,3.51005907,2.49611485,2.06207178,0.20769889,0.00000000,0.69379843,0.00000000
-5.75387694,3.48796117,2.48313625,2.04950445,0.20669980,0.00000000,0.68963638,0.00000000
-5.74787394,3.46333137,2.46751264,2.03532411,0.20551376,0.00000000,0.68522813,0.00000000
-5.74187094,3.43673271,2.44977224,2.01980536,0.20414455,0.00000000,0.68072401,0.00000000
