energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,2.39261058,0.10356004,0.03641583,0.39507510,0.40979901,0.10424220,1.19513666,0.68193476,0.34101726
-5.99399700,2.42671427,0.10520589,0.03769192,0.40431601,0.41440104,0.10288741,1.21103199,0.70928274,0.33970200
-5.98799400,2.46570935,0.10731104,0.03896578,0.41486580,0.41976014,0.10159391,1.22960823,0.73802863,0.33957661
-5.98199100,2.50819838,0.10977452,0.04021095,0.42641658,0.42561005,0.10033440,1.25021899,0.76767777,0.34049284
-5.97598799,2.55269759,0.11248844,0.04140187,0.43864311,0.43167470,0.09907900,1.27216716,0.79771817,0.34227543
-5.96998499,2.59767754,0.11534117,0.04251468,0.45121166,0.43767605,0.09779661,1.29472332,0.82762980,0.34472808
-5.96398199,2.64160484,0.11822066,0.04352793,0.46378893,0.44334189,0.09645622,1.31714511,0.85689425,0.34764002
-5.95797899,2.68298377,0.12101756,0.04442325,0.47605103,0.44841324,0.09502821,1.33869681,0.88500435,0.35079285
-5.95197599,2.72039624,0.12362826,0.04518594,0.48769197,0.45265119,0.09348553,1.35866866,0.91147375,0.35396761
-5.94597299,2.75253907,0.12595764,0.04580542,0.49843165,0.45584301,0.09180476,1.37639521,0.93584617,0.35695157
-5.93996998,2.77825729,0.12792149,0.04627558,0.50802290,0.45780721,0.08996691,1.39127219,0.95770407,0.35954471
-5.93396698,2.79657265,0.12944848,0.04659493,0.51625747,0.45839757,0.08795812,1.40277146,0.97667670,0.36156568
-5.92796398,2.80670644,0.13048171,0.04676671,0.52297076,0.45750605,0.08577002,1.41045358,0.99244720,0.36285683
-5.92196098,2.80809615,0.13097976,0.04679867,0.52804500,0.45506441,0.08339994,1.41397766,1.00475872,0.36328852
-5.91595798,2.80040543,0.13091720,0.04670283,0.53141104,0.45104470,0.08085082,1.41310835,1.01341926,0.36276221
-5.90995498,2.78352739,0.13028459,0.04649501,0.53304835,0.44545850,0.07813105,1.40771959,1.01830529,0.36121255
-5.90395198,2.75758112,0.12908800,0.04619426,0.53298354,0.43835517,0.07525396,1.39779540,1.01936377,0.35860825
-5.89794897,2.72290173,0.12734804,0.04582212,0.53128729,0.42981902,0.07223733,1.38342743,1.01661270,0.35495184
-5.89194597,2.68002442,0.12509853,0.04540184,0.52806984,0.41996565,0.06910268,1.36480950,1.01014003,0.35027823
-5.88594297,2.62966307,0.12238476,0.04495744,0.52347525,0.40893759,0.06587456,1.34222947,1.00010086,0.34465237
-5.87993997,2.57268422,0.11926155,0.04451288,0.51767462,0.39689940,0.06257973,1.31605854,0.98671301,0.33816582
-5.87393697,2.51007739,0.11579107,0.04409104,0.51085861,0.38403227,0.05924641,1.28673845,0.97025102,0.33093273
-5.86793397,2.44292266,0.11204058,0.04371291,0.50322949,0.37052858,0.05590352,1.25476704,0.95103857,0.32308512
-5.86193097,2.37235677,0.10808016,0.04339674,0.49499308,0.35658629,0.05257993,1.22068264,0.92943975,0.31476780
-5.85592796,2.29953885,0.10398049,0.04315737,0.48635097,0.34240349,0.04930384,1.18504786,0.90584913,0.30613317
-5.84992496,2.22561690,0.09981074,0.04300561,0.47749326,0.32817326,0.04610222,1.14843328,0.88068116,0.29733599
-5.84392196,2.15169639,0.09563673,0.04294793,0.46859217,0.31407893,0.04300032,1.11140177,0.85435916,0.28852850
-5.83791896,2.07881176,0.09151931,0.04298615,0.45979677,0.30028993,0.04002127,1.07449383,0.82730417,0.27985597
-5.83191596,2.00790215,0.08751301,0.04311751,0.45122906,0.28695824,0.03718585,1.03821458,0.79992433,0.27145295
-5.82591296,1.93979182,0.08366505,0.04333483,0.44298149,0.27421568,0.03451225,1.00302286,0.77260487,0.26344029
-5.81990995,1.87517622,0.08001474,0.04362690,0.43511604,0.26217194,0.03201596,0.96932273,0.74569934,0.25592318
-5.81390695,1.81461375,0.07659312,0.04397904,0.42766483,0.25091353,0.02970980,0.93745773,0.71952231,0.24899011
-5.80790395,1.75852368,0.07342304,0.04437381,0.42063216,0.24050347,0.02760386,0.90770796,0.69434377,0.24271302
-5.80190095,1.70718987,0.07051948,0.04479190,0.41399790,0.23098191,0.02570567,0.88029011,0.67038549,0.23714837
-5.79589795,1.66077005,0.06789020,0.04521301,0.40772184,0.22236747,0.02402031,0.85536012,0.64781943,0.23233921
-5.78989495,1.61930985,0.06553655,0.04561685,0.40174895,0.21465924,0.02255054,0.83301848,0.62676814,0.22831818
-5.78389195,1.58276099,0.06345459,0.04598410,0.39601503,0.20783935,0.02129701,0.81331752,0.60730708,0.22511111
-5.77788894,1.55100238,0.06163619,0.04629732,0.39045260,0.20187601,0.02025843,0.79627043,0.58946868,0.22274117
-5.77188594,1.52386301,0.06007029,0.04654179,0.38499657,0.19672681,0.01943175,0.78186139,0.57324779,0.22123338
-5.76588294,1.50114560,0.05874419,0.04670619,0.37958951,0.19234212,0.01881232,0.77005620,0.55860825,0.22061902
-5.75987994,1.48264949,0.05764469,0.04678316,0.37418608,0.18866854,0.01839403,0.76081286,0.54549004,0.22094000
-5.75387694,1.46819190,0.05675921,0.04676962,0.36875668,0.18565210,0.01816946,0.75409145,0.53381686,0.22225267
-5.74787394,1.45762635,0.05607676,0.04666698,0.36328984,0.18324115,0.01812996,0.74986295,0.52350344,0.22463107
-5.74187094,1.45085745,0.05558865,0.04648106,0.35779355,0.18138885,0.01826578,0.74811631,0.51446237,0.22816924
-5.73586793,1.44785144,0.05528906,0.04622190,0.35229536,0.18005509,0.01856608,0.74886371,0.50661017,0.23298252
-5.72986493,1.44864203,0.05517528,0.04590332,0.34684137,0.17920783,0.01901906,0.75214353,0.49987221,0.23920767
-5.72386193,1.45333133,0.05524781,0.04554241,0.34149420,0.17882377,0.01961202,0.75802116,0.49418642,0.24700180
-5.71785893,1.46208616,0.05551008,0.04515888,0.33633019,0.17888846,0.02033140,0.76658753,0.48950566,0.25653990
-5.71185593,1.47512985,0.05596805,0.04477423,0.33143584,0.17939575,0.02116293,0.77795547,0.48579877,0.26801122
-5.70585293,1.49273006,0.05662954,0.04441103,0.32690402,0.18034667,0.02209172,0.79225426,0.48305034,0.28161434
-5.69984992,1.51518340,0.05750338,0.04409208,0.32282983,0.18174793,0.02310244,0.80962258,0.48125939,0.29755118
-5.69384692,1.54279751,0.05859845,0.04383957,0.31930664,0.18360995,0.02417945,0.83020016,0.48043706,0.31602002
-5.68784392,1.57587135,0.05992264,0.04367437,0.31642224,0.18594470,0.02530708,0.85411861,0.48060360,0.33720777
-5.68184092,1.61467470,0.06148173,0.04361534,0.31425544,0.18876339,0.02646981,0.88149176,0.48178483,0.36128163
-5.67583792,1.65942753,0.06327835,0.04367869,0.31287316,0.19207405,0.02765255,0.91240582,0.48400830,0.38838045
-5.66983492,1.71028005,0.06531095,0.04387749,0.31232801,0.19587933,0.02884089,0.94690978,0.48729933,0.41860601
-5.66383192,1.76729410,0.06757296,0.04422131,0.31265649,0.20017432,0.03002135,0.98500635,0.49167718,0.45201453
-5.65782891,1.83042657,0.07005201,0.04471584,0.31387780,0.20494478,0.03118162,1.02664361,0.49715131,0.48860865
-5.65182591,1.89951523,0.07272951,0.04536277,0.31599312,0.21016564,0.03231076,1.07170782,0.50371812,0.52833024
-5.64582291,1.97426760,0.07558029,0.04615963,0.31898536,0.21579993,0.03339935,1.12001733,0.51135793,0.57105426
-5.63981991,2.05425320,0.07857267,0.04709986,0.32281937,0.22179816,0.03443961,1.17131812,0.52003255,0.61658409
-5.63381691,2.13889950,0.08166865,0.04817284,0.32744246,0.22809822,0.03542542,1.22528095,0.52968330,0.66464841
-5.62781391,2.22749202,0.08482451,0.04936411,0.33278521,0.23462575,0.03635238,1.28150041,0.54022964,0.71490012
-5.62181091,2.31917875,0.08799155,0.05065564,0.33876257,0.24129503,0.03721769,1.33949611,0.55156840,0.76691741
-5.61580790,2.41297929,0.09111717,0.05202616,0.34527527,0.24801044,0.03802009,1.39871624,0.56357373,0.82020711
-5.60980490,2.50779871,0.09414612,0.05345162,0.35221139,0.25466832,0.03875973,1.45854356,0.57609772,0.87421061
-5.60380190,2.60244638,0.09702192,0.05490576,0.35944835,0.26115935,0.03943807,1.51830422,0.58897195,0.92831229
-5.59779890,2.69565976,0.09968843,0.05636064,0.36685519,0.26737133,0.04005773,1.57727934,0.60200989,0.98185051
-5.59179590,2.78613283,0.10209148,0.05778745,0.37429529,0.27319227,0.04062239,1.63471940,0.61501023,1.03413097
-5.58579290,2.87254899,0.10418052,0.05915719,0.38162941,0.27851380,0.04113680,1.68986145,0.62776125,1.08444234
-5.57978989,2.95361761,0.10591023,0.06044155,0.38871930,0.28323473,0.04160675,1.74194886,0.64004619,1.13207370
-5.57378689,3.02811368,0.10724203,0.06161379,0.39543160,0.28726467,0.04203919,1.79025318,0.65164951,1.17633347
-5.56778389,3.09491924,0.10814541,0.06264961,0.40164213,0.29052762,0.04244233,1.83409773,0.66236403,1.21656919
-5.56178089,3.15306535,0.10859907,0.06352807,0.40724048,0.29296537,0.04282591,1.87288200,0.67199871,1.25218760
-5.55577789,3.20177316,0.10859183,0.06423240,0.41213458,0.29454059,0.04320137,1.90610624,0.68038689,1.28267430
-5.54977489,3.24049229,0.10812318,0.06475079,0.41625532,0.29523944,0.04358224,1.93339502,0.68739456,1.30761213
-5.54377189,3.26893486,0.10720358,0.06507702,0.41956076,0.29507365,0.04398430,1.95451893,0.69292846,1.32669778
-5.53776888,3.28710331,0.10585442,0.06521095,0.42203985,0.29408183,0.04442589,1.96941310,0.69694356,1.33975551
-5.53176588,3.29531053,0.10410765,0.06515883,0.42371533,0.29233006,0.04492801,1.97819167,0.69944944,1.34674770
-5.52576288,3.29419065,0.10200504,0.06493342,0.42464567,0.28991155,0.04551444,1.98115704,0.70051532,1.34778138
-5.51975988,3.28469946,0.09959730,0.06455382,0.42492569,0.28694536,0.04621156,1.97880326,0.70027323,1.34311037
