energy_ev,total_up,C_s_up,C_p_up,Hf_p_up,Hf_d_up,Na_s_up,Te_p_up,Te_d_up
-6.00000000,4.72805049,0.01747892,0.63218190,1.65787207,1.45881426,0.29667614,2.34782506,0.00000000
-5.99399700,4.80896379,0.01734938,0.68275025,1.71914713,1.53063448,0.29904539,2.33223271,0.00000000
-5.98799400,4.88462368,0.01718772,0.73446141,1.77902872,1.60349317,0.30055570,2.31180806,0.00000000
-5.98199100,4.95499301,0.01699885,0.78688674,1.83710584,1.67690065,0.30126045,2.28715125,0.00000000
-5.97598799,5.02002977,0.01678761,0.83955917,1.89298002,1.75030022,0.30123129,2.25890137,0.00000000
-5.96998499,5.07967758,0.01655863,0.89197890,1.94627196,1.82307227,0.30055739,2.22772095,0.00000000
-5.96398199,5.13386117,0.01631623,0.94362062,1.99662852,1.89454175,0.29934448,2.19428222,0.00000000
-5.95797899,5.18248661,0.01606434,0.99394181,2.04372974,1.96398885,0.29771345,2.15925554,0.00000000
-5.95197599,5.22544573,0.01580649,1.04239228,2.08729536,2.03066268,0.29579868,2.12329967,0.00000000
-5.94597299,5.26262400,0.01554580,1.08842444,2.12709064,2.09379732,0.29374592,2.08705387,0.00000000
-5.93996998,5.29391080,0.01528504,1.13150417,2.16293088,2.15262996,0.29170978,2.05113120,0.00000000
-5.93396698,5.31921102,0.01502665,1.17112207,2.19468461,2.20642025,0.28985073,2.01611291,0.00000000
-5.92796398,5.33845685,0.01477289,1.20680457,2.22227504,2.25447031,0.28833167,1.98254326,0.00000000
-5.92196098,5.35161889,0.01452584,1.23812485,2.24567981,2.29614449,0.28731412,1.95092452,0.00000000
-5.91595798,5.35871537,0.01428755,1.26471301,2.26492889,2.33088838,0.28695401,1.92171179,0.00000000
-5.90995498,5.35981912,0.01406005,1.28626546,2.28010088,2.35824610,0.28739716,1.89530749,0.00000000
-5.90395198,5.35506154,0.01384540,1.30255293,2.29131782,2.37787543,0.28877465,1.87205539,0.00000000
-5.89794897,5.34463349,0.01364572,1.31342720,2.29873877,2.38956000,0.29119808,1.85223429,0.00000000
-5.89194597,5.32878301,0.01346320,1.31882601,2.30255254,2.39321836,0.29475502,1.83605161,0.00000000
-5.88594297,5.30781003,0.01330000,1.31877618,2.30296986,2.38890929,0.29950466,1.82363699,0.00000000
-5.87993997,5.28205846,0.01315824,1.31339466,2.30021547,2.37683326,0.30547410,1.81503657,0.00000000
-5.87393697,5.25190630,0.01303991,1.30288754,2.29452031,2.35732994,0.31265515,1.81020819,0.00000000
-5.86793397,5.21775409,0.01294679,1.28754680,2.28611439,2.33087173,0.32100220,1.80901811,0.00000000
-5.86193097,5.18001269,0.01288034,1.26774501,2.27522033,2.29805352,0.33043095,1.81123963,0.00000000
-5.85592796,5.13909077,0.01284161,1.24392777,2.26204799,2.25957879,0.34081845,1.81655415,0.00000000
