energy_ev,total_up,total_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,N_s_up,N_s_down,N_p_up,N_p_down,S_s_up,S_s_down,S_p_up,S_p_down,Zn_p_up,Zn_p_down,Zn_d_up,Zn_d_down
-6.00000000,2.26019189,-2.34350792,1.17534545,-0.88756780,0.81683826,-0.84188584,0.00025485,-0.00040021,0.77759349,-0.99171081,0.03677227,-0.03786167,0.27870824,-0.21835662,0.12486913,-0.10623009,0.10707081,-0.09949612
-5.99399700,2.30032323,-2.43981080,1.18960614,-0.93045333,0.82310998,-0.86896334,0.00025143,-0.00044029,0.78625488,-1.02921351,0.04138537,-0.04029140,0.28800885,-0.23040855,0.12544053,-0.11464433,0.11078954,-0.10332815
-5.98799400,2.34836886,-2.52681912,1.20542316,-0.96974859,0.83184912,-0.89202108,0.00025331,-0.00048274,0.79657577,-1.06213642,0.04633658,-0.04257592,0.29888472,-0.24214080,0.12700526,-0.12313024,0.11516433,-0.10687257
-5.98199100,2.40373603,-2.60313383,1.22269729,-1.00478890,0.84274697,-0.91059181,0.00026079,-0.00052753,0.80831752,-1.08985353,0.05160273,-0.04467416,0.31130179,-0.25344241,0.12958727,-0.13163572,0.12017278,-0.11009406
-5.97598799,2.46569995,-2.66755964,1.24130636,-1.03497090,0.85545777,-0.92430086,0.00027411,-0.00057462,0.82121625,-1.11183674,0.05715202,-0.04654711,0.32519674,-0.26421109,0.13320220,-0.14011379,0.12578085,-0.11296280
-5.96998499,2.53342087,-2.71914505,1.26110770,-1.05977213,0.86960889,-0.93287854,0.00029356,-0.00062397,0.83498935,-1.12767358,0.06294400,-0.04815911,0.34047852,-0.27435634,0.13785813,-0.14852443,0.13194304,-0.11545559
-5.96398199,2.60596175,-2.75721522,1.28193987,-1.07876893,0.88481040,-0.93616906,0.00031938,-0.00067552,0.84934141,-1.13708145,0.06892986,-0.04947902,0.35703066,-0.28380230,0.14355649,-0.15683630,0.13860298,-0.11755681
-5.95797899,2.68230660,-2.78139622,1.30362351,-1.09165189,0.90066389,-0.93413559,0.00035182,-0.00072919,0.86396938,-1.13991769,0.07505305,-0.05048128,0.37471434,-0.29249021,0.15029279,-0.16502795,0.14569428,-0.11925921
-5.95197599,2.76137947,-2.79162937,1.32596173,-1.09823815,0.91677072,-0.92686112,0.00039110,-0.00078486,0.87856719,-1.13618514,0.08125022,-0.05114684,0.39337216,-0.30038031,0.15805741,-0.17308862,0.15314161,-0.12056453
-5.94597299,2.84206424,-2.78817508,1.34874022,-1.09848005,0.93273953,-0.91454527,0.00043744,-0.00084241,0.89282993,-1.12603289,0.08745256,-0.05146385,0.41283249,-0.30745313,0.16683619,-0.18101845,0.16086215,-0.12148374
-5.93996998,2.92322515,-2.77160572,1.37172745,-1.09246970,0.94819309,-0.89749713,0.00049100,-0.00090165,0.90645768,-1.10975217,0.09358733,-0.05142816,0.43291427,-0.31370996,0.17661108,-0.18882809,0.16876731,-0.12203703
-5.93396698,3.00372818,-2.74278784,1.39467530,-1.08043934,0.96277482,-0.87612445,0.00055191,-0.00096237,0.91915937,-1.08776759,0.09957974,-0.05104349,0.45343214,-0.31917261,0.18736056,-0.19653770,0.17676461,-0.12225338
-5.92796398,3.08246293,-2.70285443,1.41732030,-1.06275732,0.97615461,-0.85091977,0.00062028,-0.00102428,0.93065662,-1.06062404,0.10535502,-0.05032141,0.47420158,-0.32388234,0.19905999,-0.20417533,0.18475981,-0.12216984
-5.92196098,3.15836485,-2.65316831,1.43938596,-1.03991999,0.98803436,-0.82244398,0.00069615,-0.00108708,0.94068770,-1.02897002,0.11084055,-0.04928101,0.49504398,-0.32789796,0.21168180,-0.21177472,0.19265910,-0.12183046
-5.91595798,3.23043712,-2.59527831,1.46058596,-1.01253986,0.99815289,-0.79130820,0.00077951,-0.00115037,0.94901173,-0.99353786,0.11596810,-0.04794834,0.51579141,-0.33129330,0.22519553,-0.21937276,0.20037136,-0.12128481
-5.90995498,3.29777171,-2.53087006,1.48062865,-0.98133051,1.00629032,-0.75815466,0.00087031,-0.00121372,0.95541299,-0.95512197,0.12067598,-0.04635563,0.53629078,-0.33415411,0.23956765,-0.22700652,0.20781039,-0.12058640
-5.90395198,3.35956867,-2.46171370,1.49922233,-0.94708892,1.01227167,-0.72363743,0.00096844,-0.00127664,0.95970524,-0.91455586,0.12491104,-0.04454031,0.55640725,-0.33657448,0.25476122,-0.23471015,0.21489697,-0.11979075
-5.89794897,3.41515295,-2.38961057,1.51608158,-0.91067597,1.01596953,-0.68840376,0.00107377,-0.00133859,0.96173588,-0.87268896,0.12863044,-0.04254397,0.57602686,-0.33865302,0.27073534,-0.24251181,0.22156071,-0.11895347
-5.89194597,3.46398773,-2.31634130,1.53093386,-0.87299598,1.01730567,-0.65307685,0.00118610,-0.00139898,0.96138976,-0.83036425,0.13180302,-0.04041119,0.59505792,-0.34048898,0.28744438,-0.25043076,0.22774167,-0.11812827
-5.88594297,3.50568367,-2.24361748,1.54352649,-0.83497595,1.01625133,-0.61824055,0.00130524,-0.00145718,0.95859228,-0.78839744,0.13441041,-0.03818832,0.61343150,-0.34217852,0.30483701,-0.25847486,0.23339156,-0.11736505
-5.87993997,3.54000317,-2.17303871,1.55363329,-0.79754540,1.01282612,-0.58442664,0.00143096,-0.00151255,0.95331169,-0.74755856,0.13644747,-0.03592238,0.63110058,-0.34381130,0.32285514,-0.26663846,0.23847454,-0.11670821
