energy_ev,total_up,N_s_up,N_p_up,Rh_p_up,Rh_d_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
-6.00000000,2.09741941,0.00702936,0.24865562,1.13213262,0.81107977,0.89664177,0.00000000,0.52463235,0.16655049
-5.99399700,2.04155698,0.00681483,0.24068873,1.11177045,0.77942805,0.88545346,0.00000000,0.52126467,0.16547427
-5.98799400,1.98837560,0.00664107,0.23231771,1.09223114,0.74971408,0.87580561,0.00000000,0.51871296,0.16433902
-5.98199100,1.93865448,0.00651623,0.22364265,1.07399086,0.72216632,0.86803802,0.00000000,0.51717454,0.16321596
-5.97598799,1.89309762,0.00644880,0.21477324,1.05750472,0.69696408,0.86244378,0.00000000,0.51682046,0.16217135
-5.96998499,1.85230965,0.00644747,0.20582558,1.04318665,0.67423387,0.85925504,0.00000000,0.51778626,0.16126325
-5.96398199,1.81677307,0.00652097,0.19691869,1.03138969,0.65404647,0.85863034,0.00000000,0.52016342,0.16053866
-5.95797899,1.78682859,0.00667785,0.18817080,1.02238778,0.63641515,0.86064406,0.00000000,0.52399230,0.16003117
-5.95197599,1.76265988,0.00692623,0.17969574,1.01636029,0.62129534,0.86527889,0.00000000,0.52925685,0.15975926
-5.94597299,1.74428393,0.00727354,0.17159954,1.01338004,0.60858603,0.87242197,0.00000000,0.53588156,0.15972546
-5.93996998,1.73154809,0.00772625,0.16397748,1.01340582,0.59813315,0.88186490,0.00000000,0.54373102,0.15991630
-5.93396698,1.72413412,0.00828956,0.15691165,1.01627973,0.58973495,0.89330811,0.00000000,0.55261216,0.16030318
-5.92796398,1.72156970,0.00896712,0.15046920,1.02172986,0.58314939,0.90636936,0.00000000,0.56227910,0.16084415
-5.92196098,1.72324683,0.00976074,0.14470136,1.02937799,0.57810347,0.92059623,0.00000000,0.57244070,0.16148642
-5.91595798,1.72844660,0.01067014,0.13964309,1.03875232,0.57430397,0.93548198,0.00000000,0.58277022,0.16216950
-5.90995498,1.73636918,0.01169275,0.13531358,1.04930445,0.57144948,0.95048428,0.00000000,0.59291692,0.16282895
-5.90395198,1.74616763,0.01282355,0.13171731,1.06042989,0.56924296,0.96504575,0.00000000,0.60251892,0.16340028
-5.89794897,1.75698399,0.01405500,0.12884565,1.07149111,0.56740445,0.97861553,0.00000000,0.61121677,0.16382298
-5.89194597,1.76798587,0.01537697,0.12667900,1.08184208,0.56568332,0.99067074,0.00000000,0.61866714,0.16404448
-5.88594297,1.77840174,0.01677690,0.12518911,1.09085303,0.56386933,1.00073690,0.00000000,0.62455595,0.16402362
-5.87993997,1.78755343,0.01823992,0.12434167,1.09793444,0.56180224,1.00840645,0.00000000,0.62861035,0.16373364
-5.87393697,1.79488426,0.01974916,0.12409882,1.10255902,0.55937930,1.01335436,0.00000000,0.63060903,0.16316448
-5.86793397,1.79998166,0.02128606,0.12442164,1.10428096,0.55656045,1.01535040,0.00000000,0.63039055,0.16232421
-5.86193097,1.80259341,0.02283087,0.12527242,1.10275141,0.55337097,1.01426741,0.00000000,0.62785909,0.16123953
-5.85592796,1.80263714,0.02436310,0.12661664,1.09772999,0.54990159,1.01008559,0.00000000,0.62298789,0.15995546
-5.84992496,1.80020273,0.02586217,0.12842456,1.08909165,0.54630611,1.00289244,0.00000000,0.61581983,0.15853401
-5.84392196,1.79554819,0.02730794,0.13067250,1.07682912,0.54279679,0.99287892,0.00000000,0.60646574,0.15705213
-5.83791896,1.78908943,0.02868133,0.13334363,1.06105088,0.53963793,0.98033184,0.00000000,0.59510020,0.15559892
-5.83191596,1.78138474,0.02996492,0.13642842,1.04197511,0.53713794,0.96562334,0.00000000,0.58195553,0.15427234
-5.82591296,1.77311528,0.03114348,0.13992473,1.01992005,0.53564050,0.94919783,0.00000000,0.56731394,0.15317554
-5.81990995,1.76506261,0.03220439,0.14383747,0.99529158,0.53551535,0.93155736,0.00000000,0.55149867,0.15241305
-5.81390695,1.75808446,0.03313807,0.14817806,0.96856854,0.53714909,0.91324597,0.00000000,0.53486423,0.15208700
-5.80790395,1.75309013,0.03393817,0.15296363,0.94028669,0.54093651,0.89483385,0.00000000,0.51778636,0.15229358
-5.80190095,1.75101642,0.03460174,0.15821589,0.91102212,0.54727286,0.87690199,0.00000000,0.50065198,0.15311987
-5.79589795,1.75280512,0.03512918,0.16396003,0.88137461,0.55654718,0.86002783,0.00000000,0.48384967,0.15464116
-5.78989495,1.75938260,0.03552413,0.17022335,0.85195181,0.56913690,0.84477242,0.00000000,0.46776065,0.15691898
-5.78389195,1.77164203,0.03579321,0.17703383,0.82335454,0.58540366,0.83166932,0.00000000,0.45275080,0.15999968
-5.77788894,1.79042832,0.03594562,0.18441860,0.79616375,0.60569025,0.82121555,0.00000000,0.43916364,0.16391383
-5.77188594,1.81652565,0.03599272,0.19240244,0.77092925,0.63031836,0.81386436,0.00000000,0.42731433,0.16867615
-5.76588294,1.85064729,0.03594746,0.20100604,0.74816043,0.65958677,0.81001994,0.00000000,0.41748477,0.17428614
-5.75987994,1.89342709,0.03582384,0.21024443,0.72831886,0.69376966,0.81003369,0.00000000,0.40991969,0.18072907
