energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Cu_p_up,Cu_p_down,Cu_d_up,Cu_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,1.16355611,-1.16355610,0.00436297,-0.00436297,0.24753450,-0.24753450,0.24788412,-0.24788412,0.40227189,-0.40227189,0.16472483,-0.16472483,0.29203915,-0.29203915,0.19495011,-0.19495011,0.00000000,-0.00000000
-5.99399700,1.20632340,-1.20632340,0.00418137,-0.00418137,0.25655022,-0.25655022,0.26501943,-0.26501942,0.41368251,-0.41368251,0.17550388,-0.17550388,0.30153935,-0.30153935,0.20301719,-0.20301719,0.00000000,-0.00000000
-5.98799400,1.25379848,-1.25379847,0.00402788,-0.00402788,0.26555400,-0.26555400,0.28287467,-0.28287467,0.42510718,-0.42510718,0.18685318,-0.18685317,0.31389082,-0.31389082,0.21301864,-0.21301864,0.00000000,-0.00000000
-5.98199100,1.30609195,-1.30609195,0.00390326,-0.00390326,0.27458847,-0.27458847,0.30136650,-0.30136650,0.43666602,-0.43666602,0.19867583,-0.19867583,0.32911594,-0.32911594,0.22499020,-0.22499020,0.00000000,-0.00000000
-5.97598799,1.36323476,-1.36323475,0.00380737,-0.00380737,0.28370186,-0.28370185,0.32040450,-0.32040450,0.44848980,-0.44848979,0.21086491,-0.21086491,0.34717137,-0.34717137,0.23893581,-0.23893580,0.00000000,-0.00000000
-5.96998499,1.42517148,-1.42517147,0.00373923,-0.00373923,0.29294616,-0.29294616,0.33989198,-0.33989198,0.46071522,-0.46071521,0.22330530,-0.22330529,0.36794698,-0.36794698,0.25482525,-0.25482525,0.00000000,-0.00000000
-5.96398199,1.49175610,-1.49175608,0.00369708,-0.00369708,0.30237512,-0.30237511,0.35972704,-0.35972703,0.47347984,-0.47347983,0.23587587,-0.23587587,0.39126688,-0.39126688,0.27259290,-0.27259290,0.00000000,-0.00000000
-5.95797899,1.56275058,-1.56275057,0.00367848,-0.00367848,0.31204183,-0.31204182,0.37980378,-0.37980378,0.48691654,-0.48691654,0.24845216,-0.24845216,0.41689278,-0.41689278,0.29213762,-0.29213762,0.00000000,-0.00000000
-5.95197599,1.63782631,-1.63782629,0.00368040,-0.00368040,0.32199624,-0.32199624,0.40001380,-0.40001379,0.50114783,-0.50114783,0.26090920,-0.26090920,0.44452956,-0.44452955,0.31332401,-0.31332401,0.00000000,-0.00000000
-5.94597299,1.71656855,-1.71656854,0.00369941,-0.00369941,0.33228248,-0.33228247,0.42024773,-0.42024772,0.51628002,-0.51628001,0.27312477,-0.27312477,0.47383300,-0.47383300,0.33598493,-0.33598492,0.00000000,-0.00000000
-5.93996998,1.79848403,-1.79848401,0.00373173,-0.00373173,0.34293611,-0.34293611,0.44039704,-0.44039703,0.53239760,-0.53239759,0.28498268,-0.28498268,0.50441965,-0.50441965,0.35992542,-0.35992541,0.00000000,-0.00000000
-5.93396698,1.88301137,-1.88301135,0.00377344,-0.00377344,0.35398154,-0.35398154,0.46035591,-0.46035590,0.54955791,-0.54955790,0.29637623,-0.29637623,0.53587835,-0.53587834,0.38492788,-0.38492788,0.00000000,-0.00000000
-5.92796398,1.96953439,-1.96953437,0.00382057,-0.00382057,0.36542948,-0.36542948,0.48002320,-0.48002319,0.56778633,-0.56778632,0.30721167,-0.30721167,0.56778328,-0.56778327,0.41075839,-0.41075839,0.00000000,-0.00000000
-5.92196098,2.05739774,-2.05739772,0.00386926,-0.00386926,0.37727480,-0.37727480,0.49930453,-0.49930452,0.58707226,-0.58707225,0.31741157,-0.31741157,0.59970798,-0.59970798,0.43717397,-0.43717397,0.00000000,-0.00000000
-5.91595798,2.14592451,-2.14592449,0.00391589,-0.00391589,0.38949477,-0.38949477,0.51811440,-0.51811439,0.60736606,-0.60736605,0.32691793,-0.32691793,0.63123988,-0.63123987,0.46393055,-0.46393054,0.00000000,-0.00000000
-5.90995498,2.23443519,-2.23443516,0.00395715,-0.00395715,0.40204787,-0.40204787,0.53637829,-0.53637829,0.62857713,-0.62857712,0.33569506,-0.33569506,0.66199462,-0.66199462,0.49079124,-0.49079123,0.00000000,-0.00000000
-5.90395198,2.32226719,-2.32226717,0.00399018,-0.00399018,0.41487324,-0.41487324,0.55403472,-0.55403471,0.65057339,-0.65057338,0.34373197,-0.34373197,0.69162981,-0.69162980,0.51753461,-0.51753461,0.00000000,-0.00000000
-5.89794897,2.40879429,-2.40879426,0.00401261,-0.00401261,0.42789094,-0.42789093,0.57103716,-0.57103715,0.67318220,-0.67318219,0.35104415,-0.35104415,0.71985720,-0.71985720,0.54396252,-0.54396251,0.00000000,-0.00000000
-5.89194597,2.49344493,-2.49344490,0.00402266,-0.00402266,0.44100300,-0.44100299,0.58735576,-0.58735575,0.69619287,-0.69619286,0.35767469,-0.35767468,0.74645307,-0.74645306,0.56990697,-0.56990696,0.00000000,-0.00000000
-5.88594297,2.57571872,-2.57571869,0.00401912,-0.00401912,0.45409533,-0.45409533,0.60297878,-0.60297877,0.71936071,-0.71936070,0.36369454,-0.36369454,0.77126586,-0.77126586,0.59523581,-0.59523580,0.00000000,-0.00000000
-5.87993997,2.65520015,-2.65520012,0.00400139,-0.00400139,0.46704053,-0.46704052,0.61791363,-0.61791362,0.74241267,-0.74241266,0.36920191,-0.36920191,0.79422101,-0.79422100,0.61985666,-0.61985665,0.00000000,-0.00000000
-5.87393697,2.73156894,-2.73156891,0.00396948,-0.00396948,0.47970138,-0.47970137,0.63218746,-0.63218745,0.76505436,-0.76505435,0.37432054,-0.37432054,0.81532225,-0.81532224,0.64371894,-0.64371893,0.00000000,-0.00000000
-5.86793397,2.80460636,-2.80460632,0.00392394,-0.00392394,0.49193515,-0.49193514,0.64584722,-0.64584721,0.78697830,-0.78697829,0.37919711,-0.37919710,0.83464960,-0.83464959,0.66681372,-0.66681371,0.00000000,-0.00000000
