energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up
-5.81990995,8.35601095,0.01583316,1.78039703,1.11613930,0.33601459,7.36584090,3.45116413,0.05853718,1.94048942
-5.81390695,8.42725260,0.01541670,1.77893335,1.15850998,0.34637053,7.55678186,3.40955573,0.05833360,1.99691768
-5.80790395,8.50195461,0.01500864,1.77865279,1.20240411,0.35627724,7.74499125,3.37244793,0.05813922,2.05284340
-5.80190095,8.57876521,0.01461921,1.77925615,1.24734545,0.36568757,7.92807888,3.33970685,0.05798863,2.10779146
-5.79589795,8.65612901,0.01425791,1.78038428,1.29281685,0.37456186,8.10362384,3.31102787,0.05791680,2.16128125
-5.78989495,8.73237028,0.01393328,1.78163997,1.33827267,0.38286998,8.26926583,3.28597125,0.05795839,2.21284237
-5.78389195,8.80577997,0.01365272,1.78261076,1.38315213,0.39059343,8.42279389,3.26400097,0.05814711,2.26203049
-5.77788894,8.87470132,0.01342236,1.78289119,1.42689288,0.39772703,8.56222787,3.24452460,0.05851506,2.30844270
-5.77188594,8.93760924,0.01324697,1.78210335,1.46894477,0.40428038,8.68588850,3.22693156,0.05909216,2.35173145
-5.76588294,8.99317921,0.01312995,1.77991452,1.50878300,0.41027881,8.79245267,3.21062761,0.05990557,2.39161653
-5.75987994,9.04034238,0.01307335,1.77605121,1.54592054,0.41576371,8.88099123,3.19506413,0.06097920,2.42789442
-5.75387694,9.07832426,0.01307793,1.77030887,1.57991912,0.42079223,8.95098804,3.17976077,0.06233318,2.46044452
-5.74787394,9.10666594,0.01314328,1.76255724,1.61039875,0.42543631,9.00233985,3.16432098,0.06398348,2.48923192
-5.74187094,9.12522737,0.01326791,1.75274114,1.63704521,0.42978091,9.03533762,3.14844018,0.06594144,2.51430667
-5.73586793,9.13417380,0.01344942,1.74087719,1.65961546,0.43392180,9.05063134,3.13190714,0.06821347,2.53579942
-5.72986493,9.13394710,0.01368462,1.72704690,1.67794076,0.43796258,9.04918070,3.11459909,0.07080073,2.55391386
-5.72386193,9.12522474,0.01396966,1.71138691,1.69192749,0.44201142,9.03219524,3.09647202,0.07369895,2.56891621
-5.71785893,9.10886956,0.01430017,1.69407711,1.70155575,0.44617750,9.00106764,3.07754715,0.07689823,2.58112248
-5.71185593,9.08587405,0.01467132,1.67532777,1.70687583,0.45056728,8.95730417,3.05789540,0.08038311,2.59088407
-5.70585293,9.05730275,0.01507792,1.65536628,1.70800282,0.45528089,8.90245628,3.03762105,0.08413262,2.59857251
-5.69984992,9.02423636,0.01551446,1.63442462,1.70510968,0.46040871,8.83805699,3.01684599,0.08812060,2.60456411
-5.69384692,8.98772074,0.01597514,1.61272808,1.69841898,0.46602832,8.76556510,2.99569582,0.09231602,2.60922534
-5.68784392,8.94872333,0.01645390,1.59048597,1.68819393,0.47220197,8.68631970,2.97428859,0.09668364,2.61289938
-5.68184092,8.90809909,0.01694437,1.56788458,1.67472882,0.47897456,8.60150665,2.95272674,0.10118469,2.61589480
-5.67583792,8.86656677,0.01743995,1.54508273,1.65833950,0.48637231,8.51213767,2.93109263,0.10577773,2.61847635
-5.66983492,8.82469623,0.01793374,1.52220985,1.63935401,0.49440202,8.41904208,2.90944751,0.11041967,2.62085840
-5.66383192,8.78290600,0.01841861,1.49936651,1.61810393,0.50305089,8.32287012,2.88783359,0.11506680,2.62320105
-5.65782891,8.74147025,0.01888720,1.47662702,1.59491643,0.51228699,8.22410651,2.86627872,0.11967593,2.62560879
-5.65182591,8.70053333,0.01933202,1.45404376,1.57010753,0.52206003,8.12309197,2.84480285,0.12420550,2.62813140
-5.64582291,8.66012994,0.01974549,1.43165270,1.54397633,0.53230267,8.02005039,2.82342556,0.12861662,2.63076700
-5.63981991,8.62020865,0.02012008,1.40947958,1.51680066,0.54293193,7.91511894,2.80217364,0.13287404,2.63346653
-5.63381691,8.58065655,0.02044845,1.38754619,1.48883377,0.55385087,7.80837881,2.78108804,0.13694695,2.63613937
-5.62781391,8.54132303,0.02072356,1.36587622,1.46030234,0.56495032,7.69988400,2.76022945,0.14080957,2.63865961
-5.62181091,8.50204077,0.02093889,1.34450037,1.43140546,0.57611063,7.58968641,2.73968200,0.14444158,2.64087246
-5.61580790,8.46264290,0.02108860,1.32346018,1.40231466,0.58720351,7.47785569,2.71955472,0.14782822,2.64260057
-5.60980490,8.42297528,0.02116766,1.30281054,1.37317464,0.59809374,7.36449296,2.69998069,0.15096023,2.64364992
-5.60380190,8.38290376,0.02117204,1.28262068,1.34410476,0.60864098,7.24973804,2.68111389,0.15383354,2.64381507
-5.59779890,8.34231669,0.02109887,1.26297359,1.31520099,0.61870164,7.13377053,2.66312418,0.15644870,2.64288392
-5.59179590,8.30112317,0.02094647,1.24396420,1.28653825,0.62813075,7.01680529,2.64619066,0.15881025,2.64064176
-5.58579290,8.25924833,0.02071450,1.22569628,1.25817297,0.63678409,6.89908360,2.63049411,0.16092584,2.63687496
-5.57978989,8.21662650,0.02040395,1.20827848,1.23014585,0.64452033,6.78086128,2.61620893,0.16280546,2.63137435
-5.57378689,8.17319384,0.02001717,1.19181984,1.20248464,0.65120352,6.66239536,2.60349537,0.16446045,2.62393840
-5.56778389,8.12888133,0.01955778,1.17642505,1.17520683,0.65670556,6.54393080,2.59249236,0.16590274,2.61437663
-5.56178089,8.08360939,0.01903062,1.16218975,1.14832234,0.66090896,6.42568861,2.58331141,0.16714407,2.60251300
-5.55577789,8.03728445,0.01844161,1.14919624,1.12183597,0.66370950,6.30785653,2.57603196,0.16819538,2.58818957
-5.54977489,7.98979813,0.01779761,1.13750977,1.09574964,0.66501894,6.19058309,2.57069816,0.16906633,2.57127042
-5.54377189,7.94102860,0.01710624,1.12717551,1.07006438,0.66476748,6.07397528,2.56731708,0.16976496,2.55164538
-5.53776888,7.89084400,0.01637570,1.11821639,1.04478194,0.66290596,5.95810016,2.56585827,0.17029757,2.52923383
-5.53176588,7.83910695,0.01561455,1.11063173,1.01990606,0.65940751,5.84298956,2.56625422,0.17066863,2.50398785
-5.52576288,7.78567929,0.01483152,1.10439656,0.99544329,0.65426872,5.72864762,2.56840149,0.17088089,2.47589471
-5.51975988,7.73042603,0.01403529,1.09946171,0.97140339,0.64751003,5.61505985,2.57216202,0.17093551,2.44497831
-5.51375688,7.67321756,0.01323432,1.09575422,0.94779919,0.63917540,5.50220275,2.57736443,0.17083223,2.41129927
-5.50775388,7.61392922,0.01243669,1.09317825,0.92464603,0.62933118,5.39005294,2.58380475,0.17056956,2.37495348
-5.50175088,7.55243784,0.01164991,1.09161610,0.90196072,0.61806415,5.27859457,2.59124674,0.17014493,2.33606911
-5.49574787,7.48861506,0.01088080,1.09092933,0.87976013,0.60547894,5.16782439,2.59942143,0.16955479,2.29480197
-5.48974487,7.42231770,0.01013540,1.09095999,0.85805942,0.59169472,5.05775373,2.60802630,0.16879462,2.25132946
-5.48374187,7.35337601,0.00941888,1.09153183,0.83687001,0.57684155,4.94840736,2.61672415,0.16785896,2.20584344
-5.47773887,7.28158075,0.00873548,1.09245159,0.81619754,0.56105645,4.83981923,2.62514228,0.16674129,2.15854224
-5.47173587,7.20667080,0.00808852,1.09351059,0.79603979,0.54447928,4.73202577,2.63287232,0.16543401,2.10962257
-5.46573287,7.12832263,0.00748035,1.09448660,0.77638479,0.52724896,4.62505748,2.63947142,0.16392833,2.05927164
-5.45972986,7.04614369,0.00691243,1.09514634,0.75720929,0.50949985,4.51892999,2.64446540,0.16221426,2.00766018
-5.45372686,6.95967109,0.00638535,1.09524872,0.73847771,0.49135872,4.41363582,2.64735431,0.16028070,1.95493684
-5.44772386,6.86837705,0.00589888,1.09454895,0.72014164,0.47294237,4.30913813,2.64762091,0.15811564,1.90122442
-5.44172086,6.77168214,0.00545211,1.09280385,0.70214014,0.45435595,4.20536769,2.64474236,0.15570644,1.84661832
-5.43571786,6.66897682,0.00504348,1.08977808,0.68440073,0.43569212,4.10222411,2.63820509,0.15304035,1.79118728
-5.42971486,6.55965109,0.00467094,1.08525168,0.66684120,0.41703095,3.99958203,2.62752284,0.15010514,1.73497664
-5.42371186,6.44313170,0.00433204,1.07902841,0.64937216,0.39844063,3.89730263,2.61225726,0.14688982,1.67801373
-5.41770885,6.31892543,0.00402402,1.07094494,0.63190042,0.37997877,3.79525033,2.59204064,0.14338550,1.62031538
-5.41170585,6.18666684,0.00374398,1.06088044,0.61433279,0.36169425,3.69331426,2.56659971,0.13958629,1.56189690
-5.40570285,6.04616784,0.00348892,1.04876618,0.59658048,0.34362948,3.59143339,2.53577959,0.13549021,1.50278204
-5.39969985,5.89746675,0.00325588,1.03459469,0.57856375,0.32582283,3.48962399,2.49956672,0.13109997,1.44301343
-5.39369685,5.74087389,0.00304203,1.01842798,0.56021656,0.30831115,3.38800795,2.45810952,0.12642371,1.38266264
-5.38769385,5.57701103,0.00284471,1.00040418,0.54149119,0.29113217,3.28683976,2.41173561,0.12147553,1.32183951
-5.38169085,5.40684208,0.00266151,0.98074236,0.52236245,0.27432667,3.18653064,2.36096446,0.11627576,1.26069986
-5.37568784,5.23169283,0.00249033,0.95974481,0.50283132,0.25794028,3.08766760,2.30651463,0.11085103,1.19945139
-5.36968484,5.05325801,0.00232937,0.93779658,0.48292791,0.24202485,2.99102603,2.24930465,0.10523407,1.13835723
-5.36368184,4.87359453,0.00217717,0.91536213,0.46271353,0.22663933,2.89757423,2.19044723,0.09946319,1.07773695
-5.35767884,4.69510037,0.00203260,0.89297872,0.44228168,0.21185013,2.80846900,2.13123656,0.09358153,1.01796503
-5.35167584,4.52047938,0.00189484,0.87124687,0.42175808,0.19773096,2.72504170,2.07312867,0.08763612,0.95946677
-5.34567284,4.35269266,0.00176338,0.85081786,0.40129956,0.18436216,2.64877474,2.01771537,0.08167672,0.90271183
-5.33966983,4.19489803,0.00163793,0.83237861,0.38109191,0.17182967,2.58126888,1.96669223,0.07575456,0.84820574
-5.33366683,4.05037938,0.00151844,0.81663449,0.36134669,0.16022354,2.52420231,1.92182159,0.06992099,0.79647976
-5.32766383,3.92246824,0.00140502,0.80429030,0.34229720,0.14963621,2.47928279,1.88489150,0.06422621,0.74807943
-5.32166083,3.81445982,0.00129792,0.79603036,0.32419365,0.14016048,2.44819453,1.85767181,0.05871797,0.70355236
-5.31565783,3.72952649,0.00119744,0.79249797,0.30729772,0.13188738,2.43254164,1.84186861,0.05344042,0.66343560
-5.30965483,3.67063094,0.00110395,0.79427515,0.29187671,0.12490392,2.43379034,1.83907827,0.04843315,0.62824311
-5.30365183,3.64044179,0.00101782,0.80186315,0.27819738,0.11929080,2.45321198,1.85074223,0.04373039,0.59845357
-5.29764882,3.64125392,0.00093938,0.81566437,0.26651971,0.11512015,2.49182901,1.87810393,0.03936039,0.57449893
-5.29164582,3.67491557,0.00086893,0.83596620,0.25709079,0.11245329,2.55036582,1.92216872,0.03534508,0.55675399
-5.28564282,3.74276433,0.00080670,0.86292728,0.25013880,0.11133872,2.62920638,1.98366795,0.03169993,0.54552707
