energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Ca_p_up,Ca_p_down,Ca_d_up,Ca_d_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,2.50487413,-2.28745777,0.00564420,-0.00635829,0.41631785,-0.34665458,0.01021423,-0.00937383,0.00000000,-0.00000000,0.74197157,-0.61809260,1.55176815,-1.40627701,0.00917936,-0.00913864,0.77336866,-0.74194213
-5.99399700,2.53875875,-2.33666028,0.00553413,-0.00615938,0.42441675,-0.36135328,0.01051831,-0.00960489,0.00000000,-0.00000000,0.77584218,-0.64659167,1.56196571,-1.43839518,0.00930923,-0.00919059,0.78455601,-0.75073685
-5.98799400,2.57067966,-2.38532314,0.00545710,-0.00597482,0.43109956,-0.37553926,0.01084799,-0.00985563,0.00000000,-0.00000000,0.81183471,-0.67716853,1.56754862,-1.46810008,0.00947422,-0.00925812,0.79707107,-0.76033274
-5.98199100,2.60074523,-2.43338716,0.00541737,-0.00581062,0.43632598,-0.38901653,0.01120349,-0.01012913,0.00000000,-0.00000000,0.84993303,-0.70997044,1.56850535,-1.49496167,0.00967844,-0.00934825,0.81102242,-0.77098739
-5.97598799,2.62903787,-2.48074544,0.00541845,-0.00567247,0.44008502,-0.40159854,0.01158403,-0.01042778,0.00000000,-0.00000000,0.89005049,-0.74509408,1.56489690,-1.51856704,0.00992474,-0.00946742,0.82645654,-0.78291548
-5.96998499,2.65560675,-2.52724172,0.00546299,-0.00556561,0.44239369,-0.41311328,0.01198782,-0.01075307,0.00000000,-0.00000000,0.93202574,-0.78257649,1.55685442,-1.53853308,0.01021464,-0.00962123,0.84335502,-0.79627963
-5.96398199,2.68046226,-2.57267089,0.00555271,-0.00549468,0.44329475,-0.42340796,0.01241214,-0.01110561,0.00000000,-0.00000000,0.97562083,-0.82238763,1.54457496,-1.55451873,0.01054821,-0.00981421,0.86163422,-0.81118331
-5.95797899,2.70357236,-2.61678160,0.00568836,-0.00546359,0.44285365,-0.43235288,0.01285333,-0.01148494,0.00000000,-0.00000000,1.02052179,-0.86442457,1.52831565,-1.56623644,0.01092408,-0.01004970,0.88114729,-0.82766587
-5.95197599,2.72486106,-2.65928078,0.00586968,-0.00547545,0.44115488,-0.43984440,0.01330691,-0.01188964,0.00000000,-0.00000000,1.06634169,-0.90850789,1.50838649,-1.57346210,0.01133943,-0.01032968,0.90168841,-0.84569997
-5.94597299,2.74420920,-2.69983993,0.00609539,-0.00553245,0.43829785,-0.44580700,0.01376773,-0.01231724,0.00000000,-0.00000000,1.11262622,-0.95438019,1.48514224,-1.57604324,0.01179010,-0.01065467,0.92299899,-0.86519139
-5.93996998,2.76145753,-2.73810258,0.00636327,-0.00563584,0.43439273,-0.45019420,0.01423005,-0.01276432,0.00000000,-0.00000000,1.15886164,-1.00170716,1.45897371,-1.57390492,0.01227069,-0.01102371,0.94477576,-0.88598130
-5.93396698,2.77641212,-2.77369302,0.00667018,-0.00578587,0.42955623,-0.45298859,0.01468770,-0.01322657,0.00000000,-0.00000000,1.20448496,-1.05008090,1.43029878,-1.56705323,0.01277471,-0.01143438,0.96668012,-0.90785059
-5.92796398,2.78885195,-2.80622558,0.00701217,-0.00598182,0.42390780,-0.45420076,0.01513429,-0.01369890,0.00000000,-0.00000000,1.24889606,-1.09902580,1.39955370,-1.55557616,0.01329484,-0.01188285,0.98834875,-0.93052639
-5.92196098,2.79853856,-2.83531447,0.00738460,-0.00622200,0.41756614,-0.45386748,0.01556332,-0.01417559,0.00000000,-0.00000000,1.29147140,-1.14800665,1.36718482,-1.53964197,0.01382309,-0.01236397,1.00940488,-0.95369018
-5.91595798,2.80522744,-2.86058385,0.00778227,-0.00650382,0.41064642,-0.45204912,0.01596835,-0.01465040,0.00000000,-0.00000000,1.33157899,-1.19643887,1.33364113,-1.51949513,0.01435112,-0.01287146,1.02946991,-0.97698741
-5.90995498,2.80868081,-2.88167791,0.00819963,-0.00682390,0.40325810,-0.44882661,0.01634320,-0.01511675,0.00000000,-0.00000000,1.36859409,-1.24370071,1.29936778,-1.49545017,0.01487048,-0.01339810,1.04817514,-1.00003818
-5.90395198,2.80868131,-2.89827090,0.00863090,-0.00717813,0.39550347,-0.44429804,0.01668205,-0.01556791,0.00000000,-0.00000000,1.40191525,-1.28914690,1.26480073,-1.46788376,0.01537291,-0.01393592,1.06517312,-1.02244862
-5.89794897,2.80504612,-2.91007705,0.00907033,-0.00756184,0.38747691,-0.43857509,0.01697961,-0.01599710,0.00000000,-0.00000000,1.43098017,-1.33212367,1.23036241,-1.43722555,0.01585063,-0.01447651,1.08014842,-1.04382275
-5.89194597,2.79764084,-2.91686015,0.00951237,-0.00796998,0.37926472,-0.43177961,0.01723127,-0.01639776,0.00000000,-0.00000000,1.45528087,-1.37198442,1.19645852,-1.40394810,0.01629659,-0.01501128,1.09282741,-1.06377428
-5.88594297,2.78639259,-2.91844283,0.00995190,-0.00839724,0.37094549,-0.42404035,0.01743313,-0.01676362,0.00000000,-0.00000000,1.47437766,-1.40810584,1.16347561,-1.36855659,0.01670471,-0.01553171,1.10298692,-1.08193817
-5.87993997,2.77130143,-2.91471535,0.01038444,-0.00883830,0.36259084,-0.41549002,0.01758220,-0.01708891,0.00000000,-0.00000000,1.48791159,-1.43990387,1.13177931,-1.33157844,0.01707017,-0.01602971,1.11046135,-1.09798168
-5.87393697,2.75244972,-2.90564379,0.01080631,-0.00928800,0.35426637,-0.40626282,0.01767640,-0.01736848,0.00000000,-0.00000000,1.49561473,-1.46684911,1.10171302,-1.29355356,0.01738950,-0.01649785,1.11514815,-1.11161439
-5.86793397,2.73000846,-2.89127720,0.01121485,-0.00974154,0.34603269,-0.39649242,0.01771465,-0.01759792,0.00000000,-0.00000000,1.49731820,-1.48848104,1.07359651,-1.25502514,0.01766078,-0.01692963,1.11701148,-1.12259722
-5.86193097,2.70424036,-2.87175363,0.01160853,-0.01019469,0.33794635,-0.38631034,0.01769689,-0.01777371,0.00000000,-0.00000000,1.49295739,-1.50442084,1.04772439,-1.21653146,0.01788372,-0.01731972,1.11608374,-1.13074994
-5.85592796,2.67549893,-2.84730448,0.01198705,-0.01064394,0.33006052,-0.37584483,0.01762410,-0.01789326,0.00000000,-0.00000000,1.48257445,-1.51438209,1.02436413,-1.17859850,0.01805966,-0.01766418,1.11246506,-1.13595715
-5.84992496,2.64422340,-2.81825678,0.01235144,-0.01108671,0.32242541,-0.36522007,0.01749827,-0.01795501,0.00000000,-0.00000000,1.46631763,-1.51817920,1.00375333,-1.14173351,0.01819156,-0.01796060,1.10632060,-1.13817235
-5.84392196,2.61092950,-2.78503299,0.01270403,-0.01152147,0.31508823,-0.35455554,0.01732239,-0.01795846,0.00000000,-0.00000000,1.44443777,-1.51573320,0.98609620,-1.10641931,0.01828393,-0.01820819,1.09787565,-1.13742003
-5.83791896,2.57619585,-2.74814781,0.01304842,-0.01194779,0.30809280,-0.34396560,0.01710037,-0.01790422,0.00000000,-0.00000000,1.41728183,-1.50707449,0.97155936,-1.07310905,0.01834263,-0.01840785,1.08740869,-1.13379568
-5.83191596,2.54064677,-2.70820172,0.01338940,-0.01236645,0.30147868,-0.33355905,0.01683691,-0.01779398,0.00000000,-0.00000000,1.38528364,-1.49234272,0.96026676,-1.04222143,0.01837474,-0.01856213,1.07524250,-1.12746350
-5.82591296,2.50493162,-2.66587092,0.01373276,-0.01277944,0.29528006,-0.32343858,0.01653747,-0.01763048,0.00000000,-0.00000000,1.34895238,-1.47178342,0.95229430,-1.01413579,0.01838824,-0.01867519,1.06173368,-1.11865200
-5.81990995,2.46970181,-2.62189355,0.01408513,-0.01318987,0.28952432,-0.31370008,0.01620805,-0.01741746,0.00000000,-0.00000000,1.30885893,-1.44574174,0.94766417,-0.98918730,0.01839181,-0.01875264,1.04726071,-1.10764725
