energy_ev,total_up,C_s_up,C_p_up,Li_s_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,0.43431427,0.00494987,0.00604060,0.07409165,0.00100476,0.26384772,0.11461041,0.02417584
-5.99399700,0.49166237,0.00563654,0.00630055,0.08237692,0.00115072,0.29992028,0.13088510,0.02711078
-5.98799400,0.55637922,0.00639501,0.00684422,0.09164217,0.00133433,0.34010643,0.14881803,0.03052342
-5.98199100,0.62865280,0.00722450,0.00770557,0.10185997,0.00156056,0.38446037,0.16840947,0.03443760
-5.97598799,0.70863632,0.00812310,0.00892467,0.11299208,0.00183510,0.43300206,0.18963860,0.03887845
-5.96998499,0.79645064,0.00908775,0.01054820,0.12499023,0.00216437,0.48571797,0.21246332,0.04387280
-5.96398199,0.89218826,0.01011422,0.01262959,0.13779718,0.00255558,0.54256327,0.23682098,0.04944946
-5.95797899,0.99591843,0.01119719,0.01522890,0.15134812,0.00301673,0.60346525,0.26262985,0.05563949
-5.95197599,1.10769301,0.01233030,0.01841245,0.16557243,0.00355659,0.66832785,0.28979146,0.06247637
-5.94597299,1.22755261,0.01350631,0.02225206,0.18039549,0.00418464,0.73703708,0.31819356,0.06999594
-5.93996998,1.35553187,0.01471722,0.02682386,0.19574076,0.00491092,0.80946671,0.34771371,0.07823611
-5.93396698,1.49166337,0.01595449,0.03220672,0.21153174,0.00574593,0.88548385,0.37822313,0.08723637
-5.92796398,1.63597874,0.01720923,0.03848026,0.22769384,0.00670036,0.96495366,0.40959062,0.09703682
-5.92196098,1.78850637,0.01847241,0.04572235,0.24415604,0.00778485,1.04774273,0.44168637,0.10767688
-5.91595798,1.94926453,0.01973510,0.05400624,0.26085205,0.00900959,1.13372033,0.47438509,0.11919356
-5.90995498,2.11824931,0.02098863,0.06339739,0.27772110,0.01038397,1.22275712,0.50756850,0.13161930
-5.90395198,2.29541707,0.02222480,0.07394987,0.29470804,0.01191612,1.31472085,0.54112663,0.14497935
-5.89794897,2.48066125,0.02343595,0.08570272,0.31176291,0.01361237,1.40946892,0.57495794,0.15928886
-5.89194597,2.67378426,0.02461509,0.09867617,0.32883983,0.01547679,1.50683781,0.60896807,0.17454964
-5.88594297,2.87446513,0.02575589,0.11286793,0.34589537,0.01751061,1.60662971,0.64306724,0.19074684
-5.87993997,3.08222477,0.02685269,0.12824986,0.36288645,0.01971178,1.70859702,0.67716637,0.20784559
-5.87393697,3.29639062,0.02790039,0.14476499,0.37976786,0.02207444,1.81242561,0.71117220,0.22578788
-5.86793397,3.51606323,0.02889434,0.16232527,0.39648978,0.02458861,1.91771798,0.74498174,0.24448991
-5.86193097,3.74008741,0.02983017,0.18081008,0.41299520,0.02723991,2.02397773,0.77847641,0.26384005
-5.85592796,3.96703080,0.03070367,0.20006580,0.42921786,0.03000943,2.13059674,0.81151649,0.28369764
-5.84992496,4.19517248,0.03151055,0.21990652,0.44508053,0.03287378,2.23684658,0.84393630,0.30389290
