energy_ev,total_up,C_s_up,C_p_up,Mg_p_up,Mg_d_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
-6.00000000,3.75745652,0.02760528,0.65871709,0.42036486,0.00000000,1.76622421,0.00000000,1.33194362,0.75953179
-5.99399700,3.75258844,0.02848040,0.65334497,0.42571419,0.00000000,1.76888504,0.00000000,1.34885161,0.76474373
-5.98799400,3.75406782,0.02940639,0.64884334,0.43260340,0.00000000,1.77525849,0.00000000,1.36897471,0.77155143
-5.98199100,3.76290360,0.03037363,0.64538212,0.44113091,0.00000000,1.78581980,0.00000000,1.39253601,0.78013964
-5.97598799,3.77992294,0.03137092,0.64309608,0.45136646,0.00000000,1.80095437,0.00000000,1.41968457,0.79065282
-5.96998499,3.80573406,0.03238575,0.64207894,0.46334726,0.00000000,1.82094092,0.00000000,1.45048524,0.80318548
-5.96398199,3.84069702,0.03340463,0.64237898,0.47707506,0.00000000,1.84593847,0.00000000,1.48491134,0.81777422
-5.95797899,3.88490384,0.03441353,0.64399634,0.49251436,0.00000000,1.87597768,0.00000000,1.52284053,0.83439188
-5.95197599,3.93816901,0.03539842,0.64688230,0.50959174,0.00000000,1.91095702,0.00000000,1.56405417,0.85294427
-5.94597299,4.00003072,0.03634578,0.65094049,0.52819659,0.00000000,1.95064384,0.00000000,1.60824010,0.87326940
-5.93996998,4.06976280,0.03724317,0.65603014,0.54818292,0.00000000,1.99468021,0.00000000,1.65499891,0.89513969
-5.93396698,4.14639681,0.03807971,0.66197117,0.56937239,0.00000000,2.04259328,0.00000000,1.70385326,0.91826672
-5.92796398,4.22875301,0.03884661,0.66855101,0.59155843,0.00000000,2.09380937,0.00000000,1.75425992,0.94230871
-5.92196098,4.31547887,0.03953748,0.67553274,0.61451109,0.00000000,2.14767134,0.00000000,1.80562400,0.96688011
-5.91595798,4.40509312,0.04014865,0.68266436,0.63798267,0.00000000,2.20345803,0.00000000,1.85731469,0.99156320
-5.90995498,4.49603324,0.04067926,0.68968859,0.66171366,0.00000000,2.26040511,0.00000000,1.90868179,1.01592089
-5.90395198,4.58670427,0.04113129,0.69635294,0.68543889,0.00000000,2.31772611,0.00000000,1.95907247,1.03951046
-5.89794897,4.67552666,0.04150941,0.70241943,0.70889355,0.00000000,2.37463286,0.00000000,2.00784742,1.06189745
-5.89194597,4.76098112,0.04182072,0.70767369,0.73181887,0.00000000,2.43035437,0.00000000,2.05439581,1.08266920
-5.88594297,4.84164867,0.04207432,0.71193285,0.75396725,0.00000000,2.48415347,0.00000000,2.09814862,1.10144745
-5.87993997,4.91624434,0.04228086,0.71505208,0.77510664,0.00000000,2.53534060,0.00000000,2.13858970,1.11789955
-5.87393697,4.98364351,0.04245192,0.71692930,0.79502408,0.00000000,2.58328450,0.00000000,2.17526453,1.13174773
-5.86793397,5.04290014,0.04259945,0.71750810,0.81352823,0.00000000,2.62741948,0.00000000,2.20778628,1.14277631
-5.86193097,5.09325681,0.04273509,0.71677852,0.83045101,0.00000000,2.66724943,0.00000000,2.23583928,1.15083642
-5.85592796,5.13414671,0.04286955,0.71477603,0.84564826,0.00000000,2.70234877,0.00000000,2.25917996,1.15584831
-5.84992496,5.16518832,0.04301209,0.71157853,0.85899949,0.00000000,2.73236068,0.00000000,2.27763555,1.15780122
-5.84392196,5.18617380,0.04316994,0.70730171,0.87040702,0.00000000,2.75699329,0.00000000,2.29110069,1.15675088
-5.83791896,5.19705230,0.04334799,0.70209303,0.87979444,0.00000000,2.77601429,0.00000000,2.29953261,1.15281497
-5.83191596,5.19790978,0.04354838,0.69612472,0.88710478,0.00000000,2.78924477,0.00000000,2.30294512,1.14616685
-5.82591296,5.18894679,0.04377043,0.68958597,0.89229845,0.00000000,2.79655290,0.00000000,2.30140192,1.13702778
-5.81990995,5.17045583,0.04401055,0.68267496,0.89535126,0.00000000,2.79784812,0.00000000,2.29500984,1.12565826
-5.81390695,5.14279976,0.04426233,0.67559091,0.89625263,0.00000000,2.79307641,0.00000000,2.28391219,1.11234871
-5.80790395,5.10639240,0.04451675,0.66852663,0.89500417,0.00000000,2.78221706,0.00000000,2.26828284,1.09740994
-5.80190095,5.06168240,0.04476254,0.66166183,0.89161878,0.00000000,2.76528121,0.00000000,2.24832119,1.08116384
-5.79589795,5.00914107,0.04498655,0.65515745,0.88612032,0.00000000,2.74231241,0.00000000,2.22424822,1.06393452
-5.78989495,4.94925444,0.04517433,0.64915120,0.87854387,0.00000000,2.71338894,0.00000000,2.19630385,1.04604015
-5.78389195,4.88251950,0.04531065,0.64375446,0.86893653,0.00000000,2.67862787,0.00000000,2.16474543,1.02778582
-5.77788894,4.80944447,0.04538012,0.63905045,0.85735873,0.00000000,2.63819039,0.00000000,2.12984740,1.00945731
-5.77188594,4.73055214,0.04536786,0.63509377,0.84388583,0.00000000,2.59228785,0.00000000,2.09190185,0.99131613
-5.76588294,4.64638563,0.04526007,0.63191117,0.82860997,0.00000000,2.54118800,0.00000000,2.05121967,0.97359553
-5.75987994,4.55751547,0.04504468,0.62950325,0.81164174,0.00000000,2.48522064,0.00000000,2.00813202,0.95649770
-5.75387694,4.46454676,0.04471184,0.62784717,0.79311173,0.00000000,2.42478209,0.00000000,1.96299168,0.94019192
-5.74787394,4.36812537,0.04425446,0.62689990,0.77317148,0.00000000,2.36033773,0.00000000,1.91617393,0.92481367
-5.74187094,4.26894215,0.04366853,0.62660194,0.75199381,0.00000000,2.29242206,0.00000000,1.86807661,0.91046460
-5.73586793,4.16773417,0.04295349,0.62688125,0.72977231,0.00000000,2.22163587,0.00000000,1.81911901,0.89721321
-5.72986493,4.06528249,0.04211233,0.62765729,0.70671976,0.00000000,2.14864013,0.00000000,1.76973944,0.88509626
-5.72386193,3.96240604,0.04115169,0.62884487,0.68306556,0.00000000,2.07414661,0.00000000,1.72039124,0.87412077
-5.71785893,3.85995155,0.04008178,0.63035787,0.65905216,0.00000000,1.99890527,0.00000000,1.67153727,0.86426665
-5.71185593,3.75877980,0.03891620,0.63211260,0.63493039,0.00000000,1.92368867,0.00000000,1.62364294,0.85548976
