energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up,Zr_p_up,Zr_d_up
-6.00000000,3.69294105,1.78429024,2.23170558,0.00172800,0.36546213,0.57409070,0.00000000,0.48518096,0.34212944
-5.99399700,3.71207924,1.78334521,2.27815523,0.00179733,0.35176627,0.57421032,0.00000000,0.48015181,0.33335353
-5.98799400,3.73655843,1.78034069,2.32876374,0.00186882,0.33914442,0.57429744,0.00000000,0.47677748,0.32513704
-5.98199100,3.76630252,1.77538856,2.38307513,0.00194237,0.32772794,0.57439576,0.00000000,0.47516131,0.31754391
-5.97598799,3.80116647,1.76864708,2.44053999,0.00201772,0.31765322,0.57456019,0.00000000,0.47539523,0.31064406
-5.96998499,3.84091786,1.76030625,2.50051222,0.00209450,0.30905753,0.57485209,0.00000000,0.47755654,0.30451001
-5.96398199,3.88522254,1.75057349,2.56225088,0.00217219,0.30207424,0.57533435,0.00000000,0.48170465,0.29921325
-5.95797899,3.93363546,1.73966032,2.62492759,0.00225016,0.29682742,0.57606675,0.00000000,0.48787809,0.29482052
-5.95197599,3.98559749,1.72777084,2.68763937,0.00232767,0.29342643,0.57710174,0.00000000,0.49609175,0.29139008
-5.94597299,4.04043822,1.71509235,2.74942650,0.00240389,0.29196032,0.57848087,0.00000000,0.50633448,0.28896842
-5.93996998,4.09738483,1.70178836,2.80929462,0.00247794,0.29249274,0.58023203,0.00000000,0.51856715,0.28758719
-5.93396698,4.15557604,1.68799403,2.86623992,0.00254893,0.29505721,0.58236752,0.00000000,0.53272114,0.28726086
-5.92796398,4.21408040,1.67381386,2.91927596,0.00261596,0.29965325,0.58488301,0.00000000,0.54869731,0.28798485
-5.92196098,4.27191754,1.65932142,2.96746094,0.00267819,0.30624339,0.58775726,0.00000000,0.56636551,0.28973446
-5.91595798,4.32808107,1.64456054,3.00992354,0.00273485,0.31475137,0.59095263,0.00000000,0.58556473,0.29246444
-5.90995498,4.38156187,1.62954780,3.04588630,0.00278525,0.32506149,0.59441611,0.00000000,0.60610375,0.29610933
-5.90395198,4.43137050,1.61427562,3.07468519,0.00282885,0.33701937,0.59808089,0.00000000,0.62776256,0.30058438
-5.89794897,4.47655772,1.59871583,3.09578447,0.00286523,0.35043396,0.60186824,0.00000000,0.65029456,0.30578725
-5.89194597,4.51623263,1.58282325,3.10878634,0.00289409,0.36508104,0.60568960,0.00000000,0.67342955,0.31160018
-5.88594297,4.54957784,1.56653919,3.11343526,0.00291530,0.38070792,0.60944888,0.00000000,0.69687768,0.31789274
-5.87993997,4.57586180,1.54979481,3.10961690,0.00292883,0.39703941,0.61304470,0.00000000,0.72033440,0.32452497
-5.87393697,4.59444855,1.53251440,3.09735250,0.00293477,0.41378479,0.61637281,0.00000000,0.74348644,0.33135097
-5.86793397,4.60480520,1.51461861,3.07678927,0.00293333,0.43064573,0.61932839,0.00000000,0.76601877,0.33822264
-5.86193097,4.60650795,1.49602790,3.04818775,0.00292477,0.44732476,0.62180841,0.00000000,0.78762257,0.34499367
-5.85592796,4.59924722,1.47666631,3.01190746,0.00290941,0.46353419,0.62371404,0.00000000,0.80800399,0.35152361
-5.84992496,4.58283240,1.45646582,2.96839160,0.00288759,0.47900499,0.62495306,0.00000000,0.82689347,0.35768182
-5.84392196,4.55719673,1.43537120,2.91815215,0.00285968,0.49349553,0.62544229,0.00000000,0.84405542,0.36335138
-5.83791896,4.52240266,1.41334548,2.86175597,0.00282602,0.50679965,0.62511008,0.00000000,0.85929781,0.36843259
-5.83191596,4.47864734,1.39037594,2.79981280,0.00278696,0.51875388,0.62389880,0.00000000,0.87248134,0.37284619
-5.82591296,4.42626839,1.36648023,2.73296532,0.00274282,0.52924338,0.62176725,0.00000000,0.88352756,0.37653603
-5.81990995,4.36574894,1.34171248,2.66188165,0.00269389,0.53820644,0.61869292,0.00000000,0.89242572,0.37947102
-5.81390695,4.29772166,1.31616879,2.58725011,0.00264044,0.54563722,0.61467410,0.00000000,0.89923762,0.38164655
-5.80790395,4.22297052,1.28999171,2.50977579,0.00258276,0.55158663,0.60973152,0.00000000,0.90410021,0.38308485
-5.80190095,4.14242952,1.26337327,2.43017873,0.00252110,0.55616114,0.60390965,0.00000000,0.90722554,0.38383472
-5.79589795,4.05717753,1.23655593,2.34919281,0.00245577,0.55951962,0.59727732,0.00000000,0.90889772,0.38397017
-5.78989495,3.96842836,1.20983123,2.26756482,0.00238708,0.56186812,0.58992771,0.00000000,0.90946690,0.38358826
-5.78389195,3.87751544,1.18353567,2.18605307,0.00231540,0.56345284,0.58197752,0.00000000,0.90934012,0.38280605
-5.77788894,3.78587105,1.15804393,2.10542487,0.00224115,0.56455140,0.57356531,0.00000000,0.90896932,0.38175672
-5.77188594,3.69499982,1.13375918,2.02645248,0.00216481,0.56546274,0.56484895,0.00000000,0.90883661,0.38058501
-5.76588294,3.60644720,1.11110091,1.94990715,0.00208689,0.56649596,0.55600225,0.00000000,0.90943754,0.37944212
-5.75987994,3.52176331,1.09049063,1.87655117,0.00200800,0.56795854,0.54721076,0.00000000,0.91126259,0.37848014
-5.75387694,3.44246350,1.07233585,1.80712788,0.00192874,0.57014425,0.53866686,0.00000000,0.91477788,0.37784634
-5.74787394,3.36998686,1.05701326,1.74234996,0.00184977,0.57332134,0.53056436,0.00000000,0.92040571,0.37767738
-5.74187094,3.30565424,1.04485177,1.68288639,0.00177177,0.57772135,0.52309264,0.00000000,0.92850573,0.37809380
-5.73586793,3.25062750,1.03611625,1.62934847,0.00169536,0.58352906,0.51643076,0.00000000,0.93935773,0.37919483
-5.72986493,3.20587190,1.03099299,1.58227574,0.00162116,0.59087392,0.51074151,0.00000000,0.95314665,0.38105395
-5.72386193,3.17212318,1.02957743,1.54212232,0.00154973,0.59982339,0.50616595,0.00000000,0.96995081,0.38371517
-5.71785893,3.14986107,1.03186521,1.50924442,0.00148155,0.61037848,0.50281838,0.00000000,0.98973382,0.38719034
-5.71185593,3.13929062,1.03774690,1.48388973,0.00141699,0.62247172,0.50078222,0.00000000,1.01234075,0.39145767
-5.70585293,3.14033240,1.04700681,1.46618928,0.00135631,0.63596769,0.50010688,0.00000000,1.03749896,0.39646141
-5.69984992,3.15262234,1.05932635,1.45615225,0.00129968,0.65066622,0.50080574,0.00000000,1.06482371,0.40211283
-5.69384692,3.17552143,1.07429152,1.45366404,0.00124713,0.66630814,0.50285551,0.00000000,1.09382848,0.40829261
-5.68784392,3.20813528,1.09140468,1.45848799,0.00119856,0.68258353,0.50619679,0.00000000,1.12393984,0.41485432
-5.68184092,3.24934272,1.11009985,1.47027052,0.00115379,0.69914201,0.51073610,0.00000000,1.15451626,0.42162922
-5.67583792,3.29783263,1.12976106,1.48854975,0.00111251,0.71560499,0.51634895,0.00000000,1.18487029,0.42843189
-5.66983492,3.35214730,1.14974281,1.51276724,0.00107438,0.73157912,0.52288417,0.00000000,1.21429326,0.43506677
-5.66383192,3.41073077,1.16939181,1.54228234,0.00103897,0.74667070,0.53016898,0.00000000,1.24208141,0.44133508
-5.65782891,3.47197985,1.18806894,1.57638859,0.00100582,0.76050024,0.53801479,0.00000000,1.26756251,0.44704213
-5.65182591,3.53429590,1.20517042,1.61433157,0.00097449,0.77271670,0.54622330,0.00000000,1.29012175,0.45200439
-5.64582291,3.59613502,1.22014728,1.65532739,0.00094452,0.78301083,0.55459273,0.00000000,1.30922574,0.45605633
-5.63981991,3.65605445,1.23252219,1.69858105,0.00091551,0.79112689,0.56292377,0.00000000,1.32444371,0.45905647
-5.63381691,3.71275354,1.24190302,1.74330416,0.00088711,0.79687245,0.57102513,0.00000000,1.33546486,0.46089260
-5.62781391,3.76510739,1.24799261,1.78873114,0.00085906,0.80012568,0.57871841,0.00000000,1.34211115,0.46148571
-5.62181091,3.81219222,1.25059437,1.83413354,0.00083116,0.80083996,0.58584203,0.00000000,1.34434508,0.46079275
-5.61580790,3.85330156,1.24961367,1.87883204,0.00080332,0.79904562,0.59225429,0.00000000,1.34227200,0.45880781
-5.60980490,3.88795323,1.24505525,1.92220580,0.00077554,0.79484870,0.59783540,0.00000000,1.33613714,0.45556201
-5.60380190,3.91588712,1.23701685,1.96369920,0.00074792,0.78842699,0.60248850,0.00000000,1.32631750,0.45112189
-5.59779890,3.93705484,1.22567973,2.00282589,0.00072065,0.78002354,0.60613983,0.00000000,1.31330905,0.44558664
-5.59179590,3.95160204,1.21129665,2.03917040,0.00069402,0.76993804,0.60873805,0.00000000,1.29771007,0.43908412
