energy_ev,total_up,Ge_p_up,Ge_d_up,Ir_p_up,Ir_d_up,Se_s_up,Se_p_up
-6.00000000,6.52456861,1.59357211,0.00000000,1.19488135,4.36056376,0.07706992,1.33665447
-5.99399700,6.59322918,1.60801232,0.00000000,1.19654017,4.41394239,0.07732412,1.35340493
-5.98799400,6.67715173,1.62729239,0.00000000,1.20188285,4.47770992,0.07748394,1.37344283
-5.98199100,6.77762004,1.65201675,0.00000000,1.21114386,4.55283099,0.07757834,1.39682386
-5.97598799,6.89560032,1.68270787,0.00000000,1.22456774,4.64002029,0.07763868,1.42352958
-5.96998499,7.03169784,1.71978680,0.00000000,1.24239997,4.73970895,0.07769813,1.45346564
-5.96398199,7.18612605,1.76355703,0.00000000,1.26487739,4.85202079,0.07779108,1.48646248
-5.95797899,7.35868964,1.81419215,0.00000000,1.29221808,4.97675972,0.07795260,1.52227859
-5.95197599,7.54878217,1.87172761,0.00000000,1.32461145,5.11340849,0.07821785,1.56060640
-5.94597299,7.75539811,1.93605688,0.00000000,1.36220859,5.26113897,0.07862157,1.60108060
-5.93996998,7.97715880,2.00693189,0.00000000,1.40511334,5.41883305,0.07919759,1.64328865
-5.93396698,8.21235059,2.08396740,0.00000000,1.45337444,5.58511321,0.07997837,1.68678314
-5.92796398,8.45897327,2.16664913,0.00000000,1.50697875,5.75838100,0.08099460,1.73109547
-5.92196098,8.71479619,2.25434482,0.00000000,1.56584588,5.93686155,0.08227481,1.77575027
-5.91595798,8.97741916,2.34631776,0.00000000,1.62982428,6.11865200,0.08384504,1.82027999
-5.90995498,9.24433526,2.44174196,0.00000000,1.69868864,6.30177140,0.08572851,1.86423887
-5.90395198,9.51299247,2.53971836,0.00000000,1.77213873,6.48421012,0.08794525,1.90721587
-5.89794897,9.78085143,2.63929138,0.00000000,1.84979952,6.66397656,0.09051181,1.94884573
-5.89194597,10.04543705,2.73946531,0.00000000,1.93122247,6.83913949,0.09344092,1.98881777
-5.88594297,10.30438190,2.83922003,0.00000000,2.01588780,7.00786457,0.09674103,2.02688200
-5.87993997,10.55546036,2.93752581,0.00000000,2.10320779,7.16844426,0.10041595,2.06285236
-5.87393697,10.79661263,3.03335702,0.00000000,2.19253087,7.31932031,0.10446441,2.09660672
-5.86793397,11.02595871,3.12570463,0.00000000,2.28314650,7.45909901,0.10887953,2.12808393
-5.86193097,11.24180279,3.21358750,0.00000000,2.37429083,7.58655930,0.11364836,2.15727799
-5.85592796,11.44262906,3.29606276,0.00000000,2.46515314,7.70065440,0.11875142,2.18422963
-5.84992496,11.62709050,3.37223509,0.00000000,2.55488312,7.80050784,0.12416222,2.20901578
-5.84392196,11.79399222,3.44126533,0.00000000,2.64259906,7.88540494,0.12984692,2.23173753
