energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,Se_s_up,Se_p_up
-6.00000000,8.19248219,1.86028801,5.20745683,0.04213002,0.26656923,0.84285427,0.51367327,0.06332521,1.83002534
-5.99399700,8.15383090,1.83447663,5.20292381,0.04081259,0.25741169,0.83989135,0.51414888,0.06199140,1.82609653
-5.98799400,8.17468930,1.82285780,5.23367966,0.03981360,0.25023558,0.84211384,0.52010015,0.06110531,1.83849200
-5.98199100,8.25661267,1.82554635,5.30094299,0.03913397,0.24504866,0.84963488,0.53161775,0.06067728,1.86738253
-5.97598799,8.39998134,1.84234095,5.40524885,0.03876716,0.24181971,0.86242910,0.54870094,0.06070894,1.91262007
-5.96998499,8.60396135,1.87272430,5.54641147,0.03869936,0.24047958,0.88032992,0.57125647,0.06119335,1.97373525
-5.96398199,8.86649362,1.91587223,5.72350285,0.03890983,0.24092307,0.90303157,0.59909942,0.06211536,2.04994282
-5.95797899,9.18431375,1.97067149,5.93484904,0.03937158,0.24301151,0.93009581,0.63195593,0.06345207,2.14015503
-5.95197599,9.55300351,2.03574611,6.17804547,0.04005219,0.24657614,0.96096333,0.66946801,0.06517356,2.24300310
-5.94597299,9.96707411,2.10949162,6.44999204,0.04091486,0.25142200,0.99496947,0.71120029,0.06724365,2.35686635
-5.93996998,10.42008016,2.19011646,6.74694803,0.04191963,0.25733258,1.03136369,0.75664879,0.06962089,2.47990843
-5.93396698,10.90476168,2.27568906,7.06460600,0.04302467,0.26407477,1.06933213,0.80525151,0.07225963,2.61011982
-5.92796398,11.41321057,2.36418944,7.39818283,0.04418774,0.27140434,1.10802235,0.85640060,0.07511113,2.74536512
-5.92196098,11.93705653,2.45356333,7.74252566,0.04536757,0.27907153,1.14656944,0.90945581,0.07812478,2.88343407
-5.91595798,12.46766647,2.54177724,8.09222921,0.04652528,0.28682684,1.18412216,0.96375889,0.08124933,3.02209429
-5.90995498,12.99635056,2.62687237,8.44176077,0.04762565,0.29442674,1.21986841,1.01864843,0.08443408,3.15914413
-5.90395198,13.51456784,2.70701539,8.78558838,0.04863834,0.30163912,1.25305863,1.07347462,0.08763001,3.29246374
-5.89794897,14.01412389,2.78054445,9.11830790,0.04953876,0.30824845,1.28302651,1.12761356,0.09079083,3.42006255
-5.89194597,14.48735363,2.84600856,9.43476416,0.05030889,0.31406035,1.30920592,1.18048035,0.09387391,3.54012151
-5.88594297,14.92728275,2.90219915,9.73016222,0.05093766,0.31890564,1.33114362,1.23154078,0.09684100,3.65102856
-5.87993997,15.32776240,2.94817257,10.00016482,0.05142115,0.32264344,1.34850732,1.28032084,0.09965881,3.75140630
-5.87393697,15.68357314,2.98326325,10.24097307,0.05176244,0.32516364,1.36108879,1.32641406,0.10229937,3.84013111
-5.86793397,15.99049565,3.00708695,10.44938821,0.05197121,0.32638830,1.36880226,1.36948615,0.10474015,3.91634319
-5.86193097,16.24534717,3.01953471,10.62285318,0.05206302,0.32627228,1.37167834,1.40927703,0.10696397,3.97944783
-5.85592796,16.44598478,3.02075802,10.75947387,0.05205844,0.32480283,1.36985403,1.44560018,0.10895880,4.02910833
-5.84992496,16.59127768,3.01114639,10.85802087,0.05198189,0.32199851,1.36355960,1.47833953,0.11071725,4.06523148
-5.84392196,16.68105237,2.99129868,10.91791316,0.05186047,0.31790715,1.35310305,1.50744413,0.11223605,4.08794679
-5.83791896,16.71601563,2.96198986,10.93918632,0.05172263,0.31260331,1.33885322,1.53292111,0.11351531,4.09758112
-5.83191596,16.69766088,2.92413504,10.92244804,0.05159688,0.30618514,1.32122253,1.55482737,0.11455785,4.09463013
-5.82591296,16.62816382,2.87875244,10.86882406,0.05151062,0.29877083,1.30065012,1.57326049,0.11536839,4.07972834
-5.81990995,16.51027337,2.82692712,10.77989788,0.05148896,0.29049485,1.27758625,1.58834961,0.11595294,4.05361948
-5.81390695,16.34720326,2.76977704,10.65764727,0.05155387,0.28150405,1.25247879,1.60024668,0.11631810,4.01712835
-5.80790395,16.14252898,2.70842269,10.50438039,0.05172344,0.27195384,1.22576195,1.60911866,0.11647065,3.97113561
-5.80190095,15.90009374,2.64396117,10.32267368,0.05201144,0.26200441,1.19784788,1.61514101,0.11641714,3.91655624
-5.79589795,15.62392593,2.57744554,10.11531340,0.05242708,0.25181732,1.16912096,1.61849282,0.11616381,3.85432219
-5.78989495,15.31816919,2.50986941,9.88524166,0.05297510,0.24155227,1.13993471,1.61935369,0.11571649,3.78536948
-5.78389195,14.98702521,2.44215683,9.63550762,0.05365600,0.23136433,1.11061104,1.61790231,0.11508086,3.71062934
-5.77788894,14.63470806,2.37515681,9.36922359,0.05446652,0.22140149,1.08144142,1.61431661,0.11426268,3.63102302
-5.77188594,14.26540810,2.30964197,9.08952566,0.05540027,0.21180267,1.05268924,1.60877522,0.11326828,3.54745939
-5.76588294,13.88326289,2.24631011,8.79953798,0.05644842,0.20269598,1.02459294,1.60145976,0.11210499,3.46083441
-5.75987994,13.49233233,2.18578789,8.50233978,0.05760045,0.19419744,0.99736929,1.59255752,0.11078167,3.37203134
-5.75387694,13.09657493,2.12863530,8.20093423,0.05884492,0.18640991,0.97121612,1.58226402,0.10930920,3.28192069
-5.74787394,12.69982296,2.07535016,7.89821827,0.06017007,0.17942229,0.94631428,1.57078491,0.10770080,3.19135901
-5.74187094,12.30575422,2.02637152,7.59695302,0.06156441,0.17330892,0.92282825,1.55833675,0.10597239,3.10118551
-5.73586793,11.91785941,1.98208148,7.29973448,0.06301705,0.16812910,0.90090552,1.54514636,0.10414259,3.01221632
-5.72986493,11.53940457,1.94280484,7.00896476,0.06451793,0.16392676,0.88067440,1.53144844,0.10223271,2.92523578
-5.72386193,11.17338921,1.90880652,6.72682444,0.06605776,0.16073018,0.86224067,1.51748137,0.10026637,2.84098509
-5.71785893,10.82250156,1.88028676,6.45524680,0.06762791,0.15855183,0.84568319,1.50348135,0.09826905,2.76014854
-5.71185593,10.48907299,1.85737462,6.19589522,0.06921996,0.15738828,0.83104894,1.48967500,0.09626736,2.68333797
-5.70585293,10.17503437,1.84012015,5.95014480,0.07082530,0.15722019,0.81834790,1.47627089,0.09428820,2.61107643
-5.69984992,9.88187732,1.82848620,5.71906958,0.07243449,0.15801242,0.80754835,1.46345045,0.09235780,2.54378192
-5.69384692,9.61062350,1.82234056,5.50343643,0.07403670,0.15971435,0.79857300,1.45135892,0.09050065,2.48175253
-5.68784392,9.36180474,1.82144941,5.30370650,0.07561912,0.16226037,0.79129658,1.44009693,0.08873851,2.42515393
-5.68184092,9.13545644,1.82547294,5.12004479,0.07716649,0.16557053,0.78554506,1.42971332,0.08708939,2.37401036
-5.67583792,8.93112603,1.83396383,4.95233796,0.07866072,0.16955160,0.78109697,1.42019988,0.08556673,2.32820005
-5.66983492,8.74789737,1.84636925,4.80022010,0.08008077,0.17409828,0.77768685,1.41148837,0.08417866,2.28745559
-5.66383192,8.58443117,1.86203674,4.66310563,0.08140266,0.17909481,0.77501096,1.40345027,0.08292757,2.25136983
-5.65782891,8.43902032,1.88022413,4.54022822,0.08259978,0.18441682,0.77273485,1.39589946,0.08180986,2.21940721
-5.65182591,8.30965842,1.90011341,4.43068396,0.08364338,0.18993348,0.77050290,1.38859768,0.08081599,2.19092041
-5.64582291,8.19411876,1.92082822,4.33347717,0.08450336,0.19550992,0.76794909,1.38126288,0.07993084,2.16517169
-5.63981991,8.09004033,1.94145438,4.24756658,0.08514915,0.20100983,0.76470872,1.37357990,0.07913422,2.14135816
-5.63381691,7.99501720,1.96106279,4.17190998,0.08555080,0.20629818,0.76043045,1.36521306,0.07840180,2.11863990
-5.62781391,7.90668719,1.97873375,4.10550519,0.08568015,0.21124405,0.75478813,1.35582010,0.07770603,2.09616965
-5.62181091,7.82281580,1.99358177,4.04742564,0.08551201,0.21572339,0.74749188,1.34506678,0.07701736,2.07312289
-5.61580790,7.74137178,2.00477987,3.99684893,0.08502528,0.21962172,0.73829781,1.33264134,0.07630552,2.04872686
-5.60980490,7.66059096,2.01158243,3.95307728,0.08420405,0.22283660,0.72701611,1.31826822,0.07554077,2.02228734
-5.60380190,7.57902574,2.01334557,3.91554915,0.08303843,0.22527989,0.71351697,1.30172036,0.07469518,1.99321198
-5.59779890,7.49557835,2.00954449,3.88384163,0.08152523,0.22687960,0.69773425,1.28282947,0.07374378,1.96102930
-5.59179590,7.40951689,1.99978695,3.85766397,0.07966836,0.22758135,0.67966672,1.26149380,0.07266562,1.92540257
-5.58579290,7.32047396,1.98382251,3.83684275,0.07747899,0.22734943,0.65937688,1.23768321,0.07144456,1.88613813
-5.57978989,7.22842845,1.96154730,3.82129970,0.07497537,0.22616728,0.63698757,1.21144126,0.07006991,1.84318805
-5.57378689,7.13367212,1.93300421,3.81102356,0.07218243,0.22403756,0.61267649,1.18288437,0.06853680,1.79664700
-5.56778389,7.03676291,1.89837854,3.80603745,0.06913108,0.22098164,0.58666900,1.15219811,0.06684627,1.74674395
-5.56178089,6.93846771,1.85798957,3.80636361,0.06585733,0.21703863,0.55922965,1.11963100,0.06500519,1.69382906
-5.55577789,6.83969751,1.81227824,3.81198728,0.06240118,0.21226400,0.53065268,1.08548599,0.06302583,1.63835653
-5.54977489,6.74143835,1.76179165,3.82282150,0.05880547,0.20672770,0.50125217,1.05011026,0.06092537,1.58086441
-5.54377189,6.64468109,1.70716494,3.83867469,0.05511461,0.20051209,0.47135197,1.01388364,0.05872509,1.52195220
-5.53776888,6.55035364,1.64910121,3.85922255,0.05137328,0.19370945,0.44127609,0.97720632,0.05644951,1.46225730
-5.53176588,6.45925825,1.58835036,3.88398576,0.04762527,0.18641939,0.41133966,0.94048624,0.05412547,1.40243135
-5.52576288,6.37201698,1.52568737,3.91231468,0.04391231,0.17874620,0.38184093,0.90412675,0.05178105,1.34311731
-5.51975988,6.28902734,1.46189099,3.94338198,0.04027309,0.17079608,0.35305434,0.86851489,0.04944460,1.28492817
-5.51375688,6.21043017,1.39772326,3.97618372,0.03674247,0.16267451,0.32522504,0.83401081,0.04714375,1.22842808
-5.50775388,6.13609078,1.33391078,4.00954934,0.03335080,0.15448383,0.29856468,0.80093847,0.04490456,1.17411637
-5.50175088,6.06559428,1.27112800,4.04216024,0.03012353,0.14632091,0.27324875,0.76957813,0.04275066,1.12241501
-5.49574787,5.99825497,1.20998321,4.07257683,0.02708096,0.13827525,0.24941519,0.74016059,0.04070267,1.07365963
-5.48974487,5.93313932,1.15100735,4.09927286,0.02423815,0.13042736,0.22716433,0.71286331,0.03877767,1.02809447
-5.48374187,5.86910147,1.09464607,4.12067630,0.02160512,0.12284751,0.20655996,0.68780865,0.03698886,0.98587085
-5.47773887,5.80482939,1.04125497,4.13521497,0.01918705,0.11559487,0.18763142,0.66506382,0.03534542,0.94704933
-5.47173587,5.73889978,0.99109807,4.14136538,0.01698473,0.10871710,0.17037645,0.64464275,0.03385245,0.91160491
-5.46573287,5.66983881,0.94434927,4.13770273,0.01499500,0.10225029,0.15476466,0.62650949,0.03251115,0.87943512
-5.45972986,5.59618608,0.90109663,4.12294995,0.01321134,0.09621921,0.14074148,0.61058301,0.03131905,0.85037017
-5.45372686,5.51655861,0.86134893,4.09602373,0.01162445,0.09063794,0.12823226,0.59674302,0.03027040,0.82418487
-5.44772386,5.42971181,0.82504414,4.05607529,0.01022283,0.08551073,0.11714654,0.58483660,0.02935664,0.80061144
-5.44172086,5.33459447,0.79205933,4.00252408,0.00899338,0.08083307,0.10738218,0.57468522,0.02856689,0.77935269
-5.43571786,5.23039511,0.76222127,3.93508261,0.00792194,0.07659282,0.09882928,0.56609187,0.02788855,0.76009498
-5.42971486,5.11657744,0.73531737,3.85377121,0.00699379,0.07277156,0.09137381,0.55884791,0.02730778,0.74252036
-5.42371186,4.99290330,0.71110636,3.75892182,0.00619409,0.06934577,0.08490081,0.55273945,0.02681010,0.72631730
-5.41770885,4.85944198,0.68932824,3.65117047,0.00550826,0.06628811,0.07929718,0.54755291,0.02638083,0.71118992
-5.41170585,4.71656568,0.66971315,3.53143875,0.00492229,0.06356851,0.07445393,0.54307971,0.02600557,0.69686507
-5.40570285,4.56493161,0.65198894,3.40090483,0.00442296,0.06115521,0.07026796,0.53911979,0.02567051,0.68309749
-5.39969985,4.40545186,0.63588719,3.26096564,0.00399804,0.05901556,0.06664337,0.53548420,0.02536275,0.66967274
-5.39369685,4.23925287,0.62114778,3.11319161,0.00363636,0.05711677,0.06349228,0.53199651,0.02507047,0.65640823
-5.38769385,4.06762697,0.60752200,2.95927632,0.00332792,0.05542645,0.06073531,0.52849340,0.02478309,0.64315242
-5.38169085,3.89197860,0.59477435,2.80098320,0.00306386,0.05391302,0.05830160,0.52482445,0.02449127,0.62978260
-5.37568784,3.71376833,0.58268340,2.64009183,0.00283646,0.05254597,0.05612869,0.52085147,0.02418696,0.61620164
-5.36968484,3.53445763,0.57104188,2.47834605,0.00263908,0.05129613,0.05416205,0.51644752,0.02386330,0.60233400
-5.36368184,3.35545710,0.55965639,2.31740628,0.00246606,0.05013577,0.05235453,0.51149586,0.02351454,0.58812157
