energy_ev,total_up,Hf_p_up,Hf_d_up,S_s_up,S_p_up,Sb_p_up,Sb_d_up
-6.00000000,1.54184542,1.03118948,0.55057342,0.01098522,0.98796969,0.19638066,0.00117041
-5.99399700,1.63945449,1.10047093,0.58868237,0.01153886,1.05804444,0.20193912,0.00126409
-5.98799400,1.74213359,1.17308514,0.62873694,0.01210245,1.13091182,0.20848644,0.00136439
-5.98199100,1.84923415,1.24837887,0.67054286,0.01267244,1.20605762,0.21602444,0.00147092
-5.97598799,1.96001830,1.32562313,0.71388228,0.01324541,1.28292702,0.22452814,0.00158321
-5.96998499,2.07366457,1.40402440,0.75851319,0.01381807,1.36092942,0.23394566,0.00170070
-5.96398199,2.18927470,1.48273767,0.80416872,0.01438727,1.43944339,0.24419870,0.00182269
-5.95797899,2.30588169,1.56088107,0.85055641,0.01494998,1.51782189,0.25518379,0.00194840
-5.95197599,2.42245899,1.63755163,0.89735777,0.01550325,1.59539783,0.26677404,0.00207693
-5.94597299,2.53793095,1.71184184,0.94422823,0.01604414,1.67148989,0.27882156,0.00220725
-5.93996998,2.65118449,1.78285647,0.99079774,0.01656971,1.74540884,0.29116034,0.00233827
-5.93396698,2.76108199,1.84972928,1.03667225,0.01707694,1.81646419,0.30360965,0.00246877
-5.92796398,2.86647550,1.91163910,1.08143624,0.01756269,1.88397148,0.31597780,0.00259745
-5.92196098,2.96622198,1.96782505,1.12465643,0.01802365,1.94725998,0.32806624,0.00272298
-5.91595798,3.05919990,2.01760036,1.16588678,0.01845630,2.00568103,0.33967396,0.00284394
-5.90995498,3.14432664,2.06036459,1.20467479,0.01885693,2.05861689,0.35060202,0.00295893
-5.90395198,3.22057689,2.09561412,1.24056908,0.01922156,2.10548999,0.36065818,0.00306656
-5.89794897,3.28700156,2.12295065,1.27312812,0.01954606,2.14577273,0.36966150,0.00316548
-5.89194597,3.34274706,2.14208764,1.30192993,0.01982611,2.17899735,0.37744686,0.00325441
-5.88594297,3.38707446,2.15285478,1.32658250,0.02005735,2.20476604,0.38386917,0.00333219
-5.87993997,3.41937801,2.15520039,1.34673447,0.02023541,2.22276074,0.38880729,0.00339783
-5.87393697,3.43920266,2.14919183,1.36208597,0.02035607,2.23275254,0.39216745,0.00345049
-5.86793397,3.44625973,2.13501402,1.37239883,0.02041537,2.23461022,0.39388606,0.00348956
-5.86193097,3.44044022,2.11296612,1.37750602,0.02040980,2.22830770,0.39393185,0.00351467
-5.85592796,3.42182510,2.08345640,1.37731971,0.02033640,2.21392979,0.39230723,0.00352570
-5.84992496,3.39069179,2.04699535,1.37183756,0.02019298,2.19167606,0.38904876,0.00352282
-5.84392196,3.34751640,2.00418711,1.36114685,0.01997822,2.16186225,0.38422669,0.00350648
-5.83791896,3.29297100,1.95571920,1.34542617,0.01969182,2.12491911,0.37794364,0.00347740
-5.83191596,3.22791583,1.90235068,1.32494437,0.01933460,2.08138813,0.37033225,0.00343659
-5.82591296,3.15338600,1.84489868,1.30005670,0.01890861,2.03191426,0.36155198,0.00338532
-5.81990995,3.07057275,1.78422355,1.27119807,0.01841711,1.97723538,0.35178514,0.00332508
-5.81390695,2.98079968,1.72121263,1.23887360,0.01786461,1.91816864,0.34123212,0.00325755
-5.80790395,2.88549410,1.65676314,1.20364667,0.01725681,1.85559404,0.33010610,0.00318459
-5.80190095,2.78615450,1.59176416,1.16612473,0.01660052,1.79043540,0.31862734,0.00310815
-5.79589795,2.68431499,1.52707841,1.12694353,0.01590355,1.72363948,0.30701718,0.00303023
-5.78989495,2.58150772,1.46352415,1.08675016,0.01517452,1.65615375,0.29549208,0.00295285
-5.78389195,2.47922473,1.40185774,1.04618551,0.01442270,1.58890361,0.28425771,0.00287793
-5.77788894,2.37888055,1.34275751,1.00586699,0.01365782,1.52276998,0.27350339,0.00280732
-5.77188594,2.28177684,1.28680957,0.96637197,0.01288981,1.45856793,0.26339717,0.00274265
-5.76588294,2.18907060,1.23449595,0.92822268,0.01212864,1.39702741,0.25408141,0.00268537
-5.75987994,2.10174713,1.18618592,0.89187318,0.01138406,1.33877663,0.24566933,0.00263663
-5.75387694,2.02059875,1.14213067,0.85769886,0.01066545,1.28432901,0.23824248,0.00259730
-5.74787394,1.94621021,1.10246180,0.82598885,0.00998163,1.23407401,0.23184919,0.00256791
-5.74187094,1.87895139,1.06719380,0.79694163,0.00934071,1.18827236,0.22650418,0.00254867
-5.73586793,1.81897736,1.03623049,0.77066398,0.00875000,1.14705571,0.22218914,0.00253942
-5.72986493,1.76623594,1.00937523,0.74717314,0.00821590,1.11043080,0.21885449,0.00253968
-5.72386193,1.72048215,0.98634465,0.72640214,0.00774388,1.07828780,0.21642204,0.00254865
-5.71785893,1.68129900,0.96678517,0.70820782,0.00733841,1.05041238,0.21478855,0.00256525
-5.71185593,1.64812356,0.95029190,0.69238129,0.00700300,1.02650098,0.21383004,0.00258816
-5.70585293,1.62027703,0.93642881,0.67866017,0.00674021,1.00617846,0.21340672,0.00261584
-5.69984992,1.59699765,0.92474956,0.66674207,0.00655167,0.98901731,0.21336823,0.00264665
-5.69384692,1.57747482,0.91481797,0.65629876,0.00643810,0.97455766,0.21355916,0.00267883
