energy_ev,total_up,N_s_up,N_p_up,Na_s_up,S_s_up,S_p_up,Y_p_up,Y_d_up
-6.00000000,2.93638260,0.00706642,0.11494865,1.12510688,0.04043152,1.69633884,0.70546606,0.33327289
-5.99399700,3.07090790,0.00746632,0.11963817,1.17576624,0.04222598,1.77511832,0.73913372,0.34879609
-5.98799400,3.19534812,0.00784124,0.12375364,1.22278301,0.04382905,1.84836698,0.77108136,0.36301185
-5.98199100,3.30745067,0.00818486,0.12721710,1.26536500,0.04521193,1.91476640,0.80077387,0.37567055
-5.97598799,3.40518585,0.00849127,0.12996468,1.30279952,0.04635022,1.97311723,0.82770613,0.38655227
-5.96998499,3.48680199,0.00875519,0.13194832,1.33447209,0.04722461,2.02237202,0.85141734,0.39547272
-5.96398199,3.55087273,0.00897207,0.13313694,1.35988210,0.04782134,2.06166389,0.87150413,0.40228802
-5.95797899,3.59633469,0.00913825,0.13351699,1.37865476,0.04813263,2.09032984,0.88763204,0.40689832
-5.95197599,3.62251362,0.00925104,0.13309261,1.39054869,0.04815672,2.10792771,0.89954461,0.40924996
-5.94597299,3.62913797,0.00930886,0.13188502,1.39545922,0.04789790,2.11424595,0.90706999,0.40933617
-5.93996998,3.61633946,0.00931123,0.12993154,1.39341688,0.04736623,2.10930596,0.91012465,0.40719630
-5.93396698,3.58464081,0.00925885,0.12728400,1.38458179,0.04657714,2.09335695,0.90871412,0.40291351
-5.92796398,3.53493131,0.00915352,0.12400687,1.36923398,0.04555085,2.06686361,0.90293078,0.39661126
-5.92196098,3.46843171,0.00899817,0.12017495,1.34776046,0.04431167,2.03048745,0.89294900,0.38844856
-5.91595798,3.38665019,0.00879671,0.11587104,1.32063983,0.04288727,1.98506263,0.87901777,0.37861444
-5.90995498,3.29133161,0.00855400,0.11118335,1.28842512,0.04130780,1.93156758,0.86145135,0.36732173
-5.90395198,3.18440241,0.00827563,0.10620311,1.25172588,0.03960507,1.87109376,0.84061841,0.35480054
-5.89794897,3.06791366,0.00796787,0.10102225,1.21119033,0.03781175,1.80481290,0.81693014,0.34129167
-5.89194597,2.94398452,0.00763743,0.09573126,1.16748823,0.03596060,1.73394415,0.79082794,0.32704025
-5.88594297,2.81474839,0.00729134,0.09041745,1.12129535,0.03408376,1.65972241,0.76277112,0.31228982
-5.87993997,2.68230351,0.00693674,0.08516348,1.07327965,0.03221221,1.58336888,0.73322522,0.29727706
-5.87393697,2.54866940,0.00658076,0.08004622,1.02408984,0.03037523,1.50606482,0.70265112,0.28222721
-5.86793397,2.41575017,0.00623030,0.07513604,0.97434616,0.02860005,1.42892907,0.67149555,0.26735046
-5.86193097,2.28530519,0.00589194,0.07049637,0.92463336,0.02691158,1.35299968,0.64018287,0.25283909
-5.85592796,2.15892712,0.00557176,0.06618356,0.87549586,0.02533219,1.27921985,0.60910853,0.23886553
-5.84992496,2.03802706,0.00527525,0.06224694,0.82743446,0.02388161,1.20842799,0.57863407,0.22558117
-5.84392196,1.92382606,0.00500720,0.05872910,0.78090445,0.02257686,1.14135156,0.54908358,0.21311589
-5.83791896,1.81735211,0.00477165,0.05566619,0.73631459,0.02143224,1.07860427,0.52074159,0.20157807
-5.83191596,1.71944161,0.00457179,0.05308830,0.69402656,0.02045929,1.02068607,0.49385215,0.19105508
-5.82591296,1.63074418,0.00440995,0.05101982,0.65435453,0.01966682,0.96798526,0.46861890,0.18161413
-5.81990995,1.55172971,0.00428758,0.04947969,0.61756455,0.01906084,0.92078222,0.44520585,0.17330310
-5.81390695,1.48269687,0.00420524,0.04848159,0.58387362,0.01864459,0.87925411,0.42373883,0.16615169
-5.80790395,1.42378206,0.00416263,0.04803398,0.55344839,0.01841841,0.84348018,0.40430722,0.16017233
-5.80190095,1.37496857,0.00415860,0.04814006,0.52640349,0.01837977,0.81344729,0.38696589,0.15536123
-5.79589795,1.33609531,0.00419122,0.04879760,0.50279970,0.01852311,0.78905548,0.37173726,0.15169917
-5.78989495,1.30686521,0.00425779,0.04999868,0.48264220,0.01883988,0.77012338,0.35861331,0.14915234
-5.78389195,1.28685335,0.00435498,0.05172945,0.46587925,0.01931843,0.75639365,0.34755758,0.14767306
-5.77788894,1.27551501,0.00447884,0.05396980,0.45240144,0.01994408,0.74753843,0.33850707,0.14720047
-5.77188594,1.27219403,0.00462494,0.05669317,0.44204214,0.02069919,0.74316503,0.33137414,0.14766131
-5.76588294,1.27613192,0.00478844,0.05986633,0.43457919,0.02156336,0.74282208,0.32604835,0.14897069
-5.75987994,1.28647807,0.00496418,0.06344939,0.42973807,0.02251364,0.74600628,0.32239841,0.15103309
-5.75387694,1.30230150,0.00514683,0.06739592,0.42719689,0.02352489,0.75217007,0.32027416,0.15374348
-5.74787394,1.32260425,0.00533099,0.07165318,0.42659297,0.02457029,0.76073013,0.31950876,0.15698870
-5.74187094,1.34633665,0.00551129,0.07616265,0.42753102,0.02562184,0.77107699,0.31992100,0.16064897
-5.73586793,1.37241438,0.00568253,0.08086063,0.42959281,0.02665098,0.78258556,0.32131786,0.16459973
-5.72986493,1.39973706,0.00583977,0.08567911,0.43234790,0.02762934,0.79462645,0.32349729,0.16871362
-5.72386193,1.42720810,0.00597846,0.09054671,0.43536509,0.02852940,0.80657787,0.32625119,0.17286260
-5.71785893,1.45375521,0.00609453,0.09538982,0.43822418,0.02932529,0.81783795,0.32936854,0.17692025
-5.71185593,1.47835105,0.00618446,0.10013379,0.44052751,0.02999345,0.82783674,0.33263870,0.18076400
-5.70585293,1.50003330,0.00624539,0.10470417,0.44191081,0.03051333,0.83604800,0.33585475,0.18427744
-5.69984992,1.51792354,0.00627514,0.10902808,0.44205289,0.03086793,0.84199986,0.33881692,0.18735247
-5.69384692,1.53124415,0.00627226,0.11303545,0.44068378,0.03104431,0.84528433,0.34133580,0.18989127
-5.68784392,1.53933281,0.00623604,0.11666026,0.43759101,0.03103389,0.84556513,0.34323559,0.19180809
-5.68184092,1.54165399,0.00616651,0.11984179,0.43262367,0.03083264,0.84258356,0.34435698,0.19303069
-5.67583792,1.53780701,0.00606441,0.12252567,0.42569430,0.03044112,0.83616223,0.34455986,0.19350150
-5.66983492,1.52753066,0.00593115,0.12466490,0.41677848,0.02986434,0.82620655,0.34372557,0.19317842
-5.66383192,1.51070411,0.00576874,0.12622069,0.40591223,0.02911149,0.81270389,0.34175882,0.19203520
-5.65782891,1.48734425,0.00557970,0.12716316,0.39318746,0.02819553,0.79572065,0.33858910,0.19006155
-5.65182591,1.45759972,0.00536700,0.12747196,0.37874570,0.02713264,0.77539715,0.33417160,0.18726278
-5.64582291,1.42174198,0.00513393,0.12713660,0.36277054,0.02594166,0.75194087,0.32848763,0.18365927
-5.63981991,1.38015374,0.00488405,0.12615672,0.34547903,0.02464336,0.72561821,0.32154445,0.17928545
-5.63381691,1.33331544,0.00462102,0.12454214,0.32711269,0.02325977,0.69674509,0.31337462,0.17418875
-5.62781391,1.28179010,0.00434855,0.12231267,0.30792825,0.02181350,0.66567694,0.30403477,0.16842812
-5.62181091,1.22620731,0.00407031,0.11949785,0.28818879,0.02032702,0.63279821,0.29360392,0.16207259
-5.61580790,1.16724674,0.00378984,0.11613643,0.26815541,0.01882210,0.59851207,0.28218134,0.15519957
-5.60980490,1.10562177,0.00351046,0.11227566,0.24807979,0.01731924,0.56323035,0.26988393,0.14789316
-5.60380190,1.04206368,0.00323527,0.10797048,0.22819791,0.01583725,0.52736424,0.25684341,0.14024243
