energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up
-6.00000000,8.01632482,0.02516540,0.73420888,0.02655146,0.00000000,6.84843932,4.90854925,1.60349316,0.00000000
-5.99399700,7.98825244,0.02595815,0.72451434,0.02705295,0.00000000,6.84719752,4.87521029,1.61685520,0.00000000
-5.98799400,7.95049226,0.02674535,0.71434688,0.02759128,0.00000000,6.83942675,4.83497060,1.62912216,0.00000000
-5.98199100,7.90317072,0.02751017,0.70371879,0.02815829,0.00000000,6.82427358,4.78823480,1.64015108,0.00000000
-5.97598799,7.84659336,0.02823487,0.69266044,0.02874478,0.00000000,6.80106089,4.73553432,1.64980549,0.00000000
-5.96998499,7.78120502,0.02890138,0.68121678,0.02934063,0.00000000,6.76928666,4.67749276,1.65795209,0.00000000
-5.96398199,7.70754710,0.02949185,0.66944341,0.02993495,0.00000000,6.72861643,4.61478929,1.66445791,0.00000000
-5.95797899,7.62621453,0.02998927,0.65740237,0.03051630,0.00000000,6.67887046,4.54812213,1.66918813,0.00000000
-5.95197599,7.53781531,0.03037806,0.64515815,0.03107285,0.00000000,6.62000703,4.47817430,1.67200494,0.00000000
-5.94597299,7.44293508,0.03064461,0.63277391,0.03159265,0.00000000,6.55210351,4.40558362,1.67276760,0.00000000
-5.93996998,7.34210911,0.03077781,0.62030825,0.03206389,0.00000000,6.47533677,4.33091865,1.67133400,0.00000000
-5.93396698,7.23580344,0.03076943,0.60781268,0.03247519,0.00000000,6.38996480,4.25466195,1.66756365,0.00000000
-5.92796398,7.12440635,0.03061447,0.59533004,0.03281586,0.00000000,6.29631083,4.17720151,1.66132221,0.00000000
-5.92196098,7.00823071,0.03031133,0.58289380,0.03307626,0.00000000,6.19475137,4.09883072,1.65248739,0.00000000
-5.91595798,6.88752684,0.02986191,0.57052835,0.03324810,0.00000000,6.08570882,4.01975663,1.64095598,0.00000000
-5.90995498,6.76250485,0.02927154,0.55825029,0.03332470,0.00000000,5.96964918,3.94011576,1.62665167,0.00000000
-5.90395198,6.63336464,0.02854880,0.54607054,0.03330131,0.00000000,5.84708460,3.85999606,1.60953322,0.00000000
-5.89794897,6.50033137,0.02770526,0.53399714,0.03317534,0.00000000,5.71858021,3.77946340,1.58960247,0.00000000
-5.89194597,6.36369321,0.02675504,0.52203851,0.03294657,0.00000000,5.58476423,3.69859046,1.56691156,0.00000000
-5.88594297,6.22383873,0.02571436,0.51020695,0.03261724,0.00000000,5.44633971,3.61748587,1.54156893,0.00000000
-5.87993997,6.08129037,0.02460102,0.49852214,0.03219215,0.00000000,5.30409646,3.53632118,1.51374341,0.00000000
-5.87393697,5.93673136,0.02343381,0.48701422,0.03167865,0.00000000,5.15892112,3.45535376,1.48366605,0.00000000
-5.86793397,5.79102329,0.02223189,0.47572640,0.03108649,0.00000000,5.01180377,3.37494363,1.45162927,0.00000000
-5.86193097,5.64521248,0.02101429,0.46471667,0.03042768,0.00000000,4.86383930,3.29556276,1.41798308,0.00000000
-5.85592796,5.50052387,0.01979931,0.45405857,0.02971615,0.00000000,4.71622237,3.21779606,1.38312847,0.00000000
-5.84992496,5.35834192,0.01860404,0.44384089,0.02896743,0.00000000,4.57023499,3.14233359,1.34750790,0.00000000
-5.84392196,5.22017913,0.01744395,0.43416613,0.02819820,0.00000000,4.42722651,3.06995426,1.31159332,0.00000000
-5.83791896,5.08763336,0.01633255,0.42514791,0.02742580,0.00000000,4.28858618,3.00150185,1.27587216,0.00000000
-5.83191596,4.96233613,0.01528114,0.41690736,0.02666766,0.00000000,4.15570912,2.93785476,1.24083188,0.00000000
-5.82591296,4.84589465,0.01429864,0.40956865,0.02594082,0.00000000,4.02995713,2.87989120,1.20694388,0.00000000
-5.81990995,4.73983076,0.01339151,0.40325398,0.02526131,0.00000000,3.91261612,2.82845192,1.17464750,0.00000000
-5.81390695,4.64552026,0.01256383,0.39807817,0.02464364,0.00000000,3.80485249,2.78430280,1.14433492,0.00000000
-5.80790395,4.56413631,0.01181733,0.39414337,0.02410033,0.00000000,3.70767074,2.74809954,1.11633790,0.00000000
-5.80190095,4.49659999,0.01115162,0.39153401,0.02364148,0.00000000,3.62187503,2.72035658,1.09091688,0.00000000
-5.79589795,4.44354120,0.01056438,0.39031240,0.02327442,0.00000000,3.54803687,2.70142212,1.06825320,0.00000000
-5.78989495,4.40527210,0.01005169,0.39051533,0.02300350,0.00000000,3.48647122,2.69146081,1.04844488,0.00000000
-5.78389195,4.38177488,0.00960829,0.39215167,0.02282993,0.00000000,3.43722270,2.69044502,1.03150606,0.00000000
-5.77788894,4.37270445,0.00922795,0.39520141,0.02275179,0.00000000,3.40006301,2.69815530,1.01737040,0.00000000
-5.77188594,4.37740629,0.00890378,0.39961597,0.02276411,0.00000000,3.37450026,2.71418990,1.00589818,0.00000000
-5.76588294,4.39494836,0.00862856,0.40532000,0.02285910,0.00000000,3.35979993,2.73798279,0.99688667,0.00000000
-5.75987994,4.42416536,0.00839509,0.41221433,0.02302647,0.00000000,3.35501675,2.76882919,0.99008349,0.00000000
-5.75387694,4.46371323,0.00819640,0.42018022,0.02325381,0.00000000,3.35903611,2.80591703,0.98520213,0.00000000
-5.74787394,4.51213064,0.00802605,0.42908430,0.02352714,0.00000000,3.37062273,2.84836268,0.98193883,0.00000000
-5.74187094,4.56790448,0.00787832,0.43878425,0.02383139,0.00000000,3.38847440,2.89524888,0.97999022,0.00000000
-5.73586793,4.62953586,0.00774835,0.44913466,0.02415099,0.00000000,3.41127771,2.94566293,0.97907050,0.00000000
-5.72986493,4.69560311,0.00763227,0.45999280,0.02447052,0.00000000,3.43776300,2.99873309,0.97892771,0.00000000
-5.72386193,4.76481882,0.00752725,0.47122393,0.02477519,0.00000000,3.46675550,3.05366130,0.97935799,0.00000000
-5.71785893,4.83607788,0.00743154,0.48270590,0.02505149,0.00000000,3.49721989,3.10975079,0.98021736,0.00000000
-5.71185593,4.90849457,0.00734441,0.49433266,0.02528757,0.00000000,3.52829590,3.16642717,0.98143042,0.00000000
-5.70585293,4.98142682,0.00726614,0.50601664,0.02547373,0.00000000,3.55932315,3.22325233,0.98299554,0.00000000
-5.69984992,5.05448703,0.00719788,0.51768968,0.02560272,0.00000000,3.58985382,3.27993063,0.98498642,0.00000000
-5.69384692,5.12753917,0.00714156,0.52930273,0.02566991,0.00000000,3.61965267,3.33630749,0.98754996,0.00000000
-5.68784392,5.20068291,0.00709976,0.54082413,0.02567345,0.00000000,3.64868463,3.39236087,0.99090053,0.00000000
-5.68184092,5.27422604,0.00707555,0.55223685,0.02561427,0.00000000,3.67709060,3.44818645,0.99531102,0.00000000
-5.67583792,5.34864727,0.00707232,0.56353477,0.02549590,0.00000000,3.70515344,3.50397771,1.00110112,0.00000000
-5.66983492,5.42455156,0.00709366,0.57471837,0.02532433,0.00000000,3.73325583,3.56000234,1.00862331,0.00000000
-5.66383192,5.50262103,0.00714319,0.58579016,0.02510769,0.00000000,3.76183296,3.61657659,1.01824736,0.00000000
-5.65782891,5.58356410,0.00722441,0.59675017,0.02485585,0.00000000,3.79132277,3.67403900,1.03034395,0.00000000
