energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Te_p_up,Te_d_up
-6.00000000,3.75837409,0.00159538,0.76139491,2.63205110,2.37434211,0.53127967,0.00000000
-5.99399700,3.87874597,0.00166524,0.78162013,2.72923725,2.44178889,0.55369253,0.00000000
-5.98799400,3.99472653,0.00175287,0.79948331,2.82055637,2.50722610,0.57637418,0.00000000
-5.98199100,4.10605855,0.00185618,0.81491243,2.90535957,2.57069298,0.59925995,0.00000000
-5.97598799,4.21260589,0.00197279,0.82788359,2.98310259,2.63230352,0.62228475,0.00000000
-5.96998499,4.31433400,0.00210015,0.83841790,3.05334635,2.69222817,0.64538040,0.00000000
-5.96398199,4.41128552,0.00223553,0.84657669,3.11575366,2.75067247,0.66847260,0.00000000
-5.95797899,4.50355222,0.00237610,0.85245532,3.17008250,2.80785378,0.69147792,0.00000000
-5.95197599,4.59124510,0.00251900,0.85617582,3.21617667,2.86397731,0.71430095,0.00000000
-5.94597299,4.67446444,0.00266138,0.85787887,3.25395459,2.91921297,0.73683184,0.00000000
-5.93996998,4.75327176,0.00280048,0.85771551,3.28339732,2.97367427,0.75894466,0.00000000
-5.93396698,4.82766569,0.00293372,0.85583906,3.30453679,3.02740077,0.78049658,0.00000000
-5.92796398,4.89756329,0.00305872,0.85239767,3.31744513,3.08034523,0.80132820,0.00000000
-5.92196098,4.96278841,0.00317339,0.84752790,3.32222606,3.13236616,0.82126526,0.00000000
-5.91595798,5.02306802,0.00327599,0.84134975,3.31900891,3.18322674,0.84012152,0.00000000
-5.90995498,5.07803699,0.00336517,0.83396331,3.30794574,3.23260001,0.85770317,0.00000000
-5.90395198,5.12725135,0.00344000,0.82544721,3.28921176,3.28008038,0.87381433,0.00000000
-5.89794897,5.17020937,0.00350000,0.81585888,3.26300878,3.32520083,0.88826373,0.00000000
-5.89194597,5.20637940,0.00354514,0.80523655,3.22957148,3.36745495,0.90087206,0.00000000
-5.88594297,5.23523271,0.00357584,0.79360286,3.18917567,3.40632247,0.91147988,0.00000000
-5.87993997,5.25627958,0.00359296,0.78096960,3.14214780,3.44129700,0.91995550,0.00000000
-5.87393697,5.26910615,0.00359771,0.76734347,3.08887466,3.47191418,0.92620249,0.00000000
-5.86793397,5.27340981,0.00359168,0.75273217,3.02981224,3.49777863,0.93016633,0.00000000
-5.86193097,5.26903085,0.00357668,0.73715064,2.96549266,3.51858809,0.93183992,0.00000000
-5.85592796,5.25597803,0.00355475,0.72062677,2.89652831,3.53415329,0.93126727,0.00000000
-5.84992496,5.23444656,0.00352803,0.70320637,2.82361230,3.54441220,0.92854541,0.00000000
-5.84392196,5.20482689,0.00349870,0.68495694,2.74751469,3.54943788,0.92382399,0.00000000
-5.83791896,5.16770350,0.00346888,0.66597002,2.66907429,3.54943935,0.91730267,0.00000000
-5.83191596,5.12384358,0.00344056,0.64636201,2.58918579,3.54475533,0.90922616,0.00000000
-5.82591296,5.07417578,0.00341554,0.62627327,2.50878288,3.53584103,0.89987706,0.00000000
-5.81990995,5.01975998,0.00339533,0.60586565,2.42881746,3.52324883,0.88956684,0.00000000
-5.81390695,4.96174948,0.00338116,0.58531858,2.35023626,3.50760368,0.87862510,0.00000000
-5.80790395,4.90134764,0.00337387,0.56482390,2.27395547,3.48957457,0.86738777,0.00000000
-5.80190095,4.83976080,0.00337393,0.54457971,2.20083480,3.46984354,0.85618459,0.00000000
-5.79589795,4.77815017,0.00338144,0.52478371,2.13165209,3.44907382,0.84532653,0.00000000
-5.78989495,4.71758497,0.00339608,0.50562622,2.06707973,3.42787881,0.83509370,0.00000000
-5.78389195,4.65899921,0.00341721,0.48728338,2.00766401,3.40679331,0.82572430,0.00000000
-5.77788894,4.60315419,0.00344383,0.46991081,1.95380842,3.38624868,0.81740518,0.00000000
-5.77188594,4.55060872,0.00347465,0.45363812,1.90576176,3.36655293,0.81026440,0.00000000
-5.76588294,4.50169847,0.00350816,0.43856444,1.86361162,3.34787698,0.80436631,0.00000000
-5.75987994,4.45652534,0.00354265,0.42475521,1.82728349,3.33024752,0.79970918,0.00000000
-5.75387694,4.41495753,0.00357632,0.41224039,1.79654569,3.31354701,0.79622575,0.00000000
-5.74787394,4.37664027,0.00360727,0.40101408,1.77101983,3.29752076,0.79378660,0.00000000
-5.74187094,4.34101660,0.00363365,0.39103556,1.75019630,3.28179076,0.79220619,0.00000000
-5.73586793,4.30735737,0.00365365,0.38223170,1.73345423,3.26587580,0.79125137,0.00000000
-5.72986493,4.27479909,0.00366560,0.37450049,1.72008496,3.24921677,0.79065196,0.00000000
-5.72386193,4.24238780,0.00366800,0.36771565,1.70931807,3.23120626,0.79011303,0.00000000
-5.71785893,4.20912721,0.00365954,0.36173199,1.70034893,3.21122093,0.78932815,0.00000000
-5.71185593,4.17402881,0.00363921,0.35639131,1.69236668,3.18865551,0.78799323,0.00000000
-5.70585293,4.13616197,0.00360623,0.35152855,1.68458153,3.16295672,0.78582026,0.00000000
-5.69984992,4.09470171,0.00356013,0.34697804,1.67625042,3.13365581,0.78255033,0.00000000
-5.69384692,4.04897230,0.00350074,0.34257945,1.66670020,3.10039819,0.77796547,0.00000000
-5.68784392,3.99848479,0.00342819,0.33818341,1.65534749,3.06296896,0.77189868,0.00000000
-5.68184092,3.94296693,0.00334290,0.33365638,1.64171475,3.02131319,0.76424197,0.00000000
-5.67583792,3.88238434,0.00324554,0.32888483,1.62544203,2.97554996,0.75495180,0.00000000
