energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Mo_p_up,Mo_d_up,S_s_up,S_p_up
-6.00000000,3.88657914,0.01449734,0.73714830,0.57012238,0.14558479,1.98082441,0.90357475,0.03384401,1.22437327
-5.99399700,3.66774036,0.01329471,0.69790945,0.54292716,0.13390591,1.86526277,0.85665098,0.03076993,1.15218255
-5.98799400,3.44990874,0.01215225,0.65798399,0.51583856,0.12287625,1.74847585,0.80906278,0.02792407,1.08171282
-5.98199100,3.23583163,0.01108258,0.61789120,0.48919605,0.11262832,1.63203633,0.76144995,0.02532646,1.01384872
-5.97598799,3.02818903,0.01009698,0.57814183,0.46334229,0.10328425,1.51743838,0.71445096,0.02299435,0.94944845
-5.96998499,2.82955716,0.00920532,0.53922952,0.43861913,0.09495502,1.40607254,0.66869297,0.02094237,0.88933468
-5.96398199,2.64237724,0.00841603,0.50162376,0.41536348,0.08773995,1.29920554,0.62478356,0.01918265,0.83428653
-5.95797899,2.46892920,0.00773607,0.46576415,0.39390297,0.08172640,1.19796516,0.58330395,0.01772503,0.78503205
-5.95197599,2.31130938,0.00717098,0.43205618,0.37455127,0.07698963,1.10332963,0.54480356,0.01657711,0.74224112
-5.94597299,2.17141131,0.00672486,0.40086809,0.35760306,0.07359257,1.01612128,0.50979574,0.01574438,0.70651836
-5.93996998,2.05090857,0.00640046,0.37252872,0.34332870,0.07158569,0.93700373,0.47875423,0.01523028,0.67839561
-5.93396698,1.95123885,0.00619916,0.34732615,0.33196845,0.07100663,0.86648209,0.45211020,0.01503614,0.65832401
-5.92796398,1.87358818,0.00612107,0.32550684,0.32372654,0.07187974,0.80490537,0.43024941,0.01516109,0.64666526
-5.92196098,1.81887513,0.00616497,0.30727509,0.31876500,0.07421531,0.75247071,0.41350943,0.01560190,0.64368231
-5.91595798,1.78773445,0.00632839,0.29279263,0.31719761,0.07800868,0.70922885,0.40217653,0.01635277,0.64952947
-5.90995498,1.78050053,0.00660752,0.28217823,0.31908404,0.08323905,0.67509044,0.39648221,0.01740505,0.66424230
