energy_ev,total_up,Co_p_up,Co_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up,Y_p_up,Y_d_up
-6.00000000,1.38117575,0.55724048,0.32361680,0.00298021,0.07162395,0.86042474,0.00000000,0.24734970,0.17680349
-5.99399700,1.34107552,0.54349403,0.31165207,0.00309222,0.06910503,0.83590835,0.00000000,0.24853659,0.17083490
-5.98799400,1.30239498,0.53058416,0.30010378,0.00324414,0.06655790,0.81226764,0.00000000,0.25085148,0.16472512
-5.98199100,1.26650495,0.51906389,0.28926142,0.00343822,0.06405800,0.79035706,0.00000000,0.25457762,0.15866170
-5.97598799,1.23471800,0.50945711,0.27940177,0.00367627,0.06167922,0.77099413,0.00000000,0.25997403,0.15282854
-5.96998499,1.20824369,0.50223965,0.27077973,0.00395945,0.05949162,0.75493130,0.00000000,0.26726450,0.14740034
-5.96398199,1.18814662,0.49782166,0.26361959,0.00428816,0.05755947,0.74282975,0.00000000,0.27662711,0.14253735
-5.95797899,1.17530926,0.49653194,0.25810743,0.00466192,0.05593935,0.73523614,0.00000000,0.28818477,0.13838080
-5.95197599,1.17040101,0.49860489,0.25438494,0.00507922,0.05467869,0.73256325,0.00000000,0.30199725,0.13504907
-5.94597299,1.17385486,0.50417072,0.25254474,0.00553740,0.05381457,0.73507545,0.00000000,0.31805505,0.13263478
-5.93996998,1.18585262,0.51324931,0.25262775,0.00603264,0.05337298,0.74287957,0.00000000,0.33627554,0.13120288
-5.93396698,1.20631952,0.52574807,0.25462244,0.00655987,0.05336846,0.75592166,0.00000000,0.35650154,0.13078989
-5.92796398,1.23492859,0.54146405,0.25846626,0.00711282,0.05380420,0.77398981,0.00000000,0.37850270,0.13140410
-5.92196098,1.27111463,0.56009018,0.26404917,0.00768409,0.05467247,0.79672321,0.00000000,0.40197973,0.13302690
-5.91595798,1.31409775,0.58122570,0.27121907,0.00826524,0.05595557,0.82362700,0.00000000,0.42657146,0.13561515
-5.90995498,1.36291533,0.60439027,0.27978911,0.00884698,0.05762700,0.85409253,0.00000000,0.45186469,0.13910436
-5.90395198,1.41646167,0.62904151,0.28954659,0.00941936,0.05965300,0.88742246,0.00000000,0.47740652,0.14341262
-5.89794897,1.47353359,0.65459515,0.30026298,0.00997207,0.06199430,0.92285952,0.00000000,0.50271883,0.14844525
-5.89194597,1.53288045,0.68044718,0.31170490,0.01049467,0.06460798,0.95961807,0.00000000,0.52731441,0.15409963
-5.88594297,1.59325642,0.70599716,0.32364537,0.01097696,0.06744954,0.99691706,0.00000000,0.55071411,0.16027043
-5.87993997,1.65347296,0.73067159,0.33587509,0.01140923,0.07047474,1.03401311,0.00000000,0.57246443,0.16685460
-5.87393697,1.71244914,0.75394655,0.34821297,0.01178267,0.07364156,1.07023215,0.00000000,0.59215463,0.17375625
-5.86793397,1.76925759,0.77536850,0.36051570,0.01208958,0.07691181,1.10499835,0.00000000,0.60943279,0.18089089
-5.86193097,1.82316381,0.79457229,0.37268556,0.01232371,0.08025255,1.13785879,0.00000000,0.62401993,0.18818910
-5.85592796,1.87365702,0.81129562,0.38467632,0.01248041,0.08363717,1.16850283,0.00000000,0.63572158,0.19559918
-5.84992496,1.92047061,0.82538916,0.39649665,0.01255688,0.08704604,1.19677490,0.00000000,0.64443604,0.20308890
-5.84392196,1.96359132,0.83682170,0.40821077,0.01255220,0.09046680,1.22268012,0.00000000,0.65015910,0.21064596
-5.83791896,2.00325592,0.84568014,0.41993628,0.01246740,0.09389409,1.24638214,0.00000000,0.65298462,0.21827740
-5.83191596,2.03993556,0.85216411,0.43183903,0.01230542,0.09732897,1.26819309,0.00000000,0.65310103,0.22600770
-5.82591296,2.07430790,0.85657538,0.44412505,0.01207098,0.10077780,1.28855592,0.00000000,0.65078371,0.23387583
-5.81990995,2.10721814,0.85930239,0.45702993,0.01177042,0.10425084,1.30801967,0.00000000,0.64638354,0.24193120
-5.81390695,2.13963041,0.86080068,0.47080582,0.01141145,0.10776050,1.32720862,0.00000000,0.64031203,0.25022886
-5.80790395,2.17257156,0.86156980,0.48570677,0.01100288,0.11131939,1.34678682,0.00000000,0.63302368,0.25882400
-5.80190095,2.20707003,0.86212806,0.50197279,0.01055430,0.11493826,1.36741923,0.00000000,0.62499636,0.26776618
-5.79589795,2.24409241,0.86298590,0.51981347,0.01007575,0.11862397,1.38973161,0.00000000,0.61671053,0.27709347
