energy_ev,total_up,C_s_up,C_p_up,Mg_p_up,Mg_d_up,Pd_p_up,Pd_d_up,Se_s_up,Se_p_up
-6.00000000,7.10257651,0.01843425,0.80596956,0.46550016,0.00000000,5.91700545,4.15581019,0.10438148,1.49467746
-5.99399700,6.98087566,0.01785160,0.77392996,0.45696269,0.00000000,5.97869222,4.07310390,0.09843777,1.47663056
-5.98799400,6.87616287,0.01727877,0.74508807,0.44993503,0.00000000,6.07354333,3.99720331,0.09259417,1.46195215
-5.98199100,6.78897101,0.01671276,0.71968509,0.44432734,0.00000000,6.20018431,3.92871078,0.08689533,1.45058578
-5.97598799,6.71939141,0.01615070,0.69787929,0.44002610,0.00000000,6.35652277,3.86799246,0.08138150,1.44241825
-5.96998499,6.66708215,0.01559008,0.67974571,0.43689685,0.00000000,6.53977567,3.81517964,0.07608835,1.43728220
-5.96398199,6.63129043,0.01502890,0.66527867,0.43478733,0.00000000,6.74651736,3.77017841,0.07104679,1.43495998
-5.95797899,6.61088900,0.01446589,0.65439689,0.43353097,0.00000000,6.97274814,3.73268740,0.06628307,1.43518903
-5.95197599,6.60442582,0.01390058,0.64695107,0.43295089,0.00000000,7.21398220,3.70222310,0.06181880,1.43766899
-5.94597299,6.61018605,0.01333340,0.64273348,0.43286435,0.00000000,7.46535322,3.67815202,0.05767123,1.44207064
-5.93996998,6.62626453,0.01276572,0.64148928,0.43308780,0.00000000,7.72173527,3.65972858,0.05385353,1.44804669
-5.93396698,6.65064675,0.01219982,0.64292897,0.43344235,0.00000000,7.97787551,3.64613753,0.05037514,1.45524436
-5.92796398,6.68129546,0.01163888,0.64674155,0.43375967,0.00000000,8.22853503,3.63653919,0.04724225,1.46331941
-5.92196098,6.71624001,0.01108690,0.65260793,0.43388815,0.00000000,8.46863310,3.63011598,0.04445827,1.47195131
-5.91595798,6.75366469,0.01054856,0.66021383,0.43369915,0.00000000,8.69339013,3.62611805,0.04202437,1.48085893
-5.90995498,6.79199246,0.01002914,0.66926195,0.43309306,0.00000000,8.89846393,3.62390630,0.03993998,1.48981602
