energy_ev,total_up,N_s_up,N_p_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up,Zr_p_up,Zr_d_up
-6.00000000,1.77823682,0.00051999,0.52633985,0.48614319,0.00000000,0.47386777,0.01592094,0.61672413,0.49178139
-5.99399700,1.75119144,0.00048898,0.52339066,0.47296733,0.00000000,0.46383831,0.01539347,0.62542011,0.48425955
-5.98799400,1.71691006,0.00045679,0.51827904,0.45796763,0.00000000,0.45193415,0.01480464,0.63178265,0.47469769
-5.98199100,1.67611443,0.00042389,0.51111187,0.44144072,0.00000000,0.43845661,0.01416513,0.63579493,0.46324401
-5.97598799,1.62967563,0.00039077,0.50204648,0.42371397,0.00000000,0.42375049,0.01348657,0.63751584,0.45008641
-5.96998499,1.57859024,0.00035791,0.49128723,0.40513588,0.00000000,0.40819321,0.01278113,0.63707992,0.43544783
-5.96398199,1.52395314,0.00032574,0.47908042,0.38606632,0.00000000,0.39218327,0.01206123,0.63469457,0.41958039
-5.95797899,1.46692756,0.00029467,0.46570761,0.36686687,0.00000000,0.37612853,0.01133912,0.63063446,0.40275876
-5.95197599,1.40871335,0.00026506,0.45147783,0.34789143,0.00000000,0.36043445,0.01062664,0.62523301,0.38527274
-5.94597299,1.35051428,0.00023724,0.43671853,0.32947740,0.00000000,0.34549273,0.00993486,0.61887143,0.36741944
-5.93996998,1.29350537,0.00021148,0.42176595,0.31193769,0.00000000,0.33167059,0.00927390,0.61196540,0.34949537
-5.93396698,1.23880121,0.00018803,0.40695498,0.29555346,0.00000000,0.31930095,0.00865262,0.60495000,0.33178850
-5.92796398,1.18742621,0.00016710,0.39260902,0.28056810,0.00000000,0.30867381,0.00807857,0.59826345,0.31457077
-5.92196098,1.14028761,0.00014888,0.37903017,0.26718224,0.00000000,0.30002896,0.00755777,0.59233035,0.29809113
-5.91595798,1.09815227,0.00013356,0.36649010,0.25555005,0.00000000,0.29355024,0.00709467,0.58754501,0.28256949
-5.90995498,1.06162768,0.00012134,0.35522202,0.24577680,0.00000000,0.28936152,0.00669216,0.58425594,0.26819166
-5.90395198,1.03114813,0.00011241,0.34541400,0.23791782,0.00000000,0.28752446,0.00635153,0.58275181,0.25510541
-5.89794897,1.00696624,0.00010702,0.33720393,0.23197869,0.00000000,0.28803809,0.00607253,0.58324997,0.24341795
-5.89194597,0.98915038,0.00010548,0.33067633,0.22791686,0.00000000,0.29084029,0.00585349,0.58588787,0.23319466
-5.88594297,0.97758793,0.00010813,0.32586117,0.22564440,0.00000000,0.29581110,0.00569143,0.59071790,0.22445930
-5.87993997,0.97199443,0.00011543,0.32273468,0.22503208,0.00000000,0.30277781,0.00558220,0.59770598,0.21719551
-5.87393697,0.97192833,0.00012791,0.32122221,0.22591445,0.00000000,0.31152153,0.00552067,0.60673405,0.21134962
-5.86793397,0.97681070,0.00014622,0.32120292,0.22809589,0.00000000,0.32178536,0.00550094,0.61760627,0.20683464
-5.86193097,0.98594943,0.00017109,0.32251620,0.23135742,0.00000000,0.33328354,0.00551648,0.63005878,0.20353515
-5.85592796,0.99856680,0.00020340,0.32496941,0.23546410,0.00000000,0.34571150,0.00556045,0.64377243,0.20131305
-5.84992496,1.01382951,0.00024413,0.32834670,0.24017275,0.00000000,0.35875640,0.00562580,0.65838804,0.20001379
-5.84392196,1.03087990,0.00029436,0.33241847,0.24523975,0.00000000,0.37210768,0.00570556,0.67352311,0.19947294
-5.83791896,1.04886708,0.00035526,0.33695095,0.25042864,0.00000000,0.38546733,0.00579303,0.68878945,0.19952264
-5.83191596,1.06697675,0.00042808,0.34171559,0.25551726,0.00000000,0.39855932,0.00588193,0.70381053,0.19999799
-5.82591296,1.08445839,0.00051411,0.34649773,0.26030417,0.00000000,0.41113793,0.00596656,0.71823776,0.20074271
-5.81990995,1.10064873,0.00061463,0.35110422,0.26461410,0.00000000,0.42299454,0.00604197,0.73176485,0.20161421
-5.81390695,1.11499051,0.00073090,0.35536953,0.26830219,0.00000000,0.43396250,0.00610404,0.74413941,0.20248769
-5.80790395,1.12704578,0.00086407,0.35916032,0.27125700,0.00000000,0.44392018,0.00614955,0.75517129,0.20325917
-5.80190095,1.13650344,0.00101513,0.36237798,0.27340196,0.00000000,0.45279167,0.00617619,0.76473722,0.20384738
-5.79589795,1.14318061,0.00118489,0.36495948,0.27469558,0.00000000,0.46054554,0.00618260,0.77278162,0.20419447
-5.78989495,1.14701833,0.00137384,0.36687620,0.27513006,0.00000000,0.46719156,0.00616830,0.77931361,0.20426563
-5.78389195,1.14807187,0.00158215,0.36813123,0.27472885,0.00000000,0.47277570,0.00613364,0.78440061,0.20404766
-5.77788894,1.14649665,0.00180956,0.36875513,0.27354299,0.00000000,0.47737383,0.00607970,0.78815894,0.20354670
-5.77188594,1.14253063,0.00205539,0.36880075,0.27164675,0.00000000,0.48108445,0.00600818,0.79074234,0.20278526
-5.76588294,1.13647461,0.00231840,0.36833728,0.26913261,0.00000000,0.48402103,0.00592127,0.79232900,0.20179888
-5.75987994,1.12867161,0.00259685,0.36744410,0.26610617,0.00000000,0.48630453,0.00582151,0.79310830,0.20063258
-5.75387694,1.11948680,0.00288843,0.36620491,0.26268103,0.00000000,0.48805652,0.00571168,0.79326802,0.19933741
-5.74787394,1.10928921,0.00319029,0.36470237,0.25897418,0.00000000,0.48939342,0.00559465,0.79298303,0.19796728
-5.74187094,1.09843635,0.00349908,0.36301381,0.25510193,0.00000000,0.49042227,0.00547330,0.79240621,0.19657637
-5.73586793,1.08726259,0.00381096,0.36120819,0.25117683,0.00000000,0.49123836,0.00535041,0.79166221,0.19521715
-5.72986493,1.07607197,0.00412173,0.35934442,0.24730550,0.00000000,0.49192470,0.00522857,0.79084449,0.19393924
-5.72386193,1.06513554,0.00442687,0.35747134,0.24358755,0.00000000,0.49255354,0.00511019,0.79001582,0.19278908
-5.71785893,1.05469329,0.00472172,0.35562903,0.24011554,0.00000000,0.49318965,0.00499745,0.78921199,0.19181031
-5.71185593,1.04496003,0.00500157,0.35385145,0.23697586,0.00000000,0.49389507,0.00489230,0.78844863,0.19104500
-5.70585293,1.03613459,0.00526181,0.35217018,0.23425037,0.00000000,0.49473498,0.00479650,0.78773037,0.19053522
-5.69984992,1.02841118,0.00549810,0.35061871,0.23201848,0.00000000,0.49578402,0.00471166,0.78706150,0.19032512
-5.69384692,1.02199174,0.00570650,0.34923711,0.23035951,0.00000000,0.49713256,0.00463926,0.78645752,0.19046297
-5.68784392,1.01709789,0.00588361,0.34807639,0.22935491,0.00000000,0.49889229,0.00458075,0.78595616,0.19100311
-5.68184092,1.01398121,0.00602672,0.34720237,0.22909006,0.00000000,0.50120034,0.00453756,0.78562723,0.19200743
-5.67583792,1.01293036,0.00613385,0.34669830,0.22965532,0.00000000,0.50422164,0.00451116,0.78558010,0.19354619
-5.66983492,1.01427433,0.00620390,0.34666621,0.23114621,0.00000000,0.50814877,0.00450306,0.78596813,0.19569799
-5.66383192,1.01838056,0.00623665,0.34722647,0.23366233,0.00000000,0.51319921,0.00451483,0.78698942,0.19854864
-5.65782891,1.02564778,0.00623275,0.34851551,0.23730508,0.00000000,0.51960967,0.00454808,0.78888333,0.20218904
-5.65182591,1.03649326,0.00619375,0.35068164,0.24217414,0.00000000,0.52762766,0.00460439,0.79192295,0.20671185
-5.64582291,1.05133482,0.00612198,0.35387903,0.24836265,0.00000000,0.53750046,0.00468525,0.79640341,0.21220713
-5.63981991,1.07056823,0.00602048,0.35826009,0.25595153,0.00000000,0.54946185,0.00479200,0.80262668,0.21875717
-5.63381691,1.09454116,0.00589288,0.36396663,0.26500298,0.00000000,0.56371742,0.00492567,0.81088350,0.22643058
-5.62781391,1.12352491,0.00574324,0.37112016,0.27555361,0.00000000,0.58042896,0.00508691,0.82143343,0.23527607
-5.62181091,1.15768564,0.00557592,0.37981191,0.28760763,0.00000000,0.59969891,0.00527583,0.83448416,0.24531625
-5.61580790,1.19705685,0.00539537,0.39009323,0.30113051,0.00000000,0.62155583,0.00549192,0.85017136,0.25654174
-5.60980490,1.24151487,0.00520599,0.40196680,0.31604352,0.00000000,0.64594174,0.00573390,0.86854020,0.26890610
-5.60380190,1.29075931,0.00501199,0.41537935,0.33221972,0.00000000,0.67270226,0.00599970,0.88953002,0.28232192
