energy_ev,total_up,Ag_p_up,Ag_d_up,B_p_up,B_d_up,S_s_up,S_p_up
-6.00000000,7.78730441,1.02831585,5.84975597,0.77538446,0.00000000,0.06351331,0.79739339
-5.99399700,7.87960141,1.03504626,5.92889558,0.78350384,0.00000000,0.06647146,0.79523283
-5.98799400,7.97279482,1.04064423,6.00903204,0.79178434,0.00000000,0.06998973,0.79242879
-5.98199100,8.06794015,1.04522469,6.09090628,0.80039277,0.00000000,0.07405398,0.78918479
-5.97598799,8.16619600,1.04894891,6.17534733,0.80951197,0.00000000,0.07864082,0.78571128
-5.96998499,8.26879798,1.05202248,6.26325524,0.81933760,0.00000000,0.08371713,0.78222014
-5.96398199,8.37702129,1.05469053,6.35557516,0.83007352,0.00000000,0.08923967,0.77891853
-5.95797899,8.49213324,1.05723046,6.45326298,0.84192594,0.00000000,0.09515490,0.77600215
-5.95197599,8.61533751,1.05994219,6.55724428,0.85509639,0.00000000,0.10139901,0.77364820
-5.94597299,8.74771296,1.06313666,6.66836813,0.86977378,0.00000000,0.10789830,0.77200841
-5.93996998,8.89015014,1.06712278,6.78735836,0.88612594,0.00000000,0.11456985,0.77120242
-5.93396698,9.04328905,1.07219373,6.91476488,0.90429098,0.00000000,0.12132270,0.77131196
-5.92796398,9.20746187,1.07861308,7.05091771,0.92436883,0.00000000,0.12805933,0.77237622
-5.92196098,9.38264420,1.08660169,7.19588657,0.94641341,0.00000000,0.13467757,0.77438867
-5.91595798,9.56841797,1.09632575,7.34944846,0.97042594,0.00000000,0.14107289,0.77729573
-5.90995498,9.76394885,1.10788699,7.51106544,0.99634953,0.00000000,0.14714097,0.78099742
-5.90395198,9.96797986,1.12131519,7.67987422,1.02406573,0.00000000,0.15278044,0.78535003
-5.89794897,10.17884262,1.13656376,7.85468869,1.05339287,0.00000000,0.15789575,0.79017099
-5.89194597,10.39448614,1.15350843,8.03401584,1.08408685,0.00000000,0.16240002,0.79524549
-5.88594297,10.61252268,1.17194929,8.21608480,1.11584399,0.00000000,0.16621771,0.80033488
-5.87993997,10.83028903,1.19161605,8.39888817,1.14830635,0.00000000,0.16928700,0.80518627
-5.87393697,11.04492081,1.21217637,8.58023421,1.18106907,0.00000000,0.17156179,0.80954305
-5.86793397,11.25343681,1.23324692,8.75780770,1.21368982,0.00000000,0.17301323,0.81315562
-5.86193097,11.45282979,1.25440657,8.92923723,1.24569983,0.00000000,0.17363053,0.81579205
-5.85592796,11.64015995,1.27521122,9.09216607,1.27661627,0.00000000,0.17342131,0.81724795
-5.84992496,11.81264694,1.29520963,9.24432352,1.30595551,0.00000000,0.17241116,0.81735508
-5.84392196,11.96775659,1.31395940,9.38359406,1.33324681,0.00000000,0.17064265,0.81598839
-5.83791896,12.10327865,1.33104251,9.50808111,1.35804584,0.00000000,0.16817368,0.81307108
-5.83191596,12.21739223,1.34607968,9.61616287,1.37994759,0.00000000,0.16507537,0.80857738
-5.82591296,12.30871647,1.35874298,9.70653797,1.39859824,0.00000000,0.16142952,0.80253315
-5.81990995,12.37634420,1.36876605,9.77825904,1.41370528,0.00000000,0.15732575,0.79501409
-5.81390695,12.41985776,1.37595165,9.83075304,1.42504582,0.00000000,0.15285857,0.78614187
-5.80790395,12.43932654,1.38017620,9.86382765,1.43247240,0.00000000,0.14812431,0.77607832
-5.80190095,12.43528682,1.38139121,9.87766390,1.43591641,0.00000000,0.14321824,0.76501808
-5.79589795,12.40870551,1.37962166,9.87279566,1.43538874,0.00000000,0.13823188,0.75318009
-5.78989495,12.36092979,1.37496150,9.85007746,1.43097783,0.00000000,0.13325066,0.74079839
-5.78389195,12.29362564,1.36756658,9.81064255,1.42284507,0.00000000,0.12835193,0.72811268
-5.77788894,12.20870851,1.35764556,9.75585354,1.41121801,0.00000000,0.12360347,0.71535911
-5.77188594,12.10826982,1.34544919,9.68724841,1.39638149,0.00000000,0.11906248,0.70276173
-5.76588294,11.99450295,1.33125872,9.60648474,1.37866717,0.00000000,0.11477501,0.69052497
-5.75987994,11.86963241,1.31537386,9.51528493,1.35844203,0.00000000,0.11077585,0.67882748
-5.75387694,11.73584940,1.29810114,9.41538529,1.33609623,0.00000000,0.10708890,0.66781746
-5.74787394,11.59525660,1.27974299,9.30849107,1.31203095,0.00000000,0.10372782,0.65760972
-5.74187094,11.44982426,1.26058818,9.19623945,1.28664657,0.00000000,0.10069696,0.64828439
-5.73586793,11.30135888,1.24090389,9.08017170,1.26033189,0.00000000,0.09799259,0.63988728
-5.72986493,11.15148505,1.22092969,8.96171496,1.23345443,0.00000000,0.09560416,0.63243176
-5.72386193,11.00163994,1.20087360,8.84217376,1.20635244,0.00000000,0.09351571,0.62590192
-5.71785893,10.85307925,1.18091010,8.72273017,1.17932862,0.00000000,0.09170724,0.62025669
-5.71185593,10.70689291,1.16118011,8.60445158,1.15264563,0.00000000,0.09015606,0.61543478
-5.70585293,10.56402778,1.14179249,8.48830399,1.12652351,0.00000000,0.08883800,0.61136000
-5.69984992,10.42531482,1.12282705,8.37516882,1.10113879,0.00000000,0.08772858,0.60794663
-5.69384692,10.29149759,1.10433834,8.26586089,1.07662517,0.00000000,0.08680394,0.60510466
-5.68784392,10.16325929,1.08636014,8.16114524,1.05307549,0.00000000,0.08604165,0.60274457
-5.68184092,10.04124560,1.06891010,8.06175089,1.03054476,0.00000000,0.08542138,0.60078142
-5.67583792,9.92608126,1.05199415,7.96837955,1.00905391,0.00000000,0.08492537,0.59913813
-5.66983492,9.81837871,1.03561056,7.88170834,0.98859403,0.00000000,0.08453875,0.59774782
-5.66383192,9.71873805,1.01975316,7.80238562,0.96913077,0.00000000,0.08424969,0.59655516
