energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Te_p_up,Te_d_up,Zr_p_up,Zr_d_up
-6.00000000,6.92321681,0.01064945,0.98362099,0.05367447,0.00000000,3.28197514,0.00000000,1.59951913,1.75711761
-5.99399700,6.96612225,0.01066687,1.01064670,0.05357950,0.00000000,3.28055886,0.00000000,1.63460667,1.79277027
-5.98799400,7.00668251,0.01072851,1.03945016,0.05346764,0.00000000,3.27457759,0.00000000,1.67039079,1.83003903
-5.98199100,7.04253637,0.01083071,1.06933726,0.05332504,0.00000000,3.26336287,0.00000000,1.70596726,1.86795473
-5.97598799,7.07130553,0.01097018,1.09954837,0.05313826,0.00000000,3.24632960,0.00000000,1.74038898,1.90546929
-5.96998499,7.09067760,0.01114422,1.12928274,0.05289470,0.00000000,3.22299731,0.00000000,1.77269565,1.94148955
-5.96398199,7.09848774,0.01135103,1.15772488,0.05258313,0.00000000,3.19300795,0.00000000,1.80194453,1.97491349
-5.95797899,7.09279646,0.01158982,1.18407192,0.05219407,0.00000000,3.15614009,0.00000000,1.82724129,2.00466762
-5.95197599,7.07196097,0.01186099,1.20756088,0.05172016,0.00000000,3.11231938,0.00000000,1.84776971,2.02974404
-5.94597299,7.03469773,0.01216610,1.22749466,0.05115644,0.00000000,3.06162504,0.00000000,1.86281919,2.04923563
-5.93996998,6.98013389,0.01250788,1.24326569,0.05050056,0.00000000,3.00429267,0.00000000,1.87180885,2.06236799
-5.93396698,6.90784554,0.01289008,1.25437606,0.04975286,0.00000000,2.94071313,0.00000000,1.87430733,2.06852652
-5.92796398,6.81788124,0.01331726,1.26045350,0.04891646,0.00000000,2.87142768,0.00000000,1.87004736,2.06727775
-5.92196098,6.71076941,0.01379447,1.26126217,0.04799721,0.00000000,2.79711939,0.00000000,1.85893441,2.05838354
-5.91595798,6.58750914,0.01432698,1.25670810,0.04700352,0.00000000,2.71860096,0.00000000,1.84104911,2.04180790
-5.90995498,6.44954421,0.01491978,1.24683886,0.04594617,0.00000000,2.63679899,0.00000000,1.81664320,2.01771579
