energy_ev,total_up,As_p_up,As_d_up,Hg_p_up,Hg_d_up,Te_p_up,Te_d_up
-6.00000000,3.46589113,0.70115993,0.00000000,2.28053615,0.75016793,0.64640154,0.00000000
-5.99399700,3.53022707,0.72037688,0.00000000,2.33826241,0.76202887,0.66012263,0.00000000
-5.98799400,3.57236862,0.73540362,0.00000000,2.38204612,0.76896946,0.66979692,0.00000000
-5.98199100,3.59150115,0.74594546,0.00000000,2.41103196,0.77085620,0.67523797,0.00000000
-5.97598799,3.58727171,0.75179371,0.00000000,2.42465506,0.76765804,0.67634479,0.00000000
-5.96998499,3.55979738,0.75283139,0.00000000,2.42265665,0.75944674,0.67310453,0.00000000
-5.96398199,3.50965889,0.74903631,0.00000000,2.40509039,0.74639405,0.66559258,0.00000000
-5.95797899,3.43787986,0.74048112,0.00000000,2.37231918,0.72876558,0.65396994,0.00000000
-5.95197599,3.34589255,0.72733059,0.00000000,2.32500253,0.70691191,0.63847816,0.00000000
-5.94597299,3.23549202,0.70983602,0.00000000,2.26407513,0.68125723,0.61943193,0.00000000
-5.93996998,3.10878041,0.68832719,0.00000000,2.19071760,0.65228599,0.59720977,0.00000000
-5.93396698,2.96810407,0.66320207,0.00000000,2.10632066,0.62052832,0.57224320,0.00000000
-5.92796398,2.81598608,0.63491487,0.00000000,2.01244423,0.58654463,0.54500482,0.00000000
-5.92196098,2.65505688,0.60396271,0.00000000,1.91077315,0.55091012,0.51599581,0.00000000
-5.91595798,2.48798573,0.57087173,0.00000000,1.80307137,0.51419984,0.48573332,0.00000000
-5.90995498,2.31741547,0.53618288,0.00000000,1.69113613,0.47697468,0.45473814,0.00000000
-5.90395198,2.14590260,0.50043816,0.00000000,1.57675398,0.43976891,0.42352320,0.00000000
-5.89794897,1.97586465,0.46416767,0.00000000,1.46165989,0.40307949,0.39258297,0.00000000
-5.89194597,1.80953587,0.42787788,0.00000000,1.34750079,0.36735739,0.36238435,0.00000000
-5.88594297,1.64893220,0.39204152,0.00000000,1.23580434,0.33300120,0.33335884,0.00000000
-5.87993997,1.49582574,0.35708926,0.00000000,1.12795354,0.30035278,0.30589637,0.00000000
-5.87393697,1.35172860,0.32340342,0.00000000,1.02516764,0.26969512,0.28034062,0.00000000
-5.86793397,1.21788550,0.29131359,0.00000000,0.92848905,0.24125206,0.25698584,0.00000000
-5.86193097,1.09527433,0.26109435,0.00000000,0.83877626,0.21518979,0.23607493,0.00000000
-5.85592796,0.98461340,0.23296471,0.00000000,0.75670217,0.19161963,0.21779873,0.00000000
-5.84992496,0.88637423,0.20708931,0.00000000,0.68275710,0.17060203,0.20229626,0.00000000
-5.84392196,0.80079847,0.18358094,0.00000000,0.61725586,0.15215125,0.18965570,0.00000000
-5.83791896,0.72791753,0.16250425,0.00000000,0.56034805,0.13624067,0.17991595,0.00000000
-5.83191596,0.66757393,0.14388028,0.00000000,0.51203057,0.12280813,0.17306855,0.00000000
-5.82591296,0.61944310,0.12769152,0.00000000,0.47216194,0.11176136,0.16905996,0.00000000
-5.81990995,0.58305487,0.11388728,0.00000000,0.44047743,0.10298322,0.16779392,0.00000000
-5.81390695,0.55781408,0.10238908,0.00000000,0.41660464,0.09633649,0.16913405,0.00000000
-5.80790395,0.54301985,0.09309592,0.00000000,0.40007906,0.09166831,0.17290659,0.00000000
-5.80190095,0.53788337,0.08588917,0.00000000,0.39035930,0.08881416,0.17890328,0.00000000
-5.79589795,0.54154438,0.08063712,0.00000000,0.38684194,0.08760134,0.18688460,0.00000000
-5.78989495,0.55308635,0.07719900,0.00000000,0.38887580,0.08785203,0.19658333,0.00000000
-5.78389195,0.57155091,0.07542856,0.00000000,0.39577587,0.08938607,0.20770858,0.00000000
-5.77788894,0.59595176,0.07517715,0.00000000,0.40683677,0.09202337,0.21995037,0.00000000
-5.77188594,0.62528847,0.07629647,0.00000000,0.42134610,0.09558622,0.23298475,0.00000000
-5.76588294,0.65856062,0.07864087,0.00000000,0.43859761,0.09990139,0.24647965,0.00000000
-5.75987994,0.69478246,0.08206958,0.00000000,0.45790430,0.10480228,0.26010117,0.00000000
-5.75387694,0.73299817,0.08644857,0.00000000,0.47861156,0.11013098,0.27352047,0.00000000
-5.74787394,0.77229782,0.09165247,0.00000000,0.50011014,0.11574032,0.28642102,0.00000000
-5.74187094,0.81183376,0.09756639,0.00000000,0.52184886,0.12149602,0.29850598,0.00000000
-5.73586793,0.85083713,0.10408767,0.00000000,0.54334683,0.12727867,0.30950566,0.00000000
-5.72986493,0.88863396,0.11112770,0.00000000,0.56420488,0.13298568,0.31918452,0.00000000
-5.72386193,0.92466035,0.11861362,0.00000000,0.58411569,0.13853303,0.32734781,0.00000000
-5.71785893,0.95847595,0.12648991,0.00000000,0.60287245,0.14385673,0.33384717,0.00000000
-5.71185593,0.98977514,0.13471983,0.00000000,0.62037533,0.14891393,0.33858527,0.00000000
-5.70585293,1.01839505,0.14328649,0.00000000,0.63663559,0.15368358,0.34151902,0.00000000
-5.69984992,1.04431994,0.15219353,0.00000000,0.65177678,0.15816649,0.34266131,0.00000000
-5.69384692,1.06768139,0.16146532,0.00000000,0.66603283,0.16238486,0.34208108,0.00000000
-5.68784392,1.08875377,0.17114646,0.00000000,0.67974274,0.16638106,0.33990161,0.00000000
-5.68184092,1.10794499,0.18130052,0.00000000,0.69334173,0.17021580,0.33629710,0.00000000
-5.67583792,1.12578234,0.19200803,0.00000000,0.70734896,0.17396561,0.33148760,0.00000000
-5.66983492,1.14289373,0.20336360,0.00000000,0.72235179,0.17771973,0.32573235,0.00000000
-5.66383192,1.15998466,0.21547214,0.00000000,0.73898690,0.18157640,0.31932181,0.00000000
-5.65782891,1.17781159,0.22844427,0.00000000,0.75791869,0.18563875,0.31256851,0.00000000
-5.65182591,1.19715234,0.24239102,0.00000000,0.77981531,0.19001033,0.30579717,0.00000000
-5.64582291,1.21877453,0.25741786,0.00000000,0.80532303,0.19479050,0.29933419,0.00000000
-5.63981991,1.24340311,0.27361829,0.00000000,0.83503963,0.20006973,0.29349700,0.00000000
-5.63381691,1.27168797,0.29106714,0.00000000,0.86948751,0.20592507,0.28858363,0.00000000
-5.62781391,1.30417277,0.30981392,0.00000000,0.90908744,0.21241589,0.28486258,0.00000000
-5.62181091,1.34126627,0.32987636,0.00000000,0.95413384,0.21958006,0.28256369,0.00000000
-5.61580790,1.38321702,0.35123446,0.00000000,1.00477249,0.22743076,0.28186996,0.00000000
