energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Re_p_up,Re_d_up,Te_p_up,Te_d_up
-6.00000000,4.89227002,0.02816419,0.80682957,0.02885160,0.00000000,1.86897390,2.13540426,1.94712718,0.00000000
-5.99399700,4.88040118,0.02848229,0.79960811,0.02900633,0.00000000,1.86660041,2.13304879,1.94658930,0.00000000
-5.98799400,4.86845669,0.02884165,0.79235092,0.02917353,0.00000000,1.86551573,2.13070346,1.94528753,0.00000000
-5.98199100,4.85656487,0.02923884,0.78516759,0.02935159,0.00000000,1.86579991,2.12844144,1.94315590,0.00000000
-5.97598799,4.84474060,0.02966870,0.77814478,0.02953773,0.00000000,1.86746705,2.12628639,1.94010333,0.00000000
-5.96998499,4.83288186,0.03012435,0.77134374,0.02972798,0.00000000,1.87045946,2.12421076,1.93601481,0.00000000
-5.96398199,4.82077172,0.03059737,0.76479903,0.02991737,0.00000000,1.87464435,2.12213652,1.93075436,0.00000000
-5.95797899,4.80808617,0.03107802,0.75851818,0.03010006,0.00000000,1.87981355,2.11993835,1.92416960,0.00000000
-5.95197599,4.79440771,0.03155552,0.75248250,0.03026956,0.00000000,1.88568656,2.11744928,1.91609809,0.00000000
-5.94597299,4.77924454,0.03201834,0.74664898,0.03041905,0.00000000,1.89191701,2.11446871,1.90637523,0.00000000
-5.93996998,4.76205501,0.03245460,0.74095328,0.03054157,0.00000000,1.89810283,2.11077275,1.89484349,0.00000000
-5.93396698,4.74227665,0.03285245,0.73531369,0.03063044,0.00000000,1.90379975,2.10612651,1.88136283,0.00000000
-5.92796398,4.71935881,0.03320053,0.72963608,0.03067951,0.00000000,1.90853792,2.10029809,1.86582178,0.00000000
-5.92196098,4.69279797,0.03348833,0.72381946,0.03068353,0.00000000,1.91184129,2.09307387,1.84814883,0.00000000
-5.91595798,4.66217423,0.03370666,0.71776226,0.03063844,0.00000000,1.91324890,2.08427448,1.82832362,0.00000000
-5.90995498,4.62718767,0.03384802,0.71136894,0.03054162,0.00000000,1.91233745,2.07377092,1.80638742,0.00000000
-5.90395198,4.58769294,0.03390696,0.70455669,0.03039217,0.00000000,1.90874419,2.06150024,1.78245233,0.00000000
-5.89794897,4.54373050,0.03388034,0.69726209,0.03019107,0.00000000,1.90218914,2.04747986,1.75670871,0.00000000
-5.89194597,4.49555291,0.03376758,0.68944731,0.02994131,0.00000000,1.89249562,2.03182005,1.72943031,0.00000000
-5.88594297,4.44364458,0.03357083,0.68110564,0.02964795,0.00000000,1.87960811,2.01473359,1.70097677,0.00000000
-5.87993997,4.38873375,0.03329494,0.67226606,0.02931809,0.00000000,1.86360644,1.99654212,1.67179301,0.00000000
-5.87393697,4.33179533,0.03294751,0.66299656,0.02896078,0.00000000,1.84471549,1.97767838,1.64240539,0.00000000
-5.86793397,4.27404391,0.03253870,0.65340602,0.02858690,0.00000000,1.82330965,1.95868394,1.61341443,0.00000000
-5.86193097,4.21691634,0.03208103,0.64364435,0.02820886,0.00000000,1.79991157,1.94020203,1.58548414,0.00000000
-5.85592796,4.16204362,0.03158905,0.63390087,0.02784036,0.00000000,1.77518493,1.92296523,1.55932801,0.00000000
-5.84992496,4.11121255,0.03107895,0.62440082,0.02749601,0.00000000,1.74992108,1.90777813,1.53569202,0.00000000
-5.84392196,4.06631775,0.03056812,0.61539989,0.02719091,0.00000000,1.72501977,1.89549511,1.51533500,0.00000000
-5.83791896,4.02930518,0.03007462,0.60717707,0.02694024,0.00000000,1.70146459,1.88699390,1.49900680,0.00000000
-5.83191596,4.00210887,0.02961667,0.60002583,0.02675877,0.00000000,1.68029358,1.88314544,1.48742505,0.00000000
-5.82591296,3.98658281,0.02921203,0.59424391,0.02666041,0.00000000,1.66256611,1.88478127,1.48125099,0.00000000
-5.81990995,3.98443031,0.02887751,0.59012219,0.02665770,0.00000000,1.64932715,1.89265935,1.48106545,0.00000000
-5.81390695,3.99713345,0.02862836,0.58793287,0.02676135,0.00000000,1.64157004,1.90742985,1.48734557,0.00000000
-5.80790395,4.02588549,0.02847784,0.58791763,0.02697985,0.00000000,1.64019942,1.92960219,1.50044329,0.00000000
-5.80190095,4.07152885,0.02843672,0.59027609,0.02731906,0.00000000,1.64599546,1.95951490,1.52056642,0.00000000
-5.79589795,4.13450169,0.02851291,0.59515519,0.02778187,0.00000000,1.65958099,1.99730966,1.54776318,0.00000000
-5.78989495,4.21479552,0.02871119,0.60263998,0.02836801,0.00000000,1.68139274,2.04291095,1.58191081,0.00000000
-5.78389195,4.31192612,0.02903300,0.61274623,0.02907381,0.00000000,1.71165807,2.09601241,1.62270916,0.00000000
-5.77788894,4.42491966,0.02947633,0.62541538,0.02989221,0.00000000,1.75037798,2.15607092,1.66967948,0.00000000
-5.77188594,4.55231534,0.03003574,0.64051198,0.03081273,0.00000000,1.79731743,2.22230901,1.72216903,0.00000000
-5.76588294,4.69218516,0.03070251,0.65782395,0.03182166,0.00000000,1.85200339,2.29372596,1.77936140,0.00000000
-5.75987994,4.84217095,0.03146484,0.67706577,0.03290229,0.00000000,1.91373089,2.36911750,1.84029267,0.00000000
-5.75387694,4.99953788,0.03230821,0.69788447,0.03403526,0.00000000,1.98157705,2.44710375,1.90387302,0.00000000
-5.74787394,5.16124311,0.03321580,0.71986838,0.03519904,0.00000000,2.05442269,2.52616460,1.96891325,0.00000000
-5.74187094,5.32401752,0.03416905,0.74255829,0.03637046,0.00000000,2.13098095,2.60468142,2.03415555,0.00000000
-5.73586793,5.48445781,0.03514821,0.76546068,0.03752531,0.00000000,2.20983193,2.68098368,2.09830755,0.00000000
-5.72986493,5.63912595,0.03613303,0.78806255,0.03863906,0.00000000,2.28946221,2.75339887,2.16007845,0.00000000
-5.72386193,5.78465233,0.03710341,0.80984726,0.03968756,0.00000000,2.36830797,2.82030387,2.21821622,0.00000000
-5.71785893,5.91783892,0.03804015,0.83031079,0.04064772,0.00000000,2.44480011,2.88017582,2.27154436,0.00000000
-5.71185593,6.03575863,0.03892554,0.84897789,0.04149827,0.00000000,2.51740986,2.93164075,2.31899696,0.00000000
-5.70585293,6.13584714,0.03974411,0.86541734,0.04222040,0.00000000,2.58469333,2.97351797,2.35965081,0.00000000
-5.69984992,6.21598378,0.04048312,0.87925593,0.04279837,0.00000000,2.64533332,3.00485858,2.39275327,0.00000000
-5.69384692,6.27455829,0.04113312,0.89019042,0.04321999,0.00000000,2.69817704,3.02497680,2.41774486,0.00000000
-5.68784392,6.31052118,0.04168831,0.89799733,0.04347708,0.00000000,2.74226838,3.03347269,2.43427576,0.00000000
-5.68184092,6.32341563,0.04214678,0.90253989,0.04356569,0.00000000,2.77687372,3.03024577,2.44221545,0.00000000
-5.67583792,6.31338989,0.04251068,0.90377217,0.04348625,0.00000000,2.80150039,3.01549881,2.44165532,0.00000000
-5.66983492,6.28118987,0.04278613,0.90174013,0.04324359,0.00000000,2.81590721,2.98973188,2.43290394,0.00000000
-5.66383192,6.22813233,0.04298309,0.89657971,0.04284674,0.00000000,2.82010707,2.95372687,2.41647537,0.00000000
-5.65782891,6.15605989,0.04311499,0.88851195,0.04230867,0.00000000,2.81436131,2.90852322,2.39307097,0.00000000
-5.65182591,6.06727962,0.04319826,0.87783551,0.04164585,0.00000000,2.79916661,2.85538579,2.36355538,0.00000000
-5.64582291,5.96448794,0.04325172,0.86491677,0.04087771,0.00000000,2.77523485,2.79576606,2.32892771,0.00000000
-5.63981991,5.85068453,0.04329590,0.85017806,0.04002603,0.00000000,2.74346689,2.73125832,2.29028907,0.00000000
