energy_ev,total_up,N_s_up,N_p_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,1.50198160,0.00024445,0.20434021,0.94517632,0.44081026,0.00272671,0.43557558,0.16501818,0.11164757
-5.99399700,1.51373471,0.00024034,0.20217619,0.95423316,0.44544102,0.00242887,0.44345444,0.17038315,0.11200794
-5.98799400,1.52220502,0.00023538,0.19953486,0.96189345,0.44909301,0.00216859,0.45064767,0.17556546,0.11203669
-5.98199100,1.52712891,0.00022953,0.19642081,0.96793573,0.45167400,0.00194120,0.45700578,0.18048350,0.11172848
-5.97598799,1.52827125,0.00022285,0.19284515,0.97213231,0.45310125,0.00174238,0.46238072,0.18505158,0.11108192
-5.96998499,1.52542639,0.00021540,0.18882488,0.97425388,0.45330186,0.00156818,0.46662806,0.18918176,0.11009918
-5.96398199,1.51841979,0.00020729,0.18438212,0.97407494,0.45221330,0.00141509,0.46960982,0.19278597,0.10878553
-5.95797899,1.50711047,0.00019866,0.17954327,0.97138020,0.44978419,0.00127999,0.47119753,0.19577851,0.10714901
-5.95197599,1.49139465,0.00018966,0.17433829,0.96597171,0.44597543,0.00116023,0.47127591,0.19807886,0.10520009
-5.94597299,1.47121051,0.00018046,0.16880009,0.95767659,0.44076170,0.00105352,0.46974679,0.19961450,0.10295147
-5.93996998,1.44654406,0.00017125,0.16296405,0.94635507,0.43413328,0.00095798,0.46653326,0.20032394,0.10041797
-5.93396698,1.41743571,0.00016220,0.15686776,0.93190850,0.42609806,0.00087205,0.46158385,0.20015960,0.09761658
-5.92796398,1.38398726,0.00015352,0.15055092,0.91428694,0.41668369,0.00079448,0.45487658,0.19909045,0.09456647
-5.92196098,1.34636874,0.00014542,0.14405546,0.89349586,0.40593966,0.00072430,0.44642249,0.19710444,0.09128926
-5.91595798,1.30482441,0.00013813,0.13742578,0.86960152,0.39393913,0.00066073,0.43626863,0.19421031,0.08780914
-5.90995498,1.25967763,0.00013189,0.13070905,0.84273475,0.38078036,0.00060322,0.42450015,0.19043895,0.08415309
-5.90395198,1.21133369,0.00012695,0.12395564,0.81309269,0.36658757,0.00055138,0.41124133,0.18584403,0.08035104
-5.89794897,1.16028055,0.00012359,0.11721945,0.78093836,0.35151102,0.00050497,0.39665554,0.18050204,0.07643593
-5.89194597,1.10708690,0.00012211,0.11055825,0.74659795,0.33572640,0.00046387,0.38094387,0.17451147,0.07244371
-5.88594297,1.05239747,0.00012287,0.10403383,0.71045582,0.31943329,0.00042810,0.36434265,0.16799146,0.06841318
-5.87993997,0.99692574,0.00012624,0.09771208,0.67294744,0.30285278,0.00039778,0.34711969,0.16107966,0.06438568
-5.87393697,0.94144396,0.00013264,0.09166287,0.63455047,0.28622433,0.00037315,0.32956958,0.15392957,0.06040476
-5.86793397,0.88677101,0.00014252,0.08595971,0.59577442,0.26980195,0.00035456,0.31200801,0.14670749,0.05651555
-5.86193097,0.83375840,0.00015639,0.08067921,0.55714921,0.25384974,0.00034247,0.29476555,0.13958892,0.05276420
-5.85592796,0.78327492,0.00017480,0.07590046,0.51921328,0.23863715,0.00033750,0.27818085,0.13275491,0.04919713
-5.84992496,0.73619051,0.00019832,0.07170403,0.48250154,0.22443383,0.00034038,0.26259371,0.12638819,0.04586027
-5.84392196,0.69335983,0.00022759,0.06817101,0.44753373,0.21150453,0.00035199,0.24833814,0.12066929,0.04279830
-5.83791896,0.65560602,0.00026324,0.06538173,0.41480355,0.20010400,0.00037339,0.23573565,0.11577283,0.04005383
-5.83191596,0.62370510,0.00030594,0.06341446,0.38476894,0.19047207,0.00040580,0.22508892,0.11186387,0.03766671
-5.82591296,0.59837146,0.00035635,0.06234392,0.35784364,0.18282910,0.00045062,0.21667600,0.10909469,0.03567335
-5.81990995,0.58024454,0.00041511,0.06223976,0.33439034,0.17737177,0.00050947,0.21074524,0.10760172,0.03410611
-5.81390695,0.56987705,0.00048286,0.06316485,0.31471527,0.17426934,0.00058415,0.20751084,0.10750298,0.03299279
-5.80790395,0.56772487,0.00056017,0.06517367,0.29906450,0.17366045,0.00067670,0.20714925,0.10889577,0.03235627
-5.80190095,0.57413858,0.00064753,0.06831050,0.28762158,0.17565038,0.00078936,0.20979635,0.11185491,0.03221419
-5.79589795,0.58935685,0.00074539,0.07260774,0.28050660,0.18030891,0.00092459,0.21554543,0.11643131,0.03257874
-5.78989495,0.61350155,0.00085406,0.07808421,0.27777640,0.18766874,0.00108506,0.22444596,0.12265106,0.03345661
-5.78389195,0.64657473,0.00097375,0.08474354,0.27942580,0.19772446,0.00127362,0.23650314,0.13051493,0.03484892
-5.77788894,0.68845739,0.00110452,0.09257276,0.28538972,0.21043213,0.00149330,0.25167815,0.13999838,0.03675136
-5.77188594,0.73891015,0.00124631,0.10154100,0.29554601,0.22570945,0.00174728,0.26988922,0.15105197,0.03915434
-5.76588294,0.79757572,0.00139891,0.11159858,0.30971885,0.24343656,0.00203879,0.29101325,0.16360232,0.04204317
-5.75987994,0.86398333,0.00156194,0.12267639,0.32768270,0.26345750,0.00237113,0.31488818,0.17755350,0.04539835
-5.75387694,0.93755499,0.00173492,0.13468568,0.34916668,0.28558224,0.00274754,0.34131584,0.19278885,0.04919590
-5.74787394,1.01761356,0.00191719,0.14751839,0.37385932,0.30958943,0.00317114,0.37006539,0.20917321,0.05340771
-5.74187094,1.10339258,0.00210798,0.16104792,0.40141376,0.33522971,0.00364482,0.40087715,0.22655558,0.05800186
-5.73586793,1.19404765,0.00230642,0.17513052,0.43145321,0.36222959,0.00417116,0.43346672,0.24477193,0.06294307
-5.72986493,1.28866917,0.00251154,0.18960725,0.46357681,0.39029581,0.00475227,0.46752938,0.26364840,0.06819299
-5.72386193,1.38629618,0.00272231,0.20430644,0.49736567,0.41912017,0.00538971,0.50274456,0.28300450,0.07371064
-5.71785893,1.48593095,0.00293765,0.21904667,0.53238920,0.44838457,0.00608432,0.53878024,0.30265637,0.07945270
-5.71185593,1.58655404,0.00315644,0.23364030,0.56821157,0.47776628,0.00683615,0.57529731,0.32241997,0.08537382
-5.70585293,1.68713935,0.00337757,0.24789718,0.60439815,0.50694320,0.00764430,0.61195360,0.34211412,0.09142697
-5.69984992,1.78666889,0.00359993,0.26162875,0.64052196,0.53559905,0.00850684,0.64840764,0.36156317,0.09756364
-5.69384692,1.88414698,0.00382244,0.27465221,0.67616979,0.56342827,0.00942074,0.68432206,0.38059951,0.10373414
-5.68784392,1.97861340,0.00404406,0.28679467,0.71094816,0.59014061,0.01038179,0.71936663,0.39906551,0.10988779
-5.68184092,2.06915560,0.00426378,0.29789714,0.74448865,0.61546522,0.01138463,0.75322094,0.41681519,0.11597322
-5.67583792,2.15491948,0.00448065,0.30781824,0.77645278,0.63915424,0.01242271,0.78557679,0.43371546,0.12193862
-5.66983492,2.23511900,0.00469377,0.31643749,0.80653621,0.66098580,0.01348841,0.81614040,0.44964691,0.12773208
-5.66383192,2.30904438,0.00490227,0.32365802,0.83447210,0.68076639,0.01457309,0.84463450,0.46450438,0.13330193
-5.65782891,2.37606903,0.00510537,0.32940871,0.86003390,0.69833272,0.01566725,0.87080036,0.47819722,0.13859723
-5.65182591,2.43565538,0.00530230,0.33364555,0.88303712,0.71355293,0.01676075,0.89439998,0.49064933,0.14356832
-5.64582291,2.48735959,0.00549235,0.33635228,0.90334050,0.72632735,0.01784295,0.91521841,0.50179914,0.14816737
-5.63981991,2.53083526,0.00567487,0.33754032,0.92084630,0.73658872,0.01890302,0.93306618,0.51159952,0.15234920
-5.63381691,2.56583631,0.00584926,0.33724782,0.93549996,0.74430210,0.01993019,0.94778202,0.52001763,0.15607193
-5.62781391,2.59221889,0.00601499,0.33553814,0.94728901,0.74946429,0.02091397,0.95923563,0.52703493,0.15929791
-5.62181091,2.60994242,0.00617158,0.33249755,0.95624152,0.75210309,0.02184451,0.96733049,0.53264710,0.16199447
-5.61580790,2.61906970,0.00631866,0.32823247,0.96242383,0.75227614,0.02271276,0.97200661,0.53686406,0.16413477
-5.60980490,2.61976583,0.00645594,0.32286614,0.96593798,0.75006964,0.02351077,0.97324294,0.53971002,0.16569855
-5.60380190,2.61229602,0.00658324,0.31653506,0.96691857,0.74559669,0.02423189,0.97105937,0.54122339,0.16667278
-5.59779890,2.59702194,0.00670051,0.30938511,0.96552926,0.73899556,0.02487088,0.96551812,0.54145665,0.16705215
-5.59179590,2.57439670,0.00680782,0.30156760,0.96195899,0.73042762,0.02542407,0.95672429,0.54047609,0.16683944
-5.58579290,2.54495818,0.00690536,0.29323542,0.95641775,0.72007513,0.02588940,0.94482553,0.53836117,0.16604563
-5.57978989,2.50932084,0.00699349,0.28453922,0.94913223,0.70813876,0.02626643,0.93001071,0.53520377,0.16468981
-5.57378689,2.46816597,0.00707264,0.27562396,0.94034107,0.69483498,0.02655633,0.91250752,0.53110703,0.16279889
-5.56778389,2.42223062,0.00714341,0.26662577,0.93029015,0.68039324,0.02676175,0.89257916,0.52618384,0.16040708
-5.56178089,2.37229532,0.00720647,0.25766932,0.91922757,0.66505304,0.02688673,0.87052006,0.52055511,0.15755515
-5.55577789,2.31917104,0.00726256,0.24886560,0.90739886,0.64906089,0.02693650,0.84665089,0.51434761,0.15428952
-5.54977489,2.26368563,0.00731248,0.24031038,0.89504216,0.63266732,0.02691734,0.82131298,0.50769172,0.15066123
-5.54377189,2.20667033,0.00735707,0.23208321,0.88238375,0.61612383,0.02683636,0.79486250,0.50071895,0.14672482
-5.53776888,2.14894662,0.00739714,0.22424706,0.86963394,0.59968000,0.02670127,0.76766445,0.49355937,0.14253709
-5.53176588,2.09131410,0.00743353,0.21684845,0.85698363,0.58358082,0.02652022,0.74008692,0.48633917,0.13815594
-5.52576288,2.03453960,0.00746702,0.20991829,0.84460147,0.56806422,0.02630157,0.71249571,0.47917826,0.13363920
-5.51975988,1.97934812,0.00749840,0.20347314,0.83263201,0.55335896,0.02605375,0.68524955,0.47218823,0.12904355
-5.51375688,1.92641574,0.00752840,0.19751688,0.82119481,0.53968287,0.02578506,0.65869610,0.46547058,0.12442352
-5.50775388,1.87636482,0.00755782,0.19204288,0.81038454,0.52724159,0.02550359,0.63316885,0.45911543,0.11983073
-5.50175088,1.82976158,0.00758745,0.18703631,0.80027239,0.51622765,0.02521712,0.60898492,0.45320072,0.11531314
-5.49574787,1.78711598,0.00761822,0.18247666,0.79090839,0.50682017,0.02493302,0.58644381,0.44779198,0.11091464
-5.48974487,1.74888393,0.00765119,0.17834043,0.78232487,0.49918489,0.02465824,0.56582700,0.44294262,0.10667464
-5.48374187,1.71547132,0.00768765,0.17460358,0.77454080,0.49347471,0.02439929,0.54739834,0.43869479,0.10262800
-5.47773887,1.68723980,0.00772917,0.17124404,0.76756674,0.48983058,0.02416222,0.53140494,0.43508080,0.09880494
-5.47173587,1.66451360,0.00777767,0.16824376,0.76141032,0.48838265,0.02395267,0.51807859,0.43212492,0.09523127
-5.46573287,1.64758691,0.00783548,0.16559056,0.75608175,0.48925163,0.02377587,0.50763716,0.42984550,0.09192855
-5.45972986,1.63673130,0.00790539,0.16327946,0.75159919,0.49255017,0.02363666,0.50028609,0.42825736,0.08891447
-5.45372686,1.63220237,0.00799065,0.16131343,0.74799344,0.49838414,0.02353952,0.49621941,0.42737415,0.08620323
-5.44772386,1.63424507,0.00809497,0.15970372,0.74531188,0.50685355,0.02348853,0.49562028,0.42721068,0.08380592
-5.44172086,1.64309712,0.00822250,0.15846942,0.74362104,0.51805317,0.02348739,0.49866071,0.42778489,0.08173097
-5.43571786,1.65898985,0.00837775,0.15763656,0.74300779,0.53207228,0.02353933,0.50550032,0.42911939,0.07998446
-5.42971486,1.68214612,0.00856549,0.15723651,0.74357877,0.54899380,0.02364707,0.51628400,0.43124238,0.07857044
-5.42371186,1.71277497,0.00879062,0.15730392,0.74545810,0.56889240,0.02381267,0.53113842,0.43418779,0.07749121
-5.41770885,1.75106286,0.00905799,0.15787422,0.74878321,0.59183158,0.02403741,0.55016734,0.43799459,0.07674734
-5.41170585,1.79716168,0.00937223,0.15898078,0.75369902,0.61785969,0.02432164,0.57344580,0.44270513,0.07633779
-5.40570285,1.85117359,0.00973750,0.16065183,0.76035055,0.64700494,0.02466461,0.60101331,0.44836265,0.07625974
-5.39969985,1.91313338,0.01015729,0.16290744,0.76887433,0.67926938,0.02506425,0.63286636,0.45500783,0.07650844
-5.39369685,1.98298908,0.01063420,0.16575650,0.77938891,0.71462221,0.02551704,0.66895040,0.46267466,0.07707688
-5.38769385,2.06058156,0.01116966,0.16919411,0.79198504,0.75299258,0.02601786,0.70915176,0.47138575,0.07795544
-5.38169085,2.14562441,0.01176380,0.17319941,0.80671586,0.79426218,0.02655982,0.75328989,0.48114732,0.07913144
-5.37568784,2.23768522,0.01241522,0.17773395,0.82358777,0.83825819,0.02713428,0.80111044,0.49194413,0.08058872
-5.36968484,2.33616948,0.01312088,0.18274090,0.84255237,0.88474682,0.02773076,0.85227963,0.50373474,0.08230720
-5.36368184,2.44030855,0.01387599,0.18814509,0.86350012,0.93342814,0.02833709,0.90638036,0.51644739,0.08426246
-5.35767884,2.54915273,0.01467400,0.19385392,0.88625594,0.98393256,0.02893952,0.96291067,0.52997679,0.08642553
-5.35167584,2.66157054,0.01550658,0.19975921,0.91057728,1.03581936,0.02952295,1.02128475,0.54418221,0.08876266
-5.34567284,2.77625508,0.01636379,0.20573995,0.93615485,1.08857789,0.03007129,1.08083704,0.55888707,0.09123533
-5.33966983,2.89173794,0.01723413,0.21166579,0.96261613,1.14163139,0.03056785,1.14082942,0.57388015,0.09380049
-5.33366683,3.00641088,0.01810483,0.21740126,0.98953161,1.19434399,0.03099576,1.20046172,0.58891873,0.09641089
-5.32766383,3.11855508,0.01896210,0.22281048,1.01642376,1.24603063,0.03133856,1.25888545,0.60373334,0.09901572
-5.32166083,3.22637732,0.01979143,0.22776208,1.04277837,1.29596991,0.03158066,1.31522038,0.61803437,0.10156145
-5.31565783,3.32805220,0.02057798,0.23213425,1.06805788,1.34341962,0.03170792,1.36857381,0.63151998,0.10399286
