energy_ev,total_up,Ir_p_up,Ir_d_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-6.00000000,1.51578849,0.20796748,0.72084516,0.38177511,0.25305205,0.00279448,0.10585923,0.50826867,0.00000000
-5.99399700,1.47737409,0.19925967,0.70885027,0.36840734,0.24788537,0.00271604,0.10149256,0.48907725,0.00000000
-5.98799400,1.44877951,0.19346259,0.69957545,0.35830616,0.24514843,0.00268038,0.09799305,0.47449884,0.00000000
-5.98199100,1.42982313,0.19050125,0.69291243,0.35145299,0.24477226,0.00268454,0.09537206,0.46452155,0.00000000
-5.97598799,1.42022480,0.19028720,0.68872476,0.34779739,0.24665033,0.00272588,0.09363193,0.45909577,0.00000000
-5.96998499,1.41961832,0.19272076,0.68685455,0.34725889,0.25064179,0.00280212,0.09276637,0.45813739,0.00000000
-5.96398199,1.42756592,0.19769303,0.68713017,0.34972940,0.25657546,0.00291146,0.09276104,0.46153163,0.00000000
-5.95797899,1.44357449,0.20508761,0.68937447,0.35507593,0.26425451,0.00305252,0.09359432,0.46913735,0.00000000
-5.95197599,1.46711259,0.21478223,0.69341320,0.36314360,0.27346156,0.00322442,0.09523825,0.48079166,0.00000000
-5.94597299,1.49762784,0.22664997,0.69908318,0.37375896,0.28396435,0.00342668,0.09765965,0.49631477,0.00000000
-5.93996998,1.53456364,0.24056046,0.70623962,0.38673330,0.29552149,0.00365921,0.10082119,0.51551482,0.00000000
-5.93396698,1.57737455,0.25638075,0.71476226,0.40186612,0.30788840,0.00392222,0.10468266,0.53819242,0.00000000
-5.92796398,1.62553972,0.27397612,0.72455996,0.41894847,0.32082312,0.00421608,0.10920204,0.56414490,0.00000000
-5.92196098,1.67857352,0.29321061,0.73557336,0.43776618,0.33409184,0.00454124,0.11433651,0.59316984,0.00000000
-5.91595798,1.73603307,0.31394755,0.74777550,0.45810287,0.34747403,0.00489806,0.12004335,0.62506791,0.00000000
-5.90995498,1.79752228,0.33604985,0.76117035,0.47974267,0.36076701,0.00528666,0.12628054,0.65964466,0.00000000
-5.90395198,1.86269218,0.35938023,0.77578922,0.50247261,0.37378972,0.00570678,0.13300715,0.69671141,0.00000000
-5.89794897,1.93123781,0.38380126,0.79168536,0.52608466,0.38638575,0.00615763,0.14018340,0.73608501,0.00000000
-5.89194597,2.00289174,0.40917537,0.80892701,0.55037735,0.39842539,0.00663772,0.14777048,0.77758654,0.00000000
-5.88594297,2.07741479,0.43536469,0.82758928,0.57515704,0.40980672,0.00714477,0.15573000,0.82103908,0.00000000
-5.87993997,2.15458459,0.46223075,0.84774546,0.60023879,0.42045580,0.00767562,0.16402323,0.86626463,0.00000000
-5.87393697,2.23418267,0.48963415,0.86945812,0.62544681,0.43032581,0.00822613,0.17261011,0.91308045,0.00000000
-5.86793397,2.31598099,0.51743406,0.89277078,0.65061468,0.43939542,0.00879119,0.18144808,0.96129497,0.00000000
-5.86193097,2.39972886,0.54548765,0.91770046,0.67558511,0.44766629,0.00936471,0.19049082,1.01070363,0.00000000
-5.85592796,2.48514102,0.57364953,0.94423173,0.70020962,0.45516003,0.00993974,0.19968707,1.06108501,0.00000000
-5.84992496,2.57188788,0.60177112,0.97231263,0.72434787,0.46191463,0.01050850,0.20897949,1.11219738,0.00000000
-5.84392196,2.65958852,0.62970011,1.00185274,0.74786697,0.46798065,0.01106262,0.21830372,1.16377619,0.00000000
-5.83791896,2.74780717,0.65728006,1.03272361,0.77064065,0.47341720,0.01159326,0.22758782,1.21553268,0.00000000
-5.83191596,2.83605357,0.68435016,1.06476158,0.79254850,0.47828816,0.01209139,0.23675202,1.26715377,0.00000000
-5.82591296,2.92378731,0.71074529,1.09777294,0.81347526,0.48265848,0.01254800,0.24570891,1.31830352,0.00000000
-5.81990995,3.01042630,0.73629648,1.13154120,0.83331030,0.48659101,0.01295441,0.25436416,1.36862619,0.00000000
-5.81390695,3.09535907,0.76083170,1.16583608,0.85194736,0.49014379,0.01330251,0.26261776,1.41775086,0.00000000
-5.80790395,3.17796043,0.78417721,1.20042398,0.86928457,0.49336798,0.01358503,0.27036565,1.46529761,0.00000000
-5.80190095,3.25760980,0.80615939,1.23507917,0.88522484,0.49630647,0.01379579,0.27750193,1.51088502,0.00000000
-5.79589795,3.33371153,0.82660709,1.26959535,0.89967659,0.49899319,0.01392991,0.28392139,1.55413869,0.00000000
-5.78989495,3.40571610,0.84535443,1.30379681,0.91255495,0.50145301,0.01398397,0.28952228,1.59470057,0.00000000
-5.78389195,3.47314113,0.86224408,1.33754877,0.92378320,0.50370235,0.01395615,0.29420940,1.63223852,0.00000000
-5.77788894,3.53559129,0.87713075,1.37076616,0.93329464,0.50575018,0.01384629,0.29789705,1.66645586,0.00000000
-5.77188594,3.59277583,0.88988496,1.40342051,0.94103459,0.50759953,0.01365588,0.30051199,1.69710025,0.00000000
-5.76588294,3.64452280,0.90039673,1.43554432,0.94696253,0.50924909,0.01338806,0.30199615,1.72397159,0.00000000
-5.75987994,3.69078907,0.90857921,1.46723271,0.95105422,0.51069508,0.01304749,0.30230891,1.74692842,0.00000000
-5.75387694,3.73166539,0.91437184,1.49864203,0.95330364,0.51193295,0.01264020,0.30142893,1.76589257,0.00000000
-5.74787394,3.76737596,0.91774303,1.52998538,0.95372462,0.51295901,0.01217338,0.29935535,1.78085158,0.00000000
-5.74187094,3.79827221,0.91869215,1.56152499,0.95235194,0.51377164,0.01165519,0.29610837,1.79185884,0.00000000
-5.73586793,3.82482080,0.91725055,1.59356166,0.94924188,0.51437224,0.01109449,0.29172902,1.79903127,0.00000000
-5.72986493,3.84758596,0.91348172,1.62642147,0.94447193,0.51476564,0.01050054,0.28627836,1.80254465,0.00000000
-5.72386193,3.86720677,0.90748034,1.66044025,0.93813980,0.51496010,0.00988281,0.27983583,1.80262650,0.00000000
-5.71785893,3.88437012,0.89937024,1.69594618,0.93036148,0.51496671,0.00925065,0.27249710,1.79954709,0.00000000
-5.71185593,3.89978024,0.88930142,1.73324128,0.92126854,0.51479850,0.00861307,0.26437135,1.79360868,0.00000000
-5.70585293,3.91412610,0.87744607,1.77258233,0.91100455,0.51446902,0.00797857,0.25557805,1.78513344,0.00000000
-5.69984992,3.92804787,0.86399384,1.81416214,0.89972095,0.51399078,0.00735488,0.24624357,1.77445071,0.00000000
-5.69384692,3.94210403,0.84914644,1.85809169,0.88757233,0.51337338,0.00674888,0.23649756,1.76188405,0.00000000
-5.68784392,3.95674038,0.83311194,1.90438430,0.87471144,0.51262170,0.00616649,0.22646933,1.74773857,0.00000000
-5.68184092,3.97226254,0.81609884,1.95294213,0.86128415,0.51173408,0.00561257,0.21628446,1.73228929,0.00000000
