energy_ev,total_up,Pt_p_up,Pt_d_up,Se_s_up,Se_p_up,Sn_p_up,Sn_d_up
-6.00000000,0.66043273,0.12091427,0.26969920,0.01479222,0.06658463,0.15698250,0.00008477
-5.99399700,0.68238944,0.12395898,0.27952700,0.01524629,0.06983166,0.16344727,0.00008583
-5.98799400,0.70255551,0.12659070,0.28867217,0.01567307,0.07314425,0.16962103,0.00008643
-5.98199100,0.72083532,0.12879035,0.29708741,0.01606640,0.07655425,0.17544531,0.00008659
-5.97598799,0.73717252,0.13054885,0.30473875,0.01642075,0.08009958,0.18086636,0.00008631
-5.96998499,0.75154842,0.13186690,0.31160517,0.01673122,0.08382337,0.18583532,0.00008565
-5.96398199,0.76397994,0.13275457,0.31767825,0.01699353,0.08777290,0.19030860,0.00008463
-5.95797899,0.77451748,0.13323093,0.32296185,0.01720401,0.09199826,0.19424855,0.00008332
-5.95197599,0.78324295,0.13332367,0.32747197,0.01735964,0.09655090,0.19762430,0.00008176
-5.94597299,0.79026814,0.13306880,0.33123685,0.01745805,0.10148195,0.20041294,0.00008003
-5.93996998,0.79573367,0.13251044,0.33429733,0.01749757,0.10684047,0.20260098,0.00007821
-5.93396698,0.79980846,0.13170073,0.33670745,0.01747730,0.11267169,0.20418593,0.00007637
-5.92796398,0.80268969,0.13069990,0.33853525,0.01739717,0.11901509,0.20517804,0.00007460
-5.92196098,0.80460313,0.12957631,0.33986368,0.01725805,0.12590269,0.20560210,0.00007298
-5.91595798,0.80580353,0.12840660,0.34079145,0.01706181,0.13335730,0.20549894,0.00007161
-5.90995498,0.80657486,0.12727579,0.34143369,0.01681140,0.14139097,0.20492682,0.00007058
-5.90395198,0.80722990,0.12627716,0.34192223,0.01651096,0.15000358,0.20396224,0.00006998
-5.89794897,0.80810888,0.12551203,0.34240535,0.01616580,0.15918174,0.20270019,0.00006991
-5.89194597,0.80957694,0.12508912,0.34304676,0.01578243,0.16889790,0.20125374,0.00007046
-5.88594297,0.81201981,0.12512360,0.34402378,0.01536852,0.17910982,0.19975267,0.00007172
-5.87993997,0.81583785,0.12573558,0.34552456,0.01493283,0.18976038,0.19834133,0.00007377
