energy_ev,total_up,Pb_p_up,Pb_d_up,Ru_p_up,Ru_d_up,Se_s_up,Se_p_up
-6.00000000,0.23381723,0.11805815,0.00000004,0.13854107,0.12516737,0.00002422,0.00986664
-5.99399700,0.23506219,0.11868581,0.00000006,0.13927690,0.12583472,0.00002435,0.00991948
-5.98799400,0.23462117,0.11846174,0.00000008,0.13901288,0.12559995,0.00002430,0.00990132
-5.98199100,0.23250573,0.11739162,0.00000012,0.13775553,0.12446943,0.00002408,0.00981270
-5.97598799,0.22876417,0.11549957,0.00000017,0.13553296,0.12246924,0.00002369,0.00965574
-5.96998499,0.22348008,0.11282748,0.00000025,0.13239406,0.11964447,0.00002314,0.00943408
-5.96398199,0.21676981,0.10943362,0.00000036,0.12840685,0.11605783,0.00002245,0.00915278
-5.95797899,0.20877896,0.10539092,0.00000051,0.12365640,0.11178786,0.00002161,0.00881818
-5.95197599,0.19967808,0.10078466,0.00000071,0.11824216,0.10692665,0.00002066,0.00843775
-5.94597299,0.18965784,0.09571005,0.00000100,0.11227497,0.10157732,0.00001962,0.00801988
-5.93996998,0.17892395,0.09026956,0.00000139,0.10587392,0.09585135,0.00001849,0.00757373
-5.93396698,0.16769209,0.08457028,0.00000192,0.09916320,0.08986598,0.00001731,0.00710898
-5.92796398,0.15618316,0.07872141,0.00000263,0.09226905,0.08374175,0.00001609,0.00663573
-5.92196098,0.14461905,0.07283206,0.00000358,0.08531703,0.07760035,0.00001486,0.00616434
-5.91595798,0.13321916,0.06700928,0.00000483,0.07842967,0.07156288,0.00001364,0.00570529
-5.90995498,0.12219786,0.06135669,0.00000648,0.07172470,0.06574870,0.00001244,0.00526919
-5.90395198,0.11176296,0.05597352,0.00000863,0.06531372,0.06027470,0.00001129,0.00486671
-5.89794897,0.10211520,0.05095418,0.00001142,0.05930164,0.05525527,0.00001019,0.00450866
-5.89194597,0.09344890,0.04638838,0.00001498,0.05378654,0.05080281,0.00000917,0.00420609
-5.88594297,0.08595337,0.04236171,0.00001953,0.04886024,0.04702871,0.00000824,0.00397037
-5.87993997,0.07981529,0.03895661,0.00002527,0.04460922,0.04404478,0.00000740,0.00381341
-5.87393697,0.07522151,0.03625364,0.00003246,0.04111601,0.04196496,0.00000667,0.00374780
-5.86793397,0.07236229,0.03433299,0.00004140,0.03846074,0.04090718,0.00000606,0.00378700
-5.86193097,0.07143443,0.03327600,0.00005243,0.03672285,0.04099513,0.00000557,0.00394552
-5.85592796,0.07264415,0.03316657,0.00006591,0.03598269,0.04235986,0.00000522,0.00423907
-5.84992496,0.07620925,0.03409234,0.00008227,0.03632294,0.04514092,0.00000500,0.00468459
-5.84392196,0.08236037,0.03614548,0.00010195,0.03782959,0.04948680,0.00000492,0.00530030
-5.83791896,0.09134075,0.03942290,0.00012543,0.04059240,0.05555464,0.00000500,0.00610557
-5.83191596,0.10340452,0.04402577,0.00015322,0.04470471,0.06350884,0.00000523,0.00712072
-5.82591296,0.11881310,0.05005832,0.00018583,0.05026244,0.07351862,0.00000562,0.00836667
-5.81990995,0.13782959,0.05762573,0.00022375,0.05736220,0.08575426,0.00000619,0.00986448
-5.81390695,0.16071114,0.06683114,0.00026749,0.06609861,0.10038217,0.00000693,0.01163471
-5.80790395,0.18769924,0.07777184,0.00031749,0.07656064,0.11755862,0.00000785,0.01369665
-5.80190095,0.21900825,0.09053456,0.00037414,0.08882721,0.13742249,0.00000895,0.01606743
-5.79589795,0.25481234,0.10519019,0.00043773,0.10296204,0.16008691,0.00001025,0.01876104
-5.78989495,0.29523134,0.12178793,0.00050848,0.11900805,0.18563038,0.00001174,0.02178724
-5.78389195,0.34031602,0.14034911,0.00058644,0.13698144,0.21408752,0.00001343,0.02515048
-5.77788894,0.39003351,0.16086116,0.00067152,0.15686572,0.24543991,0.00001532,0.02884879
-5.77188594,0.44425365,0.18327177,0.00076345,0.17860614,0.27960754,0.00001740,0.03287277
-5.76588294,0.50273701,0.20748377,0.00086178,0.20210470,0.31644145,0.00001967,0.03720471
-5.75987994,0.56512558,0.23335106,0.00096585,0.22721618,0.35571788,0.00002213,0.04181790
-5.75387694,0.63093680,0.26067594,0.00107479,0.25374550,0.39713470,0.00002478,0.04667618
-5.74787394,0.69956182,0.28920804,0.00118752,0.28144678,0.44031045,0.00002761,0.05173381
-5.74187094,0.77026850,0.31864533,0.00130279,0.31002423,0.48478636,0.00003063,0.05693569
-5.73586793,0.84220968,0.34863726,0.00141915,0.33913527,0.53003177,0.00003382,0.06221795
-5.72986493,0.91443686,0.37879011,0.00153502,0.36839570,0.57545283,0.00003720,0.06750896
-5.72386193,0.98591925,0.40867466,0.00164872,0.39738717,0.62040468,0.00004078,0.07273070
-5.71785893,1.05556783,0.43783593,0.00175850,0.42566665,0.66420675,0.00004459,0.07780051
-5.71185593,1.12226384,0.46580479,0.00186259,0.45277769,0.70616076,0.00004865,0.08263321
-5.70585293,1.18489063,0.49211106,0.00195928,0.47826317,0.74557092,0.00005302,0.08714333
-5.69984992,1.24236782,0.51629767,0.00204696,0.50167899,0.78176548,0.00005777,0.09124767
-5.69384692,1.29368638,0.53793514,0.00212420,0.52260819,0.81411881,0.00006296,0.09486782
-5.68784392,1.33794298,0.55663604,0.00218974,0.54067484,0.84207305,0.00006873,0.09793270
-5.68184092,1.37437222,0.57206851,0.00224264,0.55555722,0.86515830,0.00007518,0.10038088
-5.67583792,1.40237508,0.58396833,0.00228223,0.56699942,0.88301046,0.00008247,0.10216268
-5.66983492,1.42154226,0.59214898,0.00230820,0.57482106,0.89538568,0.00009079,0.10324196
-5.66383192,1.43167111,0.59650906,0.00232058,0.57892438,0.90217084,0.00010032,0.10359733
-5.65782891,1.43277534,0.59703683,0.00231978,0.57929856,0.90338939,0.00011129,0.10322303
-5.65182591,1.42508694,0.59381148,0.00230656,0.57602084,0.89920219,0.00012393,0.10212907
-5.64582291,1.40905003,0.58700113,0.00228201,0.56925446,0.88990325,0.00013849,0.10034102
-5.63981991,1.38530699,0.57685755,0.00224754,0.55924342,0.87591062,0.00015522,0.09789908
-5.63381691,1.35467739,0.56370802,0.00220480,0.54630444,0.85775264,0.00017438,0.09485679
-5.62781391,1.31813082,0.54794442,0.00215565,0.53081623,0.83605040,0.00019622,0.09127922
-5.62181091,1.27675480,0.53001041,0.00210207,0.51320691,0.81149709,0.00022097,0.08724089
-5.61580790,1.23171938,0.51038700,0.00204615,0.49393993,0.78483524,0.00024885,0.08282345
-5.60980490,1.18424008,0.48957746,0.00198996,0.47349921,0.75683313,0.00028002,0.07811316
