energy_ev,total_up,Cd_p_up,Cd_d_up,In_p_up,In_d_up,Te_p_up,Te_d_up
-6.00000000,0.16675412,0.13142643,0.01336852,0.00662963,0.00030690,0.11071437,0.00000000
-5.99399700,0.14703671,0.11588625,0.01178779,0.00584573,0.00027061,0.09762324,0.00000000
-5.98799400,0.12871968,0.10144978,0.01031933,0.00511750,0.00023690,0.08546187,0.00000000
-5.98199100,0.11187527,0.08817394,0.00896893,0.00444782,0.00020590,0.07427823,0.00000000
-5.97598799,0.09653687,0.07608506,0.00773927,0.00383801,0.00017767,0.06409449,0.00000000
-5.96998499,0.08270320,0.06518211,0.00663023,0.00328802,0.00015221,0.05490979,0.00000000
-5.96398199,0.07034308,0.05544055,0.00563933,0.00279662,0.00012946,0.04670344,0.00000000
-5.95797899,0.05940054,0.04681624,0.00476208,0.00236158,0.00010932,0.03943827,0.00000000
-5.95197599,0.04980000,0.03924962,0.00399242,0.00197989,0.00009165,0.03306411,0.00000000
-5.94597299,0.04145131,0.03266964,0.00332311,0.00164798,0.00007629,0.02752110,0.00000000
-5.93996998,0.03425446,0.02699748,0.00274615,0.00136185,0.00006304,0.02274283,0.00000000
-5.93396698,0.02810386,0.02214992,0.00225306,0.00111732,0.00005172,0.01865922,0.00000000
-5.92796398,0.02289205,0.01804226,0.00183523,0.00091012,0.00004213,0.01519890,0.00000000
-5.92196098,0.01851286,0.01459082,0.00148416,0.00073601,0.00003407,0.01229139,0.00000000
-5.91595798,0.01486388,0.01171489,0.00119162,0.00059094,0.00002736,0.00986869,0.00000000
-5.90995498,0.01184843,0.00933828,0.00094988,0.00047106,0.00002181,0.00786662,0.00000000
-5.90395198,0.00937691,0.00739036,0.00075174,0.00037280,0.00001726,0.00622568,0.00000000
-5.89794897,0.00736765,0.00580677,0.00059066,0.00029291,0.00001356,0.00489165,0.00000000
-5.89194597,0.00574736,0.00452975,0.00046076,0.00022850,0.00001058,0.00381588,0.00000000
-5.88594297,0.00445122,0.00350819,0.00035685,0.00017697,0.00000819,0.00295531,0.00000000
-5.87993997,0.00342264,0.00269752,0.00027439,0.00013607,0.00000630,0.00227239,0.00000000
-5.87393697,0.00261287,0.00205930,0.00020947,0.00010388,0.00000481,0.00173473,0.00000000
-5.86793397,0.00198041,0.00156081,0.00015877,0.00007874,0.00000365,0.00131478,0.00000000
-5.86193097,0.00149033,0.00117453,0.00011948,0.00005925,0.00000274,0.00098935,0.00000000
-5.85592796,0.00111358,0.00087757,0.00008928,0.00004428,0.00000205,0.00073913,0.00000000
-5.84992496,0.00082626,0.00065107,0.00006625,0.00003286,0.00000152,0.00054825,0.00000000
-5.84392196,0.00060894,0.00047970,0.00004884,0.00002423,0.00000112,0.00040378,0.00000000
-5.83791896,0.00044595,0.00035111,0.00003578,0.00001776,0.00000083,0.00029529,0.00000000
