energy_ev,total_up,C_s_up,C_p_up,Hf_p_up,Hf_d_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,0.55994043,0.00169617,0.01035125,0.23959950,0.08029936,0.00250214,0.41813373,0.32256014,0.07288022
-5.99399700,0.58761570,0.00167983,0.01144629,0.24298333,0.08470974,0.00295168,0.43797480,0.33533567,0.07675698
-5.98799400,0.61618958,0.00171727,0.01260214,0.24618763,0.08912479,0.00346286,0.45823826,0.34754223,0.08097527
-5.98199100,0.64559019,0.00180955,0.01381411,0.24922155,0.09352459,0.00403833,0.47885848,0.35908400,0.08552721
-5.97598799,0.67576325,0.00195787,0.01507654,0.25212192,0.09789159,0.00467979,0.49978536,0.36988488,0.09040400
-5.96998499,0.70666963,0.00216348,0.01638285,0.25495165,0.10221064,0.00538783,0.52098304,0.37988935,0.09559517
-5.96398199,0.73828199,0.00242764,0.01772569,0.25779685,0.10646901,0.00616170,0.54242796,0.38906276,0.10108776
-5.95797899,0.77058075,0.00275151,0.01909706,0.26076290,0.11065630,0.00699914,0.56410631,0.39739107,0.10686546
-5.95197599,0.80354947,0.00313607,0.02048850,0.26396941,0.11476434,0.00789621,0.58601108,0.40488004,0.11290776
-5.94597299,0.83717018,0.00358193,0.02189132,0.26754452,0.11878711,0.00884724,0.60813879,0.41155388,0.11918923
-5.93996998,0.87141852,0.00408924,0.02329683,0.27161872,0.12272056,0.00984473,0.63048616,0.41745345,0.12567889
-5.93396698,0.90625932,0.00465751,0.02469653,0.27631830,0.12656246,0.01087938,0.65304680,0.42263398,0.13233982
-5.92796398,0.94164243,0.00528548,0.02608238,0.28175902,0.13031220,0.01194019,0.67580800,0.42716243,0.13912903
-5.92196098,0.97749929,0.00597099,0.02744699,0.28803989,0.13397052,0.01301459,0.69874792,0.43111457,0.14599762
-5.91595798,1.01374001,0.00671082,0.02878378,0.29523773,0.13753926,0.01408866,0.72183297,0.43457178,0.15289115
-5.90995498,1.05025129,0.00750065,0.03008708,0.30340223,0.14102099,0.01514746,0.74501569,0.43761761,0.15975036
-5.90395198,1.08689491,0.00833497,0.03135224,0.31255221,0.14441858,0.01617533,0.76823289,0.44033429,0.16651213
-5.89794897,1.12350696,0.00920705,0.03257562,0.32267276,0.14773471,0.01715636,0.79140427,0.44279922,0.17311061
-5.89194597,1.15989751,0.01010897,0.03375451,0.33371364,0.15097131,0.01807473,0.81443133,0.44508147,0.17947854
-5.88594297,1.19585089,0.01103168,0.03488701,0.34558889,0.15412890,0.01891527,0.83719660,0.44723852,0.18554858
-5.87993997,1.23112631,0.01196509,0.03597185,0.35817756,0.15720593,0.01966383,0.85956322,0.44931322,0.19125477
-5.87393697,1.26545881,0.01289826,0.03700816,0.37132568,0.16019806,0.02030773,0.88137481,0.45133122,0.19653382
-5.86793397,1.29856064,0.01381953,0.03799520,0.38484925,0.16309743,0.02083616,0.90245570,0.45329883,0.20132635
-5.86193097,1.33012299,0.01471679,0.03893204,0.39853820,0.16589208,0.02124049,0.92261147,0.45520160,0.20557793
-5.85592796,1.35981816,0.01557768,0.03981737,0.41216122,0.16856538,0.02151452,0.94163010,0.45700361,0.20923995
-5.84992496,1.38730236,0.01638995,0.04064913,0.42547116,0.17109569,0.02165468,0.95928357,0.45864751,0.21227025
-5.84392196,1.41221919,0.01714162,0.04142444,0.43821110,0.17345623,0.02166005,0.97533015,0.46005548,0.21463357
-5.83791896,1.43420400,0.01782139,0.04213937,0.45012057,0.17561519,0.02153238,0.98951752,0.46113112,0.21630171
-5.83191596,1.45288931,0.01841879,0.04278896,0.46094210,0.17753617,0.02127598,1.00158665,0.46176210,0.21725364
-5.82591296,1.46791124,0.01892454,0.04336727,0.47042763,0.17917896,0.02089751,1.01127670,0.46182372,0.21747540
-5.81990995,1.47891718,0.01933070,0.04386758,0.47834487,0.18050063,0.02040570,1.01833070,0.46118313,0.21695994
-5.81390695,1.48557442,0.01963093,0.04428264,0.48448316,0.18145696,0.01981105,1.02250216,0.45970418,0.21570693
-5.80790395,1.48757986,0.01982056,0.04460509,0.48865900,0.18200413,0.01912545,1.02356232,0.45725260,0.21372257
-5.80190095,1.48467029,0.01989680,0.04482792,0.49072077,0.18210067,0.01836177,1.02130796,0.45370147,0.21101944
-5.79589795,1.47663299,0.01985869,0.04494501,0.49055282,0.18170949,0.01753348,1.01556932,0.44893653,0.20761639
-5.78989495,1.46331622,0.01970721,0.04495169,0.48807859,0.18079999,0.01665427,1.00621804,0.44286137,0.20353851
-5.78389195,1.44463909,0.01944516,0.04484531,0.48326274,0.17935011,0.01573765,0.99317443,0.43540205,0.19881715
-5.77788894,1.42060005,0.01907713,0.04462576,0.47611227,0.17734813,0.01479668,0.97641397,0.42651100,0.19348992
-5.77188594,1.39128376,0.01860935,0.04429589,0.46667653,0.17479425,0.01384365,0.95597242,0.41617008,0.18760072
-5.76588294,1.35686556,0.01804950,0.04386191,0.45504606,0.17170166,0.01288988,0.93194932,0.40439256,0.18119968
-5.75987994,1.31761312,0.01740657,0.04333348,0.44135044,0.16809721,0.01194557,0.90450949,0.39122399,0.17434298
-5.75387694,1.27388512,0.01669055,0.04272377,0.42575503,0.16402145,0.01101969,0.87388234,0.37674183,0.16709257
-5.74787394,1.22612656,0.01591229,0.04204929,0.40845679,0.15952807,0.01011990,0.84035892,0.36105398,0.15951558
-5.74187094,1.17486085,0.01508314,0.04132950,0.38967931,0.15468277,0.00925258,0.80428669,0.34429608,0.15168366
