energy_ev,total_up,C_s_up,C_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up,Y_p_up,Y_d_up
-6.00000000,6.26981053,0.01268412,0.11530029,3.15156964,0.75131793,0.10197951,3.97991720,0.59665153,0.36459381
-5.99399700,6.30153058,0.01293903,0.11758350,3.20614738,0.73970693,0.10061144,3.99380537,0.61129531,0.36741801
-5.98799400,6.31635987,0.01314420,0.11967253,3.25176896,0.72664216,0.09894928,3.99701921,0.62470067,0.36946408
-5.98199100,6.31459531,0.01329698,0.12155614,3.28807729,0.71241235,0.09702786,3.98982408,0.63675166,0.37073702
-5.97598799,6.29663957,0.01339551,0.12322333,3.31479807,0.69729030,0.09488393,3.97254836,0.64733805,0.37124261
-5.96998499,6.26300214,0.01343886,0.12466391,3.33174769,0.68152731,0.09255560,3.94558327,0.65635870,0.37098814
-5.96398199,6.21430376,0.01342711,0.12586919,3.33884112,0.66534948,0.09008189,3.90938495,0.66372534,0.36998348
-5.95797899,6.15128342,0.01336140,0.12683266,3.33609937,0.64895583,0.08750232,3.86447844,0.66936658,0.36824250
-5.95197599,6.07480686,0.01324398,0.12755080,3.32365612,0.63251815,0.08485655,3.81146278,0.67323200,0.36578467
-5.94597299,5.98587518,0.01307823,0.12802377,3.30176311,0.61618259,0.08218414,3.75101639,0.67529603,0.36263670
-5.93996998,5.88563234,0.01286861,0.12825613,3.27079371,0.60007236,0.07952427,3.68390182,0.67556144,0.35883423
-5.93396698,5.77536976,0.01262061,0.12825733,3.23124424,0.58429162,0.07691547,3.61096882,0.67406212,0.35442325
-5.92796398,5.65652698,0.01234061,0.12804219,3.18373243,0.56892986,0.07439541,3.53315487,0.67086503,0.34946126
-5.92196098,5.53068687,0.01203582,0.12763106,3.12899283,0.55406656,0.07200056,3.45148236,0.66607110,0.34401803
-5.91595798,5.39956473,0.01171404,0.12704981,3.06786865,0.53977574,0.06976589,3.36705182,0.65981485,0.33817580
