energy_ev,total_up,C_s_up,C_p_up,Li_s_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-6.00000000,1.06481276,0.00742967,0.03339470,0.41151490,0.22766812,0.06294466,0.70694248,0.00000000
-5.99399700,1.13396765,0.00793572,0.03547040,0.43746862,0.24240334,0.06706315,0.75321031,0.00000000
-5.98799400,1.19954555,0.00842259,0.03740614,0.46189380,0.25636685,0.07097542,0.79719603,0.00000000
-5.98199100,1.26051102,0.00888379,0.03916602,0.48438607,0.26933940,0.07462115,0.83822497,0.00000000
-5.97598799,1.31591097,0.00931349,0.04071627,0.50457307,0.28111958,0.07794489,0.87567838,0.00000000
-5.96998499,1.36490852,0.00970669,0.04202639,0.52212757,0.29153104,0.08089807,0.90901586,0.00000000
-5.96398199,1.40681431,0.01005952,0.04307011,0.53677936,0.30042915,0.08344089,0.93779599,0.00000000
-5.95797899,1.44111333,0.01036935,0.04382636,0.54832550,0.30770668,0.08554384,0.96169404,0.00000000
-5.95197599,1.46748590,0.01063497,0.04427995,0.55663830,0.31329824,0.08718901,0.98051565,0.00000000
-5.94597299,1.48582141,0.01085663,0.04442214,0.56167057,0.31718316,0.08837082,0.99420556,0.00000000
-5.93996998,1.49622390,0.01103608,0.04425095,0.56345775,0.31938654,0.08909641,1.00285089,0.00000000
-5.93396698,1.49900882,0.01117650,0.04377123,0.56211683,0.31997852,0.08938534,1.00667841,0.00000000
-5.92796398,1.49469092,0.01128240,0.04299451,0.55784189,0.31907158,0.08926889,1.00604580,0.00000000
-5.92196098,1.48396355,0.01135938,0.04193853,0.55089654,0.31681602,0.08878880,1.00142711,0.00000000
-5.91595798,1.46767013,0.01141394,0.04062667,0.54160348,0.31339379,0.08799550,0.99339296,0.00000000
-5.90995498,1.44676916,0.01145315,0.03908706,0.53033165,0.30901091,0.08694600,0.98258627,0.00000000
-5.90395198,1.42229415,0.01148429,0.03735168,0.51748161,0.30388887,0.08570148,0.96969480,0.00000000
-5.89794897,1.39531056,0.01151452,0.03545525,0.50346978,0.29825537,0.08432467,0.95542147,0.00000000
-5.89194597,1.36687161,0.01155054,0.03343408,0.48871233,0.29233484,0.08287720,0.94045420,0.00000000
-5.88594297,1.33797524,0.01159818,0.03132499,0.47360941,0.28633924,0.08141697,0.92543656,0.00000000
-5.87993997,1.30952419,0.01166214,0.02916421,0.45853057,0.28045950,0.07999581,0.91094063,0.00000000
