energy_ev,total_up,Hg_p_up,Hg_d_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,Te_p_up,Te_d_up
-6.00000000,1.10354172,0.25816367,0.26790456,0.04681891,0.04565777,0.27080064,0.38095619,0.25415907,0.00000000
-5.99399700,1.11582080,0.26430853,0.26869474,0.04779782,0.04675013,0.27110407,0.39178229,0.25692145,0.00000000
-5.98799400,1.12961777,0.27015818,0.26936803,0.04869097,0.04788371,0.27158273,0.40437799,0.26080356,0.00000000
-5.98199100,1.14451218,0.27546784,0.26981542,0.04948380,0.04900703,0.27205534,0.41874464,0.26563992,0.00000000
-5.97598799,1.16013506,0.28001901,0.26993973,0.05016412,0.05007295,0.27235683,0.43488551,0.27127384,0.00000000
-5.96998499,1.17617662,0.28362651,0.26965847,0.05072223,0.05104018,0.27234371,0.45280167,0.27756123,0.00000000
-5.96398199,1.19239031,0.28614454,0.26890590,0.05115088,0.05187463,0.27189870,0.47248687,0.28437358,0.00000000
-5.95797899,1.20859357,0.28747146,0.26763427,0.05144520,0.05255048,0.27093428,0.49392164,0.29160015,0.00000000
-5.95197599,1.22466551,0.28755327,0.26581434,0.05160248,0.05305110,0.26939523,0.51706708,0.29914930,0.00000000
-5.94597299,1.24054195,0.28638564,0.26343506,0.05162192,0.05336962,0.26726014,0.54185870,0.30694907,0.00000000
-5.93996998,1.25620841,0.28401435,0.26050262,0.05150428,0.05350921,0.26454180,0.56820066,0.31494702,0.00000000
-5.93396698,1.27169154,0.28053424,0.25703899,0.05125159,0.05348306,0.26128653,0.59596096,0.32310946,0.00000000
-5.92796398,1.28704962,0.27608661,0.25307996,0.05086680,0.05331412,0.25757261,0.62496780,0.33142007,0.00000000
-5.92196098,1.30236268,0.27085517,0.24867285,0.05035350,0.05303437,0.25350764,0.65500744,0.33987810,0.00000000
-5.91595798,1.31772273,0.26506066,0.24387408,0.04971566,0.05268400,0.24922512,0.68582379,0.34849615,0.00000000
-5.90995498,1.33322446,0.25895430,0.23874667,0.04895747,0.05231014,0.24488028,0.71711985,0.35729762,0.00000000
-5.90395198,1.34895684,0.25281023,0.23335768,0.04808318,0.05196546,0.24064523,0.74856095,0.36631398,0.00000000
-5.89794897,1.36499576,0.24691718,0.22777592,0.04709713,0.05170653,0.23670356,0.77977987,0.37558179,0.00000000
-5.89194597,1.38139781,0.24156960,0.22206977,0.04600367,0.05159199,0.23324459,0.81038354,0.38513967,0.00000000
-5.88594297,1.39819528,0.23705841,0.21630523,0.04480733,0.05168063,0.23045724,0.83996113,0.39502510,0.00000000
-5.87993997,1.41539233,0.23366181,0.21054437,0.04351290,0.05202932,0.22852384,0.86809329,0.40527127,0.00000000
-5.87393697,1.43296215,0.23163610,0.20484396,0.04212561,0.05269107,0.22761389,0.89436210,0.41590389,0.00000000
-5.86793397,1.45084511,0.23120704,0.19925446,0.04065127,0.05371289,0.22787793,0.91836147,0.42693807,0.00000000
-5.86193097,1.46894764,0.23256183,0.19381927,0.03909647,0.05513395,0.22944182,0.93970744,0.43837538,0.00000000
-5.85592796,1.48714190,0.23584196,0.18857426,0.03746872,0.05698377,0.23240131,0.95804832,0.45020103,0.00000000
-5.84992496,1.50526608,0.24113719,0.18354748,0.03577654,0.05928061,0.23681748,0.97307400,0.46238149,0.00000000
