energy_ev,total_up,Pb_p_up,Pb_d_up,Pd_p_up,Pd_d_up,Se_s_up,Se_p_up
-6.00000000,1.15074454,0.24870164,0.00281234,0.74214938,0.94968421,0.00230436,0.02713338
-5.99399700,1.08436324,0.23549920,0.00262750,0.67207546,0.89952206,0.00243010,0.02416650
-5.98799400,1.03264745,0.22510995,0.00248049,0.61192493,0.86136264,0.00258304,0.02163902
-5.98199100,0.99508847,0.21743002,0.00237073,0.56133046,0.83476887,0.00276173,0.01954755
-5.97598799,0.97101703,0.21232740,0.00229717,0.51982976,0.81916980,0.00296424,0.01788469
-5.96998499,0.95962966,0.20964750,0.00225834,0.48688852,0.81388206,0.00318818,0.01663976
-5.96398199,0.96001479,0.20921859,0.00225241,0.46192223,0.81813114,0.00343072,0.01579951
-5.95797899,0.97117782,0.21085683,0.00227720,0.44431596,0.83107210,0.00368867,0.01534868
-5.95197599,0.99206446,0.21437075,0.00233026,0.43344149,0.85180900,0.00395850,0.01527054
-5.94597299,1.02158193,0.21956512,0.00240889,0.42867163,0.87941273,0.00423641,0.01554719
-5.93996998,1.05861781,0.22624404,0.00251021,0.42939132,0.91293717,0.00451838,0.01615993
-5.93396698,1.10205658,0.23421340,0.00263118,0.43500596,0.95143360,0.00480028,0.01708935
-5.92796398,1.15079413,0.24328276,0.00276865,0.44494692,0.99396350,0.00507792,0.01831548
-5.92196098,1.20375043,0.25326663,0.00291940,0.45867488,1.03961003,0.00534711,0.01981787
-5.91595798,1.25988103,0.26398554,0.00308015,0.47568145,1.08748842,0.00560381,0.02157565
-5.90995498,1.31818748,0.27526680,0.00324763,0.49548954,1.13675564,0.00584413,0.02356762
-5.90395198,1.37772751,0.28694526,0.00341860,0.51765316,1.18661956,0.00606446,0.02577237
-5.89794897,1.43762493,0.29886422,0.00358991,0.54175710,1.23634796,0.00626154,0.02816856
-5.89194597,1.49707968,0.31087650,0.00375850,0.56741685,1.28527735,0.00643249,0.03073510
-5.88594297,1.55537801,0.32284577,0.00392151,0.59427921,1.33282169,0.00657490,0.03345164
-5.87993997,1.61190267,0.33464828,0.00407625,0.62202357,1.37848097,0.00668686,0.03629895
-5.87393697,1.66614281,0.34617471,0.00422032,0.65036399,1.42184919,0.00676701,0.03925947
-5.86793397,1.71770312,0.35733232,0.00435159,0.67905189,1.46262160,0.00681454,0.04231786
-5.86193097,1.76631164,0.36804704,0.00446832,0.70787910,1.50060055,0.00682924,0.04546151
-5.85592796,1.81182554,0.37826550,0.00456913,0.73668085,1.53569956,0.00681147,0.04868107
-5.84992496,1.85423419,0.38795673,0.00465309,0.76533839,1.56794502,0.00676214,0.05197079
-5.84392196,1.89365887,0.39711332,0.00471969,0.79378057,1.59747500,0.00668273,0.05532883
-5.83791896,1.93034855,0.40575193,0.00476893,0.82198414,1.62453485,0.00657522,0.05875728
-5.83191596,1.96467146,0.41391304,0.00480127,0.84997240,1.64946940,0.00644207,0.06226201
-5.82591296,1.99710222,0.42165973,0.00481763,0.87781178,1.67271148,0.00628615,0.06585232
-5.81990995,2.02820488,0.42907563,0.00481939,0.90560661,1.69476730,0.00611071,0.06954029
-5.81390695,2.05861214,0.43626192,0.00480835,0.93349182,1.71619874,0.00591930,0.07333989
-5.80790395,2.08900169,0.44333377,0.00478666,0.96162418,1.73760350,0.00571574,0.07726599
-5.80190095,2.12007074,0.45041611,0.00475682,0.99017243,1.75959378,0.00550406,0.08133313
-5.79589795,2.15250982,0.45763926,0.00472155,1.01930685,1.78277465,0.00528842,0.08555421
-5.78989495,2.18697752,0.46513457,0.00468377,1.04918919,1.80772314,0.00507310,0.08993925
-5.78389195,2.22407750,0.47303043,0.00464650,1.07996364,1.83496932,0.00486246,0.09449414
-5.77788894,2.26433914,0.48144893,0.00461280,1.11174964,1.86498036,0.00466089,0.09921960
-5.77188594,2.30820314,0.49050349,0.00458572,1.14463719,1.89814863,0.00447282,0.10411040
-5.76588294,2.35601294,0.50029751,0.00456820,1.17868524,1.93478444,0.00430270,0.10915482
-5.75987994,2.40801251,0.51092439,0.00456307,1.21392342,1.97511402,0.00415501,0.11433458
-5.75387694,2.46435067,0.52246860,0.00457296,1.25035711,2.01928262,0.00403424,0.11962507
-5.74787394,2.52509148,0.53500791,0.00460028,1.28797562,2.06736248,0.00394491,0.12499608
-5.74187094,2.59022984,0.54861644,0.00464723,1.32676292,2.11936512,0.00389158,0.13041279
-5.73586793,2.65971107,0.56336824,0.00471574,1.36670995,2.17525658,0.00387884,0.13583719
-5.72986493,2.73345267,0.57934079,0.00480752,1.40782748,2.23497467,0.00391129,0.14122968
-5.72386193,2.81136628,0.59661825,0.00492397,1.45015827,2.29844631,0.00399350,0.14655083
-5.71785893,2.89337785,0.61529357,0.00506628,1.49378710,2.36560360,0.00412997,0.15176321
-5.71185593,2.97944385,0.63546935,0.00523537,1.53884739,2.43639679,0.00432503,0.15683301
-5.70585293,3.06956170,0.65725674,0.00543187,1.58552338,2.51080285,0.00458274,0.16173160
-5.69984992,3.16377285,0.68077228,0.00565616,1.63404667,2.58882830,0.00490675,0.16643660
-5.69384692,3.26215743,0.70613242,0.00590829,1.68468682,2.67050554,0.00530013,0.17093266
-5.68784392,3.36482022,0.73344579,0.00618799,1.73773587,2.75588234,0.00576517,0.17521164
-5.68184092,3.47186789,0.76280344,0.00649462,1.79348687,2.84500468,0.00630321,0.17927237
-5.67583792,3.58337879,0.79426741,0.00682710,1.85220767,2.93789358,0.00691438,0.18311983
-5.66983492,3.69936664,0.82785826,0.00718390,1.91411090,3.03451737,0.00759743,0.18676383
-5.66383192,3.81974062,0.86354231,0.00756297,1.97932213,3.13476092,0.00834951,0.19021743
-5.65782891,3.94426445,0.90121942,0.00796170,2.04784813,3.23839415,0.00916604,0.19349492
-5.65182591,4.07251750,0.94071216,0.00837686,2.11954748,3.34504207,0.01004054,0.19660977
-5.64582291,4.20386129,0.98175742,0.00880464,2.19410573,3.45415891,0.01096459,0.19957253
-5.63981991,4.33741421,1.02400119,0.00924061,2.27101742,3.56500864,0.01192783,0.20238894
-5.63381691,4.47203737,1.06699725,0.00967974,2.34957657,3.67665416,0.01291805,0.20505829
-5.62781391,4.60633374,1.11021029,0.01011650,2.42887722,3.78795680,0.01392133,0.20757232
-5.62181091,4.73866208,1.15302381,0.01054488,2.50782488,3.89758742,0.01492228,0.20991459
