energy_ev,total_up,Mg_p_up,Mg_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
-5.78989495,2.80271594,0.19037991,0.00000000,0.04063675,0.45701710,0.06782842,1.38974030,1.36430533,0.66203998
-5.78389195,2.80279506,0.19129553,0.00000000,0.04079945,0.44986519,0.06792303,1.39789804,1.37110122,0.66694376
-5.77788894,2.80873190,0.19231975,0.00000000,0.04090753,0.44480610,0.06820322,1.40794096,1.37888617,0.67367646
-5.77188594,2.81900677,0.19334073,0.00000000,0.04095155,0.44160185,0.06863246,1.41910185,1.38697526,0.68183909
-5.76588294,2.83210909,0.19425527,0.00000000,0.04092265,0.44000483,0.06917203,1.43062404,1.39475853,0.69102326
-5.75987994,2.84657823,0.19497184,0.00000000,0.04081282,0.43976430,0.06978225,1.44178249,1.40171598,0.70081971
-5.75387694,2.86104090,0.19541327,0.00000000,0.04061517,0.44063242,0.07042368,1.45190333,1.40742861,0.71082662
-5.74787394,2.87424431,0.19551876,0.00000000,0.04032424,0.44236966,0.07105829,1.46038104,1.41158514,0.72065764
-5.74187094,2.88508429,0.19524538,0.00000000,0.03993612,0.44474955,0.07165060,1.46669322,1.41398436,0.72994950
-5.73586793,2.89262797,0.19456895,0.00000000,0.03944870,0.44756276,0.07216876,1.47041229,1.41453337,0.73836900
-5.72986493,2.89613061,0.19348423,0.00000000,0.03886174,0.45062033,0.07258554,1.47121424,1.41324191,0.74561931
-5.72386193,2.89504634,0.19200448,0.00000000,0.03817694,0.45375624,0.07287917,1.46888394,1.41021326,0.75144540
-5.71785893,2.88903289,0.19016038,0.00000000,0.03739796,0.45682909,0.07303402,1.46331727,1.40563235,0.75563846
-5.71185593,2.87795028,0.18799843,0.00000000,0.03653033,0.45972316,0.07304110,1.45451984,1.39975152,0.75803925
-5.70585293,2.86185381,0.18557880,0.00000000,0.03558142,0.46234871,0.07289833,1.44260266,1.39287487,0.75854017
-5.69984992,2.84098170,0.18297282,0.00000000,0.03456020,0.46464157,0.07261061,1.42777469,1.38534177,0.75708610
-5.69384692,2.81573797,0.18026008,0.00000000,0.03347711,0.46656223,0.07218962,1.41033290,1.37751022,0.75367386
-5.68784392,2.78667104,0.17752545,0.00000000,0.03234377,0.46809428,0.07165336,1.39064982,1.36974080,0.74835034
-5.68184092,2.75444895,0.17485595,0.00000000,0.03117273,0.46924240,0.07102552,1.36915940,1.36238175,0.74120930
-5.67583792,2.71983194,0.17233763,0.00000000,0.02997718,0.47002993,0.07033454,1.34634128,1.35575569,0.73238693
-5.66983492,2.68364334,0.17005272,0.00000000,0.02877059,0.47049609,0.06961256,1.32270438,1.35014830,0.72205628
-5.66383192,2.64673961,0.16807692,0.00000000,0.02756647,0.47069291,0.06889418,1.29877000,1.34579943,0.71042082
-5.65782891,2.60998073,0.16647705,0.00000000,0.02637796,0.47068196,0.06821511,1.27505533,1.34289655,0.69770717
-5.65182591,2.57420150,0.16530919,0.00000000,0.02521763,0.47053106,0.06761082,1.25205761,1.34157072,0.68415739
-5.64582291,2.54018500,0.16461718,0.00000000,0.02409711,0.47031084,0.06711516,1.23023971,1.34189498,0.67002106
-5.63981991,2.50863885,0.16443162,0.00000000,0.02302689,0.47009147,0.06675900,1.21001734,1.34388496,0.65554733
-5.63381691,2.48017485,0.16476945,0.00000000,0.02201613,0.46993952,0.06656914,1.19174842,1.34750137,0.64097744
-5.62781391,2.45529274,0.16563383,0.00000000,0.02107242,0.46991505,0.06656721,1.17572482,1.35265415,0.62653765
-5.62181091,2.43436828,0.16701465,0.00000000,0.02020177,0.47006899,0.06676890,1.16216666,1.35920782,0.61243320
-5.61580790,2.41764591,0.16888924,0.00000000,0.01940842,0.47044095,0.06718336,1.15121914,1.36698763,0.59884312
-5.60980490,2.40523601,0.17122352,0.00000000,0.01869495,0.47105741,0.06781294,1.14295204,1.37578617,0.58591632
-5.60380190,2.39711647,0.17397335,0.00000000,0.01806219,0.47193039,0.06865307,1.13736149,1.38537005,0.57376896
-5.59779890,2.39313852,0.17708608,0.00000000,0.01750941,0.47305662,0.06969253,1.13437409,1.39548635,0.56248310
-5.59179590,2.39303605,0.18050217,0.00000000,0.01703434,0.47441724,0.07091383,1.13385275,1.40586870,0.55210672
-5.58579290,2.39643815,0.18415691,0.00000000,0.01663342,0.47597796,0.07229391,1.13560418,1.41624271,0.54265490
-5.57978989,2.40288418,0.18798208,0.00000000,0.01630187,0.47768976,0.07380492,1.13938754,1.42633091,0.53411228
-5.57378689,2.41184073,0.19190759,0.00000000,0.01603401,0.47949008,0.07541518,1.14492383,1.43585702,0.52643633
-5.56778389,2.42271985,0.19586300,0.00000000,0.01582337,0.48130437,0.07709022,1.15190587,1.44454990,0.51956151
-5.56178089,2.43489805,0.19977895,0.00000000,0.01566296,0.48304816,0.07879386,1.16000828,1.45214714,0.51340403
-5.55577789,2.44773547,0.20358848,0.00000000,0.01554546,0.48462945,0.08048930,1.16889735,1.45839866,0.50786690
-5.54977489,2.46059467,0.20722818,0.00000000,0.01546345,0.48595133,0.08214013,1.17824061,1.46307043,0.50284524
-5.54377189,2.47285885,0.21063923,0.00000000,0.01540958,0.48691499,0.08371134,1.18771571,1.46594847,0.49823147
-5.53776888,2.48394893,0.21376829,0.00000000,0.01537674,0.48742279,0.08517021,1.19701867,1.46684340,0.49392030
-5.53176588,2.49333929,0.21656832,0.00000000,0.01535822,0.48738149,0.08648707,1.20587129,1.46559530,0.48981335
-5.52576288,2.50057197,0.21899917,0.00000000,0.01534783,0.48670551,0.08763600,1.21402767,1.46207917,0.48582324
-5.51975988,2.50526902,0.22102811,0.00000000,0.01534003,0.48532014,0.08859534,1.22127979,1.45621053,0.48187708
-5.51375688,2.50714283,0.22263020,0.00000000,0.01532998,0.48316451,0.08934809,1.22746209,1.44795112,0.47791922
-5.50775388,2.50600433,0.22378850,0.00000000,0.01531363,0.48019444,0.08988225,1.23245498,1.43731431,0.47391332
-5.50175088,2.50176874,0.22449410,0.00000000,0.01528772,0.47638479,0.09019099,1.23618731,1.42436975,0.46984367
-5.49574787,2.49445888,0.22474602,0.00000000,0.01524985,0.47173153,0.09027265,1.23863769,1.40924702,0.46571573
-5.48974487,2.48420580,0.22455091,0.00000000,0.01519843,0.46625311,0.09013077,1.23983462,1.39213770,0.46155601
-5.48374187,2.47124670,0.22392260,0.00000000,0.01513272,0.45999128,0.08977395,1.23985552,1.37329570,0.45741128
-5.47773887,2.45592013,0.22288144,0.00000000,0.01505271,0.45301130,0.08921554,1.23882448,1.35303534,0.45334712
-5.47173587,2.43865848,0.22145354,0.00000000,0.01495919,0.44540134,0.08847340,1.23690888,1.33172727,0.44944602
-5.46573287,2.41997795,0.21966993,0.00000000,0.01485360,0.43727118,0.08756945,1.23431495,1.30979207,0.44580501
-5.45972986,2.40046629,0.21756550,0.00000000,0.01473802,0.42875027,0.08652919,1.23128234,1.28769163,0.44253290
-5.45372686,2.38076867,0.21517813,0.00000000,0.01461507,0.41998508,0.08538114,1.22807786,1.26591881,0.43974734
-5.44772386,2.36157209,0.21254761,0.00000000,0.01448790,0.41113593,0.08415622,1.22498874,1.24498553,0.43757162
-5.44172086,2.34358910,0.20971485,0.00000000,0.01436003,0.40237331,0.08288711,1.22231544,1.22541008,0.43613152
-5.43571786,2.32754132,0.20672106,0.00000000,0.01423541,0.39387400,0.08160750,1.22036464,1.20770423,0.43555219
-5.42971486,2.31414361,0.20360721,0.00000000,0.01411825,0.38581693,0.08035140,1.21944241,1.19236073,0.43595518
-5.42371186,2.30408944,0.20041365,0.00000000,0.01401307,0.37837915,0.07915244,1.21984816,1.17984205,0.43745577
-5.41770885,2.29803839,0.19718000,0.00000000,0.01392460,0.37173190,0.07804313,1.22186952,1.17057097,0.44016067
-5.41170585,2.29660610,0.19394527,0.00000000,0.01385779,0.36603710,0.07705427,1.22577851,1.16492350,0.44416613
-5.40570285,2.30035732,0.19074822,0.00000000,0.01381784,0.36144430,0.07621434,1.23182913,1.16322462,0.44955668
-5.39969985,2.30980224,0.18762792,0.00000000,0.01381012,0.35808824,0.07554905,1.24025660,1.16574705,0.45640434
-5.39369685,2.32539613,0.18462446,0.00000000,0.01384026,0.35608707,0.07508091,1.25127803,1.17271311,0.46476845
-5.38769385,2.34754229,0.18177975,0.00000000,0.01391409,0.35554129,0.07482900,1.26509475,1.18429937,0.47469614
-5.38169085,2.37659764,0.17913837,0.00000000,0.01403772,0.35653338,0.07480883,1.28189567,1.20064385,0.48622320
-5.37568784,2.41288046,0.17674827,0.00000000,0.01421743,0.35912804,0.07503226,1.30186162,1.22185497,0.49937557
-5.36968484,2.45667934,0.17466136,0.00000000,0.01445977,0.36337302,0.07550766,1.32517002,1.24802159,0.51417095
-5.36368184,2.50826223,0.17293385,0.00000000,0.01477138,0.36930027,0.07624003,1.35199939,1.27922316,0.53062076
-5.35767884,2.56788457,0.17162617,0.00000000,0.01515899,0.37692731,0.07723130,1.38253307,1.31553892,0.54873193
-5.35167584,2.63579506,0.17080262,0.00000000,0.01562926,0.38625863,0.07848060,1.41696151,1.35705530,0.56850856
-5.34567284,2.71223816,0.17053044,0.00000000,0.01618861,0.39728699,0.07998461,1.45548257,1.40387034,0.58995303
-5.33966983,2.79745212,0.17087848,0.00000000,0.01684304,0.40999421,0.08173784,1.49829924,1.45609453,0.61306658
-5.33366683,2.89166181,0.17191536,0.00000000,0.01759784,0.42435164,0.08373295,1.54561446,1.51384738,0.63784897
-5.32766383,2.99506596,0.17370724,0.00000000,0.01845737,0.44031991,0.08596091,1.59762277,1.57724928,0.66429722
-5.32166083,3.10781867,0.17631513,0.00000000,0.01942469,0.45784810,0.08841114,1.65449878,1.64640888,0.69240328
-5.31565783,3.23000558,0.17979201,0.00000000,0.02050134,0.47687216,0.09107149,1.71638277,1.72140609,0.72215071
-5.30965483,3.36161569,0.18417973,0.00000000,0.02168696,0.49731292,0.09392817,1.78336377,1.80227153,0.75351037
-5.30365183,3.50251005,0.18950595,0.00000000,0.02297905,0.51907353,0.09696555,1.85546102,1.88896345,0.78643531
-5.29764882,3.65238915,0.19578117,0.00000000,0.02437273,0.54203684,0.10016586,1.93260470,1.98134345,0.82085525
-5.29164582,3.81076119,0.20299614,0.00000000,0.02586060,0.56606274,0.10350888,2.01461708,2.07915262,0.85667082
-5.28564282,3.97691354,0.21111969,0.00000000,0.02743260,0.59098591,0.10697158,2.10119544,2.18198982,0.89374810
-5.27963982,4.14988988,0.22009730,0.00000000,0.02907609,0.61661431,0.11052778,2.19189806,2.28929391,0.93191389
-5.27363682,4.32847539,0.22985037,0.00000000,0.03077593,0.64272855,0.11414794,2.28613463,2.40033152,0.97095218
-5.26763382,4.51119214,0.24027649,0.00000000,0.03251473,0.66908257,0.11779899,2.38316221,2.51419208,1.01060218
-5.26163082,4.69630643,0.25125053,0.00000000,0.03427322,0.69540578,0.12144439,2.48208779,2.62979101,1.05055852
-5.25562781,4.88184912,0.26262695,0.00000000,0.03603075,0.72140679,0.12504438,2.58187793,2.74588203,1.09047361
-5.24962481,5.06564939,0.27424285,0.00000000,0.03776583,0.74677865,0.12855643,2.68137594,2.86107870,1.12996251
-5.24362181,5.24538154,0.28592209,0.00000000,0.03945682,0.77120575,0.13193593,2.77932628,2.97388497,1.16861038
