energy_ev,total_up,Cr_p_up,Cr_d_up,N_s_up,N_p_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up
-6.00000000,4.55427393,2.11274282,0.51918779,0.01180664,0.36705360,1.45395676,1.64539688,0.00357150,2.07746844
-5.99399700,4.38814604,2.04617815,0.49694719,0.01110744,0.35450242,1.40184364,1.58442065,0.00340452,2.00294067
-5.98799400,4.20771647,1.97118900,0.47356831,0.01039369,0.34089772,1.34426110,1.51859135,0.00323637,1.92143624
-5.98199100,4.01552731,1.88899856,0.44935203,0.00967462,0.32638736,1.28219956,1.44876889,0.00306950,1.83419683
-5.97598799,3.81425037,1.80092354,0.42460335,0.00895898,0.31112986,1.21669812,1.37585662,0.00290638,1.74253017
-5.96998499,3.60663849,1.70834539,0.39962711,0.00825486,0.29529231,1.14882189,1.30078588,0.00274950,1.64778439
-5.96398199,3.39547694,1.61268106,0.37472396,0.00756965,0.27904821,1.07964016,1.22450041,0.00260136,1.55132267
-5.95797899,3.18353589,1.51535421,0.35018660,0.00690992,0.26257497,1.01020581,1.14794082,0.00246445,1.45449854
-5.95197599,2.97352492,1.41776755,0.32629619,0.00628138,0.24605140,0.94153657,1.07202965,0.00234129,1.35863255
-5.94597299,2.76805025,1.32127700,0.30331914,0.00568885,0.22965502,0.87459857,0.99765700,0.00223438,1.26499057
-5.93996998,2.56957560,1.22716819,0.28150402,0.00513628,0.21355942,0.81029213,0.92566726,0.00214619,1.17476419
-5.93396698,2.38038686,1.13663556,0.26107882,0.00462676,0.19793161,0.74944022,0.85684690,0.00207915,1.08905336
-5.92796398,2.20256129,1.05076461,0.24224848,0.00416259,0.18292952,0.69277938,0.79191361,0.00203560,1.00885135
-5.92196098,2.03794112,0.97051712,0.22519260,0.00374525,0.16869965,0.64095313,0.73150688,0.00201776,0.93503228
-5.91595798,1.88811198,0.89671960,0.21006347,0.00337556,0.15537500,0.59450756,0.67618009,0.00202771,0.86834092
-5.90995498,1.75438590,0.83005487,0.19698436,0.00305366,0.14307334,0.55388913,0.62639419,0.00206728,0.80938498
-5.90395198,1.63778904,0.77105656,0.18604799,0.00277911,0.13189572,0.51944418,0.58251298,0.00213802,0.75862958
-5.89794897,1.53905391,0.72010657,0.17731548,0.00255095,0.12192549,0.49142013,0.54479992,0.00224112,0.71639394
-5.89194597,1.45861601,0.67743506,0.17081541,0.00236773,0.11322769,0.46996807,0.51341656,0.00237735,0.68285007
-5.88594297,1.39661480,0.64312288,0.16654344,0.00222758,0.10584877,0.45514654,0.48842256,0.00254696,0.65802358
-5.87993997,1.35289899,0.61710642,0.16446219,0.00212826,0.09981683,0.44692641,0.46977718,0.00274966,0.64179634
-5.87393697,1.32703597,0.59918429,0.16450166,0.00206716,0.09514215,0.44519674,0.45734234,0.00298451,0.63391113
-5.86793397,1.31832552,0.58902620,0.16656016,0.00204138,0.09181816,0.44977158,0.45088716,0.00324989,0.63397838
-5.86193097,1.32581774,0.58618345,0.17050581,0.00204773,0.08982269,0.46039757,0.45009406,0.00354346,0.64148472
-5.85592796,1.34833524,0.59010119,0.17617862,0.00208275,0.08911949,0.47676253,0.45456627,0.00386218,0.65580383
-5.84992496,1.38449948,0.60013226,0.18339329,0.00214278,0.08966004,0.49850477,0.46383688,0.00420225,0.67620918
-5.84392196,1.43276127,0.61555244,0.19194263,0.00222395,0.09138558,0.52522333,0.47737926,0.00455922,0.70188901
-5.83791896,1.49143509,0.63557697,0.20160163,0.00232227,0.09422919,0.55648888,0.49461886,0.00492799,0.73196319
-5.83191596,1.55873687,0.65937816,0.21213222,0.00243361,0.09811808,0.59185523,0.51494610,0.00530293,0.76550200
-5.82591296,1.63282470,0.68610383,0.22328846,0.00255380,0.10297588,0.63087130,0.53773039,0.00567799,0.80154643
-5.81990995,1.71184165,0.71489617,0.23482231,0.00267869,0.10872491,0.67309325,0.56233479,0.00604684,0.83912974
-5.81390695,1.79395977,0.74491078,0.24648958,0.00280418,0.11528839,0.71809646,0.58813117,0.00640302,0.87729971
-5.80790395,1.87742411,0.77533529,0.25805607,0.00292634,0.12259251,0.76548696,0.61451530,0.00674014,0.91514109
-5.80190095,1.96059541,0.80540719,0.26930363,0.00304146,0.13056836,0.81491201,0.64092168,0.00705206,0.95179751
-5.79589795,2.04199022,0.83443026,0.28003597,0.00314611,0.13915350,0.86606926,0.66683737,0.00733304,0.98649220
-5.78989495,2.12031682,0.86178914,0.29008392,0.00323729,0.14829337,0.91871415,0.69181459,0.00757798,1.01854676
-5.78389195,2.19450579,0.88696156,0.29931003,0.00331240,0.15794221,0.97266523,0.71548146,0.00778255,1.04739728
-5.77788894,2.26373382,0.90952769,0.30761227,0.00336941,0.16806367,1.02780695,0.73755046,0.00794335,1.07260713
-5.77188594,2.32743988,0.92917644,0.31492665,0.00340681,0.17863102,1.08408987,0.75782444,0.00805804,1.09387595
-5.76588294,2.38533294,0.94570828,0.32122867,0.00342373,0.18962693,1.14152811,0.77619963,0.00812537,1.11104428
-5.75987994,2.43739088,0.95903466,0.32653348,0.00341993,0.20104285,1.20019415,0.79266574,0.00814532,1.12409383
-5.75387694,2.48385060,0.96917392,0.33089479,0.00339578,0.21287805,1.26021108,0.80730308,0.00811900,1.13314304
-5.74787394,2.52518963,0.97624397,0.33440250,0.00335229,0.22513841,1.32174279,0.82027668,0.00804871,1.13843834
-5.74187094,2.56210020,0.98045204,0.33717915,0.00329104,0.23783491,1.38498242,0.83182787,0.00793778,1.14034124
-5.73586793,2.59545658,0.98208195,0.33937535,0.00321412,0.25098206,1.45013963,0.84226354,0.00779054,1.13931193
-5.72986493,2.62627741,0.98147942,0.34116430,0.00312412,0.26459628,1.51742736,0.85194361,0.00761212,1.13588989
-5.72386193,2.65568433,0.97903610,0.34273567,0.00302396,0.27869433,1.58704874,0.86126716,0.00740829,1.13067237
-5.71785893,2.68485879,0.97517292,0.34428907,0.00291685,0.29329195,1.65918467,0.87065799,0.00718532,1.12429160
