energy_ev,total_up,Al_p_up,Al_d_up,Se_s_up,Se_p_up,Y_p_up,Y_d_up
-6.00000000,0.57160410,0.01478902,0.00000000,0.00324466,0.30059364,0.24401663,0.18176178
-5.99399700,0.55261477,0.01400249,0.00000000,0.00302391,0.29098999,0.24411319,0.17588844
-5.98799400,0.53237263,0.01320033,0.00000000,0.00279822,0.28073783,0.24356683,0.16960970
-5.98199100,0.51121248,0.01239480,0.00000000,0.00257096,0.27000678,0.24242424,0.16302809
-5.97598799,0.48945447,0.01159716,0.00000000,0.00234534,0.25895894,0.24072908,0.15624236
-5.96998499,0.46739444,0.01081732,0.00000000,0.00212426,0.24774383,0.23851989,0.14934434
-5.96398199,0.44529626,0.01006366,0.00000000,0.00191028,0.23649456,0.23582848,0.14241647
-5.95797899,0.42338652,0.00934293,0.00000000,0.00170559,0.22532506,0.23267909,0.13553007
-5.95197599,0.40185145,0.00866018,0.00000000,0.00151195,0.21432858,0.22908816,0.12874425
-5.94597299,0.38083615,0.00801886,0.00000000,0.00133074,0.20357740,0.22506492,0.12210562
-5.93996998,0.36044590,0.00742087,0.00000000,0.00116291,0.19312358,0.22061252,0.11564855
-5.93396698,0.34074923,0.00686677,0.00000000,0.00100905,0.18300068,0.21572979,0.10939612
-5.92796398,0.32178258,0.00635601,0.00000000,0.00086938,0.17322632,0.21041328,0.10336144
-5.92196098,0.30355599,0.00588711,0.00000000,0.00074384,0.16380521,0.20465974,0.09754939
-5.91595798,0.28605946,0.00545801,0.00000000,0.00063210,0.15473262,0.19846846,0.09195859
-5.90995498,0.26926969,0.00506624,0.00000000,0.00053361,0.14599801,0.19184370,0.08658342
-5.90395198,0.25315669,0.00470926,0.00000000,0.00044767,0.13758853,0.18479675,0.08141609
-5.89794897,0.23768995,0.00438461,0.00000000,0.00037347,0.12949240,0.17734764,0.07644854
-5.89194597,0.22284405,0.00409022,0.00000000,0.00031013,0.12170188,0.16952634,0.07167421
-5.88594297,0.20860326,0.00382451,0.00000000,0.00025675,0.11421578,0.16137345,0.06708943
-5.87993997,0.19496528,0.00358660,0.00000000,0.00021244,0.10704148,0.15294016,0.06269468
-5.87393697,0.18194385,0.00337638,0.00000000,0.00017635,0.10019637,0.14428777,0.05849532
-5.86793397,0.16957036,0.00319465,0.00000000,0.00014771,0.09370871,0.13548656,0.05450218
