energy_ev,total_up,total_down,Ag_p_up,Ag_p_down,Ag_d_up,Ag_d_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,2.88444352,-2.88457051,0.54346213,-0.54347629,1.78762492,-1.78767828,1.00617099,-1.00629833,0.32214614,-0.32217104,0.00261743,-0.00261744,0.31490401,-0.31494128,0.35530066,-0.35531271,0.00000000,-0.00000000
-5.99399700,2.77109509,-2.77122345,0.53043367,-0.53044804,1.72597547,-1.72603051,0.93211775,-0.93224076,0.30473278,-0.30475769,0.00262564,-0.00262567,0.29274984,-0.29278558,0.34344353,-0.34345695,0.00000000,-0.00000000
-5.98799400,2.65974113,-2.65986909,0.51727892,-0.51729323,1.66637162,-1.66642746,0.86017937,-0.86029691,0.28720885,-0.28723348,0.00262157,-0.00262161,0.27138254,-0.27141643,0.33061825,-0.33063279,0.00000000,-0.00000000
-5.98199100,2.55179606,-2.55192196,0.50417855,-0.50419249,1.60961081,-1.60966659,0.79103892,-0.79115006,0.26978264,-0.26980669,0.00260539,-0.00260543,0.25099696,-0.25102877,0.31701832,-0.31703371,0.00000000,-0.00000000
-5.97598799,2.44852894,-2.44865124,0.49132137,-0.49133462,1.55639240,-1.55644734,0.72527262,-0.72537663,0.25264833,-0.25267154,0.00257746,-0.00257752,0.23175016,-0.23177973,0.30284924,-0.30286518,0.00000000,-0.00000000
-5.96998499,2.35102837,-2.35114571,0.47889808,-0.47891028,1.50729420,-1.50734755,0.66334425,-0.66344061,0.23598249,-0.23600464,0.00253835,-0.00253841,0.21376000,-0.21378722,0.28832262,-0.28833880,0.00000000,-0.00000000
-5.96398199,2.26017702,-2.26028822,0.46709528,-0.46710609,1.46275535,-1.46280648,0.60560410,-0.60569246,0.21994142,-0.21996231,0.00248879,-0.00248885,0.19710533,-0.19713016,0.27365054,-0.27366668,0.00000000,-0.00000000
-5.95797899,2.17663650,-2.17674061,0.45609004,-0.45609913,1.42306643,-1.42311480,0.55229200,-0.55237224,0.20465946,-0.20467893,0.00242966,-0.00242973,0.18182765,-0.18185011,0.25904033,-0.25905613,0.00000000,-0.00000000
-5.95197599,2.10084278,-2.10093903,0.44604516,-0.44605217,1.38836693,-1.38841213,0.50354404,-0.50361617,0.19024814,-0.19026607,0.00236200,-0.00236208,0.16793403,-0.16795420,0.24468987,-0.24470505,0.00000000,-0.00000000
-5.94597299,2.03301170,-2.03309956,0.43710513,-0.43710975,1.35864987,-1.35869159,0.45940211,-0.45946628,0.17679624,-0.17681253,0.00228698,-0.00228706,0.15540105,-0.15541906,0.23078366,-0.23079796,0.00000000,-0.00000000
-5.93996998,1.97315377,-1.97323290,0.42939308,-0.42939504,1.33377312,-1.33381115,0.41982572,-0.41988223,0.16437045,-0.16438504,0.00220585,-0.00220594,0.14417954,-0.14419552,0.21748956,-0.21750274,0.00000000,-0.00000000
-5.93396698,1.92109690,-1.92116715,0.42300858,-0.42300761,1.31347634,-1.31351059,0.38470532,-0.38475452,0.15301676,-0.15302962,0.00211996,-0.00212005,0.13419975,-0.13421389,0.20495638,-0.20496824,0.00000000,-0.00000000
-5.92796398,1.87651544,-1.87657681,0.41802620,-0.41802209,1.29740269,-1.29743315,0.35387624,-0.35391857,0.14276228,-0.14277339,0.00203071,-0.00203080,0.12537683,-0.12538931,0.19331230,-0.19332266,0.00000000,-0.00000000
-5.92196098,1.83896366,-1.83901629,0.41449494,-0.41448754,1.28512374,-1.28515046,0.32713278,-0.32716872,0.13361735,-0.13362673,0.00193953,-0.00193962,0.11761621,-0.11762723,0.18266393,-0.18267266,0.00000000,-0.00000000
-5.91595798,1.80791168,-1.80795583,0.41243834,-0.41242753,1.27616618,-1.27618927,0.30424161,-0.30427167,0.12557790,-0.12558559,0.00184786,-0.00184795,0.11081881,-0.11082857,0.17309615,-0.17310313,0.00000000,-0.00000000
-5.90995498,1.78278200,-1.78281797,0.41185507,-0.41184081,1.27003902,-1.27005863,0.28495419,-0.28497888,0.11862792,-0.11863396,0.00175715,-0.00175723,0.10488573,-0.10489439,0.16467249,-0.16467767,0.00000000,-0.00000000
-5.90395198,1.76298452,-1.76301270,0.41272014,-0.41270244,1.26625973,-1.26627602,0.26901760,-0.26903741,0.11274177,-0.11274623,0.00166880,-0.00166888,0.09972232,-0.09973007,0.15743605,-0.15743938,0.00000000,-0.00000000
-5.89794897,1.74794871,-1.74796949,0.41498631,-0.41496524,1.26437811,-1.26439124,0.25618359,-0.25619901,0.10788645,-0.10788940,0.00158421,-0.00158429,0.09524162,-0.09524861,0.15141076,-0.15141225,0.00000000,-0.00000000
-5.89194597,1.73715123,-1.73716502,0.41858590,-0.41856161,1.26399683,-1.26400694,0.24621580,-0.24622727,0.10402364,-0.10402516,0.00150471,-0.00150478,0.09136693,-0.09137329,0.14660298,-0.14660266,0.00000000,-0.00000000
-5.88594297,1.73013815,-1.73014535,0.42343271,-0.42340541,1.26478774,-1.26479496,0.23889482,-0.23890276,0.10111144,-0.10111163,0.00143159,-0.00143165,0.08803358,-0.08803941,0.14300325,-0.14300120,0.00000000,-0.00000000
-5.87993997,1.72654093,-1.72654190,0.42942410,-0.42939406,1.26650343,-1.26650785,0.23402144,-0.23402622,0.09910588,-0.09910483,0.00136607,-0.00136612,0.08518988,-0.08519526,0.14058820,-0.14058451,0.00000000,-0.00000000
-5.87393697,1.72608581,-1.72608089,0.43644319,-0.43641073,1.26898367,-1.26898535,0.23141806,-0.23142002,0.09796205,-0.09795985,0.00130930,-0.00130934,0.08279737,-0.08280236,0.13932237,-0.13931715,0.00000000,-0.00000000
-5.86793397,1.72859673,-1.72858621,0.44436107,-0.44432659,1.27215674,-1.27215569,0.23092849,-0.23092793,0.09763498,-0.09763175,0.00126237,-0.00126240,0.08083032,-0.08083496,0.13916011,-0.13915350,0.00000000,-0.00000000
-5.86193097,1.73399190,-1.73397605,0.45303911,-0.45300302,1.27603578,-1.27603197,0.23241643,-0.23241362,0.09808025,-0.09807608,0.00122628,-0.00122631,0.07927468,-0.07927899,0.14004728,-0.14003945,0.00000000,-0.00000000
-5.85592796,1.74227482,-1.74225387,0.46233125,-0.46229405,1.28071068,-1.28070405,0.23576291,-0.23575809,0.09925429,-0.09924928,0.00120195,-0.00120197,0.07812657,-0.07813054,0.14192287,-0.14191399,0.00000000,-0.00000000
-5.84992496,1.75352044,-1.75349459,0.47208639,-0.47204858,1.28633612,-1.28632660,0.24086298,-0.24085636,0.10111451,-0.10110877,0.00119021,-0.00119021,0.07739040,-0.07739402,0.14472042,-0.14471066,0.00000000,-0.00000000
-5.84392196,1.76785753,-1.76782697,0.48215071,-0.48211280,1.29311645,-1.29310395,0.24762195,-0.24761372,0.10361929,-0.10361291,0.00119176,-0.00119175,0.07707681,-0.07708006,0.14836923,-0.14835878,0.00000000,-0.00000000
-5.83791896,1.78544831,-1.78541321,0.49236996,-0.49233248,1.30128835,-1.30127277,0.25595142,-0.25594175,0.10672774,-0.10672081,0.00120719,-0.00120717,0.07720051,-0.07720335,0.15279539,-0.15278444,0.00000000,-0.00000000
-5.83191596,1.80646652,-1.80642705,0.50259171,-0.50255519,1.31110210,-1.31108334,0.26576553,-0.26575457,0.11039948,-0.11039210,0.00123695,-0.00123692,0.07777813,-0.07778053,0.15792260,-0.15791133,0.00000000,-0.00000000
-5.82591296,1.83107508,-1.83103143,0.51266748,-0.51263241,1.32280248,-1.32278048,0.27697731,-0.27696522,0.11459428,-0.11458653,0.00128133,-0.00128129,0.07882621,-0.07882813,0.16367280,-0.16366139,0.00000000,-0.00000000
-5.81990995,1.85940436,-1.85935671,0.52245465,-0.52242150,1.33661006,-1.33658478,0.28949569,-0.28948260,0.11927174,-0.11926370,0.00134044,-0.00134038,0.08035944,-0.08036084,0.16996655,-0.16995516,0.00000000,-0.00000000
-5.81390695,1.89153211,-1.89148069,0.53181820,-0.53178739,1.35270382,-1.35267526,0.30322306,-0.30320910,0.12439091,-0.12438266,0.00141418,-0.00141411,0.08238910,-0.08238995,0.17672335,-0.17671214,0.00000000,-0.00000000
