energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Pd_p_up,Pd_d_up,Se_s_up,Se_p_up
-6.00000000,11.65849358,0.00959263,2.81711643,1.18502806,0.36007493,9.72626843,5.85908776,0.07630078,2.03772761
-5.99399700,11.58213490,0.00922595,2.78861881,1.19199135,0.36327486,9.73117255,5.78050340,0.08019480,2.05247228
-5.98799400,11.47855642,0.00888547,2.75263578,1.19733723,0.36568651,9.71190620,5.68722800,0.08410111,2.06353909
-5.98199100,11.35032872,0.00857631,2.70988740,1.20115403,0.36732088,9.67079829,5.58090734,0.08798427,2.07105308
-5.97598799,11.20021133,0.00830274,2.66116520,1.20349381,0.36819478,9.61029274,5.46333489,0.09180707,2.07512867
-5.96998499,11.03106622,0.00806820,2.60730504,1.20437017,0.36833155,9.53286220,5.33639399,0.09553158,2.07586832
-5.96398199,10.84578178,0.00787529,2.54916150,1.20375921,0.36776200,9.44093232,5.20200309,0.09912043,2.07336469
-5.95797899,10.64720995,0.00772592,2.48758485,1.20160348,0.36652568,9.33681966,5.06206648,0.10253815,2.06770605
-5.95197599,10.43811795,0.00762137,2.42340151,1.19781852,0.36467210,9.22268504,4.91843188,0.10575266,2.05898444
-5.94597299,10.22115501,0.00756239,2.35739827,1.19230171,0.36226196,9.10050323,4.77285601,0.10873669,2.04730574
-5.93996998,9.99883313,0.00754937,2.29031063,1.18494265,0.35936809,8.97204858,4.62697838,0.11146917,2.03280091
-5.93396698,9.77352008,0.00758236,2.22281508,1.17563451,0.35607619,8.83889545,4.48230321,0.11393645,2.01563732
-5.92796398,9.54744225,0.00766126,2.15552501,1.16428558,0.35248488,8.70243111,4.34018868,0.11613328,1.99602914
-5.92196098,9.32269415,0.00778577,2.08898975,1.15083039,0.34870533,8.56387860,4.20184269,0.11806351,1.97424599
-5.91595798,9.10125152,0.00795552,2.02369608,1.13523959,0.34486016,8.42432613,4.06832368,0.11974045,1.95061882
-5.90995498,8.88498483,0.00816999,1.96007159,1.11752814,0.34108166,8.28475983,3.94054529,0.12118683,1.92554246
-5.90395198,8.67567043,0.00842855,1.89848904,1.09776125,0.33750933,8.14609629,3.81928342,0.12243435,1.89947431
-5.89794897,8.47499686,0.00873032,1.83927119,1.07605778,0.33428673,8.00921203,3.70518452,0.12352282,1.87292892
-5.89194597,8.28456483,0.00907414,1.78269552,1.05259083,0.33155787,7.87496698,3.59877386,0.12449894,1.84646849
-5.88594297,8.10587966,0.00945844,1.72899823,1.02758559,0.32946303,7.74422001,3.50046327,0.12541468,1.82068949
-5.87993997,7.94033616,0.00988116,1.67837737,1.00131449,0.32813444,7.61783499,3.41055744,0.12632540,1.79620596
-5.87393697,7.78919628,0.01033958,1.63099483,0.97408989,0.32769170,7.49667671,3.32925864,0.12728773,1.77363006
-5.86793397,7.65356081,0.01083026,1.58697711,0.94625472,0.32823736,7.38159665,3.25666994,0.12835728,1.75355087
-5.86193097,7.53433675,0.01134894,1.54641504,0.91817153,0.32985270,7.27340948,3.19279687,0.12958638,1.73651221
-5.85592796,7.43220255,0.01189050,1.50936253,0.89021045,0.33259393,7.17286173,3.13754807,0.13102177,1.72299077
-5.84992496,7.34757373,0.01244891,1.47583471,0.86273672,0.33648905,7.08059463,3.09073546,0.13270256,1.71337541
-5.84392196,7.28057123,0.01301729,1.44580577,0.83609822,0.34153542,6.99710383,3.05207446,0.13465833,1.70794874
