energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Co_p_up,Co_d_up,S_s_up,S_p_up
-6.00000000,6.02103021,1.54309745,2.74237274,0.01389913,0.29157557,1.33593427,0.90426450,0.01112986,2.00217118
-5.99399700,6.04361838,1.56224249,2.75419684,0.01431938,0.29103644,1.35620111,0.90000948,0.01096012,2.01189594
-5.98799400,6.04912493,1.57569059,2.75969768,0.01470135,0.28982022,1.37194994,0.89296405,0.01073827,2.01468782
-5.98199100,6.03763068,1.58320644,2.75900668,0.01503748,0.28798789,1.38290531,0.88323438,0.01046791,2.01043433
-5.97598799,6.00956755,1.58467440,2.75242900,0.01532055,0.28562221,1.38886766,0.87095821,0.01015357,1.99912907
-5.96998499,5.96570753,1.58010142,2.74043402,0.01554384,0.28282553,1.38972034,0.85630187,0.00980060,1.98087375
-5.96398199,5.90714538,1.56961740,2.72364259,0.01570136,0.27971724,1.38543519,0.83945716,0.00941495,1.95587849
-5.95797899,5.83527533,1.55347269,2.70281109,0.01578800,0.27643068,1.37607630,0.82063813,0.00900300,1.92446009
-5.95197599,5.75176165,1.53203265,2.67881261,0.01579975,0.27310984,1.36180172,0.80007773,0.00857140,1.88703827
-5.94597299,5.65850355,1.50576923,2.65261549,0.01573386,0.26990573,1.34286274,0.77802457,0.00812683,1.84412969
-5.93996998,5.55759447,1.47524965,2.62525946,0.01558896,0.26697259,1.31960053,0.75473947,0.00767594,1.79633963
-5.93396698,5.45127624,1.44112224,2.59782972,0.01536516,0.26446387,1.29244007,0.73049208,0.00722511,1.74435144
-5.92796398,5.34188860,1.40409993,2.57142932,0.01506407,0.26252826,1.26188141,0.70555733,0.00678043,1.68891372
-5.92196098,5.23181478,1.36494159,2.54715017,0.01468885,0.26130562,1.22848818,0.68021178,0.00634754,1.63082545
-5.91595798,5.12342411,1.32443181,2.52604336,0.01424406,0.26092301,1.19287385,0.65472983,0.00593157,1.57091935
-5.90995498,5.01901281,1.28335973,2.50908910,0.01373563,0.26149090,1.15568594,0.62937981,0.00553712,1.51004377
-5.90395198,4.92074426,1.24249747,2.49716729,0.01317065,0.26309960,1.11758871,0.60441988,0.00516821,1.44904368
-5.89794897,4.83059045,1.20257898,2.49102914,0.01255720,0.26581594,1.07924495,0.58009400,0.00482825,1.38874119
-5.89194597,4.75027632,1.16427992,2.49127088,0.01190410,0.26968050,1.04129751,0.55662783,0.00452008,1.32991628
-5.88594297,4.68122867,1.12819928,2.49831032,0.01122067,0.27470520,1.00435123,0.53422479,0.00424595,1.27328847
-5.87993997,4.62453169,1.09484334,2.51236716,0.01051644,0.28087153,0.96895607,0.51306252,0.00400754,1.21949985
-5.87393697,4.58089078,1.06461265,2.53344781,0.00980093,0.28812945,0.93559203,0.49328957,0.00380599,1.16910039
-5.86793397,4.55060624,1.03779228,2.56133564,0.00908335,0.29639703,0.90465648,0.47502287,0.00364189,1.12253584
-5.86193097,4.53355832,1.01454592,2.59558719,0.00837241,0.30556085,0.87645447,0.45834574,0.00351535,1.08013889
