energy_ev,total_up,Bi_p_up,Bi_d_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up
-6.00000000,2.01976548,0.29443010,0.02022702,0.26568810,1.64342325,0.19038193,0.00000000
-5.99399700,1.97747261,0.28353574,0.01956679,0.25251253,1.61414385,0.18989346,0.00000000
-5.98799400,1.94103950,0.27342159,0.01897128,0.24035711,1.58943481,0.19013387,0.00000000
-5.98199100,1.91056960,0.26409892,0.01844284,0.22923969,1.56938128,0.19107589,0.00000000
-5.97598799,1.88600515,0.25555251,0.01798185,0.21915294,1.55393827,0.19267905,0.00000000
-5.96998499,1.86714237,0.24774391,0.01758682,0.21006726,1.54294292,0.19489084,0.00000000
-5.96398199,1.85365080,0.24061542,0.01725462,0.20193421,1.53612995,0.19764834,0.00000000
-5.95797899,1.84509551,0.23409443,0.01698067,0.19469033,1.53314965,0.20088017,0.00000000
-5.95197599,1.84096100,0.22809810,0.01675925,0.18826103,1.53358717,0.20450877,0.00000000
-5.94597299,1.84067561,0.22253795,0.01658375,0.18256451,1.53698219,0.20845270,0.00000000
-5.93996998,1.84363512,0.21732426,0.01644692,0.17751537,1.54284820,0.21262915,0.00000000
-5.93396698,1.84922478,0.21237011,0.01634116,0.17302799,1.55069015,0.21695612,0.00000000
-5.92796398,1.85683865,0.20759489,0.01625876,0.16901939,1.56002021,0.22135465,0.00000000
-5.92196098,1.86589574,0.20292713,0.01619209,0.16541155,1.57037073,0.22575052,0.00000000
-5.91595798,1.87585258,0.19830665,0.01613385,0.16213320,1.58130434,0.23007578,0.00000000
-5.90995498,1.88621188,0.19368603,0.01607719,0.15912105,1.59242083,0.23426976,0.00000000
-5.90395198,1.89652755,0.18903121,0.01601583,0.15632041,1.60336107,0.23827967,0.00000000
-5.89794897,1.90640631,0.18432159,0.01594421,0.15368540,1.61380809,0.24206082,0.00000000
-5.89194597,1.91550636,0.17954934,0.01585750,0.15117863,1.62348580,0.24557648,0.00000000
-5.88594297,1.92353378,0.17471836,0.01575166,0.14877063,1.63215590,0.24879738,0.00000000
-5.87993997,1.93023746,0.16984267,0.01562345,0.14643896,1.63961356,0.25170099,0.00000000
-5.87393697,1.93540327,0.16494470,0.01547044,0.14416721,1.64568264,0.25427075,0.00000000
-5.86793397,1.93884825,0.16005321,0.01529093,0.14194393,1.65021084,0.25649511,0.00000000
-5.86193097,1.94041551,0.15520136,0.01508400,0.13976156,1.65306572,0.25836678,0.00000000
-5.85592796,1.93997047,0.15042471,0.01484938,0.13761550,1.65413168,0.25988199,0.00000000
-5.84992496,1.93739861,0.14575937,0.01458748,0.13550330,1.65330841,0.26104000,0.00000000
-5.84392196,1.93260520,0.14124050,0.01429927,0.13342402,1.65051099,0.26184284,0.00000000
-5.83791896,1.92551674,0.13690089,0.01398630,0.13137782,1.64567149,0.26229531,0.00000000
-5.83191596,1.91608414,0.13276997,0.01365059,0.12936574,1.63874194,0.26240513,0.00000000
-5.82591296,1.90428703,0.12887310,0.01329464,0.12738959,1.62969840,0.26218339,0.00000000
-5.81990995,1.89013891,0.12523113,0.01292134,0.12545207,1.61854565,0.26164503,0.00000000
-5.81390695,1.87369236,0.12186027,0.01253395,0.12355689,1.60532190,0.26080945,0.00000000
-5.80790395,1.85504389,0.11877213,0.01213602,0.12170894,1.59010319,0.25970103,0.00000000
-5.80190095,1.83433756,0.11597408,0.01173139,0.11991450,1.57300675,0.25834950,0.00000000
-5.79589795,1.81176714,0.11346964,0.01132406,0.11818129,1.55419308,0.25679021,0.00000000
-5.78989495,1.78757620,0.11125906,0.01091821,0.11651851,1.53386620,0.25506399,0.00000000
-5.78389195,1.76205594,0.10933992,0.01051807,0.11493671,1.51227205,0.25321679,0.00000000
-5.77788894,1.73554076,0.10770775,0.01012788,0.11344755,1.48969488,0.25129892,0.00000000
-5.77188594,1.70840158,0.10635672,0.00975183,0.11206344,1.46645171,0.24936395,0.00000000
-5.76588294,1.68103722,0.10528021,0.00939396,0.11079707,1.44288517,0.24746739,0.00000000
-5.75987994,1.65386429,0.10447138,0.00905812,0.10966089,1.41935497,0.24566496,0.00000000
-5.75387694,1.62730608,0.10392365,0.00874790,0.10866655,1.39622852,0.24401086,0.00000000
-5.74787394,1.60178100,0.10363116,0.00846657,0.10782441,1.37387115,0.24255583,0.00000000
-5.74187094,1.57769129,0.10358906,0.00821706,0.10714311,1.35263643,0.24134534,0.00000000
