energy_ev,total_up,Si_p_up,Si_d_up,Ta_p_up,Ta_d_up,Te_p_up,Te_d_up
-6.00000000,2.27769281,0.93696356,0.00000000,1.06051021,1.26750267,0.57354754,0.00000000
-5.99399700,2.25824661,0.92923441,0.00000000,1.03420759,1.26177312,0.56324312,0.00000000
-5.98799400,2.23902407,0.92104632,0.00000000,1.00744307,1.25558436,0.55311131,0.00000000
-5.98199100,2.21939750,0.91211593,0.00000000,0.98003902,1.24859684,0.54307915,0.00000000
-5.97598799,2.19879681,0.90218551,0.00000000,0.95188713,1.24049307,0.53309183,0.00000000
-5.96998499,2.17672019,0.89103123,0.00000000,0.92294974,1.23098533,0.52311122,0.00000000
-5.96398199,2.15274368,0.87847054,0.00000000,0.89325894,1.21982309,0.51311440,0.00000000
-5.95797899,2.12653017,0.86436861,0.00000000,0.86291395,1.20680018,0.50309217,0.00000000
-5.95197599,2.09783823,0.84864363,0.00000000,0.83207723,1.19176172,0.49304818,0.00000000
-5.94597299,2.06653075,0.83127090,0.00000000,0.80096980,1.17461064,0.48299872,0.00000000
-5.93996998,2.03258338,0.81228549,0.00000000,0.76986596,1.15531366,0.47297335,0.00000000
-5.93396698,1.99609237,0.79178344,0.00000000,0.73908772,1.13390631,0.46301631,0.00000000
-5.92796398,1.95728127,0.76992140,0.00000000,0.70899912,1.11049680,0.45318865,0.00000000
-5.92196098,1.91650573,0.74691447,0.00000000,0.68000035,1.08526830,0.44357069,0.00000000
-5.91595798,1.87425564,0.72303238,0.00000000,0.65252170,1.05847927,0.43426472,0.00000000
-5.90995498,1.83115374,0.69859388,0.00000000,0.62701719,1.03046152,0.42539736,0.00000000
-5.90395198,1.78794993,0.67395949,0.00000000,0.60395772,1.00161571,0.41712128,0.00000000
-5.89794897,1.74551073,0.64952268,0.00000000,0.58382359,0.97240424,0.40961595,0.00000000
-5.89194597,1.70480338,0.62569964,0.00000000,0.56709625,0.94334131,0.40308690,0.00000000
-5.88594297,1.66687460,0.60291800,0.00000000,0.55424913,0.91498044,0.39776351,0.00000000
-5.87993997,1.63282399,0.58160472,0.00000000,0.54573758,0.88789960,0.39389484,0.00000000
-5.87393697,1.60377278,0.56217351,0.00000000,0.54198788,0.86268435,0.39174378,0.00000000
-5.86793397,1.58082867,0.54501232,0.00000000,0.54338562,0.83990959,0.39157928,0.00000000
-5.86193097,1.56504789,0.53047122,0.00000000,0.55026355,0.82012053,0.39366712,0.00000000
-5.85592796,1.55739598,0.51885112,0.00000000,0.56288934,0.80381364,0.39825935,0.00000000
-5.84992496,1.55870876,0.51039389,0.00000000,0.58145362,0.79141838,0.40558287,0.00000000
-5.84392196,1.56965527,0.50527420,0.00000000,0.60605893,0.78328050,0.41582775,0.00000000
-5.83791896,1.59070446,0.50359345,0.00000000,0.63670990,0.77964771,0.42913562,0.00000000
-5.83191596,1.62209713,0.50537616,0.00000000,0.67330546,0.78065849,0.44558895,0.00000000
-5.82591296,1.66382477,0.51056892,0.00000000,0.71563338,0.78633447,0.46520157,0.00000000
-5.81990995,1.71561646,0.51904219,0.00000000,0.76336775,0.79657702,0.48791113,0.00000000
-5.81390695,1.77693479,0.53059469,0.00000000,0.81606966,0.81116821,0.51357386,0.00000000
-5.80790395,1.84698126,0.54496049,0.00000000,0.87319139,0.82977624,0.54196205,0.00000000
-5.80190095,1.92471130,0.56181841,0.00000000,0.93408414,0.85196526,0.57276445,0.00000000
-5.79589795,2.00885856,0.58080343,0.00000000,0.99800922,0.87720910,0.60558983,0.00000000
