energy_ev,total_up,Os_p_up,Os_d_up,Se_s_up,Se_p_up,Sn_p_up,Sn_d_up
-6.00000000,3.32328163,0.61843142,1.62000282,0.05030232,1.48643170,0.21997586,0.00064066
-5.99399700,3.24698217,0.59211902,1.58965341,0.04958047,1.44808819,0.20891386,0.00063335
-5.98799400,3.17894410,0.56768677,1.56211849,0.04893809,1.41370915,0.19955284,0.00062586
-5.98199100,3.12043413,0.54551442,1.53823255,0.04840017,1.38391796,0.19195920,0.00061837
-5.97598799,3.07274748,0.52601232,1.51882054,0.04799327,1.35934427,0.18621105,0.00061108
-5.96998499,3.03720360,0.50961728,1.50469106,0.04774539,1.34062077,0.18239904,0.00060421
-5.96398199,3.01514337,0.49678773,1.49663178,0.04768591,1.32838104,0.18062657,0.00059802
-5.95797899,3.00792735,0.48799849,1.49540694,0.04784530,1.32325844,0.18100920,0.00059276
-5.95197599,3.01693450,0.48373493,1.50175670,0.04825492,1.32588601,0.18367330,0.00058870
-5.94597299,3.04356031,0.48448683,1.51639766,0.04894662,1.33689693,0.18875380,0.00058614
-5.93996998,3.08921312,0.49074180,1.54002385,0.04995223,1.35692514,0.19639110,0.00058537
-5.93396698,3.15530723,0.50297826,1.57330734,0.05130290,1.38660551,0.20672700,0.00058670
-5.92796398,3.24325140,0.52165787,1.61689765,0.05302828,1.42657281,0.21989973,0.00059046
-5.92196098,3.35443163,0.54721745,1.67141902,0.05515554,1.47745897,0.23603818,0.00059697
-5.91595798,3.49018726,0.58006035,1.73746497,0.05770826,1.53988790,0.25525524,0.00060653
-5.90995498,3.65178022,0.62054729,1.81558957,0.06070516,1.61446764,0.27764064,0.00061945
-5.90395198,3.84035729,0.66898684,1.90629525,0.06415883,1.70177930,0.30325343,0.00063600
-5.89794897,4.05690654,0.72562579,2.01001718,0.06807439,1.80236304,0.33211422,0.00065642
-5.89194597,4.30220895,0.79063958,2.12710466,0.07244826,1.91670108,0.36419784,0.00068090
-5.88594297,4.57678757,0.86412332,2.25780022,0.07726706,2.04519841,0.39942647,0.00070957
-5.87993997,4.88085635,0.94608363,2.40221731,0.08250669,2.18816172,0.43766379,0.00074251
-5.87393697,5.21427158,1.03643192,2.56031796,0.08813178,2.34577750,0.47871057,0.00077970
-5.86793397,5.57648874,1.13497942,2.73189165,0.09409552,2.51809040,0.52230190,0.00082105
-5.86193097,5.96652770,1.24143433,2.91653666,0.10033982,2.70498279,0.56810653,0.00086639
-5.85592796,6.38294871,1.35540153,3.11364557,0.10679606,2.90615676,0.61572847,0.00091545
-5.84992496,6.82384134,1.47638486,3.32239570,0.11338625,3.12111947,0.66471097,0.00096787
-5.84392196,7.28682793,1.60379217,3.54174574,0.12002472,3.34917271,0.71454294,0.00102323
-5.83791896,7.76908205,1.73694283,3.77043910,0.12662017,3.58940739,0.76466774,0.00108103
-5.83191596,8.26736204,1.87507773,4.00701422,0.13307816,3.84070324,0.81449406,0.00114070
-5.82591296,8.77805856,2.01737101,4.24982174,0.13930384,4.10173402,0.86340856,0.00120165
-5.81990995,9.29725425,2.16294322,4.49704801,0.14520486,4.37097786,0.91078989,0.00126326
-5.81390695,9.82079326,2.31087517,4.74674408,0.15069432,4.64673246,0.95602349,0.00132491
-5.80790395,10.34435741,2.46022180,4.99685889,0.15569363,4.92713446,0.99851672,0.00138598
-5.80190095,10.86354571,2.61002538,5.24527536,0.16013516,5.21018219,1.03771356,0.00144590
-5.79589795,11.37395387,2.75932745,5.48984772,0.16396454,5.49376086,1.07310846,0.00150412
-5.78989495,11.87125039,2.90717900,5.72843870,0.16714247,5.77566933,1.10425868,0.00156018
-5.78389195,12.35124634,3.05264846,5.95895495,0.16964604,6.05364746,1.13079474,0.00161368
-5.77788894,12.80995654,3.19482747,6.17937956,0.17146937,6.32540360,1.15242854,0.00166428
-5.77188594,13.24365037,3.33283431,6.38780064,0.17262362,6.58864122,1.16895893,0.00171175
-5.76588294,13.64889142,3.46581543,6.58243534,0.17313640,6.84108479,1.18027457,0.00175591
-5.75987994,14.02256604,3.59294531,6.76164907,0.17305044,7.08050447,1.18635406,0.00179667
-5.75387694,14.36190136,3.71342543,6.92396992,0.17242178,7.30473977,1.18726355,0.00183399
-5.74787394,14.66447451,3.82648291,7.06809881,0.17131745,7.51172259,1.18315188,0.00186790
-5.74187094,14.92821469,3.93136974,7.19291600,0.16981272,7.69949981,1.17424370,0.00189845
-5.73586793,15.15140064,4.02736307,7.29748478,0.16798813,7.86625590,1.16083092,0.00192574
-5.72986493,15.33265570,4.11376755,7.38105354,0.16592637,8.01033608,1.14326279,0.00194986
