energy_ev,total_up,B_p_up,B_d_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up
-6.00000000,8.15404355,1.03124786,0.00000000,2.36265225,5.60083741,0.07038235,1.47784161
-5.99399700,8.06814999,1.01137933,0.00000000,2.33275548,5.53223934,0.07235560,1.47727712
-5.98799400,7.99718174,0.99314934,0.00000000,2.30845164,5.47123595,0.07449774,1.48036391
-5.98199100,7.94282719,0.97682218,0.00000000,2.29040819,5.41900984,0.07679813,1.48729105
-5.97598799,7.90644353,0.96261817,0.00000000,2.27918332,5.37655427,0.07924345,1.49818426
-5.96998499,7.88904277,0.95071122,0.00000000,2.27521767,5.34466075,0.08181800,1.51310651
-5.96398199,7.89128205,0.94122731,0.00000000,2.27882750,5.32390896,0.08450391,1.53205906
-5.95797899,7.91345754,0.93424381,0.00000000,2.29019919,5.31465854,0.08728143,1.55498271
-5.95197599,7.95550154,0.92978960,0.00000000,2.30938509,5.31704302,0.09012915,1.58175900
-5.94597299,8.01698266,0.92784590,0.00000000,2.33630077,5.33096562,0.09302423,1.61221131
-5.93996998,8.09710908,0.92834783,0.00000000,2.37072393,5.35609761,0.09594259,1.64610583
-5.93396698,8.19473518,0.93118657,0.00000000,2.41229497,5.39187929,0.09885909,1.68315237
-5.92796398,8.30837225,0.93621219,0.00000000,2.46051958,5.43752430,0.10174768,1.72300526
-5.92196098,8.43620383,0.94323697,0.00000000,2.51477352,5.49202779,0.10458159,1.76526452
-5.91595798,8.57610653,0.95203933,0.00000000,2.57430981,5.55417894,0.10733348,1.80947751
-5.90995498,8.72567711,0.96236824,0.00000000,2.63826856,5.62257847,0.10997567,1.85514151
-5.90395198,8.88226653,0.97394813,0.00000000,2.70568958,5.69566130,0.11248045,1.90170737
-5.89794897,9.04302128,0.98648427,0.00000000,2.77552770,5.77172470,0.11482040,1.94858460
-5.89194597,9.20493211,0.99966848,0.00000000,2.84667097,5.84896158,0.11696886,1.99514811
-5.88594297,9.36488997,1.01318524,0.00000000,2.91796128,5.92549866,0.11890045,2.04074660
-5.87993997,9.51974826,1.02671799,0.00000000,2.98821728,5.99943872,0.12059168,2.08471289
-5.87393697,9.66639007,1.03995560,0.00000000,3.05625909,6.06890581,0.12202169,2.12637571
-5.86793397,9.80179898,1.05259877,0.00000000,3.12093417,6.13209211,0.12317295,2.16507305
-5.86193097,9.92313095,1.06436634,0.00000000,3.18114361,6.18730491,0.12403202,2.20016654
-5.85592796,10.02778508,1.07500124,0.00000000,3.23586814,6.23301184,0.12459033,2.23105638
-5.84992496,10.11347052,1.08427590,0.00000000,3.28419287,6.26788266,0.12484480,2.25719645
-5.84392196,10.17826667,1.09199700,0.00000000,3.32532990,6.29082572,0.12479842,2.27810871
-5.83791896,10.22067429,1.09800935,0.00000000,3.35863794,6.30101756,0.12446064,2.29339650
-5.83191596,10.23965485,1.10219874,0.00000000,3.38363803,6.29792412,0.12384750,2.30275603
-5.82591296,10.23465624,1.10449358,0.00000000,3.40002475,6.28131256,0.12298163,2.30598544
-5.81990995,10.20562343,1.10486533,0.00000000,3.40767221,6.25125291,0.12189186,2.30299106
-5.81390695,10.15299309,1.10332764,0.00000000,3.40663455,6.20810948,0.12061264,2.29379040
-5.80790395,10.07767210,1.09993407,0.00000000,3.39714076,6.15252208,0.11918316,2.27851177
-5.80190095,9.98100070,1.09477465,0.00000000,3.37958383,6.08537790,0.11764617,2.25739031
-5.79589795,9.86470137,1.08797129,0.00000000,3.35450463,6.00777520,0.11604668,2.23076077
-5.78989495,9.73081566,1.07967212,0.00000000,3.32257106,5.92098034,0.11443037,2.19904704
-5.78389195,9.58163157,1.07004517,0.00000000,3.28455320,5.82638006,0.11284203,2.16274912
-5.77788894,9.41960436,1.05927142,0.00000000,3.24129554,5.72543110,0.11132386,2.12242785
-5.77188594,9.24727446,1.04753769,0.00000000,3.19368742,5.61960936,0.10991388,2.07868817
-5.76588294,9.06718569,1.03502958,0.00000000,3.14263276,5.51036075,0.10864446,2.03216165
-5.75987994,8.88180731,1.02192470,0.00000000,3.08902055,5.39905593,0.10754100,1.98348893
-5.75387694,8.69346330,1.00838661,0.00000000,3.03369723,5.28695065,0.10662100,1.93330277
-5.74787394,8.50427129,0.99455961,0.00000000,2.97744208,5.17515326,0.10589333,1.88221253
-5.74187094,8.31609381,0.98056463,0.00000000,2.92094672,5.06460068,0.10535793,1.83079048
-5.73586793,8.13050315,0.96649639,0.00000000,2.86479935,4.95604322,0.10500591,1.77956050
-5.72986493,7.94876091,0.95242191,0.00000000,2.80947441,4.85003883,0.10482002,1.72898944
-5.72386193,7.77181230,0.93838042,0.00000000,2.75532780,4.74695634,0.10477551,1.67948131
