energy_ev,total_up,Cd_p_up,Cd_d_up,Cr_p_up,Cr_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-6.00000000,1.21693201,0.75533426,0.08463471,0.47053946,0.20777239,0.01071130,0.16394173,0.57148045,0.00000000
-5.99399700,1.17145531,0.73379210,0.08155426,0.45541144,0.19718712,0.01047849,0.15936694,0.55064981,0.00000000
-5.98799400,1.12054812,0.70803448,0.07809552,0.43791691,0.18601383,0.01018551,0.15386206,0.52718324,0.00000000
-5.98199100,1.06512558,0.67856128,0.07432284,0.41838546,0.17443356,0.00984051,0.14753555,0.50150084,0.00000000
-5.97598799,1.00616771,0.64593862,0.07030569,0.39718329,0.16262713,0.00945308,0.14051046,0.47405459,0.00000000
-5.96998499,0.94469468,0.61078210,0.06611699,0.37470315,0.15077141,0.00903409,0.13292082,0.44531654,0.00000000
-5.96398199,0.88174255,0.57373940,0.06183147,0.35135407,0.13903604,0.00859545,0.12490787,0.41576703,0.00000000
-5.95797899,0.81834037,0.53547313,0.05752403,0.32755143,0.12758072,0.00814989,0.11661632,0.38588358,0.00000000
-5.95197599,0.75548949,0.49664447,0.05326834,0.30370767,0.11655307,0.00771072,0.10819082,0.35613066,0.00000000
-5.94597299,0.69414559,0.45789836,0.04913555,0.28022397,0.10608705,0.00729164,0.09977269,0.32695086,0.00000000
-5.93996998,0.63520392,0.41985071,0.04519329,0.25748320,0.09630198,0.00690655,0.09149717,0.29875756,0.00000000
-5.93396698,0.57948808,0.38307796,0.04150476,0.23584413,0.08730207,0.00656937,0.08349116,0.27192920,0.00000000
-5.92796398,0.52774212,0.34810926,0.03812824,0.21563718,0.07917646,0.00629387,0.07587147,0.24680542,0.00000000
-5.92196098,0.48062603,0.31542124,0.03511657,0.19716148,0.07199959,0.00609352,0.06874374,0.22368465,0.00000000
-5.91595798,0.43871411,0.28543526,0.03251705,0.18068328,0.06583180,0.00598138,0.06220183,0.20282339,0.00000000
-5.90995498,0.40249577,0.25851702,0.03037128,0.16643540,0.06072025,0.00596995,0.05632779,0.18443664,0.00000000
-5.90395198,0.37237809,0.23497793,0.02871520,0.15461757,0.05669968,0.00607106,0.05119214,0.16869941,0.00000000
-5.89794897,0.34868956,0.21507791,0.02757917,0.14539735,0.05379336,0.00629567,0.04685452,0.15574890,0.00000000
-5.89194597,0.33168419,0.19902919,0.02698804,0.13891132,0.05201369,0.00665377,0.04336457,0.14568702,0.00000000
-5.88594297,0.32154553,0.18700029,0.02696113,0.13526632,0.05136281,0.00715413,0.04076276,0.13858307,0.00000000
-5.87993997,0.31838975,0.17912003,0.02751220,0.13454034,0.05183281,0.00780412,0.03908129,0.13447603,0.00000000
-5.87393697,0.32226764,0.17548071,0.02864929,0.13678307,0.05340579,0.00860944,0.03834477,0.13337658,0.00000000
-5.86793397,0.33316501,0.17614042,0.03037444,0.14201574,0.05605362,0.00957386,0.03857064,0.13526827,0.00000000
