energy_ev,total_up,C_s_up,C_p_up,Te_p_up,Te_d_up,V_p_up,V_d_up,Y_p_up,Y_d_up
-6.00000000,0.90853493,0.00471655,0.02115723,0.56559721,0.00000000,0.32147326,0.13919127,0.17444316,0.10600693
-5.99399700,0.86978391,0.00444101,0.01982212,0.54226416,0.00000000,0.31009230,0.13488544,0.16880240,0.10016986
-5.98799400,0.82995387,0.00421323,0.01857376,0.51808064,0.00000000,0.29784734,0.13059670,0.16282900,0.09434188
-5.98199100,0.78990520,0.00403559,0.01742454,0.49358536,0.00000000,0.28502945,0.12650845,0.15671374,0.08860734
-5.97598799,0.75054436,0.00391090,0.01638762,0.46934690,0.00000000,0.27195248,0.12281404,0.15066180,0.08305295
-5.96998499,0.71280184,0.00384246,0.01547670,0.44594967,0.00000000,0.25894460,0.11971245,0.14488800,0.07776569
-5.96398199,0.67760929,0.00383396,0.01470572,0.42397932,0.00000000,0.24633956,0.11740384,0.13961182,0.07283075
-5.95797899,0.64587669,0.00388941,0.01408848,0.40400820,0.00000000,0.23446787,0.11608479,0.13505231,0.06832951
-5.95197599,0.61846989,0.00401298,0.01363834,0.38658117,0.00000000,0.22364807,0.11594347,0.13142278,0.06433754
-5.94597299,0.59618910,0.00420882,0.01336771,0.37220199,0.00000000,0.21417852,0.11715477,0.12892566,0.06092284
-5.93996998,0.57974876,0.00448089,0.01328767,0.36132070,0.00000000,0.20632968,0.11987539,0.12774737,0.05814416
-5.93396698,0.56975906,0.00483271,0.01340751,0.35432206,0.00000000,0.20033717,0.12423910,0.12805345,0.05604956
-5.92796398,0.56670933,0.00526711,0.01373424,0.35151538,0.00000000,0.19639569,0.13035213,0.12998391,0.05467516
-5.92196098,0.57095380,0.00578594,0.01427223,0.35312576,0.00000000,0.19465396,0.13828893,0.13364892,0.05404412
-5.91595798,0.58269970,0.00638989,0.01502272,0.35928691,0.00000000,0.19521066,0.14808824,0.13912499,0.05416588
-5.90995498,0.60199811,0.00707815,0.01598353,0.37003589,0.00000000,0.19811152,0.15974985,0.14645160,0.05503558
-5.90395198,0.62873780,0.00784825,0.01714865,0.38530954,0.00000000,0.20334760,0.17323197,0.15562847,0.05663379
-5.89794897,0.66264241,0.00869584,0.01850811,0.40494324,0.00000000,0.21085482,0.18844957,0.16661366,0.05892650
-5.89194597,0.70327112,0.00961458,0.02004774,0.42867167,0.00000000,0.22051470,0.20527367,0.17932243,0.06186540
-5.88594297,0.75002333,0.01059602,0.02174922,0.45613219,0.00000000,0.23215648,0.22353195,0.19362716,0.06538844
-5.87993997,0.80214742,0.01162964,0.02359011,0.48687058,0.00000000,0.24556057,0.24301059,0.20935840,0.06942075
-5.87393697,0.85875381,0.01270288,0.02554409,0.52034954,0.00000000,0.26046326,0.26345756,0.22630707,0.07387589
-5.86793397,0.91883255,0.01380133,0.02758137,0.55595967,0.00000000,0.27656285,0.28458743,0.24422804,0.07865747
