energy_ev,total_up,Ag_p_up,Ag_d_up,Ir_p_up,Ir_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,3.10660215,0.25807190,0.33283746,0.70100921,1.06389723,0.09679242,0.21515688,0.01582912,1.25176123
-5.99399700,3.19239105,0.27825744,0.34165016,0.73139170,1.10231396,0.09258582,0.23645412,0.01702776,1.26534904
-5.98799400,3.30797238,0.30091026,0.35227068,0.77250241,1.15287332,0.08849615,0.26130904,0.01840939,1.28960292
-5.98199100,3.45251024,0.32591548,0.36471961,0.82400912,1.21517967,0.08454796,0.28958276,0.01996459,1.32422139
-5.97598799,3.62479998,0.35310869,0.37900152,0.88542935,1.28868834,0.08076812,0.32108560,0.02168071,1.36877429
-5.96998499,3.82323824,0.38227438,0.39509906,0.95612190,1.37269471,0.07718563,0.35557223,0.02354187,1.42269661
-5.96398199,4.04579746,0.41314576,0.41296739,1.03528077,1.46632516,0.07383112,0.39273809,0.02552886,1.48528314
-5.95797899,4.29000891,0.44540598,0.43252955,1.12193266,1.56853121,0.07073604,0.43221745,0.02761934,1.55568505
-5.95197599,4.55295789,0.47869118,0.45367298,1.21493909,1.67808837,0.06793175,0.47358367,0.02978795,1.63290964
-5.94597299,4.83129442,0.51259539,0.47624781,1.31300422,1.79360088,0.06544834,0.51635189,0.03200668,1.71582435
-5.93996998,5.12126225,0.54667730,0.50006721,1.41468898,1.91351347,0.06331346,0.55998455,0.03424530,1.80316603
-5.93396698,5.41874785,0.58046894,0.52490987,1.51843223,2.03613084,0.06155111,0.60389980,0.03647195,1.89355598
-5.92796398,5.71935017,0.61348598,0.55052487,1.62257865,2.15964518,0.06018046,0.64748268,0.03865379,1.98552127
-5.92196098,6.01847033,0.64523955,0.57663868,1.72541334,2.28217157,0.05921480,0.69009907,0.04075777,2.07752203
-5.91595798,6.31141944,0.67524908,0.60296415,1.82520205,2.40179049,0.05866064,0.73111189,0.04275154,2.16798437
-5.90995498,6.59354114,0.70305576,0.62921114,1.92023609,2.51659633,0.05851697,0.76989912,0.04460430,2.25533784
-5.90395198,6.86034429,0.72823608,0.65509814,2.00887996,2.62475019,0.05877485,0.80587291,0.04628775,2.33805614
-5.89794897,7.10764056,0.75041498,0.68036448,2.08962012,2.72453481,0.05941707,0.83849904,0.04777695,2.41469953
-5.89194597,7.33168047,0.76927779,0.70478236,2.16111254,2.81440941,0.06041824,0.86731588,0.04905117,2.48395691
-5.88594297,7.52928173,0.78458077,0.72816802,2.22222691,2.89306170,0.06174502,0.89195192,0.05009462,2.54468577
-5.87993997,7.69794314,0.79615936,0.75039149,2.27208529,2.95945464,0.06335665,0.91214111,0.05089703,2.59594799
-5.87393697,7.83593834,0.80393402,0.77138428,2.31009320,3.01286541,0.06520568,0.92773498,0.05145402,2.63703970
-5.86793397,7.94238412,0.80791319,0.79114453,2.33596152,3.05291440,0.06723895,0.93871118,0.05176742,2.66751369
-5.86193097,8.01727936,0.80819329,0.80973937,2.34971780,3.07958258,0.06939876,0.94517757,0.05184515,2.68719313
-5.85592796,8.06151193,0.80495565,0.82730422,2.35170631,3.09321589,0.07162417,0.94737186,0.05170112,2.69617588
-5.84992496,8.07683262,0.79846052,0.84403893,2.34257646,3.09451616,0.07385249,0.94565636,0.05135474,2.69482906
-5.84392196,8.06579665,0.78903844,0.86020121,2.32326009,3.08451858,0.07602081,0.94050827,0.05083031,2.68377409
-5.83791896,8.03167498,0.77707923,0.87609719,2.29493835,3.06455637,0.07806763,0.93250554,0.05015625,2.66386286
-5.83191596,7.97833911,0.76301929,0.89207001,2.25899977,3.03621418,0.07993443,0.92230905,0.04936414,2.63614613
-5.82591296,7.91012417,0.74732746,0.90848654,2.21699108,3.00127195,0.08156730,0.91064176,0.04848771,2.60183547
-5.81990995,7.83167631,0.73049028,0.92572305,2.17056318,2.96164171,0.08291833,0.89826549,0.04756173,2.56226060
-5.81390695,7.74779068,0.71299711,0.94415044,2.12141440,2.91929996,0.08394697,0.88595659,0.04662096,2.51882376
-5.80790395,7.66324667,0.69532570,0.96411945,2.07123348,2.87621847,0.08462113,0.87448108,0.04569907,2.47295320
-5.80190095,7.58264709,0.67792870,0.98594659,2.02164470,2.83429643,0.08491804,0.86457042,0.04482767,2.42605738
-5.79589795,7.51026719,0.66122160,1.00990113,1.97415703,2.79529656,0.08482480,0.85689879,0.04403549,2.37948179
-5.78989495,7.44991902,0.64557240,1.03619366,1.93011946,2.76078783,0.08433866,0.85206243,0.04334763,2.33446962
-5.78389195,7.40483552,0.63129324,1.06496639,1.89068367,2.73209666,0.08346688,0.85056196,0.04278510,2.29212768
-5.77788894,7.37757756,0.61863418,1.09628547,1.85677532,2.71026852,0.08222636,0.85278798,0.04236438,2.25339828
-5.77188594,7.36996630,0.60777915,1.13013543,1.82907452,2.69604068,0.08064280,0.85901032,0.04209737,2.21903771
-5.76588294,7.38304176,0.59884399,1.16641571,1.80800549,2.68982709,0.07874972,0.86937120,0.04199129,2.18960161
