energy_ev,total_up,N_s_up,N_p_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up,Y_p_up,Y_d_up
-6.00000000,1.06216325,0.00627853,0.19256170,0.51757927,0.00000000,0.22763569,0.07650668,0.33475988,0.27585039
-5.99399700,1.09508194,0.00620546,0.19695748,0.53497915,0.00000000,0.23525761,0.08450370,0.34198644,0.28257891
-5.98799400,1.13037203,0.00615026,0.20095663,0.55439521,0.00000000,0.24385781,0.09327250,0.34964925,0.28881243
-5.98199100,1.16784526,0.00611392,0.20450730,0.57574558,0.00000000,0.25338144,0.10282448,0.35763059,0.29447447
-5.97598799,1.20730209,0.00609693,0.20756881,0.59892978,0.00000000,0.26376752,0.11316388,0.36580424,0.29950503
-5.96998499,1.24853438,0.00609931,0.21011264,0.62383043,0.00000000,0.27494993,0.12428563,0.37403895,0.30386244
-5.96398199,1.29132715,0.00612063,0.21212294,0.65031476,0.00000000,0.28685825,0.13617313,0.38220170,0.30752457
-5.95797899,1.33545925,0.00616006,0.21359666,0.67823587,0.00000000,0.29941850,0.14879622,0.39016081,0.31048942
-5.95197599,1.38070295,0.00621639,0.21454314,0.70743348,0.00000000,0.31255368,0.16210921,0.39778846,0.31277493
-5.94597299,1.42682262,0.00628814,0.21498343,0.73773450,0.00000000,0.32618411,0.17604944,0.40496298,0.31441817
-5.93996998,1.47357287,0.00637354,0.21494916,0.76895327,0.00000000,0.34022770,0.19053611,0.41157059,0.31547395
-5.93396698,1.52069633,0.00647065,0.21448119,0.80089171,0.00000000,0.35460002,0.20546977,0.41750677,0.31601281
-5.92796398,1.56792185,0.00657733,0.21362809,0.83333970,0.00000000,0.36921446,0.22073244,0.42267728,0.31611876
-5.92196098,1.61496324,0.00669138,0.21244447,0.86607564,0.00000000,0.38398243,0.23618845,0.42699902,0.31588667
-5.91595798,1.66151928,0.00681051,0.21098937,0.89886768,0.00000000,0.39881367,0.25168612,0.43040065,0.31541949
-5.90995498,1.70727508,0.00693242,0.20932466,0.93147552,0.00000000,0.41361689,0.26706011,0.43282323,0.31482557
-5.90395198,1.75190521,0.00705486,0.20751356,0.96365307,0.00000000,0.42830059,0.28213466,0.43422083,0.31421592
-5.89794897,1.79507853,0.00717566,0.20561938,0.99515190,0.00000000,0.44277426,0.29672736,0.43456119,0.31370175
-5.89194597,1.83646463,0.00729277,0.20370439,1.02572545,0.00000000,0.45694978,0.31065366,0.43382651,0.31339218
-5.88594297,1.87574170,0.00740434,0.20182888,1.05513382,0.00000000,0.47074309,0.32373164,0.43201414,0.31339209
-5.87993997,1.91260524,0.00750874,0.20005039,1.08314910,0.00000000,0.48407600,0.33578707,0.42913734,0.31380035
-5.87393697,1.94677723,0.00760461,0.19842310,1.10956061,0.00000000,0.49687804,0.34665858,0.42522586,0.31470814
-5.86793397,1.97801507,0.00769091,0.19699725,1.13418025,0.00000000,0.50908814,0.35620252,0.42032629,0.31619743
-5.86193097,2.00611978,0.00776692,0.19581867,1.15684712,0.00000000,0.52065627,0.36429752,0.41450212,0.31833962
-5.85592796,2.03094267,0.00783232,0.19492827,1.17743152,0.00000000,0.53154454,0.37084849,0.40783334,0.32119427
-5.84992496,2.05239034,0.00788711,0.19436156,1.19583793,0.00000000,0.54172806,0.37578978,0.40041553,0.32480783
-5.84392196,2.07042730,0.00793171,0.19414815,1.21200669,0.00000000,0.55119520,0.37908750,0.39235850,0.32921249
-5.83791896,2.08507639,0.00796687,0.19431117,1.22591459,0.00000000,0.55994740,0.38074090,0.38378432,0.33442511
-5.83191596,2.09641674,0.00799366,0.19486677,1.23757399,0.00000000,0.56799845,0.38078259,0.37482500,0.34044631
-5.82591296,2.10457961,0.00801345,0.19582364,1.24703094,0.00000000,0.57537340,0.37927785,0.36561964,0.34725971
-5.81990995,2.10974250,0.00802782,0.19718265,1.25436223,0.00000000,0.58210704,0.37632283,0.35631152,0.35483162
-5.81390695,2.11212186,0.00803856,0.19893661,1.25967172,0.00000000,0.58824221,0.37204196,0.34704493,0.36311099
-5.80790395,2.11196523,0.00804752,0.20107038,1.26308623,0.00000000,0.59382804,0.36658440,0.33796225,0.37203005
-5.80190095,2.10954312,0.00805664,0.20356112,1.26475126,0.00000000,0.59891811,0.36012004,0.32920110,0.38150539
-5.79589795,2.10514148,0.00806783,0.20637901,1.26482685,0.00000000,0.60356893,0.35283484,0.32089206,0.39143988
-5.78989495,2.09905506,0.00808291,0.20948829,1.26348385,0.00000000,0.60783854,0.34492597,0.31315679,0.40172510
-5.78389195,2.09158214,0.00810359,0.21284865,1.26090064,0.00000000,0.61178546,0.33659678,0.30610687,0.41224460
-5.77788894,2.08302080,0.00813142,0.21641697,1.25726061,0.00000000,0.61546799,0.32805179,0.29984318,0.42287763
-5.77188594,2.07366681,0.00816775,0.22014941,1.25275011,0.00000000,0.61894378,0.31949181,0.29445598,0.43350340
-5.76588294,2.06381291,0.00821374,0.22400359,1.24755714,0.00000000,0.62226967,0.31110942,0.29002558,0.44400562
-5.75987994,2.05374930,0.00827033,0.22794102,1.24187027,0.00000000,0.62550166,0.30308474,0.28662338,0.45427713
-5.75387694,2.04376490,0.00833825,0.23192937,1.23587786,0.00000000,0.62869493,0.29558177,0.28431332,0.46422439
-5.74787394,2.03414873,0.00841805,0.23594477,1.22976717,0.00000000,0.63190373,0.28874513,0.28315339,0.47377155
-5.74187094,2.02519118,0.00851011,0.23997369,1.22372317,0.00000000,0.63518110,0.28269748,0.28319717,0.48286402
-5.73586793,2.01718430,0.00861467,0.24401452,1.21792688,0.00000000,0.63857826,0.27753737,0.28449505,0.49147105
-5.72986493,2.01042102,0.00873183,0.24807868,1.21255301,0.00000000,0.64214366,0.27333784,0.28709518,0.49958740
-5.72386193,2.00519273,0.00886161,0.25219110,1.20776689,0.00000000,0.64592155,0.27014545,0.29104378,0.50723392
-5.71785893,2.00178517,0.00900395,0.25639015,1.20372064,0.00000000,0.64995032,0.26797996,0.29638490,0.51445683
-5.71185593,2.00047262,0.00915874,0.26072686,1.20054868,0.00000000,0.65426040,0.26683460,0.30315949,0.52132593
-5.70585293,2.00151047,0.00932580,0.26526357,1.19836285,0.00000000,0.65887206,0.26667686,0.31140378,0.52793159
-5.69984992,2.00512658,0.00950491,0.27007191,1.19724726,0.00000000,0.66379316,0.26744979,0.32114708,0.53438085
-5.69384692,2.01151177,0.00969581,0.27523032,1.19725338,0.00000000,0.66901699,0.26907388,0.33240897,0.54079257
-5.68784392,2.02081000,0.00989818,0.28082101,1.19839547,0.00000000,0.67452045,0.27144934,0.34519615,0.54729206
-5.68184092,2.03310877,0.01011163,0.28692667,1.20064695,0.00000000,0.68026265,0.27445885,0.35949902,0.55400530
-5.67583792,2.04843037,0.01033565,0.29362683,1.20393783,0.00000000,0.68618411,0.27797071,0.37528825,0.56105300
-5.66983492,2.06672440,0.01056964,0.30099418,1.20815356,0.00000000,0.69220667,0.28184221,0.39251138,0.56854474
-5.66383192,2.08786206,0.01081282,0.30909079,1.21313546,0.00000000,0.69823413,0.28592330,0.41108991,0.57657348
-5.65782891,2.11163262,0.01106424,0.31796446,1.21868280,0.00000000,0.70415365,0.29006034,0.43091681,0.58521054
-5.65182591,2.13774224,0.01132271,0.32764532,1.22455660,0.00000000,0.70983787,0.29409989,0.45185478,0.59450126
-5.64582291,2.16581524,0.01158679,0.33814272,1.23048498,0.00000000,0.71514765,0.29789244,0.47373534,0.60446150
-5.63981991,2.19539801,0.01185470,0.34944256,1.23616994,0.00000000,0.71993536,0.30129592,0.49635896,0.61507501
-5.63381691,2.22596533,0.01212436,0.36150515,1.24129536,0.00000000,0.72404860,0.30417901,0.51949619,0.62629183
-5.62781391,2.25692907,0.01239331,0.37426368,1.24553584,0.00000000,0.72733405,0.30642400,0.54289004,0.63802767
-5.62181091,2.28764899,0.01265868,0.38762346,1.24856619,0.00000000,0.72964159,0.30792933,0.56625938,0.65016440
-5.61580790,2.31744562,0.01291721,0.40146186,1.25007122,0.00000000,0.73082834,0.30861167,0.58930357,0.66255153
-5.60980490,2.34561467,0.01316526,0.41562915,1.24975546,0.00000000,0.73076259,0.30840743,0.61170818,0.67500873
-5.60380190,2.37144306,0.01339881,0.42995023,1.24735268,0.00000000,0.72932755,0.30727391,0.63315164,0.68732941
-5.59779890,2.39422600,0.01361351,0.44422724,1.24263481,0.00000000,0.72642494,0.30519000,0.65331279,0.69928516
-5.59179590,2.41328504,0.01380476,0.45824309,1.23542025,0.00000000,0.72197818,0.30215633,0.67187905,0.71063116
-5.58579290,2.42798663,0.01396781,0.47176586,1.22558117,0.00000000,0.71593540,0.29819525,0.68855514,0.72111231
-5.57978989,2.43776093,0.01409787,0.48455395,1.21304988,0.00000000,0.70827212,0.29335036,0.70307192,0.73047003
-5.57378689,2.44212033,0.01419024,0.49636193,1.19782403,0.00000000,0.69899357,0.28768583,0.71519522,0.73844958
-5.56778389,2.44067732,0.01424049,0.50694686,1.17997053,0.00000000,0.68813670,0.28128551,0.72473433,0.74480764
-5.56178089,2.43316102,0.01424458,0.51607496,1.15962819,0.00000000,0.67577174,0.27425184,0.73154980,0.74932009
