energy_ev,total_up,C_s_up,C_p_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up,Zr_p_up,Zr_d_up
-6.00000000,1.21950057,0.00279558,0.00621739,0.00302944,0.72994544,0.80175327,0.04810307,0.32763570,0.12524302
-5.99399700,1.23268440,0.00287848,0.00626200,0.00305180,0.73813210,0.80975595,0.04868018,0.33369086,0.12643932
-5.98799400,1.24172346,0.00297359,0.00631256,0.00306419,0.74348144,0.81430880,0.04924241,0.33847810,0.12731626
-5.98199100,1.24618295,0.00308114,0.00636138,0.00306559,0.74574845,0.81514025,0.04976806,0.34193334,0.12781257
-5.97598799,1.24580000,0.00320192,0.00640171,0.00305558,0.74479183,0.81209804,0.05024157,0.34403888,0.12788304
-5.96998499,1.24048712,0.00333720,0.00642792,0.00303437,0.74057633,0.80515203,0.05065345,0.34482341,0.12749948
-5.96398199,1.23032939,0.00348862,0.00643555,0.00300272,0.73317137,0.79439285,0.05100009,0.34436023,0.12665096
-5.95797899,1.21557570,0.00365805,0.00642147,0.00296193,0.72274592,0.78002628,0.05128328,0.34276383,0.12534344
-5.95197599,1.19662464,0.00384745,0.00638387,0.00291372,0.70956020,0.76236397,0.05150966,0.34018506,0.12359883
-5.94597299,1.17400588,0.00405870,0.00632236,0.00286022,0.69395446,0.74181085,0.05169004,0.33680491,0.12145357
-5.93996998,1.14835803,0.00429349,0.00623796,0.00280384,0.67633566,0.71884991,0.05183858,0.33282747,0.11895677
-5.93396698,1.12040405,0.00455308,0.00613308,0.00274723,0.65716244,0.69402511,0.05197204,0.32847216,0.11616805
-5.92796398,1.09092539,0.00483821,0.00601154,0.00269319,0.63692936,0.66792311,0.05210896,0.32396565,0.11315518
-5.92196098,1.06073601,0.00514895,0.00587845,0.00264456,0.61615083,0.64115468,0.05226887,0.31953389,0.10999163
-5.91595798,1.03065733,0.00548458,0.00574022,0.00260421,0.59534563,0.61433651,0.05247164,0.31539450,0.10675415
-5.90995498,1.00149498,0.00584349,0.00560441,0.00257494,0.57502238,0.58807409,0.05273688,0.31174985,0.10352041
-5.90395198,0.97401818,0.00622316,0.00547968,0.00255945,0.55566666,0.56294625,0.05308342,0.30878104,0.10036686
-5.89794897,0.94894233,0.00662007,0.00537568,0.00256031,0.53772989,0.53949174,0.05352893,0.30664315,0.09736686
-5.89194597,0.92691497,0.00702981,0.00530290,0.00257991,0.52162040,0.51819827,0.05408965,0.30546168,0.09458902
-5.88594297,0.90850544,0.00744705,0.00527258,0.00262049,0.50769676,0.49949407,0.05478018,0.30533034,0.09209594
-5.87993997,0.89419798,0.00786571,0.00529657,0.00268414,0.49626320,0.48374194,0.05561339,0.30631027,0.08994316
-5.87393697,0.88438798,0.00827908,0.00538715,0.00277276,0.48756710,0.47123580,0.05660027,0.30843039,0.08817851
-5.86793397,0.87938109,0.00867999,0.00555688,0.00288815,0.48179830,0.46219943,0.05774999,0.31168905,0.08684167
-5.86193097,0.87939445,0.00906100,0.00581838,0.00303195,0.47908987,0.45678696,0.05906974,0.31605651,0.08596393
-5.85592796,0.88455954,0.00941469,0.00618416,0.00320572,0.47951996,0.45508499,0.06056475,0.32147817,0.08556814
-5.84992496,0.89492607,0.00973383,0.00666632,0.00341088,0.48311449,0.45711567,0.06223814,0.32787832,0.08566887
-5.84392196,0.91046619,0.01001167,0.00727630,0.00364875,0.48985016,0.46284047,0.06409077,0.33516410,0.08627249
